TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
ATWN11;0,00;0,00;;;0,64;;;93.106.600,74;2,00;Passiva;
BBIM11;0,00;0,00;;;9,82;-13,85;;64.624.632,86;20,00;Ativa;
BMII11;0,00;0,00;;;0,11;;;68.958.972,13;12,00;Ativa;
BREV11;119,91;4,56;1,14;831,00;1,67;;;98.185.654,03;78,00;Ativa;
BRIP11;1.016,00;0,00;1,03;1.071,33;19,94;;;107.018.154,87;235,00;Ativa;
CCRF11;0,00;0,00;;;71,46;;;157.472.858,79;12,00;Ativa;
RBRP11;79,80;7,21;0,93;1.775.771,88;25,24;1,83;-0,21;1.042.431.997,69;89.046,00;Ativa;
RBRR11;99,68;7,83;1,00;3.751.657,64;27,35;0,02;1,33;1.030.670.291,18;73.712,00;Ativa;
RBRS11;72,98;4,44;0,76;38.012,13;16,99;;;100.766.448,42;1.176,00;Ativa;
RDPD11;70,50;7,41;0,99;224.102,91;2,08;1,15;-7,47;76.735.767,54;780,00;Ativa;
RECR11;106,26;13,67;1,11;7.116.614,12;19,16;8,02;2,01;1.855.452.501,80;91.384,00;Ativa;
RECT11;79,90;9,94;0,86;1.231.134,08;0,80;;;761.018.357,05;76.666,00;Ativa;
RNDP11;700,00;6,58;0,91;251.855,95;6,49;-9,14;-9,99;82.314.886,55;865,00;Ativa;
RSPD11;1.100,00;0,00;0,96;2.155,00;9,89;;;170.831.520,31;105,00;Ativa;
AQLL11;385,03;0,00;0,26;641,83;0,00;;3,08;145.293.284,59;37,00;Ativa;
ARRI11;102,40;11,50;1,07;210.228,16;36,53;;;64.588.915,01;3.678,00;Ativa;
BPFF11;72,95;8,97;0,90;629.865,16;7,84;-5,09;-7,26;363.414.679,16;20.410,00;Ativa;
BTSI11;0,00;0,00;;;0,31;;;17.840.248,27;52,00;Ativa;
FIGS11;59,55;4,15;0,63;339.621,72;4,65;-36,66;-3,13;268.516.555,33;17.545,00;Passiva;
HCTR11;126,99;19,73;1,09;10.237.065,84;23,47;;;1.697.282.920,93;107.060,00;Ativa;
HGLG11;166,50;7,80;1,14;8.505.725,40;7,79;13,01;9,59;2.703.569.719,36;281.184,00;Ativa;
JSRE11;87,87;7,26;0,77;2.186.309,12;1,11;-2,25;-5,05;2.354.869.865,71;44.934,00;Ativa;
MXRF11;10,05;8,56;1,01;5.882.392,36;21,76;2,44;0,03;2.260.292.862,71;416.044,00;Ativa;
