TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA
CEBR5;156,49;2,51;26,60;2,66;0,61;12,64;6,12;3,13;13,58;11,59;-0,30;-0,06;0,83;3,19;-4,09;1,29;9,99;2,30;8,65;0,23;0,71;0,74;6,64;;167.720,97;58,88;5,88
CEBR6;143,00;1,28;24,31;2,43;0,56;12,64;6,12;3,13;12,41;11,59;-0,30;-0,06;0,76;2,91;-3,74;1,29;9,99;2,30;8,65;0,23;0,71;0,74;6,64;;618.283,54;58,88;5,88
CEDO3;11,99;;-2,05;0,95;0,18;15,82;-2,18;-9,98;-9,38;-23,21;-16,06;1,62;0,20;-2,36;-0,29;0,84;-46,11;-8,71;-3,52;0,19;0,78;0,87;3,73;;188.825,79;12,68;-5,85
CEDO4;5,35;;-0,92;0,42;0,08;15,82;-2,18;-9,98;-4,19;-23,21;-16,06;1,62;0,09;-1,05;-0,13;0,84;-46,11;-8,71;-3,52;0,19;0,78;0,87;3,73;;196.871,18;12,68;-5,85
CEEB3;40,99;2,37;10,49;1,79;0,51;22,95;15,51;10,05;6,80;12,91;4,74;1,25;1,05;20,66;-0,65;1,14;17,11;4,89;9,66;0,29;0,71;0,49;12,72;16,24;90.841,77;22,85;3,91
CEEB5;44,17;2,20;11,30;1,93;0,55;22,95;15,51;10,05;7,32;12,91;4,74;1,25;1,14;22,26;-0,70;1,14;17,11;4,89;9,66;0,29;0,71;0,49;12,72;16,24;7.117,00;22,85;3,91
CEEB6;60,68;1,76;15,52;2,66;0,76;22,95;15,51;10,05;10,06;12,91;4,74;1,25;1,56;30,58;-0,96;1,14;17,11;4,89;9,66;0,29;0,71;0,49;12,72;16,24;;22,85;3,91
CEED3;54,98;;-0,35;-0,10;0,14;-1,01;-16,70;-44,49;-0,93;-2,56;-1,63;;0,16;-0,12;-0,18;0,17;-28,67;-39,36;13,70;-1,37;2,37;0,88;3,53;;54.599,80;-548,09;-157,15
CEED4;70,00;;-0,45;-0,13;0,18;-1,01;-16,70;-44,49;-1,19;-2,56;-1,63;;0,20;-0,15;-0,23;0,17;-28,67;-39,36;13,70;-1,37;2,37;0,88;3,53;;8.180,00;-548,09;-157,15
CEGR3;60,00;0,16;39,62;13,20;4,46;29,25;18,21;10,97;23,86;25,04;1,18;0,66;4,35;-74,08;-5,96;0,81;33,31;11,25;19,93;0,34;0,66;1,03;5,62;3,05;54.823,38;4,55;1,51
