TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AAIC;3,88;;7,43;0,54;0,15;100,00;56,01;64,01;8,50;13,14;4,64;0,30;4,76;-0,42;-0,19;0,39;7,30;1,98;4,01;0,27;0,73;0,03;-17,62;;;7,15;0,52;;129.906.982,28
AAT;36,93;2,87;132,54;1,78;0,73;64,71;22,85;5,08;29,46;46,24;16,78;1,01;6,73;;-0,73;;1,34;0,55;2,60;0,41;0,59;0,11;4,57;-6,40;;20,80;0,28;;2.233.241.521,98
ABR;18,28;7,11;8,43;1,61;0,30;99,24;141,70;85,75;5,10;10,81;5,71;1,80;7,23;;-0,30;;19,12;3,59;8,63;0,19;0,81;0,04;13,13;30,09;;11,35;2,17;;2.462.111.264,00
ACC;50,31;3,74;924,04;2,28;0,93;50,00;14,53;0,89;56,35;85,43;29,08;1,18;8,19;;-0,93;;0,25;0,10;1,82;0,41;0,59;0,11;2,93;-8,89;;22,07;0,05;;6.991.273.809,00
ACRE;15,08;9,02;11,14;1,06;0,29;100,00;942,12;497,17;5,88;19,26;13,39;2,42;55,37;;-0,29;;9,52;2,62;5,01;0,28;0,72;0,01;-22,93;-8,62;;14,22;1,35;;610.756.588,00
ADC;75,15;3,60;53,20;1,66;1,09;87,58;49,43;32,93;35,45;44,61;9,16;0,43;17,52;;-1,09;;3,12;2,04;3,10;0,65;0,35;0,06;28,86;18,55;;45,25;1,41;;5.179.510.845,00
AFIN;8,47;14,23;-30,53;0,55;0,25;73,63;15,68;-9,71;18,90;53,37;34,47;1,01;2,96;;-0,25;;-1,82;-0,83;1,42;0,46;0,54;0,09;11,83;;;15,27;-0,28;;918.244.210,73
AFINO;26,40;3,75;-95,16;1,73;0,79;73,63;15,68;-9,71;58,92;53,37;34,47;1,01;9,24;;-0,79;;-1,82;-0,83;1,42;0,46;0,54;0,09;11,83;;;15,27;-0,28;;918.244.210,73
AFINP;27,00;6,94;-97,32;1,77;0,81;73,63;15,68;-9,71;60,26;53,37;34,47;1,01;9,45;;-0,81;;-1,82;-0,83;1,42;0,46;0,54;0,09;11,83;;;15,27;-0,28;;918.244.210,73
AGNC;15,87;9,07;2,75;0,73;0,10;;;;2,45;6,57;4,13;1,24;;;-0,10;;26,66;3,54;12,52;0,13;0,87;0,00;;;;21,65;5,77;;8.330.277.264,00
AGNCM;25,96;6,62;4,50;1,20;0,16;;;;4,00;6,57;4,13;1,24;;;-0,16;;26,66;3,54;12,52;0,13;0,87;0,00;;;;21,65;5,77;;8.330.277.264,00
AGNCN;26,26;6,66;4,55;1,21;0,16;;;;4,05;6,57;4,13;1,24;;;-0,16;;26,66;3,54;12,52;0,13;0,87;0,00;;;;21,65;5,77;;8.330.277.264,00
