TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AAIC;3,16;;-13,56;0,43;0,10;100,00;32,68;-36,29;15,06;121,27;106,21;3,03;4,92;;-0,10;;-3,17;-0,75;0,30;0,24;0,76;0,02;-30,10;;;7,35;-0,23;;93.733.500,00
AAT;30,18;4,11;48,52;1,48;0,61;65,49;27,36;9,57;16,97;31,69;14,72;1,28;4,64;;-0,61;;3,05;1,25;3,72;0,41;0,59;0,13;4,96;-2,73;;20,42;0,62;;1.826.553.960,00
ABR;13,47;10,84;6,92;0,82;0,13;99,65;209,04;99,60;3,30;11,12;7,82;1,94;6,89;;-0,13;;11,82;1,91;7,10;0,16;0,84;0,02;28,66;46,46;;16,47;1,95;;2.157.926.328,00
ACC;64,74;2,18;152,91;2,92;1,20;51,87;18,95;6,00;48,45;66,72;18,27;1,10;9,18;;-1,20;;1,91;0,79;2,80;0,41;0,58;0,13;3,69;-18,56;;22,18;0,42;;9.030.129.420,00
ACRE;12,65;11,23;11,30;1,00;0,27;100,00;601,75;328,73;6,18;22,16;15,98;2,59;37,16;;-0,27;;8,84;2,42;4,46;0,27;0,73;0,01;;6,15;;12,66;1,12;;688.645.760,00
ADC;73,53;3,69;44,48;1,50;0,98;87,78;55,87;34,53;27,49;36,56;9,06;0,50;15,36;;-0,98;;3,38;2,20;3,60;0,65;0,35;0,06;29,96;22,07;;48,87;1,65;;5.527.580.985,00
AFCG;15,72;12,98;10,43;0,92;0,68;;;;9,51;10,52;1,01;0,10;;;-0,68;;8,84;6,55;7,52;0,74;0,26;0,00;;;;17,04;1,51;;310.358.388,00
AFIN;8,23;7,75;-97,09;0,58;0,28;74,05;20,65;-3,17;14,92;39,26;24,35;0,94;3,08;;-0,28;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;;1.016.458.495,00
AFINO;25,70;3,59;-303,19;1,80;0,86;74,05;20,65;-3,17;46,58;39,26;24,35;0,94;9,62;;-0,86;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;;1.016.458.495,00
AFINP;26,01;3,60;-306,85;1,82;0,87;74,05;20,65;-3,17;47,15;39,26;24,35;0,94;9,74;;-0,87;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;;1.016.458.495,00
AGNC;11,48;12,54;-6,66;0,67;0,09;;;;-7,47;-18,63;-11,16;1,00;;;-0,09;;-10,10;-1,36;-4,02;0,13;0,87;0,00;;3,75;;17,06;-1,72;;6.008.170.504,00
AGNCM;20,23;8,50;-11,74;1,19;0,16;;;;-13,17;-18,63;-11,16;1,00;;;-0,16;;-10,10;-1,36;-4,02;0,13;0,87;0,00;;3,75;;17,06;-1,72;;6.008.170.504,00
AGNCN;22,80;7,68;-13,23;1,34;0,18;;;;-14,84;-18,63;-11,16;1,00;;;-0,18;;-10,10;-1,36;-4,02;0,13;0,87;0,00;;3,75;;17,06;-1,72;;6.008.170.504,00
AGNCO;21,69;7,49;-12,59;1,27;0,17;;;;-14,12;-18,63;-11,16;1,00;;;-0,17;;-10,10;-1,36;-4,02;0,13;0,87;0,00;;3,75;;17,06;-1,72;;6.008.170.504,00
AGNCP;20,34;7,53;-11,80;1,19;0,16;;;;-13,24;-18,63;-11,16;1,00;;;-0,16;;-10,10;-1,36;-4,02;0,13;0,87;0,00;;3,75;;17,06;-1,72;;6.008.170.504,00
AHH;13,07;5,13;58,45;1,43;0,39;47,55;23,28;5,37;13,48;13,77;0,29;0,03;3,14;;-0,39;;2,44;0,67;9,24;0,28;0,72;0,13;1,91;-4,85;;9,16;0,22;;884.934.411,00
AHT;5,98;;-0,94;-3,42;0,05;29,32;-5,20;-23,42;-4,23;-70,59;-66,36;;0,22;-0,06;-0,06;0,18;-363,46;-5,43;-1,44;-0,01;1,01;0,23;-11,60;;;-1,75;-6,36;;206.185.018,00
AIC;24,40;;-104,67;3,32;0,79;100,00;32,68;-36,29;116,25;121,27;106,21;3,03;37,99;;-0,79;;-3,17;-0,75;0,30;0,24;0,76;0,02;-30,10;;;7,35;-0,23;;93.733.500,00
AIRC;42,15;4,22;8,95;3,13;1,05;64,24;120,27;99,19;7,38;11,01;3,62;1,54;8,88;;-1,05;;34,95;11,74;16,23;0,34;0,65;0,12;;;;13,48;4,71;;6.621.642.765,00
AIV;6,81;;-58,04;2,04;0,40;61,18;14,44;-9,95;39,99;59,81;19,82;1,01;5,78;;-0,40;;-3,51;-0,69;1,12;0,20;0,79;0,07;-29,80;;;3,34;-0,12;;1.039.773.273,00
AIW;25,00;;-107,24;3,40;0,81;100,00;32,68;-36,29;119,11;121,27;106,21;3,03;38,92;;-0,81;;-3,17;-0,75;0,30;0,24;0,76;0,02;-30,10;;;7,35;-0,23;;93.733.500,00
AJX;9,72;13,17;7,37;0,46;0,13;100,00;408,68;197,30;3,56;12,47;8,92;1,16;14,53;0,36;-0,43;2,19;6,28;1,81;5,60;0,29;0,71;0,01;4,61;8,50;;21,03;1,32;;225.347.508,00
AJXA;24,55;;18,60;1,17;0,34;100,00;408,68;197,30;8,98;12,47;8,92;1,16;36,70;0,90;-1,08;2,19;6,28;1,81;5,60;0,29;0,71;0,01;4,61;8,50;;21,03;1,32;;225.347.508,00
AKR;16,16;4,08;43,53;0,92;0,34;67,64;44,93;11,56;11,20;24,15;12,95;1,07;5,03;;-0,34;;2,12;0,78;3,92;0,37;0,63;0,07;9,02;-20,20;;17,51;0,37;;1.533.343.216,00
ALEX;18,15;4,13;36,64;1,23;0,71;32,84;15,86;9,08;20,97;28,72;7,75;0,46;3,33;;-0,71;;3,36;1,94;3,94;0,58;0,42;0,21;-0,43;;;14,73;0,50;;1.319.149.260,00
ALX;229,04;7,86;9,03;4,57;0,83;55,41;73,39;65,05;8,00;12,10;4,09;2,34;5,87;;-0,83;;50,66;9,20;10,86;0,18;0,82;0,14;-1,90;8,98;;50,08;25,37;;1.169.775.992,00
AMH;35,55;1,58;76,90;1,92;1,08;55,15;25,69;11,95;35,77;40,29;4,51;0,24;9,19;;-1,08;;2,50;1,41;4,09;0,56;0,44;0,12;8,21;95,07;;18,47;0,46;;12.381.816.150,00
AMT;258,40;2,14;45,66;22,43;1,72;70,51;38,32;26,72;31,84;42,74;10,90;7,68;12,20;-21,84;-1,82;0,41;49,12;3,78;7,26;0,08;0,92;0,14;10,09;21,84;;11,52;5,66;;120.293.572.160,00
ANH;2,98;;-2,68;0,72;0,12;;;;-5,03;24,95;29,98;-4,31;;;-0,12;;-27,04;-4,64;-9,45;0,17;0,82;0,00;;;;4,12;-1,11;;295.925.866,36
APLE;14,79;1,83;40,66;1,06;0,71;58,98;14,26;8,04;22,92;33,10;10,18;0,47;3,27;;-0,71;;2,62;1,74;3,11;0,66;0,34;0,22;-2,15;-33,49;;13,89;0,36;;3.385.262.394,00
APTS;25,00;2,10;105,44;1,40;0,43;69,54;28,71;3,83;14,06;33,84;19,77;1,96;4,04;;-0,43;;1,32;0,41;3,21;0,31;0,69;0,11;20,97;;;17,91;0,24;;1.611.075.000,00
ARE;148,13;3,11;59,30;1,43;0,74;70,35;28,34;18,13;37,92;52,72;14,80;0,56;10,75;;-0,74;;2,41;1,24;2,34;0,52;0,48;0,07;18,06;;;103,73;2,50;;24.177.467.527,00
ARI;10,84;12,92;9,08;0,68;0,17;100,00;1.260,49;600,10;4,32;21,89;17,57;2,75;54,51;;-0,17;;7,45;1,90;4,07;0,26;0,74;0,00;;7,20;;16,01;1,19;;1.524.004.272,00
ARR;7,23;16,60;-5,95;0,73;0,09;;;;-6,46;-3,64;2,82;-0,32;;;-0,09;;-12,27;-1,44;-11,29;0,12;0,88;0,00;;;;9,91;-1,22;;745.919.100,00
AVB;196,25;3,24;24,41;2,50;1,38;100,00;57,58;47,68;20,21;25,87;5,65;0,70;11,64;;-1,38;;10,24;5,66;7,06;0,55;0,45;0,12;2,33;-1,25;;78,51;8,04;;27.439.321.750,00
BDN;9,74;7,80;149,95;1,00;0,42;64,10;15,49;2,26;21,83;47,30;25,47;1,17;3,38;;-0,42;;0,67;0,28;2,09;0,42;0,58;0,13;-1,52;-21,10;;9,73;0,06;;1.669.279.186,00
BFS;48,10;4,66;28,53;2,83;0,65;74,42;45,49;16,61;10,41;20,63;10,21;2,78;4,74;;-0,65;;9,94;2,30;7,14;0,23;0,77;0,14;1,96;1,34;;16,97;1,69;;1.149.590.000,00
BHR;4,30;0,47;-46,46;0,71;0,15;34,82;5,97;-1,30;10,15;43,67;33,51;2,33;0,61;-0,28;-0,17;0,20;-1,52;-0,32;1,58;0,21;0,70;0,25;1,05;;;6,09;-0,09;;306.460.140,00
BNL;21,17;4,98;33,51;1,32;0,74;95,20;45,83;27,15;19,85;29,48;9,64;0,64;9,10;;-0,74;;3,93;2,20;3,96;0,56;0,44;0,08;21,79;23,02;;16,09;0,63;;3.584.208.020,00
BPYU;18,52;;-0,83;0,44;0,03;57,68;-4,09;-57,47;-11,61;-274,32;-262,70;9,86;0,48;;-0,03;;-52,70;-4,04;-0,55;0,08;0,88;0,07;-8,65;;;42,49;-22,39;;710.173.476,00
BPYUP;25,20;;-1,13;0,59;0,05;57,68;-4,09;-57,47;-15,80;-274,32;-262,70;9,86;0,65;;-0,05;;-52,70;-4,04;-0,55;0,08;0,88;0,07;-8,65;;;42,49;-22,39;;710.173.476,00
BRG;26,19;2,48;16,16;11,38;0,30;64,08;42,23;21,23;8,13;18,03;9,91;13,87;3,43;;-0,30;;70,39;1,87;6,69;0,03;0,57;0,09;22,09;;;2,30;1,62;;782.730.054,00
BRMK;6,82;12,32;11,30;0,80;0,72;100,00;296,26;277,45;10,58;10,58;0,00;0,00;31,34;;-0,72;;7,04;6,35;6,92;0,90;0,10;0,02;;;;8,58;0,60;;905.705.548,00
BRT;22,00;4,27;8,78;1,91;0,85;100,00;142,52;128,05;7,89;11,99;4,10;0,99;11,25;;-0,85;;21,76;9,65;11,16;0,44;0,56;0,08;-20,11;14,85;;11,51;2,50;;409.277.000,00
BRX;20,56;4,55;20,71;2,22;0,75;74,39;44,19;25,39;11,90;21,50;9,60;1,79;5,26;;-0,75;;10,72;3,61;6,65;0,34;0,66;0,14;-2,02;-0,40;;9,26;0,99;;6.158.423.152,00
BXMT;28,19;8,80;10,94;1,03;0,20;0,00;89,29;48,69;5,96;5,58;-0,38;-0,07;5,32;;-0,20;;9,45;1,82;17,33;0,19;0,81;0,04;11,41;11,96;;27,27;2,58;;4.800.359.521,00
BXP;90,60;4,33;25,93;2,43;0,63;64,16;37,62;18,70;12,88;24,47;11,59;2,19;4,85;;-0,63;;9,37;2,44;5,77;0,26;0,74;0,13;2,52;0,12;;37,29;3,49;;14.198.125.320,00
