TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
MTOF11;0,00;0,00;;;1,11;;;191.216.773,48;3,00;Ativa;
PNDL11;0,00;0,00;;;85,61;;;8.327.379,74;46,00;Ativa;
PORD11;103,30;9,00;1,02;231.037,42;11,27;;0,75;200.145.258,15;8.761,00;Ativa;
RBBV11;97,10;6,26;0,96;66.906,21;1,06;12,55;13,11;126.547.951,44;3.121,00;Passiva;
RBED11;142,30;8,50;0,94;380.065,79;9,47;-6,24;-8,02;269.145.282,00;11.082,00;Ativa;
BZEL11;0,00;0,00;;;0,04;;;735.392.841,75;2,00;Ativa;
CXCE11B;88,87;11,73;1,10;94.930,09;5,82;5,03;-2,70;138.995.510,65;2.606,00;Passiva;
DAMT11B;0,00;0,00;;;0,09;;;104.812.062,33;51,00;Passiva;
ESTQ11;0,00;0,00;;;23,76;;;23.398.890,19;5,00;Ativa;
GALG11;112,00;2,90;1,10;1.981.959,64;2,39;;;571.559.089,48;3.023,00;Ativa;
HBRH11;97,30;8,29;0,89;115.708,18;0,72;;;245.820.085,40;829,00;Ativa;
IFIE11;97,00;2,52;1,08;54.831,73;0,65;;;80.938.474,29;6.676,00;Passiva;
MVFI11;0,00;0,00;;;0,08;;;145.839.591,02;1,00;Ativa;
FPAB11;272,50;7,39;0,61;48.210,03;1,38;-10,84;-9,57;336.198.709,36;991,00;Passiva;
GESE11B;1.520,00;5,49;1,12;456.000,00;4,12;;;70.346.308,44;55,00;Passiva;
LUGG11;96,73;5,90;0,88;37.593,45;0,85;;;98.595.794,26;4.407,00;Ativa;
MORE11;96,00;8,66;0,97;495.033,88;13,09;;;229.316.670,62;6.230,00;Ativa;
PNPR11;0,00;0,00;;;11,74;;;27.461.973,12;13,00;Ativa;
RBCB11;19,00;0,00;;;;-15,04;-66,60;0,00;462,00;Ativa;
EVBI11;102,00;1,25;1,04;265.965,55;2,30;;;105.838.049,81;71,00;Ativa;
FIIB11;499,49;5,80;1,13;433.776,30;1,24;-2,59;7,60;303.120.333,38;17.754,00;Passiva;
GGRC11;123,95;6,76;1,00;2.846.204,73;25,57;-4,66;-2,11;965.944.774,11;91.780,00;Ativa;
HCRI11;458,33;7,42;1,51;56.543,82;0,48;6,06;7,49;60.625.329,85;3.229,00;Passiva;
HCST11;99,90;0,00;0,93;29.446,00;22,58;;;25.452.407,63;72,00;Ativa;
PEMA11;100,00;0,00;0,99;1.008.382,73;1,80;;;55.958.264,50;37,00;Ativa;
RCRB11;153,82;6,86;0,78;958.877,03;3,45;12,75;-4,74;727.372.877,38;28.904,00;Ativa;
RCRI11B;1.200,00;4,29;1,17;2.400,00;7,48;;;52.395.695,48;147,00;Ativa;
FCFL11;111,35;6,01;1,10;361.118,82;0,51;-0,17;-0,16;352.271.509,56;4.568,00;Passiva;
FEXC11;94,81;8,92;0,99;318.749,79;13,23;-3,59;-4,83;327.804.671,18;11.230,00;Ativa;
FIGS11;58,39;3,22;0,62;322.111,70;4,67;-41,72;-15,57;268.691.469,02;18.343,00;Passiva;
FLCR11;100,00;1,85;0,99;96.175,18;12,70;;;50.598.430,32;92,00;Ativa;
FLMA11;2,83;3,29;0,91;185.657,79;2,28;-17,00;2,21;214.864.295,98;72.805,00;Ativa;
FLRP11;1.323,72;4,38;0,77;49.434,93;2,39;3,50;2,48;112.267.171,45;980,00;Passiva;
FMOF11;70,08;2,45;0,53;8.832,12;1,37;23,48;-13,16;67.144.159,73;367,00;Passiva;
FOFT11;123,00;0,00;1,12;;5,10;-47,71;9,97;131.819.480,59;3.846,00;Ativa;
FVPQ11;142,00;2,28;0,72;88.758,61;1,10;-1,81;-18,57;550.322.759,82;5.267,00;Passiva;
RDPD11;83,50;5,39;0,84;73.222,96;28,83;;;106.552.478,51;756,00;Ativa;
DEVA11;115,78;8,60;1,17;4.448.291,45;32,35;;;630.487.217,74;18.289,00;Ativa;
DMAC11;20,39;253,09;0,19;59.670,33;2,88;;;16.794.383,11;1.191,00;Passiva;
ELDO11B;762,38;4,36;0,62;;0,01;-25,76;;973.291.405,38;61,00;Passiva;
BCFF11;85,98;6,73;1,03;5.878.946,67;4,87;-2,77;-1,15;1.711.037.350,87;270.818,00;Ativa;
CJCT11;62,00;0,00;0,92;101.588,81;1,16;;3,45;182.926.242,57;1.640,00;Passiva;
CNES11;42,00;6,98;0,46;32.853,82;5,39;11,03;-22,92;270.777.027,80;2.673,00;Ativa;
CPTS11;102,37;9,98;1,08;7.484.576,70;4,75;3,19;1,33;1.748.061.798,94;9.974,00;Ativa;
CTXT11;28,41;11,83;0,59;18.000,61;0,70;-10,58;87,21;125.469.665,32;4.531,00;Passiva;
CXCO11;103,05;0,00;1,03;1.134.404,71;0,10;;;392.064.499,71;13.788,00;Ativa;
CXRI11;97,46;10,33;1,03;48.660,18;0,55;4,97;-55,67;148.670.811,49;3.054,00;Ativa;
