TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;20,99;;-44,97;2,17;0,96;31,96;4,48;-4,98;49,94;61,38;11,44;0,50;2,24;-26,71;-1,17;0,83;-4,82;-2,15;1,10;0,45;0,54;0,43;3,62;;5.910.694,83;9,68;-0,47;0,16;2.482.966.207,84
ABCB4;21,81;5,86;6,64;0,97;0,09;26,12;15,74;13,19;5,56;5,56;;;0,88;1,82;-0,10;2,70;14,65;1,43;;0,10;0,90;0,11;7,15;13,66;20.916.809,57;22,43;3,29;0,15;4.931.025.473,58
ABEV3;16,45;3,67;19,78;2,87;1,82;49,47;21,95;16,57;14,94;14,01;-0,93;-0,18;3,28;39,39;-2,58;1,19;14,52;9,22;17,86;0,63;0,36;0,56;9,82;0,86;448.488.860,04;5,73;0,83;-1,14;259.091.067.198,95
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;2,00;1,04;30.648,54;1,58;0,46;11,54;8,64;0,00;7,37;11,20;3,83;0,82;0,64;1,17;-1,34;2,49;0,01;0,00;7,87;0,29;0,71;0,72;;;9.442.685,78;1,26;0,00;-306,62;1.532.426.912,00
AESB3;10,41;1,03;12,72;1,49;0,41;23,01;16,12;17,84;14,08;24,11;10,03;1,06;2,27;2,10;-0,57;3,63;11,73;3,24;-0,56;0,28;0,64;0,18;;;18.196.848,17;6,97;0,82;;6.232.528.845,81
AFLT3;9,70;4,40;5,11;2,34;2,00;82,74;80,13;77,75;4,96;4,75;-0,21;-0,10;3,97;12,42;-2,64;3,00;45,79;39,22;44,84;0,86;0,14;0,50;30,86;52,99;12.488,79;4,15;1,90;0,01;611.921.590,00
AGRO3;31,29;16,79;6,16;1,45;0,96;40,44;35,97;27,11;4,64;4,89;0,25;0,08;1,67;2,90;-1,82;3,28;23,47;15,55;19,63;0,66;0,34;0,57;59,78;80,28;15.886.755,17;21,65;5,08;0,10;3.203.376.580,32
AGXY3;7,98;2,10;-71,33;1,09;0,17;12,08;4,22;-0,20;3,41;6,70;3,29;1,05;0,14;7,30;-0,87;1,03;-1,52;-0,24;13,07;0,16;0,84;1,21;;;493.414,48;7,35;-0,11;0,88;1.363.183.412,22
AHEB3;20,00;;-7,07;-2,56;0,55;41,13;0,84;-11,03;92,62;80,51;-12,10;;0,78;15,99;-0,79;1,13;-36,27;-7,78;-1,28;-0,21;1,21;0,70;-1,24;;2.000,00;-7,80;-2,83;0,13;170.877.880,00
AHEB5;22,00;;-7,78;-2,82;0,60;41,13;0,84;-11,03;101,88;80,51;-12,10;;0,86;17,59;-0,87;1,13;-36,27;-7,78;-1,28;-0,21;1,21;0,70;-1,24;;2.348,50;-7,80;-2,83;0,14;170.877.880,00
AHEB6;20,00;;-7,07;-2,56;0,55;41,13;0,84;-11,03;92,62;80,51;-12,10;;0,78;15,99;-0,79;1,13;-36,27;-7,78;-1,28;-0,21;1,21;0,70;-1,24;;8.650,00;-7,80;-2,83;0,13;170.877.880,00
ALLD3;8,10;10,72;5,55;0,50;0,18;13,66;4,26;2,38;3,10;4,46;1,36;0,22;0,13;0,68;-0,63;1,59;9,04;3,24;9,68;0,36;0,64;1,36;;;410.288,57;16,15;1,46;-0,09;755.086.714,20
