TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AAIC;4,38;;15,13;0,58;0,16;100,00;163,58;32,01;4,92;16,20;13,24;2,61;4,84;;-0,16;;3,85;1,04;5,06;0,27;0,73;0,03;-25,44;-20,59;;7,51;0,29;;128.244.648,00
AAT;18,95;6,91;22,78;0,95;0,38;63,49;28,99;11,63;4,59;21,94;12,80;1,33;2,65;;-0,38;;4,16;1,68;4,33;0,40;0,60;0,14;6,06;8,39;;20,00;0,83;;1.150.731.170,00
ABR;14,78;13,87;8,85;0,91;0,17;98,52;465,65;121,03;2,19;11,70;9,40;3,72;10,72;;-0,17;;10,30;1,93;7,60;0,19;0,81;0,02;3,69;34,73;;16,21;1,67;;2.756.499.560,00
ACC;65,42;;154,52;2,95;1,22;51,87;18,95;6,00;19,33;67,23;18,27;1,10;9,28;;-1,22;;1,91;0,79;2,80;0,41;0,58;0,13;3,69;-18,56;;22,18;0,42;;9.124.977.860,00
ACRE;9,89;13,35;-105,31;0,77;0,22;;;;6,54;23,74;17,50;2,17;;;-0,22;;-0,74;-0,21;3,62;0,29;0,71;0,00;;-0,41;;12,77;-0,09;;535.408.007,00
ADC;56,87;5,08;35,23;1,10;0,75;87,66;50,00;32,17;12,54;31,49;8,82;0,43;11,33;;-0,75;;3,12;2,14;3,35;0,68;0,32;0,07;30,97;21,27;;51,70;1,61;;5.474.812.343,00
AFCG;12,47;17,32;6,97;0,75;0,56;;;;6,49;5,88;0,13;0,02;;;-0,56;;10,75;8,06;10,09;0,75;0,25;0,00;;;;16,64;1,79;;255.107.519,00
AFIN;8,23;;-97,09;0,58;0,28;74,05;20,65;-3,17;5,02;39,26;24,35;0,94;3,08;;-0,28;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;;1.016.458.495,00
AFINO;25,70;;-303,19;1,80;0,86;74,05;20,65;-3,17;15,66;39,26;24,35;0,94;9,62;;-0,86;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;;1.016.458.495,00
AFINP;26,01;;-306,85;1,82;0,87;74,05;20,65;-3,17;15,85;39,26;24,35;0,94;9,74;;-0,87;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;;1.016.458.495,00
AGNC;9,67;14,89;-195,36;0,74;0,10;;;;3,29;8,15;4,30;0,83;;;-0,10;;-0,38;-0,05;9,49;0,13;0,87;0,00;;;;13,00;-0,05;;5.860.768.458,00
AGNCM;24,10;7,13;-486,88;1,85;0,24;;;;8,21;8,15;4,30;0,83;;;-0,24;;-0,38;-0,05;9,49;0,13;0,87;0,00;;;;13,00;-0,05;;5.860.768.458,00
AGNCN;25,78;8,85;-520,82;1,98;0,26;;;;8,78;8,15;4,30;0,83;;;-0,26;;-0,38;-0,05;9,49;0,13;0,87;0,00;;;;13,00;-0,05;;5.860.768.458,00
AGNCO;23,80;6,83;-480,82;1,83;0,24;;;;8,11;8,15;4,30;0,83;;;-0,24;;-0,38;-0,05;9,49;0,13;0,87;0,00;;;;13,00;-0,05;;5.860.768.458,00
AGNCP;22,09;6,93;-446,28;1,70;0,22;;;;7,53;8,15;4,30;0,83;;;-0,22;;-0,38;-0,05;9,49;0,13;0,87;0,00;;;;13,00;-0,05;;5.860.768.458,00
AHH;10,74;7,12;16,00;1,15;0,30;28,31;21,66;7,90;3,68;6,29;0,46;0,09;1,26;;-0,30;;7,22;1,85;15,03;0,26;0,74;0,23;8,45;28,85;;9,30;0,67;;729.748.632,00
AHT;2,21;;-0,47;-0,31;0,02;33,06;10,63;-12,13;0,21;23,62;23,09;;0,06;-0,02;-0,02;0,12;-67,35;-4,31;4,03;-0,06;1,05;0,36;-2,92;;;-7,05;-4,75;;76.230.193,00
AIC;24,02;7,03;82,98;3,20;0,86;100,00;163,58;32,01;27,00;16,20;13,24;2,61;26,56;;-0,86;;3,85;1,04;5,06;0,27;0,73;0,03;-25,44;-20,59;;7,51;0,29;;128.244.648,00
AIRC;30,96;5,81;14,51;2,31;0,72;66,27;59,15;38,11;5,33;16,55;7,20;1,78;5,53;;-0,72;;15,92;4,97;8,62;0,31;0,68;0,13;-5,10;24,13;;13,40;2,13;;4.619.959.560,00
AIV;7,02;;-5,64;1,99;0,47;61,50;-94,07;-102,47;-32,27;-12,01;-5,86;1,90;5,78;;-0,47;;-35,24;-8,30;-11,63;0,24;0,69;0,08;-28,31;-24,84;;3,53;-1,24;;1.038.376.638,00
AIW;25,00;;86,37;3,33;0,90;100,00;163,58;32,01;28,10;16,20;13,24;2,61;27,64;;-0,90;;3,85;1,04;5,06;0,27;0,73;0,03;-25,44;-20,59;;7,51;0,29;;128.244.648,00
AJX;6,50;14,15;-4,44;0,49;0,11;;;;15,53;43,53;37,15;2,84;;;-0,11;;-11,00;-2,46;1,52;0,22;0,78;0,00;;;;13,32;-1,47;;153.580.700,00
