TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AAIC;4,80;;16,04;0,62;0,17;100,00;163,58;32,01;5,22;16,37;13,24;2,61;5,13;;-0,17;;3,85;1,04;5,06;0,27;0,73;0,03;-25,44;-20,59;;7,77;0,30;;135.948.960,00
AAT;21,97;6,03;25,01;1,12;0,45;62,64;30,15;12,05;5,20;21,95;11,96;1,33;3,01;;-0,45;;4,46;1,79;4,62;0,40;0,60;0,15;5,92;20,67;;19,70;0,88;;1.337.834.589,00
ABR;13,08;13,07;8,12;0,80;0,16;97,76;464,38;109,63;1,82;9,63;7,71;3,20;8,90;;-0,16;;9,80;2,01;8,73;0,21;0,79;0,02;4,68;26,24;;16,44;1,61;;2.465.772.276,00
ACC;65,42;;154,52;2,95;1,22;51,87;18,95;6,00;19,33;67,23;18,27;1,10;9,28;;-1,22;;1,91;0,79;2,80;0,41;0,58;0,13;3,69;-18,56;;22,18;0,42;;9.124.977.860,00
ACRE;6,89;18,00;-9,65;0,60;0,16;100,00;1.782,02;-979,02;5,39;26,20;20,90;2,36;94,45;;-0,16;;-6,21;-1,70;3,15;0,27;0,73;0,00;;;;11,50;-0,71;;374.971.714,00
ADC;60,04;4,91;36,45;1,17;0,77;87,76;47,92;29,58;12,32;31,81;9,31;0,48;10,78;;-0,77;;3,20;2,11;3,45;0,66;0,34;0,07;31,42;23,92;;51,46;1,65;;6.041.579.036,00
AFCG;12,35;15,55;12,18;0,80;0,55;;;;10,73;9,10;0,29;0,03;;;-0,55;;6,55;4,49;6,07;0,69;0,31;0,00;;;;15,49;1,01;;255.238.685,00
AFIN;8,23;;-97,09;0,58;0,28;74,05;20,65;-3,17;5,02;39,26;24,35;0,94;3,08;;-0,28;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;;1.016.458.495,00
AFINO;25,70;;-303,19;1,80;0,86;74,05;20,65;-3,17;15,66;39,26;24,35;0,94;9,62;;-0,86;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;;1.016.458.495,00
AFINP;26,01;;-306,85;1,82;0,87;74,05;20,65;-3,17;15,85;39,26;24,35;0,94;9,74;;-0,87;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;;1.016.458.495,00
AGNC;9,66;13,66;10,70;0,82;0,10;;;;2,08;5,34;3,19;1,21;;;-0,10;;7,65;0,91;15,64;0,12;0,88;0,00;;3,74;;11,80;0,90;;7.022.136.072,00
AGNCM;24,98;5,16;27,68;2,12;0,25;;;;5,38;5,34;3,19;1,21;;;-0,25;;7,65;0,91;15,64;0,12;0,88;0,00;;3,74;;11,80;0,90;;7.022.136.072,00
AGNCN;25,61;7,91;28,38;2,17;0,26;;;;5,51;5,34;3,19;1,21;;;-0,26;;7,65;0,91;15,64;0,12;0,88;0,00;;3,74;;11,80;0,90;;7.022.136.072,00
AGNCO;24,73;4,93;27,40;2,10;0,25;;;;5,32;5,34;3,19;1,21;;;-0,25;;7,65;0,91;15,64;0,12;0,88;0,00;;3,74;;11,80;0,90;;7.022.136.072,00
AGNCP;23,86;4,81;26,44;2,02;0,24;;;;5,14;5,34;3,19;1,21;;;-0,24;;7,65;0,91;15,64;0,12;0,88;0,00;;3,74;;11,80;0,90;;7.022.136.072,00
AHH;11,50;6,87;-2.053,80;1,34;0,30;28,27;10,01;-0,06;4,74;12,22;0,72;0,08;1,15;;-0,30;;-0,07;-0,01;8,26;0,22;0,78;0,26;28,11;-13,59;;8,57;-0,01;;768.121.800,00
AHT;1,32;;-0,29;-0,15;0,02;32,33;13,62;-13,05;0,13;16,94;16,66;;0,04;-0,02;-0,02;0,10;-51,60;-5,16;6,04;-0,10;1,07;0,39;-0,90;;;-8,71;-4,49;;52.415.616,00
AIC;24,33;5,20;81,31;3,13;0,84;100,00;163,58;32,01;26,46;16,37;13,24;2,61;26,02;;-0,84;;3,85;1,04;5,06;0,27;0,73;0,03;-25,44;-20,59;;7,77;0,30;;135.948.960,00
AIRC;38,59;4,66;8,76;2,46;0,90;66,64;102,82;79,57;4,86;10,69;3,91;1,42;6,97;;-0,90;;28,06;10,32;14,64;0,37;0,62;0,13;-3,35;-0,66;;15,71;4,41;;5.599.571.078,00
AIV;8,06;;-7,02;3,34;0,56;60,58;-70,78;-88,88;-19,15;-17,34;-8,52;3,22;6,24;;-0,56;;-47,53;-7,95;-8,98;0,17;0,75;0,09;-28,09;;;2,41;-1,15;;1.167.306.426,00
AIW;25,00;;83,55;3,22;0,87;100,00;163,58;32,01;27,19;16,37;13,24;2,61;26,74;;-0,87;;3,85;1,04;5,06;0,27;0,73;0,03;-25,44;-20,59;;7,77;0,30;;135.948.960,00
