TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
FCAS11;0,00;0,00;;;186,17;;;80.684.223,04;2,00;Passiva;
FINF11;0,00;0,00;;;0,80;;;83.649.849,75;4,00;Ativa;
FOFT11;123,00;0,00;1,12;;5,10;-47,71;12,71;131.819.480,59;3.846,00;Ativa;
KINP11;13,85;6,15;1,67;1.316,05;9,50;;;59.156.614,23;480,00;Ativa;
LFTT11;111,00;6,17;1,83;619.733,42;25,39;;;426.227.529,70;359,00;Ativa;
THRA11;138,50;35,80;1,22;53.642,50;1,97;91,64;10,63;167.617.956,80;2.093,00;Passiva;
TORD11;10,22;12,94;0,97;1.101.465,95;12,66;;;368.897.889,28;71.449,00;Ativa;
TORM13;833,00;8,07;0,38;833,00;1,39;;;156.286.762,31;206,00;Ativa;
FISD11;0,00;0,00;;;0,00;;;119.260.695,95;25,00;Ativa;
JTPR11;2.517,00;0,06;22,46;;7,25;;;24.056.729,92;9,00;Ativa;
MINT11;109,99;0,00;0,90;12.262,00;19,74;;;63.536.262,93;65,00;Ativa;
VTRT11;0,00;0,00;;;20,14;;;1.030.654.046,20;499,00;Ativa;
GALG11;109,40;6,04;1,04;1.368.917,65;0,00;;;588.721.429,27;4.368,00;Ativa;
GRLV11;104,51;103,74;17,51;753.753,27;2.489,44;135,25;-4,42;6.407.890,29;2.604,00;Passiva;
GSFI11;5,09;0,00;0,38;131.961,35;0,14;;;909.359.665,72;5.549,00;Ativa;
GTWR11;100,87;8,08;1,00;1.482.265,15;0,43;;;1.210.845.452,74;26.935,00;Ativa;
HFOF11;93,99;7,35;1,00;2.784.628,35;4,93;-11,35;1,36;2.158.210.256,54;67.399,00;Ativa;
HOSI11;82,00;7,28;0,89;68.991,80;12,60;;;53.006.213,94;2.269,00;Ativa;
HPDP11;81,49;3,60;0,85;20.719,13;1,48;;;279.262.818,98;397,00;Passiva;
HRDF11;1,42;0,00;0,91;9.215,55;65,94;;;11.820.174,62;1.381,00;Ativa;
HREC11;100,65;8,25;1,04;2.000.495,85;1,69;;;113.587.072,45;251,00;Ativa;
IFID11;86,80;4,49;0,96;80.171,75;1,16;;;67.760.427,70;2.077,00;Passiva;
IFIE11;83,32;4,08;0,97;38.204,85;1,22;;;77.156.683,58;6.172,00;Passiva;
IRDM11;118,00;12,19;1,21;10.553.975,05;10,67;13,77;10,59;2.139.700.639,92;169.216,00;Ativa;
JRDM11;64,00;2,85;0,73;130.701,95;2,64;-10,15;-2,48;221.416.032,56;5.397,00;Passiva;
JSRE11;89,56;7,12;0,79;2.274.312,10;1,11;-2,25;-4,95;2.354.869.865,71;44.934,00;Ativa;
KNCR11;93,16;4,14;0,94;4.394.991,55;10,15;-17,88;-4,06;3.869.688.643,01;67.977,00;Ativa;
KNHY11;108,49;11,81;1,07;1.570.541,05;2,38;20,40;1,50;1.083.254.957,10;6.638,00;Ativa;
KNIP11;109,98;11,28;1,08;9.188.223,95;1,58;12,74;1,56;4.813.931.680,49;56.372,00;Ativa;
KNRE11;2,45;2,85;1,20;21.102,75;21,11;;-36,79;38.017.665,53;6.769,00;Ativa;
KNRI11;140,37;5,76;0,88;3.393.177,50;1,41;-3,96;-1,62;3.833.230.862,74;236.956,00;Ativa;
