TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
BRCR11;83,23;6,75;0,77;2.445.920,31;0,69;-27,94;-0,86;2.861.919.636,26;126.022,00;Ativa;
DVFF11;0,00;0,00;;;13,26;;;53.683.026,04;155,00;Ativa;
GGRC11;120,71;6,98;0,97;2.259.284,55;25,52;-4,31;-0,22;965.982.178,86;93.554,00;Ativa;
HBCR11;0,00;0,00;;;4,03;;;25.434.445,12;7,00;Ativa;
HREC11;100,99;6,46;1,03;704.283,86;2,19;;;88.406.810,75;185,00;Ativa;
MGHT11;97,99;7,98;0,96;78.896,38;0,99;;;106.878.508,03;263,00;Ativa;
MINT11;103,11;0,00;1,03;10.573,57;23,97;;;52.059.602,97;64,00;Ativa;
PEMA11;88,40;0,67;0,86;400.496,88;2,69;;;56.461.447,05;65,00;Ativa;
PRZS11;0,00;0,00;;;0,04;;;55.744.508,78;2,00;Ativa;
RBRS11;74,50;3,79;0,77;20.986,59;30,32;;;101.146.528,12;1.096,00;Ativa;
ERCR11;85.227,76;2,91;0,96;852.277,00;0,12;;;211.402.106,27;14,00;Passiva;
HCST11;98,10;0,00;0,91;2.472,29;22,45;;;25.428.462,95;81,00;Ativa;
MORE11;90,99;9,06;0,91;497.479,00;1,55;;;231.328.974,76;6.086,00;Ativa;
ONEF11;139,01;5,49;0,87;131.670,45;1,04;-3,12;2,26;146.254.528,05;4.257,00;Passiva;
FATN11;102,40;5,49;1,02;12.396,05;0,85;;;57.643.273,62;212,00;Ativa;
KISU11;115,36;3,15;1,22;2.099.211,79;1,40;;;72.254.946,69;22.298,00;Ativa;
KNIP11;109,04;10,46;1,06;9.887.462,83;5,39;9,04;1,75;4.852.707.336,45;57.142,00;Ativa;
LOFT11B;29,90;28,66;0,38;2.138,00;12,94;;;181.978.456,88;101,00;Ativa;
LVBI11;114,37;5,65;1,04;2.674.662,93;23,03;;;1.298.857.175,40;35.299,00;Ativa;
MGCR11;99,02;4,95;1,04;294.535,34;46,84;;;135.321.835,75;1.477,00;Ativa;
MTOF11;0,00;0,00;;;1,61;;;164.963.990,19;3,00;Ativa;
FCFL11;111,80;6,10;1,10;354.222,90;0,52;0,26;5,97;352.270.132,22;4.548,00;Passiva;
FIGS11;63,09;3,22;0,67;324.755,10;4,68;-40,75;-1,98;269.255.994,59;18.227,00;Passiva;
FIIB11;500,10;6,37;1,13;354.876,31;1,30;0,28;9,13;302.962.189,17;17.985,00;Passiva;
FLCR11;101,50;3,81;1,00;177.146,36;15,19;;;50.633.558,50;127,00;Ativa;
HBRH11;93,00;8,63;0,85;169.452,90;0,72;;;245.568.202,78;958,00;Ativa;
HCTR11;136,89;17,57;1,17;12.214.214,17;4,70;;;1.191.772.877,57;85.619,00;Ativa;
HGCR11;105,06;6,74;1,00;2.971.657,00;6,32;-9,59;-0,76;1.295.499.170,54;59.513,00;Ativa;
MVFI11;0,00;0,00;;;0,15;;;145.740.296,29;1,00;Ativa;
RBRY11;103,76;8,11;0,99;1.081.207,31;32,68;;;354.387.923,26;8.168,00;Ativa;
RCRB11;147,23;7,74;0,75;851.464,62;1,66;12,43;-2,20;726.269.330,15;29.216,00;Ativa;
RCRI11B;1.200,00;4,29;1,16;1.200,00;2,49;;;52.690.426,09;148,00;Ativa;
BTWR11;0,00;0,00;;;2,62;;;86.212.156,91;52,00;Passiva;
BZEL11;0,00;0,00;;;0,03;;;539.028.839,05;2,00;Ativa;
FEXC11;95,59;8,89;1,03;568.768,34;46,95;-4,11;-2,68;564.889.746,62;17.504,00;Ativa;
HBTT11;1.055,00;4,51;;37.746,53;;;;0,00;0,00;Ativa;
HGIC11;106,88;1,49;1,04;165.099,96;0,23;;;13.241.911,62;110,00;Ativa;
MORC11;0,00;0,00;;;100,08;;;18.620.640,78;54,00;Ativa;
RDPD11;63,12;7,61;0,64;19.894,15;25,32;-0,16;-13,34;106.680.100,52;751,00;Ativa;
RECR11;102,35;13,31;1,07;6.671.347,34;3,74;1,57;0,30;1.355.698.362,90;68.964,00;Ativa;
SEQR11;78,31;3,45;0,75;190.617,69;2,84;;;154.642.234,38;1.086,00;Ativa;
SHDP11B;0,00;0,00;;;0,06;-14,09;;2.136.693.964,61;3,00;Passiva;
SJAU11;115,51;0,00;1,16;1.611.401,67;0,59;;;793.152.279,12;114,00;Passiva;
CNES11;42,20;5,63;0,46;17.437,79;5,40;9,50;-18,38;270.708.823,64;2.597,00;Passiva;
CXRI11;88,00;10,63;0,95;47.848,17;0,18;2,45;-54,85;146.719.618,31;3.048,00;Ativa;
DMAC11;15,38;295,92;1,43;68.840,45;27,96;;;1.673.504,88;2.072,00;Passiva;
DOMC11;439,00;0,00;4,06;17.499,67;0,09;;-2,25;264.351.778,61;1.158,00;Passiva;
BCIA11;99,81;7,99;0,91;679.118,28;0,87;-2,93;-4,33;408.983.773,55;13.361,00;Ativa;
ELDO11B;762,38;5,59;0,62;;0,12;-8,24;;972.742.730,50;61,00;Passiva;
HMOC11;226,95;66,15;0,95;69.159,67;0,67;122,18;;91.223.530,50;209,00;Passiva;
MALL11;98,12;5,24;0,94;1.756.298,72;2,47;-11,91;0,45;791.439.572,44;84.720,00;Ativa;
MGLG11;0,00;0,00;;;98,51;;;19.948.434,54;2,00;Ativa;
ORPD11;132,50;0,00;0,90;2.066,14;0,00;;;42.692.384,97;16,00;Ativa;
OUFF11;84,16;8,80;0,94;277.054,66;0,79;;;162.175.591,32;7.801,00;Ativa;
OUJP11;101,14;7,77;0,98;843.672,55;29,52;-8,52;0,46;336.009.243,08;24.438,00;Ativa;
