TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
ABCP11;68,37;0,600000;8,48;91,82;0,74;47.184,48;1,62;10,06;-3,47;432.405.741,17;17.429,00;Passiva;4.709.082,00
AFHI11;95,48;1,020000;13,24;95,94;1,00;1.415.629,86;7,59;;;320.750.142,24;25.850,00;Ativa;3.343.095,00
AIEC11;55,03;0,780000;16,65;94,93;0,58;656.036,43;2,63;9,02;-16,26;458.050.615,12;16.036,00;Ativa;4.824.987,00
ALMI11;676,66;0,371133;0,00;2.038,66;0,33;21.128,61;2,66;;-16,45;226.652.008,93;2.287,00;Passiva;111.177,00
ALZC11;0,00;;0,00;;;;;;;;;;1.000.000,00
ALZM11;85,31;0,900000;12,22;198,29;0,43;180.582,48;6,88;;;137.053.199,18;5.306,00;Ativa;691.192,00
ALZR11;114,90;0,825000;8,44;107,43;1,07;1.774.933,67;24,61;11,07;-3,17;1.059.348.544,85;147.506,00;Ativa;9.860.406,00
ANCR11B;3.300,00;42,077240;1,91;3.981,35;0,83;3.328,00;6,36;;;1.892.400.192,38;62,00;Ativa;475.316,00
APTO11;9,68;0,090000;12,54;10,29;0,94;32.187,67;25,24;;;41.304.508,36;9.181,00;Ativa;4.012.857,00
APXM11;102,00;0,539716;1,35;95,97;1,06;177.101,12;15,50;;;168.914.717,76;312,00;;1.760.000,00
AQLL11;385,03;;0,00;977,70;0,39;;0,07;;;142.566.851,88;58,00;Ativa;145.817,00
ARFI11B;479,99;;0,00;651,70;0,74;;1,52;;;74.329.618,05;28,00;Ativa;114.054,00
AROA11;0,00;0,005900;0,00;1,06;;;1,16;;;178.831.322,32;51,00;Ativa;167.926.831,00
ARRI11;9,06;0,100000;13,91;8,87;1,02;321.314,38;1,91;-3,32;-0,58;115.848.930,46;28.368,00;Ativa;13.056.237,00
ARXD11;95,00;1,000000;9,58;96,80;0,98;422.195,53;4,95;;;47.630.451,62;84,00;Ativa;492.050,00
ASMT11;54,00;0,770000;4,28;84,76;0,64;18.702,10;1,46;;;86.224.812,43;538,00;Ativa;1.017.316,00
ASRF11;10.092,00;256,328699;2,54;10.242,84;0,99;30.276,00;5,40;;;24.582.823,38;56,00;Ativa;2.400,00
ATCR11;0,00;0,091882;0,00;82,30;;;7,37;;;76.449.042,93;33,00;Ativa;928.908,00
