TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AAIC;3,27;;209,48;0,44;0,09;100,00;83,16;2,21;5,57;48,52;42,95;3,41;4,63;;-0,09;;0,21;0,04;1,32;0,20;0,80;0,02;-30,10;;;7,40;0,02;;94.473.570,00
AAT;29,69;4,18;45,75;1,46;0,60;64,98;26,97;9,68;16,43;31,02;14,60;1,30;4,43;;-0,60;;3,19;1,31;3,79;0,41;0,59;0,13;4,96;-2,73;;20,35;0,65;;1.797.079.289,00
ABR;15,45;9,71;8,41;0,95;0,15;99,46;252,00;110,71;3,70;10,87;7,17;1,84;9,31;;-0,15;;11,25;1,78;7,49;0,16;0,84;0,02;28,66;46,46;;16,32;1,84;;2.631.172.080,00
ACC;65,42;1,44;154,52;2,95;1,22;51,87;18,95;6,00;48,96;67,23;18,27;1,10;9,28;;-1,22;;1,91;0,79;2,80;0,41;0,58;0,13;3,69;-18,56;;22,18;0,42;;9.124.977.860,00
ACRE;13,73;0,58;14,01;0,95;0,28;100,00;717,76;361,13;7,05;24,51;17,46;2,35;50,61;;-0,28;;6,79;1,98;3,97;0,29;0,71;0,01;;6,15;;14,44;0,98;;747.439.232,00
ADC;79,31;3,44;46,54;1,59;1,05;87,67;57,01;35,60;29,06;37,83;8,77;0,48;16,57;;-1,05;;3,42;2,25;3,65;0,66;0,34;0,06;29,96;22,07;;49,76;1,70;;6.331.531.437,00
AFCG;18,69;10,91;10,17;1,10;0,81;;;;8,99;10,23;1,24;0,15;;;-0,81;;10,79;7,94;9,44;0,74;0,26;0,00;;;;17,03;1,84;;371.144.151,00
AFIN;8,23;5,16;-97,09;0,58;0,28;74,05;20,65;-3,17;14,92;39,26;24,35;0,94;3,08;;-0,28;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;;1.016.458.495,00
AFINO;25,70;3,59;-303,19;1,80;0,86;74,05;20,65;-3,17;46,58;39,26;24,35;0,94;9,62;;-0,86;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;;1.016.458.495,00
AFINP;26,01;3,60;-306,85;1,82;0,87;74,05;20,65;-3,17;47,15;39,26;24,35;0,94;9,74;;-0,87;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;;1.016.458.495,00
AGNC;12,51;11,51;-7,07;0,81;0,11;;;;-8,56;-16,90;-8,34;0,79;;;-0,11;;-11,50;-1,51;-4,59;0,13;0,87;0,00;;3,75;;15,38;-1,77;;6.539.262.228,00
AGNCM;21,92;7,84;-12,39;1,43;0,19;;;;-15,00;-16,90;-8,34;0,79;;;-0,19;;-11,50;-1,51;-4,59;0,13;0,87;0,00;;3,75;;15,38;-1,77;;6.539.262.228,00
AGNCN;24,42;7,17;-13,80;1,59;0,21;;;;-16,71;-16,90;-8,34;0,79;;;-0,21;;-11,50;-1,51;-4,59;0,13;0,87;0,00;;3,75;;15,38;-1,77;;6.539.262.228,00
AGNCO;22,26;7,30;-12,58;1,45;0,19;;;;-15,23;-16,90;-8,34;0,79;;;-0,19;;-11,50;-1,51;-4,59;0,13;0,87;0,00;;3,75;;15,38;-1,77;;6.539.262.228,00
AGNCP;21,59;7,09;-12,20;1,40;0,18;;;;-14,77;-16,90;-8,34;0,79;;;-0,18;;-11,50;-1,51;-4,59;0,13;0,87;0,00;;3,75;;15,38;-1,77;;6.539.262.228,00
AHH;14,15;4,74;29,70;1,51;0,42;44,76;28,21;10,19;10,72;10,32;-0,40;-0,06;3,03;;-0,42;;5,09;1,42;12,20;0,28;0,72;0,14;1,91;-4,85;;9,36;0,48;;958.375.255,00
AHT;9,69;;-2,07;-5,09;0,08;31,39;2,56;-14,78;11,96;125,70;113,74;;0,31;-0,10;-0,10;0,18;-245,31;-4,00;0,44;-0,02;1,01;0,27;-11,60;;;-1,91;-4,67;;334.300.155,00
AIC;24,95;6,76;1.598,29;3,37;0,66;100,00;83,16;2,21;42,47;48,52;42,95;3,41;35,32;;-0,66;;0,21;0,04;1,32;0,20;0,80;0,02;-30,10;;;7,40;0,02;;94.473.570,00
AIRC;44,32;4,04;7,16;3,20;1,06;64,62;144,75;127,09;6,29;9,29;3,01;1,53;9,10;;-1,06;;44,76;14,84;19,67;0,33;0,66;0,12;;;;13,83;6,19;;6.833.576.704,00
AIV;9,21;;5,82;1,89;0,58;61,54;198,22;126,59;3,71;6,12;2,40;1,22;7,36;;-0,58;;32,51;9,96;19,57;0,31;0,67;0,08;-29,80;;;4,87;1,58;;1.401.289.527,00
AIW;25,00;;1.601,50;3,38;0,67;100,00;83,16;2,21;42,56;48,52;42,95;3,41;35,39;;-0,67;;0,21;0,04;1,32;0,20;0,80;0,02;-30,10;;;7,40;0,02;;94.473.570,00
AJX;9,85;11,47;7,32;0,46;0,13;100,00;408,68;197,30;3,53;12,45;8,92;1,16;14,44;0,36;-0,42;2,19;6,28;1,81;5,60;0,29;0,71;0,01;4,61;8,50;;21,44;1,35;;223.922.020,00
AJXA;25,12;7,22;18,66;1,17;0,34;100,00;408,68;197,30;9,01;12,45;8,92;1,16;36,83;0,91;-1,08;2,19;6,28;1,81;5,60;0,29;0,71;0,01;4,61;8,50;;21,44;1,35;;223.922.020,00
AKR;17,19;3,84;52,76;0,96;0,37;68,69;38,65;9,84;13,44;28,09;14,65;1,05;5,19;;-0,37;;1,83;0,70;3,46;0,38;0,62;0,07;9,02;-20,20;;17,83;0,33;;1.631.875.923,00
ALEX;19,35;3,88;51,54;1,24;0,76;32,36;8,88;6,91;40,09;52,69;12,61;0,39;3,56;;-0,76;;2,40;1,47;1,05;0,61;0,38;0,21;-0,43;;;15,62;0,38;;1.407.087.495,00
ALX;253,23;7,11;10,91;5,18;0,91;56,09;68,56;59,95;9,54;15,16;5,62;3,04;6,54;;-0,91;;47,41;8,31;10,11;0,18;0,82;0,14;-1,90;8,98;;48,93;23,20;;1.293.321.579,00
AMH;37,61;1,49;66,34;2,08;1,11;55,33;26,95;14,15;34,84;40,15;5,31;0,32;9,39;;-1,11;;3,14;1,67;4,28;0,53;0,47;0,12;8,21;95,07;;18,05;0,57;;13.102.203.222,00
AMT;274,41;2,02;45,85;18,36;1,88;69,88;38,29;27,23;32,60;42,46;9,86;5,55;12,48;-34,20;-1,98;0,50;40,04;4,09;7,85;0,10;0,90;0,15;10,09;21,84;;14,95;5,98;;127.761.701.229,00
ANH;2,98;;-2,68;0,72;0,12;;;;-5,03;24,95;29,98;-4,31;;;-0,12;;-27,04;-4,64;-9,45;0,17;0,82;0,00;;;;4,12;-1,11;;295.925.866,36
APLE;16,96;1,89;30,25;1,20;0,81;59,35;16,83;11,40;20,49;28,08;7,59;0,45;3,45;;-0,81;;3,98;2,69;4,01;0,67;0,33;0,24;-2,15;-33,49;;14,08;0,56;;3.881.777.664,00
APTS;25,00;2,10;105,44;1,40;0,43;69,54;28,71;3,83;14,06;33,84;19,77;1,96;4,04;;-0,43;;1,32;0,41;3,21;0,31;0,69;0,11;20,97;;;17,91;0,24;;1.611.075.000,00
ARE;163,15;2,82;90,10;1,55;0,80;69,82;22,54;12,40;49,55;67,71;18,16;0,57;11,17;;-0,80;;1,72;0,89;1,96;0,52;0,48;0,07;18,06;;;105,04;1,81;;26.620.908.145,00
ARI;12,59;11,12;10,33;0,78;0,19;100,00;823,76;378,98;4,75;22,95;18,20;2,98;39,15;;-0,19;;7,54;1,79;4,01;0,24;0,76;0,00;;7,20;;16,17;1,22;;1.770.103.640,00
ARR;7,33;16,37;-7,32;0,86;0,09;;;;-9,00;-6,54;2,46;-0,24;;;-0,09;;-11,80;-1,30;-9,56;0,11;0,89;0,00;;;;8,48;-1,00;;840.271.618,00
AVB;214,98;2,96;36,89;2,75;1,52;100,00;43,05;33,39;28,61;36,10;7,48;0,72;12,32;;-1,52;;7,46;4,12;5,47;0,55;0,45;0,12;2,33;-1,25;;78,08;5,83;;30.060.846.882,00
BDN;8,66;8,78;93,81;0,90;0,37;63,79;16,54;3,18;18,06;42,54;24,48;1,23;2,99;;-0,37;;0,96;0,40;2,23;0,41;0,59;0,13;-1,52;-21,10;;9,58;0,09;;1.485.794.468,00
BFS;48,27;4,72;28,41;2,84;0,65;74,39;45,30;16,70;10,47;20,96;10,49;2,84;4,75;;-0,65;;9,99;2,28;7,00;0,23;0,77;0,14;1,96;1,34;;17,00;1,70;;1.152.726.216,00
BHR;5,46;0,37;30,15;0,87;0,19;35,38;10,68;2,22;6,26;21,27;15,00;2,08;0,67;-0,38;-0,22;0,25;2,88;0,62;3,41;0,21;0,68;0,28;1,05;;;6,28;0,18;;390.165.594,00
BNL;20,93;5,04;30,38;1,29;0,73;95,33;48,09;29,28;18,50;27,84;9,35;0,65;8,90;;-0,73;;4,26;2,40;4,18;0,56;0,44;0,08;21,79;23,02;;16,17;0,69;;3.623.296.950,00
BPYU;18,52;;-0,83;0,44;0,03;57,68;-4,09;-57,47;-11,61;-274,32;-262,70;9,86;0,48;;-0,03;;-52,70;-4,04;-0,55;0,08;0,88;0,07;-8,65;;;42,49;-22,39;;710.173.476,00
BPYUP;25,20;;-1,13;0,59;0,05;57,68;-4,09;-57,47;-15,80;-274,32;-262,70;9,86;0,65;;-0,05;;-52,70;-4,04;-0,55;0,08;0,88;0,07;-8,65;;;42,49;-22,39;;710.173.476,00
BRG;25,83;2,52;17,89;15,60;0,30;63,36;34,40;18,88;9,82;22,26;12,45;19,78;3,38;;-0,30;;87,20;1,67;5,39;0,02;0,59;0,09;22,09;;;1,66;1,44;;789.741.918,00
BRMK;7,03;11,95;11,99;0,83;0,75;100,00;308,21;280,95;10,93;11,65;0,72;0,05;33,70;;-0,75;;6,90;6,21;6,97;0,90;0,10;0,02;;;;8,49;0,59;;934.052.198,00
BRT;24,91;3,77;6,17;1,89;0,78;100,00;189,07;172,68;5,64;8,90;3,26;1,09;10,65;;-0,78;;30,58;12,59;14,15;0,41;0,59;0,07;-20,11;14,85;;13,20;4,04;;470.019.317,00
BRX;23,09;4,05;23,48;2,47;0,82;74,31;43,13;24,76;13,48;23,45;9,97;1,83;5,81;;-0,82;;10,51;3,48;6,46;0,33;0,67;0,14;-2,02;-0,40;;9,35;0,98;;6.919.357.210,00
BXMT;29,98;8,27;12,74;1,10;0,20;0,00;83,04;40,51;6,22;5,87;-0,35;-0,06;5,16;;-0,20;;8,64;1,57;17,69;0,18;0,82;0,04;11,41;11,96;;27,23;2,35;;5.105.504.060,00
BXP;86,35;4,54;20,54;2,28;0,58;63,89;40,97;22,04;11,05;21,99;10,94;2,26;4,53;;-0,58;;11,11;2,83;6,18;0,25;0,74;0,13;2,52;0,12;;37,83;4,20;;13.534.041.345,00
CCI;180,14;3,19;50,49;9,92;2,00;69,47;32,90;22,90;35,14;44,53;9,39;2,65;11,56;-134,26;-2,07;0,69;19,65;3,96;7,55;0,20;0,80;0,17;10,09;27,60;;18,15;3,57;;78.007.699.502,00
CDR;28,98;67,81;-7,86;0,89;0,38;63,71;-23,43;-40,14;-13,47;-31,59;-18,12;1,20;3,16;;-0,38;;-11,33;-4,89;-3,00;0,43;0,57;0,12;-3,33;;;32,53;-3,69;;392.832.594,00
CHCT;39,98;4,39;44,45;2,12;1,28;83,26;35,78;24,01;29,83;38,43;8,60;0,61;10,67;;-1,28;;4,77;2,87;4,39;0,60;0,40;0,12;29,16;52,57;;18,84;0,90;;1.003.470.014,00
CHMI;6,69;16,14;12,04;0,52;0,11;76,91;56,37;20,53;4,39;-24,94;-29,32;-3,49;2,47;;-0,11;;4,34;0,91;5,77;0,21;0,79;0,04;48,19;-13,13;;12,81;0,56;;131.444.451,00
