TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
DRIT11B;85,01;0,540000;7,20;125,41;0,68;816,50;0,63;-1,89;-19,28;58.097.475,43;322,00;Ativa;463.277,00
GGRC11;105,80;0,940000;9,67;130,44;0,81;1.004.806,67;1,69;6,00;-9,46;1.012.027.467,97;94.956,00;Ativa;7.758.429,00
HREC11;96,58;1,400000;11,80;92,83;1,04;54.773,78;6,19;;;432.274.986,83;404,00;Ativa;4.656.688,00
NSLU11;142,01;0,490000;10,68;195,91;0,72;325.320,19;0,14;1,41;-17,29;243.966.075,48;7.268,00;Passiva;1.245.311,00
OULG11;41,90;0,170000;9,98;73,46;0,57;88.208,04;2,39;-18,83;-28,37;182.267.031,86;6.067,00;Ativa;2.481.284,00
BTLG11;98,11;0,720000;8,81;98,43;1,00;3.465.507,33;8,44;14,26;-2,24;1.646.697.527,84;170.256,00;Ativa;16.728.960,00
BTSG11;0,00;0,780000;0,00;132,00;;;0,69;;;102.304.958,76;52,00;Ativa;775.015,00
CPTS11;91,21;1,120000;13,84;91,64;1,00;6.719.928,89;2,05;16,26;-5,18;2.912.457.097,94;169.448,00;Ativa;31.782.814,00
NAVT11;72,43;0,850000;11,05;90,23;0,80;132.200,81;8,89;;;95.150.786,99;1.715,00;Ativa;1.054.507,00
NCHB11;95,58;1,473763;15,06;94,51;1,01;514.520,44;3,79;-9,56;;137.314.791,18;10.006,00;Ativa;1.452.983,00
PATC11;67,00;0,320000;5,52;87,16;0,77;486.186,63;1,03;-2,95;-12,46;303.082.185,17;9.464,00;Ativa;3.477.434,00
CTXT11;13,58;0,010000;0,00;40,57;0,33;4.187,11;4,74;-23,80;-39,68;117.762.540,94;3.399,00;Passiva;2.902.772,00
GSFI11;4,51;;0,00;13,24;0,34;115.553,85;4,55;;7,80;995.889.943,51;7.681,00;Ativa;75.198.136,00
GZIT11;0,00;;0,00;91,54;;;3,48;;;1.938.286.794,32;1,00;Ativa;21.173.640,00
HCHG11;80,50;0,875000;10,86;103,40;0,78;55.259,15;1,24;;;124.082.191,95;435,00;Ativa;1.200.000,00
MCHY11;108,00;1,400000;12,32;104,87;1,03;965.022,46;3,11;;;376.451.625,52;223,00;--;3.589.771,00
MGCR11;86,08;1,150000;13,06;94,26;0,91;258.912,81;9,65;;;134.065.980,48;2.566,00;Ativa;1.422.304,00
MGFF11;59,18;0,550000;11,08;75,94;0,78;969.251,15;1,28;-7,06;-15,57;687.311.836,26;49.740,00;Ativa;9.050.620,00
MINT11;99,98;;0,00;118,38;0,84;4.199,50;8,18;;;61.557.565,57;69,00;Ativa;520.000,00
EGYR11;1,73;;0,00;12,45;0,14;20.748,89;0,00;;;93.360.329,35;26,00;Passiva;7.495.898,00
GCRI11;97,44;1,550000;15,13;98,19;0,99;244.789,93;0,91;;;98.222.204,55;2.970,00;Ativa;1.000.320,00
HCTR11;111,58;1,500000;16,87;120,98;0,92;7.203.463,70;3,59;6,38;0,12;2.671.651.053,42;184.069,00;Ativa;22.084.202,00
HGBS11;170,97;1,400000;7,37;216,52;0,79;1.205.732,74;0,83;-1,41;-12,65;2.165.192.006,43;80.779,00;Ativa;10.000.000,00
HGFF11;69,61;0,620000;9,80;89,43;0,78;315.235,26;4,67;;;256.100.841,42;8.813,00;Ativa;2.863.597,00
HGRU11;118,20;1,200000;8,07;119,05;0,99;4.035.475,11;4,72;5,09;1,72;2.191.214.311,59;165.214,00;Ativa;18.406.458,00
HLOG11;86,63;0,650000;8,87;111,17;0,78;118.872,41;1,37;;;472.461.986,94;4.222,00;Ativa;4.250.000,00
MFAI11;61,63;0,420000;14,26;75,22;0,82;37.529,00;1,09;;;23.120.336,18;3.826,00;Ativa;307.380,00
BCFF11;63,88;0,600000;9,88;78,11;0,82;2.362.489,96;5,64;1,48;-10,78;1.967.298.740,01;296.075,00;Ativa;25.186.378,00
CVBI11;100,18;1,300000;14,07;100,05;1,00;2.779.212,56;11,43;28,50;;1.052.112.121,61;60.939,00;Ativa;10.516.005,00
DMAC11;13,00;4,894618;60,42;4,99;2,61;26.524,35;105,14;;-74,36;778.257,90;2.352,00;Passiva;156.108,00
HABT11;99,03;1,300000;16,71;99,45;1,00;1.883.467,04;5,68;;;738.157.916,85;54.042,00;Ativa;7.422.668,00
HBCR11;108,48;0,768592;9,61;85,97;1,26;420.800,43;18,09;;;69.301.077,33;36,00;Ativa;272.000,00
HBRH11;83,60;0,654500;10,83;113,07;0,74;356.443,26;0,98;;;313.449.092,21;1.908,00;Ativa;2.772.204,00
LUGG11;80,12;0,530000;8,05;127,89;0,63;23.942,52;0,62;;;115.101.292,16;4.046,00;Ativa;900.000,00
MALL11;100,02;0,720000;7,84;107,99;0,93;1.247.075,56;2,26;16,33;-1,15;816.449.194,11;96.975,00;Ativa;7.560.351,00
MCHF11;9,40;0,110000;12,66;9,72;0,97;943.436,70;6,74;;;313.894.381,58;13.776,00;Ativa;32.307.646,00
BARI11;100,04;1,500000;14,64;102,75;0,97;1.039.614,44;6,09;15,43;;476.179.995,80;34.098,00;Ativa;4.634.191,00
BBPO11;80,00;0,890000;13,38;95,04;0,84;1.257.667,41;4,65;-5,45;-18,40;1.512.931.778,94;67.814,00;Passiva;15.919.690,00
ELDO11B;762,38;0,300000;11,18;1.343,80;0,57;;0,18;8,50;;1.057.910.698,76;61,00;Passiva;787.256,00
HFOF11;68,74;0,600000;10,47;83,30;0,83;1.020.446,74;2,23;-8,70;-12,86;1.914.881.099,42;64.434,00;Ativa;22.987.007,00
HRDF11;1,24;6,800000;0,00;1,30;0,95;433,37;46,05;;;9.859.180,08;1.295,00;Ativa;7.587.125,00
ONEF11;159,99;0,920000;6,23;174,80;0,92;65.864,48;1,07;9,76;2,62;159.240.183,47;3.643,00;Passiva;911.000,00
OUFF11;63,50;0,750000;12,76;79,02;0,80;197.263,52;0,66;;-14,05;143.370.322,13;8.607,00;Ativa;1.814.336,00
PABY11;6,39;;0,00;-13,52;;1.143,52;;;-36,13;-10.251.131,40;452,00;Passiva;758.400,00
CXAG11;75,45;0,850000;5,10;102,40;0,74;124.720,74;1,39;;;214.084.247,38;12.073,00;Passiva;2.090.621,00
DVFF11;70,00;0,770000;11,53;92,06;0,76;66.161,65;6,94;;;101.357.430,47;322,00;Ativa;1.100.950,00
EURO11;207,62;1,750000;9,58;312,77;0,66;55.452,78;1,44;11,92;7,31;120.082.868,33;2.578,00;Passiva;383.936,00
HCST11;94,73;;0,00;100,83;0,94;126,33;0,07;;;31.431.681,53;77,00;Ativa;311.742,00
CRFF11;65,69;0,630000;8,89;86,70;0,76;19.961,74;2,08;-0,29;-11,88;59.827.386,69;1.781,00;Ativa;690.040,00
EDGA11;18,24;0,160790;8,69;66,19;0,28;36.005,74;0,94;-9,24;-29,88;252.333.209,57;6.463,00;Passiva;3.812.055,00
GALG11;93,21;0,800000;10,69;101,62;0,92;496.862,96;0,16;;;584.193.098,84;8.271,00;Ativa;5.748.530,00
CEOC11;59,05;0,497922;9,60;90,19;0,65;61.820,52;2,07;-5,37;-11,17;163.765.121,71;5.425,00;Passiva;1.815.696,00
CJCT11;81,50;0,330000;0,00;64,83;1,26;89.598,24;2,11;;9,55;186.073.862,65;1.308,00;Passiva;2.870.000,00
CORM11;89,00;0,810000;13,02;90,56;0,98;3.015,40;10,44;;;92.123.992,72;273,00;Ativa;1.017.316,00
BICR11;103,49;0,610000;7,20;99,93;1,04;3.808,55;29,07;;;49.965.411,28;545,00;Ativa;500.000,00
GRLV11;104,51;0,170000;0,00;5,97;17,51;;2.489,44;135,25;-3,31;6.407.890,29;2.604,00;Passiva;1.073.530,00
HCRI11;196,51;2,486344;13,13;266,45;0,74;69.707,41;2,44;4,20;-17,60;53.289.521,33;2.992,00;Passiva;200.000,00
OUJP11;94,15;1,470000;13,95;101,65;0,93;750.018,96;2,93;18,60;-6,67;330.593.078,37;22.148,00;Ativa;3.252.384,00
PATL11;72,00;0,580000;9,58;98,02;0,73;1.415.259,70;0,83;;;489.268.515,89;19.809,00;Ativa;4.991.535,00
PBLV11;926,98;36,280000;6,76;1.597,84;0,58;;1,71;;;5.137.603.690,75;2,00;Ativa;3.215.347,00
BMII11;0,00;0,228341;0,00;493,78;;;0,39;;;69.524.517,39;12,00;Passiva;140.800,00
BTSI11;0,00;;0,00;97,01;;;0,15;;;102.358.031,43;86,00;Ativa;1.055.093,00
HPDP11;82,69;0,450000;6,05;94,79;0,87;987,21;1,15;;;275.728.285,78;366,00;Passiva;2.908.813,00
HTMX11;90,00;0,712391;0,00;130,06;0,69;190.952,30;2,87;8,60;-20,17;163.487.707,17;22.348,00;Ativa;1.257.022,00
HUCG11;90,00;0,910000;1,83;101,78;0,88;1.096,75;82,58;;;114.200.798,98;120,00;Passiva;1.122.000,00
IDFI11;82,39;1,809889;16,29;81,28;1,01;5.468,42;11,53;;;167.269.549,65;107,00;Ativa;2.057.925,00
QAGR11;46,05;0,400000;10,05;59,70;0,77;476.538,04;1,53;;;300.906.515,00;25.580,00;Ativa;5.040.000,00
RFOF11;68,97;0,690000;11,29;84,15;0,82;151.543,63;0,20;;;90.726.897,87;6.318,00;Ativa;1.078.164,00
BMLC11;96,75;0,940000;8,47;109,24;0,89;60.310,41;3,00;14,24;2,44;109.066.053,12;1.429,00;Ativa;998.405,00
HDOF11;0,00;;0,00;98,93;;;3,78;;;153.365.588,89;108,00;Ativa;1.550.169,00
SCPF11;4,87;0,015000;4,90;12,49;0,39;3.683,52;2,39;-31,61;-23,03;52.451.827,63;4.504,00;Ativa;4.200.000,00
SDIL11;88,73;0,760000;9,92;99,88;0,89;823.769,22;1,29;10,80;-7,12;638.749.928,55;57.679,00;Ativa;6.395.050,00
SEED11;97,15;1,040000;10,11;102,23;0,95;1.330.023,44;2,09;;;167.661.581,67;91,00;Ativa;1.640.000,00
SEQR11;62,48;0,665200;12,41;96,13;0,65;354.667,00;1,37;;;154.636.386,60;2.498,00;Ativa;1.608.552,00
SFND11;83,07;4,250000;5,12;9,52;8,73;;21,43;116,69;;9.341.954,73;54,00;Passiva;981.472,00
SFRO11;0,00;;0,00;5,93;;;102,53;;;5.191.438,53;20,00;Passiva;875.758,00
SHDP11B;0,00;5,820282;0,00;1.371,90;;;2,31;-1,82;;2.013.664.327,87;3,00;Passiva;1.467.793,00
SHOP11;100,00;;0,00;48,53;2,06;;7,02;;;71.887.053,65;12,00;Ativa;1.481.266,00
SHPH11;761,02;3,100000;5,39;888,61;0,86;152.607,44;0,63;-3,05;-7,58;541.116.717,56;2.791,00;Passiva;608.950,00
DPRO11;0,00;;0,00;98,31;;;5,89;;;18.925.581,05;59,00;Ativa;192.500,00
MANA11;0,00;0,080000;0,00;9,65;;;77,09;;;113.563.600,05;65,00;Ativa;11.770.000,00
MBRF11;565,10;10,000000;19,20;1.118,74;0,51;110.223,52;4,43;1,75;-23,72;113.735.279,34;2.931,00;Passiva;101.664,00
