TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AAIC;3,98;;-3,76;1,08;0,22;100,00;72,58;-153,66;7,96;33,07;3,79;0,51;5,78;-0,36;-0,23;0,07;-28,71;-5,83;8,09;0,20;0,80;0,04;-17,62;;;3,69;-1,06;;977.742.836,55
AAT;33,15;2,96;72,48;1,58;0,71;64,85;25,84;8,03;22,52;37,01;14,31;1,00;5,82;;-0,71;;2,18;0,98;3,32;0,45;0,55;0,12;4,57;-6,40;;21,02;0,46;;2.020.419.300,90
ABR;15,93;7,91;11,94;1,47;0,26;98,15;126,07;62,55;5,93;14,04;8,32;2,06;7,47;;-0,26;;12,29;2,16;6,29;0,18;0,82;0,03;13,13;30,09;;10,85;1,33;;1.908.392.224,20
ACC;43,32;4,34;81,85;1,91;0,79;50,93;21,71;8,36;31,53;50,52;18,62;1,13;6,84;;-0,79;;2,34;0,97;2,80;0,41;0,58;0,12;2,93;-8,89;;22,64;0,53;;6.027.414.664,18
ACRE;13,89;9,65;21,06;0,97;0,24;100,00;545,44;160,67;6,20;24,51;18,29;2,87;33,84;;-0,24;;4,62;1,13;3,88;0,25;0,75;0,01;-22,93;-8,62;;14,28;0,66;;460.687.501,69
ADC;67,89;3,60;47,10;1,70;1,11;87,23;53,57;36,76;32,32;41,14;9,09;0,48;17,32;;-1,11;;3,62;2,35;3,53;0,65;0,35;0,06;28,86;18,55;;39,82;1,44;;4.267.319.985,79
AFIN;9,57;10,37;-32,57;0,62;0,29;73,75;15,25;-10,44;22,29;58,79;35,62;0,99;3,40;;-0,29;;-1,91;-0,88;1,35;0,46;0,54;0,08;11,83;;;15,39;-0,29;;1.078.941.553,15
AFINO;25,01;2,12;-85,12;1,62;0,75;73,75;15,25;-10,44;58,25;58,79;35,62;0,99;8,89;;-0,75;;-1,91;-0,88;1,35;0,46;0,54;0,08;11,83;;;15,39;-0,29;;1.078.941.553,15
AFINP;25,66;7,31;-87,33;1,67;0,77;73,75;15,25;-10,44;59,76;58,79;35,62;0,99;9,12;;-0,77;;-1,91;-0,88;1,35;0,46;0,54;0,08;11,83;;;15,39;-0,29;;1.078.941.553,15
AGNC;17,06;8,44;-26,91;0,83;0,11;;;;22,49;45,92;23,49;0,86;;;-0,11;;-3,08;-0,42;1,78;0,14;0,86;0,00;;;;20,60;-0,63;;9.155.054.647,06
AGNCM;25,63;6,71;-40,43;1,24;0,17;;;;33,79;45,92;23,49;0,86;;;-0,17;;-3,08;-0,42;1,78;0,14;0,86;0,00;;;;20,60;-0,63;;9.155.054.647,06
AGNCN;25,60;6,84;-40,38;1,24;0,17;;;;33,75;45,92;23,49;0,86;;;-0,17;;-3,08;-0,42;1,78;0,14;0,86;0,00;;;;20,60;-0,63;;9.155.054.647,06
AGNCO;24,71;6,58;-38,98;1,20;0,16;;;;32,58;45,92;23,49;0,86;;;-0,16;;-3,08;-0,42;1,78;0,14;0,86;0,00;;;;20,60;-0,63;;9.155.054.647,06
AGNCP;23,85;6,42;-37,62;1,16;0,16;;;;31,44;45,92;23,49;0,86;;;-0,16;;-3,08;-0,42;1,78;0,14;0,86;0,00;;;;20,60;-0,63;;9.155.054.647,06
AHT;2,55;;-0,36;-0,69;0,05;14,47;-76,18;-107,01;-0,51;-9,78;-9,20;;0,39;-0,05;-0,06;0,05;-191,76;-14,56;-11,28;-0,08;1,07;0,14;-17,59;;;-3,70;-7,09;;225.568.942,20
AIC;25,30;;-23,91;6,86;1,39;100,00;72,58;-153,66;50,61;33,07;3,79;0,51;36,73;-2,28;-1,46;0,07;-28,71;-5,83;8,09;0,20;0,80;0,04;-17,62;;;3,69;-1,06;;977.742.836,55
AIRC;42,76;1,01;-0,05;0,00;0,00;62,68;-47,69;-72,04;-0,08;-50,41;-50,32;3,19;0,04;0,72;0,00;1,01;-9,57;-2,01;-3,24;0,21;0,79;0,03;;;;8.787,05;-840,85;;6.728.743,20
AIV;6,23;735,75;6,29;0,46;0,14;65,75;39,10;17,35;2,79;14,56;11,91;1,95;1,09;;-0,14;;7,27;2,19;5,19;0,30;0,69;0,13;-31,18;;;13,63;0,99;;921.231.677,28
AIW;25,60;;-24,19;6,94;1,41;100,00;72,58;-153,66;51,21;33,07;3,79;0,51;37,17;-2,31;-1,48;0,07;-28,71;-5,83;8,09;0,20;0,80;0,04;-17,62;;;3,69;-1,06;;977.742.836,55
AJX;11,41;5,96;11,54;0,54;0,16;100,00;225,30;88,21;4,52;21,93;17,39;2,08;10,18;;-0,16;;4,68;1,37;3,62;0,29;0,71;0,02;;2,91;;21,12;0,99;;263.331.764,94
AJXA;25,26;;25,54;1,20;0,35;100,00;225,30;88,21;10,00;21,93;17,39;2,08;22,53;;-0,35;;4,68;1,37;3,62;0,29;0,71;0,02;;2,91;;21,12;0,99;;263.331.764,94
AKR;19,65;0,76;-193,57;1,18;0,41;60,82;2,46;-3,43;269,42;543,50;274,90;1,20;6,64;;-0,41;;-0,61;-0,21;0,19;0,34;0,66;0,06;5,12;;;16,70;-0,10;;1.690.306.361,37
ALEX;17,13;1,75;221,68;1,13;0,61;23,52;11,76;1,83;34,58;51,47;17,54;0,57;4,07;;-0,61;;0,51;0,28;1,99;0,54;0,46;0,15;-8,38;-28,32;;15,12;0,08;;1.218.215.354,42
ALX;287,09;6,27;34,96;7,21;1,04;55,61;36,19;21,06;20,34;30,15;9,72;3,45;7,36;2,55;-1,84;17,24;20,64;2,99;5,30;0,14;0,86;0,14;-0,86;-11,42;;39,79;8,21;;1.472.738.144,40
AMH;34,19;0,73;127,04;1,87;1,13;54,33;22,98;7,21;39,83;41,23;1,70;0,08;9,16;;-1,13;;1,47;0,89;4,07;0,60;0,40;0,12;13,41;;;18,28;0,27;;10.747.449.919,44
AMT;240,39;1,88;63,19;26,10;2,26;72,30;32,51;21,02;40,86;51,08;10,49;6,70;13,28;-142,45;-2,41;0,79;41,30;3,58;7,44;0,09;0,91;0,17;11,00;23,23;;9,21;3,80;;106.127.891.244,34
ANH;2,98;8,05;-2,68;0,72;0,12;;;;-5,03;24,95;29,98;-4,31;;;-0,12;;-27,04;-4,64;-9,45;0,17;0,82;0,00;;;;4,12;-1,11;;295.925.866,36
APLE;15,09;0,07;-19,45;1,11;0,70;50,98;-16,95;-28,78;-33,01;-49,12;-16,35;0,55;5,60;;-0,70;;-5,72;-3,59;-2,16;0,63;0,37;0,12;-7,70;;;13,57;-0,78;;3.343.720.943,08
APTS;10,29;6,80;-2,86;0,35;0,12;70,20;-13,90;-39,39;-8,11;-48,84;-40,97;1,79;1,13;;-0,12;;-12,35;-4,15;-1,54;0,34;0,66;0,11;32,79;;;29,12;-3,60;;493.469.293,58
ARE;168,40;2,55;32,19;1,82;1,07;71,88;27,79;40,35;46,74;60,19;13,29;0,52;12,99;-23,00;-1,10;0,36;5,66;3,33;2,50;0,59;0,41;0,08;17,46;45,45;;92,37;5,23;;24.572.452.795,24
ARI;14,48;9,67;246,29;0,89;0,29;;;;12,11;37,19;25,06;1,85;;;-0,29;;0,36;0,12;2,46;0,33;0,67;0,00;;-27,44;;16,24;0,06;;2.029.207.176,25
ARR;12,20;8,11;-3,59;0,85;0,14;;;;-5,24;-4,15;1,12;-0,18;;;-0,14;;-23,67;-4,02;-16,19;0,17;0,83;0,00;;;;14,37;-3,40;;801.770.201,24
AVB;185,94;3,42;31,28;2,41;1,35;100,00;45,13;35,96;24,93;32,48;7,13;0,69;11,25;;-1,35;;7,70;4,31;5,61;0,56;0,44;0,12;4,39;2,14;;77,21;5,94;;26.334.855.984,00
BDN;12,72;5,97;7,11;1,21;0,56;63,50;71,78;57,05;5,65;10,55;4,65;0,99;4,06;;-0,56;;17,01;7,82;10,59;0,46;0,54;0,14;-2,36;;;10,51;1,79;;2.267.771.298,51
BFS;40,88;5,19;32,88;2,63;0,58;74,06;43,00;12,96;9,91;21,56;11,61;3,09;4,26;;-0,58;;8,01;1,77;6,39;0,22;0,78;0,14;1,50;6,06;;15,52;1,24;;963.715.497,30
BHR;6,33;;-2,40;0,91;0,15;16,30;-37,00;-46,38;-3,01;-15,16;-12,12;3,68;1,11;-0,24;-0,16;0,11;-38,10;-6,29;-6,28;0,17;0,75;0,14;-8,27;;;6,92;-2,64;;255.872.412,13
BNL;18,57;2,69;52,82;1,18;0,63;93,40;41,46;15,91;20,27;31,53;11,34;0,66;8,40;;-0,63;;2,23;1,20;3,38;0,54;0,46;0,08;;;;15,79;0,35;;2.691.693.953,40
BPYU;17,92;7,42;-0,93;0,36;0,03;58,09;4,89;-46,51;8,87;224,63;215,57;8,74;0,43;;-0,03;;-38,60;-3,25;0,22;0,08;0,87;0,07;-8,65;;;49,78;-19,22;;677.575.562,10
BPYUP;25,21;6,32;-1,31;0,51;0,04;58,09;4,89;-46,51;12,49;224,63;215,57;8,74;0,61;;-0,04;;-38,60;-3,25;0,22;0,08;0,87;0,07;-8,65;;;49,78;-19,22;;677.575.562,10
BRMK;10,66;7,04;15,66;1,20;1,19;100,00;92,96;92,96;15,66;12,95;-2,48;-0,19;14,56;;-1,19;;7,68;7,60;7,68;0,99;0,01;0,08;;;;8,86;0,68;;1.391.876.209,50
BRT;16,95;5,19;-11,25;1,64;0,80;100,00;-44,07;-92,11;-23,51;-36,04;-11,21;0,78;10,36;;-0,80;;-14,56;-7,08;-3,66;0,49;0,51;0,08;-19,10;;;10,35;-1,51;;307.457.577,90
BRX;20,43;2,10;50,04;2,26;0,73;73,36;33,16;11,50;17,36;31,18;13,74;1,79;5,76;;-0,73;;4,52;1,45;4,45;0,32;0,68;0,13;-3,61;-8,94;;9,03;0,41;;6.089.615.624,88
