TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;8,85;0,99;-10,75;0,86;0,41;17,80;-0,98;-10,49;-114,75;-176,66;-61,90;0,46;1,13;11,32;-0,53;1,19;-7,96;-3,83;-1,41;0,48;0,52;0,37;5,83;;7.844.206,43;10,34;-0,82;0,03;1.046.891.421,60
ABCB4;14,05;5,05;9,64;0,72;0,07;1,96;-1,80;5,46;-29,23;-29,23;;;0,53;0,72;-0,08;3,23;7,51;0,74;;0,10;0,90;0,14;1,17;-2,60;12.538.561,26;19,41;1,46;-0,27;3.103.516.681,35
ABEV3;15,00;3,27;20,75;3,14;1,89;53,64;27,29;19,49;14,82;13,94;-0,88;-0,19;4,04;126,61;-2,63;1,06;15,14;9,09;17,72;0,60;0,40;0,47;4,56;-1,85;371.927.756,96;4,77;0,72;-6,10;236.088.649.530,00
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;94.201,44;-1,21;-0,38;-0,58;25.439.770,20
AERI3;8,53;;57,74;6,76;2,76;11,13;9,30;5,13;31,81;34,04;2,23;0,47;2,96;9,01;-9,30;1,77;11,72;4,78;9,41;0,41;0,59;0,93;;;41.019.185,52;1,26;0,15;2,09;6.535.800.779,68
AESB3;17,00;;;13.569.621,68;13.569.621,68;;;;;;;-1,00;;13.569.621,68;;;0,00;0,00;;1,00;0,00;0,00;;;28.048.568,74;0,00;0,00;;6.784.810.840,00
AFLT3;8,95;8,08;30,18;3,01;2,72;64,85;53,36;52,07;29,45;27,86;-1,59;-0,16;15,71;11,73;-3,70;7,91;9,98;9,00;9,27;0,90;0,10;0,17;5,56;8,17;13.771,91;2,97;0,30;-1,16;564.608.065,00
AGRO3;22,93;3,09;9,64;1,68;0,92;30,80;22,06;24,23;10,59;13,38;2,79;0,44;2,34;7,77;-1,34;1,61;17,40;9,55;9,06;0,55;0,45;0,39;13,49;-7,94;9.973.760,30;13,66;2,38;0,94;1.882.651.621,93
AHEB3;21,90;;-7,82;51,80;0,62;26,77;-5,66;-11,20;-15,48;-11,33;4,21;-14,09;0,88;-5,85;-0,85;0,72;-662,49;-7,88;-334,66;0,01;0,99;0,70;1,88;;8.601,50;0,42;-2,80;0,18;187.804.965,30
AHEB5;20,01;;-7,14;47,33;0,56;26,77;-5,66;-11,20;-14,14;-11,33;4,21;-14,09;0,80;-5,34;-0,77;0,72;-662,49;-7,88;-334,66;0,01;0,99;0,70;1,88;;4.500,00;0,42;-2,80;0,16;187.804.965,30
AHEB6;27,00;;-9,64;63,87;0,76;26,77;-5,66;-11,20;-19,08;-11,33;4,21;-14,09;1,08;-7,21;-1,04;0,72;-662,49;-7,88;-334,66;0,01;0,99;0,70;1,88;;5.400,00;0,42;-2,80;0,22;187.804.965,30
ALPA3;32,44;;136,07;6,32;3,96;52,34;8,15;4,17;69,55;71,68;-1,64;-0,15;5,67;13,60;-8,93;2,10;4,64;2,91;8,16;0,63;0,37;0,70;-3,59;-13,58;48.764,09;5,13;0,24;-2,79;20.109.384.515,81
ALPA4;36,05;;151,22;7,02;4,40;52,34;8,15;4,17;77,29;71,68;-1,64;-0,15;6,30;15,12;-9,93;2,10;4,64;2,91;8,16;0,63;0,37;0,70;-3,59;-13,58;55.565.148,09;5,13;0,24;-3,10;20.109.384.515,81
ALPK3;8,15;;-9,24;2,30;0,59;25,38;1,26;-26,33;192,80;368,37;175,57;2,09;2,43;-2,60;-0,63;0,25;-24,89;-6,34;0,30;0,25;0,75;0,24;;;225.918,48;3,55;-0,88;-0,03;1.579.234.513,90
ALSO3;27,30;;42,91;0,95;0,67;66,20;40,15;21,20;22,66;18,33;-4,32;-0,18;9,10;5,08;-0,80;4,37;2,22;1,55;3,37;0,70;0,30;0,07;19,22;-0,15;38.970.188,74;28,66;0,64;0,06;7.255.596.839,40
ALUP11;25,52;2,70;7,94;0,84;0,33;56,04;54,04;15,34;2,25;4,34;2,09;0,77;1,22;4,17;-0,40;1,78;10,53;4,17;14,02;0,40;0,60;0,27;32,68;29,19;17.416.652,61;30,52;3,21;1,36;7.478.306.528,29
ALUP3;8,77;2,62;8,18;0,86;0,34;56,04;54,04;15,34;2,32;4,34;2,09;0,77;1,26;4,30;-0,42;1,78;10,53;4,17;14,02;0,40;0,60;0,27;32,68;29,19;92.276,30;10,17;1,07;1,41;7.478.306.528,29
ALUP4;8,53;2,70;7,96;0,84;0,33;56,04;54,04;15,34;2,26;4,34;2,09;0,77;1,22;4,18;-0,41;1,78;10,53;4,17;14,02;0,40;0,60;0,27;32,68;29,19;152.969,70;10,17;1,07;1,37;7.478.306.528,29
AMAR3;5,36;;;1,41;0,42;37,31;-13,69;0,00;-4,79;-7,93;-3,14;0,93;0,66;4,33;-0,89;1,22;0,00;0,00;-12,12;0,29;0,71;0,64;-7,53;;20.726.764,17;3,79;0,00;;1.402.533.721,04
AMBP3;25,33;;63,82;2,33;1,74;22,63;18,40;6,39;22,15;19,18;-2,98;-0,31;4,08;4,08;-3,68;5,23;3,66;2,73;7,27;0,75;0,25;0,43;;;8.208.802,87;10,85;0,40;1,51;2.860.658.444,04
ANDG3B;28,82;;59,95;2,23;1,88;47,12;179,06;45,82;15,34;8,60;0,93;0,13;27,47;-25,32;-1,93;0,26;3,71;3,14;12,68;0,85;0,15;0,07;10,22;-23,32;;12,94;0,48;-0,78;1.651.867.985,68
ANDG4B;0,00;;0,00;0,00;0,00;47,12;179,06;45,82;0,00;8,60;0,93;0,13;0,00;0,00;0,00;0,26;3,71;3,14;12,68;0,85;0,15;0,07;10,22;-23,32;;12,94;0,48;0,00;1.651.867.985,68
ANIM3;9,86;;-96,87;1,58;0,87;51,80;8,31;-2,89;33,70;34,03;0,33;0,02;2,80;2,39;-1,61;4,78;-1,63;-0,90;2,96;0,55;0,45;0,31;11,24;;31.666.124,70;6,26;-0,10;-0,29;3.982.146.417,30
APER3;53,00;0,10;-876,72;3,42;2,02;100,00;-3,21;-0,67;-182,39;-169,06;13,33;-0,25;5,85;21,45;-2,67;1,64;-0,39;-0,23;-2,91;0,59;0,41;0,35;-11,42;;4.227.925,00;15,49;-0,06;6,86;608.447.102,00
APTI3;197,64;;0,07;0,01;0,01;29,60;283,02;228,44;0,06;0,62;-0,06;-0,01;0,16;0,04;-0,01;2,49;20,23;10,93;19,81;0,54;0,46;0,05;-22,74;84,17;;14.055,55;2.843,13;0,00;44.442.750,00
APTI4;3.500,00;;1,23;0,25;0,13;29,60;283,02;228,44;0,99;0,62;-0,06;-0,01;2,81;0,75;-0,19;2,49;20,23;10,93;19,81;0,54;0,46;0,05;-22,74;84,17;;14.055,55;2.843,13;0,00;44.442.750,00
ARZZ3;69,91;0,76;143,36;5,16;2,46;47,47;5,79;3,05;75,62;76,41;0,79;0,05;4,38;10,66;-5,49;1,72;3,60;1,72;4,34;0,48;0,52;0,56;7,26;-16,50;49.510.948,87;13,54;0,49;-2,05;6.965.232.152,74
ASAI3;75,06;;;14,29;1,07;;;;;;;3,05;;-53,86;-1,92;0,96;0,00;0,00;;0,07;0,93;0,00;;;144.872.922,91;5,25;0,00;;20.142.468.619,02
ATMP3;5,02;;-0,58;0,74;0,07;1,81;-15,64;-22,72;-0,84;-2,61;-1,77;1,56;0,13;-0,36;-0,09;0,48;-128,42;-12,05;-33,09;0,09;0,91;0,53;-16,98;;1.273.149,57;6,74;-8,66;0,01;124.438.129,44
ATOM3;11,67;;19,78;16,79;8,95;100,00;32,02;40,02;24,72;23,22;-1,50;-1,02;7,92;10,74;-411,28;6,76;84,86;45,26;63,27;0,53;0,47;1,13;;;5.287.258,09;0,70;0,59;0,04;243.891.259,98
AURA33;57,77;7,93;2,89;0,69;0,40;41,37;29,34;24,52;2,42;1,88;-0,54;-0,15;0,71;2,22;-0,67;1,80;23,69;13,82;21,76;0,58;0,42;0,56;;;15.763.247,83;84,26;19,96;0,01;1.114.240.319,25
AVLL3;22,76;;-1,66;1,29;0,22;-34,97;-167,68;-170,20;-1,69;-3,79;-2,10;1,60;2,83;1,61;-0,38;1,50;-77,32;-13,36;-22,16;0,17;0,83;0,08;;;211.179,17;17,70;-13,68;0,04;510.183.471,44
AZEV3;6,10;;-0,99;-503,22;1.895,42;1.622,59;3.562,68;5.901,50;-1,64;-1,22;0,00;;;-1.023,72;-5.030,40;0,25;-50.725,37;-191.061,17;50.838,86;-3,77;4,77;-32,38;-84,53;;355.264,04;-0,01;-6,15;-0,02;89.496.000,00
AZEV4;3,73;;-0,61;-307,71;1.159,00;1.622,59;3.562,68;5.901,50;-1,00;-1,22;0,00;;;-625,98;-3.075,97;0,25;-50.725,37;-191.061,17;50.838,86;-3,77;4,77;-32,38;-84,53;;545.187,13;-0,01;-6,15;-0,01;89.496.000,00
AZUL4;37,99;;-4,42;-3,38;3,03;4,97;-24,36;-188,62;-34,23;-37,23;-3,00;;8,34;-9,99;-4,62;0,53;-76,58;-68,60;24,18;-0,90;1,90;0,36;-1,70;;357.933.352,57;-11,22;-8,59;-0,01;47.890.565.618,18
B3SA3;53,61;4,84;26,36;4,46;2,36;89,87;60,06;44,52;19,54;18,03;-1,51;-0,34;11,74;14,75;-3,75;1,77;16,93;8,96;13,42;0,53;0,47;0,20;33,29;13,50;994.205.203,13;12,01;2,03;0,50;109.471.620.000,00
BAHI3;69,50;;-3,40;0,84;0,26;38,67;-11,71;-23,37;-6,78;-7,16;-0,38;0,05;0,79;-1,64;-0,29;0,40;-24,59;-7,61;-12,58;0,31;0,69;0,33;;;60.347,62;83,20;-20,46;-0,01;155.850.900,50
BALM3;17,30;6,82;9,95;1,40;0,79;50,03;10,60;10,45;9,82;7,85;-0,75;-0,11;1,04;2,55;-2,00;2,05;14,05;7,94;8,91;0,57;0,43;0,76;7,78;1,84;19.226,75;12,37;1,74;0,06;148.421.000,00
BALM4;12,99;9,08;7,47;1,05;0,59;50,03;10,60;10,45;7,37;7,85;-0,75;-0,11;0,78;1,91;-1,51;2,05;14,05;7,94;8,91;0,57;0,43;0,76;7,78;1,84;20.618,00;12,37;1,74;0,04;148.421.000,00
BAUH4;94,64;0,91;21,09;5,38;3,32;23,26;12,97;12,28;19,97;18,95;-1,02;-0,27;2,59;45,77;-5,83;1,20;25,52;15,74;19,16;0,62;0,38;1,28;10,90;33,53;48.118,59;17,59;4,49;-1,65;494.231.090,08
BAZA3;40,01;8,96;4,47;0,49;0,06;37,94;42,64;27,94;2,93;2,93;;;1,25;2,36;-0,06;;10,99;1,28;;0,12;0,88;0,05;-8,12;1,30;49.794,43;81,52;8,96;-1,26;1.186.135.139,67
