TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
TSER11;100,00;0,900000;10,58;96,26;1,04;463.449,44;2,75;;;115.990.883,42;24,00;Ativa;1.205.000,00
BMII11;0,00;0,228341;0,00;497,43;;;0,45;;;69.639.732,76;12,00;Ativa;140.000,00
TRNT11;106,80;0,380000;4,59;202,46;0,53;10.772,39;0,64;-15,92;-17,47;796.806.635,95;806,00;Passiva;3.935.562,00
THRA11;138,50;0,130000;32,78;9,54;14,52;53.642,50;140,47;90,73;1,87;14.050.683,35;2.084,00;Passiva;1.472.728,00
RDPD11;56,90;0,840000;11,80;59,58;0,96;20.468,89;3,62;9,24;-12,19;64.227.562,24;1.032,00;Ativa;1.078.042,00
DVFF11;72,00;0,700000;7,99;91,43;0,79;179.901,21;10,37;;;100.664.467,06;250,00;Ativa;1.100.950,00
RBCB11;19,00;0,300000;0,00;0,00;;;;-15,04;-53,34;0,00;462,00;Ativa;53.100,00
SFRO11;0,00;;0,00;5,93;;;102,53;;;5.191.438,53;20,00;Passiva;875.758,00
PRTS11;117,70;;0,00;0,06;1.961,67;;100,43;;;3.273.962,26;11,00;Ativa;55.727.500,00
VIUR11;74,52;0,760000;11,11;96,31;0,77;254.853,11;11,44;;;259.530.239,98;3.982,00;Ativa;2.694.622,00
RBFF11;52,90;0,480000;10,74;64,77;0,82;341.889,84;1,76;-10,75;;242.820.341,76;22.578,00;Ativa;3.749.215,00
SDIL11;90,99;0,760000;9,26;97,50;0,93;1.029.870,00;1,75;7,06;-4,56;623.541.568,26;54.615,00;Ativa;6.395.050,00
HGRS11;0,00;;0,00;91,38;;;13,03;;;109.144.193,09;6,00;Ativa;1.194.352,00
JCDA11;0,00;;0,00;10,85;;;7,19;;;136.639.870,84;49,00;Ativa;12.594.791,00
BBIM11;0,00;0,250000;0,00;48,44;;;0,97;-2,57;;50.131.088,62;20,00;Ativa;1.035.000,00
DLMT11;0,00;0,005548;0,00;0,67;;;1,44;;;8.894.153,46;9,00;Ativa;13.225.796,00
