TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
ABCP11;81,56;0,820000;8,30;101,31;0,81;73.430,73;1,82;8,57;2,13;477.090.067,90;17.090,00;Passiva;4.709.082,00
AFHI11;98,09;0,950000;12,83;96,75;1,01;1.166.050,43;8,99;;;352.762.912,29;29.705,00;Ativa;3.646.118,00
AIEC11;51,40;0,170000;17,82;83,88;0,61;744.939,76;2,45;8,56;-17,79;404.729.566,87;17.606,00;Ativa;4.824.987,00
AJFI11;9,87;0,082000;1,54;12,53;0,79;1.628.133,84;5,49;;;396.374.390,25;8.393,00;Ativa;31.625.978,00
ALMI11;660,00;0,371133;0,00;2.157,25;0,31;116.032,14;3,40;;-21,42;239.836.370,14;2.228,00;Passiva;111.177,00
ALZC11;0,00;;0,00;;;;;;;;;;1.000.000,00
ALZM11;8,57;0,090000;12,07;8,55;1,00;224.121,05;2,32;;;129.764.940,37;8.611,00;Ativa;15.180.540,00
ALZR11;117,94;0,797555;8,32;106,32;1,11;1.646.227,86;19,31;7,26;-3,34;1.048.317.490,34;150.227,00;Ativa;9.860.406,00
ANCR11B;3.221,00;42,077240;1,31;4.138,75;0,78;3.221,00;2,18;;;2.793.484.161,23;62,00;Ativa;674.958,00
APTO11;9,70;0,090000;12,31;10,25;0,95;28.934,11;5,78;;;47.276.843,91;10.055,00;Ativa;4.612.227,00
APXM11;98,40;0,553328;3,15;96,96;1,01;115.059,79;15,23;;;170.647.064,17;405,00;;1.760.000,00
APXR11;0,00;;0,00;76,46;;;345,26;;;1.387.221,10;16,00;Ativa;18.142,00
APXU11;0,00;;0,00;;;;;;;;;;2.500.000,00
AQLL11;385,03;;0,00;973,09;0,40;;0,02;;-4,67;141.894.400,24;84,00;Ativa;145.817,00
ARFI11B;479,99;;0,00;651,70;0,74;;1,52;;;74.329.618,05;28,00;Ativa;114.054,00
AROA11;1,18;0,006100;4,25;1,07;1,10;38.806,30;1,19;;;179.607.838,95;1.367,00;Ativa;167.926.832,00
ARRI11;9,30;0,100000;12,90;8,94;1,04;301.067,24;2,11;-7,18;-2,32;116.689.985,30;27.649,00;Ativa;13.056.237,00
ARXD11;96,52;1,000000;11,50;99,02;0,97;31.795,27;3,79;;;64.849.871,21;554,00;Ativa;654.895,00
