TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;9,97;;-17,97;0,98;0,46;21,41;2,55;-6,71;47,21;69,74;22,54;0,47;1,21;20,36;-0,59;1,11;-5,46;-2,55;0,20;0,47;0,52;0,38;5,83;;15.407.498,84;10,15;-0,55;0,02;1.179.379.375,52
ABCB4;14,71;6,31;9,15;0,76;0,07;13,55;8,97;8,56;8,73;8,73;;;0,78;1,06;-0,08;2,00;8,28;0,75;;0,09;0,91;0,09;1,17;-2,60;12.324.426,84;19,43;1,61;-0,44;3.325.785.635,78
ABEV3;16,75;2,93;20,42;3,21;1,98;52,95;27,05;20,69;15,62;14,77;-0,85;-0,17;4,22;50,91;-2,74;1,16;15,74;9,68;17,16;0,61;0,37;0,47;4,56;-1,85;496.450.166,65;5,21;0,82;0,77;263.669.374.516,25
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;94.201,44;-1,21;-0,38;-0,58;25.439.770,20
AERI3;9,15;;58,60;7,08;2,52;10,82;8,71;4,61;31,02;33,89;2,87;0,66;2,70;5,94;-7,95;2,65;12,09;4,31;8,87;0,36;0,64;0,93;;;39.771.171,84;1,29;0,16;2,24;7.010.853.122,40
AESB3;14,15;1,20;;3,02;0,59;;;;;;;2,42;;10,25;-0,76;1,34;0,00;0,00;;0,19;0,81;0,00;;;11.330.857,32;4,69;0,00;;5.647.357.258,00
AFLT3;10,05;11,57;32,10;3,69;3,35;70,12;56,15;53,65;30,67;30,09;-0,58;-0,07;17,22;18,52;-4,22;8,22;11,50;10,43;11,06;0,91;0,09;0,19;5,56;8,17;28.772,83;2,72;0,31;-1,90;634.001.235,00
AGRO3;28,29;2,51;24,23;1,67;1,01;46,45;39,31;7,58;4,67;5,13;0,46;0,16;1,84;6,30;-1,76;1,61;6,90;4,18;22,82;0,61;0,39;0,55;13,49;-7,94;22.228.072,11;16,91;1,17;-0,75;2.896.245.556,32
AHEB3;28,90;;-5,25;-9,86;0,88;19,18;-17,42;-25,58;-7,71;-7,31;0,50;;1,34;-4,37;-1,12;0,52;-187,86;-16,72;127,90;-0,09;1,09;0,65;1,88;;15.489,67;-2,93;-5,51;-0,06;249.992.520,80
AHEB5;20,10;;-3,65;-6,86;0,61;19,18;-17,42;-25,58;-5,36;-7,31;0,50;;0,93;-3,04;-0,78;0,52;-187,86;-16,72;127,90;-0,09;1,09;0,65;1,88;;4.080,50;-2,93;-5,51;-0,04;249.992.520,80
AHEB6;51,50;;-9,35;-17,57;1,56;19,18;-17,42;-25,58;-13,73;-7,31;0,50;;2,39;-7,79;-2,00;0,52;-187,86;-16,72;127,90;-0,09;1,09;0,65;1,88;;6.742,00;-2,93;-5,51;-0,11;249.992.520,80
ALLD3;31,59;;14,16;2,52;0,77;16,09;6,39;4,08;9,05;9,52;0,47;0,13;0,58;3,91;-2,93;1,37;17,81;5,46;17,75;0,31;0,69;1,34;;;20.599.699,41;12,52;2,23;0,13;2.899.137.027,15
ALPA3;45,87;;109,91;8,77;5,57;53,23;13,11;6,98;58,46;61,08;-1,49;-0,22;7,67;18,27;-12,65;2,19;7,98;5,06;11,74;0,63;0,35;0,73;-3,59;-13,58;144.514,68;5,23;0,42;-134,90;28.868.075.271,60
ALPA4;52,49;;125,77;10,04;6,37;53,23;13,11;6,98;66,90;61,08;-1,49;-0,22;8,77;20,91;-14,47;2,19;7,98;5,06;11,74;0,63;0,35;0,73;-3,59;-13,58;78.451.940,68;5,23;0,42;-154,37;28.868.075.271,60
ALPK3;7,20;;-6,64;2,27;0,51;24,13;-4,96;-36,79;-49,18;-100,38;-51,20;2,37;2,44;-2,79;-0,56;0,32;-34,25;-7,70;-1,38;0,22;0,77;0,21;;;382.603,84;3,17;-1,09;-0,02;1.395.151.963,20
ALSO3;28,64;0,79;71,11;1,16;0,70;65,03;30,24;13,99;32,90;35,41;2,51;0,09;9,95;5,47;-0,84;4,32;1,62;0,99;2,07;0,61;0,30;0,07;19,22;-0,15;45.738.140,54;24,80;0,40;6,71;7.611.732.361,92
ALUP11;25,01;3,36;6,75;1,20;0,31;60,24;58,47;16,65;1,92;3,82;1,90;1,19;1,12;4,40;-0,38;1,71;17,83;4,62;15,55;0,26;0,59;0,28;32,68;29,19;19.737.190,59;20,79;3,71;0,11;7.328.857.612,56
ALUP3;8,31;3,37;6,72;1,20;0,31;60,24;58,47;16,65;1,91;3,82;1,90;1,19;1,12;4,39;-0,37;1,71;17,83;4,62;15,55;0,26;0,59;0,28;32,68;29,19;196.915,84;6,93;1,24;0,11;7.328.857.612,56
ALUP4;8,38;3,34;6,78;1,21;0,31;60,24;58,47;16,65;1,93;3,82;1,90;1,19;1,13;4,42;-0,38;1,71;17,83;4,62;15,55;0,26;0,59;0,28;32,68;29,19;266.108,95;6,93;1,24;0,11;7.328.857.612,56
AMAR3;8,23;;;2,28;0,66;39,38;-12,13;0,00;-8,96;-13,95;-4,99;1,27;1,09;8,50;-1,33;1,18;0,00;0,00;-10,34;0,29;0,71;0,60;-7,53;;90.204.986,03;3,61;0,00;;2.153.517.261,97
AMBP3;42,91;0,22;72,53;3,91;2,49;21,92;18,24;8,14;32,35;31,06;-1,29;-0,16;5,90;9,46;-4,36;2,58;5,39;3,43;7,16;0,64;0,34;0,42;;;32.326.331,43;10,98;0,59;0,73;4.846.066.081,08
AMER3;55,98;;-189,00;5,45;2,57;28,59;1,12;-2,34;394,94;377,01;-17,92;-0,25;4,43;6,94;-7,09;2,38;-2,89;-1,36;0,60;0,47;0,53;0,58;2,35;;218.276.595,08;10,26;-0,30;26,39;50.350.715.744,94
ANIM3;12,31;;166,80;1,94;1,00;52,20;12,99;1,99;25,54;26,75;1,21;0,09;3,32;3,64;-1,59;3,76;1,16;0,60;4,73;0,51;0,48;0,30;11,24;;33.134.619,00;6,34;0,07;-1,15;4.971.624.989,55
APER3;48,04;;4.178,07;1,91;1,23;100,00;-2,85;0,12;-176,48;-176,48;;;5,03;5,06;-1,90;3,28;0,05;0,03;;0,65;0,35;0,25;-11,42;;6.589.610,30;25,14;0,01;-39,43;551.505.637,36
APTI3;197,64;;0,07;0,01;0,01;50,30;486,77;396,44;0,06;0,75;0,04;0,01;0,28;0,05;-0,01;2,15;20,23;10,85;19,69;0,54;0,46;0,03;-22,74;84,17;;13.700,51;2.771,98;0,00;44.442.750,00
APTI4;3.500,00;;1,26;0,26;0,14;50,30;486,77;396,44;1,03;0,75;0,04;0,01;5,01;0,88;-0,19;2,15;20,23;10,85;19,69;0,54;0,46;0,03;-22,74;84,17;;13.700,51;2.771,98;0,00;44.442.750,00
ARZZ3;97,73;0,88;428,46;7,10;3.433,80;47,95;3,96;1,87;202,30;204,23;1,94;0,07;8,01;18,04;-7,42;1,55;1,66;801,44;1,81;483,64;516,36;428,84;7,26;-16,50;57.479.971,30;13,76;0,23;-4,97;9.736.978.090,22
ASAI3;87,50;0,36;15,30;14,80;1,34;16,48;5,91;4,08;10,57;12,74;2,16;3,02;0,62;-144,35;-2,23;0,98;96,73;8,73;18,94;0,09;0,91;2,14;;;120.428.326,38;5,91;5,72;0,27;23.528.371.387,50
ATMP3;7,30;;-1,20;1,47;0,11;5,49;-10,47;-16,68;-1,91;-4,58;-2,67;2,05;0,20;-0,49;-0,14;0,48;-122,21;-9,16;-29,94;0,07;0,93;0,55;-16,98;;896.399,95;4,98;-6,08;0,02;194.540.926,60
ATOM3;6,18;4,85;9,99;8,33;4,04;100,00;35,35;35,50;10,03;8,92;-1,11;-0,93;3,55;5,43;-222,68;4,12;83,41;40,42;78,92;0,48;0,52;1,14;;;657.528,32;0,74;0,62;0,06;129.155.782,92
AURA33;64,40;7,13;8,44;2,98;1,41;45,23;31,96;27,16;7,17;6,62;-0,55;-0,23;2,29;12,46;-2,47;1,36;35,29;16,69;27,80;0,47;0,53;0,61;;;21.057.056,92;21,63;7,63;0,00;4.555.814.424,00
AVLL3;29,37;;-2,00;2,03;0,29;-12,48;-102,43;-126,07;-2,47;-5,03;-2,56;2,11;2,53;3,15;-0,49;1,31;-101,29;-14,69;-20,92;0,14;0,85;0,12;;;284.941,27;14,46;-14,65;0,11;658.351.869,78
AZEV3;7,60;;1,04;-2,32;3,27;-490,30;8.092,30;7.652,35;0,98;0,91;0,00;;79,33;183,29;-8,00;1,03;-223,59;315,76;-236,26;-1,41;2,41;0,04;-38,42;;1.749.564,49;-3,28;7,33;-0,01;140.316.000,00
AZEV4;6,83;;0,93;-2,08;2,94;-490,30;8.092,30;7.652,35;0,88;0,91;0,00;;71,29;164,72;-7,19;1,03;-223,59;315,76;-236,26;-1,41;2,41;0,04;-38,42;;9.101.985,27;-3,28;7,33;0,00;140.316.000,00
AZUL4;39,70;;-6,71;-2,96;3,30;-3,66;-37,84;-156,71;-27,79;-30,83;-3,04;;10,51;-8,81;-4,72;0,45;-44,18;-49,17;19,84;-1,11;2,11;0,31;-1,70;;219.645.033,16;-13,39;-5,92;0,48;50.121.823.307,70
B3SA3;16,35;6,30;22,85;4,11;2,17;90,38;61,43;44,64;16,60;15,19;-1,42;-0,35;10,20;13,57;-3,42;1,78;18,00;9,49;13,99;0,53;0,47;0,21;33,29;13,50;762.161.158,27;3,97;0,72;0,57;100.160.100.000,00
BAHI3;81,00;;-5,29;1,18;0,35;40,93;-4,94;-18,01;-19,29;-14,09;5,20;-0,32;0,95;-6,28;-0,45;0,80;-22,36;-6,62;-9,16;0,30;0,70;0,37;;;121.403,16;68,43;-15,30;-0,05;210.408.840,00
BALM3;20,01;3,00;8,96;1,62;0,90;51,82;11,93;13,25;9,95;9,10;-0,83;-0,14;1,19;2,32;-2,69;2,40;18,11;10,04;10,39;0,55;0,41;0,76;7,78;1,84;20.092,86;12,34;2,23;0,04;195.902.000,00
BALM4;19,97;3,36;8,94;1,62;0,90;51,82;11,93;13,25;9,93;9,10;-0,83;-0,14;1,18;2,31;-2,69;2,40;18,11;10,04;10,39;0,55;0,41;0,76;7,78;1,84;112.247,17;12,34;2,23;0,04;195.902.000,00
BAUH4;87,49;;21,25;4,85;3,18;21,72;11,40;11,43;21,31;20,40;-0,91;-0,21;2,43;67,08;-5,05;1,15;22,84;14,95;16,51;0,65;0,35;1,31;10,90;33,53;40.236,17;18,02;4,12;0,46;456.892.202,78
