TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;12,10;;48,63;1,18;0,54;28,22;10,90;2,63;11,72;16,38;4,66;0,47;1,28;14,39;-0,70;1,20;2,43;1,12;5,10;0,46;0,53;0,43;5,83;;20.869.046,21;10,25;0,25;-0,36;1.431.343.073,60
ABCB4;15,07;5,11;7,74;0,76;0,08;64,72;51,16;28,90;4,38;4,38;;;2,24;1,10;-0,09;2,41;9,87;1,00;;0,10;0,90;0,03;1,17;2,52;17.160.338,09;19,72;1,95;0,57;3.407.178.078,26
ABEV3;15,74;3,12;17,00;3,14;1,99;52,59;28,38;21,91;13,13;12,52;-0,61;-0,15;3,73;63,30;-2,70;1,14;18,47;11,71;19,69;0,63;0,36;0,53;4,56;3,24;385.910.617,85;5,01;0,93;0,27;247.770.504.769,30
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;94.201,44;-1,21;-0,38;-0,58;25.439.770,20
AERI3;9,70;;65,29;7,38;3,02;10,44;8,04;4,18;33,93;36,84;2,91;0,63;2,73;7,76;-7,86;2,73;11,30;4,63;10,16;0,41;0,59;1,11;;;22.160.252,44;1,31;0,15;16,46;7.432.270.523,20
AESB3;13,60;1,70;233,99;3,02;0,53;32,59;24,35;4,13;39,71;74,45;34,74;2,64;9,67;14,29;-0,62;1,35;1,29;0,23;1,54;0,18;0,74;0,05;;;19.452.943,41;4,50;0,06;;5.427.848.672,00
AFLT3;8,85;6,93;28,27;3,25;2,95;70,12;56,15;53,65;27,01;26,43;-0,58;-0,07;15,17;16,31;-3,71;8,22;11,50;10,43;11,06;0,91;0,09;0,19;5,56;9,35;14.359,29;2,72;0,31;-1,67;558.299.595,00
AGRO3;29,04;2,44;9,36;1,36;0,87;40,27;32,29;26,02;7,54;7,04;-0,50;-0,09;2,44;2,70;-1,78;2,66;14,55;9,27;12,30;0,64;0,36;0,36;55,29;108,88;18.595.210,50;21,32;3,10;0,06;2.973.028.312,32
AGXY3;8,50;;-22,57;1,47;0,32;-2,68;-12,69;-4,10;-7,29;-11,28;-3,99;0,80;0,93;12,49;-1,26;1,04;-6,51;-1,43;-10,47;0,22;0,78;0,35;;;1.730.116,74;5,79;-0,38;;1.452.012.406,50
AHEB3;25,52;;-4,18;-5,10;0,78;21,97;-15,75;-26,33;-6,98;-6,98;0,11;;1,10;-3,04;-0,98;0,44;-122,15;-18,70;73,09;-0,15;1,15;0,71;1,88;;12.273,85;-5,00;-6,11;-0,10;221.573.896,54
AHEB5;18,00;;-2,94;-3,60;0,55;21,97;-15,75;-26,33;-4,92;-6,98;0,11;;0,78;-2,14;-0,69;0,44;-122,15;-18,70;73,09;-0,15;1,15;0,71;1,88;;4.665,75;-5,00;-6,11;-0,07;221.573.896,54
AHEB6;51,50;;-8,43;-10,29;1,58;21,97;-15,75;-26,33;-14,08;-6,98;0,11;;2,22;-6,13;-1,98;0,44;-122,15;-18,70;73,09;-0,15;1,15;0,71;1,88;;6.742,00;-5,00;-6,11;-0,20;221.573.896,54
ALLD3;23,50;1,97;6,28;1,49;0,56;15,90;8,87;6,10;4,32;4,78;0,46;0,16;0,38;2,34;-1,94;1,50;23,64;8,84;21,45;0,37;0,63;1,45;;;11.909.227,74;15,83;3,74;0,02;2.190.284.177,00
