TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AAIC;4,80;;16,04;0,62;0,17;100,00;163,58;32,01;5,22;16,37;13,24;2,61;5,13;;-0,17;;3,85;1,04;5,06;0,27;0,73;0,03;-25,44;-20,59;;7,77;0,30;0,02;135.948.960,00
AAT;25,84;5,15;29,41;1,31;0,53;62,64;30,15;12,05;6,12;23,71;11,96;1,33;3,54;;-0,53;;4,46;1,79;4,62;0,40;0,60;0,15;5,92;20,67;;19,70;0,88;3,30;1.573.493.208,00
ABR;13,60;12,65;8,44;0,83;0,17;97,76;464,38;109,63;1,89;9,70;7,71;3,20;9,26;;-0,17;;9,80;2,01;8,73;0,21;0,79;0,02;4,68;26,24;;16,44;1,61;-1,28;2.563.799.920,00
ACC;65,42;;154,52;2,95;1,22;51,87;18,95;6,00;19,33;67,23;18,27;1,10;9,28;;-1,22;;1,91;0,79;2,80;0,41;0,58;0,13;3,69;-18,56;;22,18;0,42;0,23;9.124.977.860,00
ACRE;7,81;14,85;-9,51;0,71;0,20;100,00;947,56;-600,85;6,01;25,19;19,16;2,25;57,16;;-0,20;;-7,44;-2,12;3,38;0,28;0,72;0,00;;;;11,03;-0,82;0,01;425.698.108,00
ADC;69,71;4,26;39,05;1,36;0,88;87,98;50,78;30,81;13,35;32,63;8,93;0,51;12,03;;-0,88;;3,48;2,25;3,73;0,65;0,35;0,07;31,42;23,92;;51,30;1,79;2,62;7.014.533.895,00
AFCG;9,02;21,29;17,15;0,60;0,39;;;;14,36;13,41;3,50;0,21;;;-0,39;;3,50;2,28;3,74;0,65;0,35;0,00;;;;15,03;0,53;-0,25;186.417.242,00
AFIN;8,23;;-97,09;0,58;0,28;74,05;20,65;-3,17;5,02;39,26;24,35;0,94;3,08;;-0,28;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;1,53;1.016.458.495,00
AFINO;25,70;;-303,19;1,80;0,86;74,05;20,65;-3,17;15,66;39,26;24,35;0,94;9,62;;-0,86;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;4,79;1.016.458.495,00
AFINP;26,01;;-306,85;1,82;0,87;74,05;20,65;-3,17;15,85;39,26;24,35;0,94;9,74;;-0,87;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;4,85;1.016.458.495,00
