TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AAIC;4,31;;14,89;0,57;0,15;100,00;163,58;32,01;4,85;16,15;13,24;2,61;4,77;;-0,15;;3,85;1,04;5,06;0,27;0,73;0,03;-25,44;-20,59;;7,51;0,29;;126.195.076,00
AAT;18,03;7,27;21,67;0,90;0,36;63,49;28,99;11,63;4,37;21,49;12,80;1,33;2,52;;-0,36;;4,16;1,68;4,33;0,40;0,60;0,14;6,06;8,39;;20,00;0,83;;1.094.864.538,00
ABR;14,04;14,60;8,41;0,87;0,16;98,52;465,65;121,03;2,08;11,59;9,40;3,72;10,18;;-0,16;;10,30;1,93;7,60;0,19;0,81;0,02;3,69;34,73;;16,21;1,67;;2.618.488.080,00
ACC;65,42;;154,52;2,95;1,22;51,87;18,95;6,00;19,33;67,23;18,27;1,10;9,28;;-1,22;;1,91;0,79;2,80;0,41;0,58;0,13;3,69;-18,56;;22,18;0,42;;9.124.977.860,00
ACRE;9,24;14,29;-98,39;0,72;0,21;;;;6,11;23,33;17,50;2,17;;;-0,21;;-0,74;-0,21;3,62;0,29;0,71;0,00;;-0,41;;12,77;-0,09;;500.219.412,00
ADC;54,79;5,29;33,94;1,06;0,73;87,66;50,00;32,17;12,08;30,66;8,82;0,43;10,92;;-0,73;;3,12;2,14;3,35;0,68;0,32;0,07;30,97;21,27;;51,70;1,61;;5.274.573.031,00
AFCG;11,14;18,67;6,23;0,67;0,50;;;;5,80;5,26;0,13;0,02;;;-0,50;;10,75;8,06;10,09;0,75;0,25;0,00;;;;16,64;1,79;;227.898.778,00
AFIN;8,23;;-97,09;0,58;0,28;74,05;20,65;-3,17;5,02;39,26;24,35;0,94;3,08;;-0,28;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;;1.016.458.495,00
AFINO;25,70;;-303,19;1,80;0,86;74,05;20,65;-3,17;15,66;39,26;24,35;0,94;9,62;;-0,86;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;;1.016.458.495,00
AFINP;26,01;;-306,85;1,82;0,87;74,05;20,65;-3,17;15,85;39,26;24,35;0,94;9,74;;-0,87;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;;1.016.458.495,00
AGNC;8,24;17,48;-166,47;0,63;0,08;;;;2,81;7,58;4,30;0,83;;;-0,08;;-0,38;-0,05;9,49;0,13;0,87;0,00;;;;13,00;-0,05;;4.994.077.776,00
AGNCM;22,60;7,61;-456,58;1,74;0,23;;;;7,70;7,58;4,30;0,83;;;-0,23;;-0,38;-0,05;9,49;0,13;0,87;0,00;;;;13,00;-0,05;;4.994.077.776,00
AGNCN;25,02;10,18;-505,47;1,92;0,25;;;;8,52;7,58;4,30;0,83;;;-0,25;;-0,38;-0,05;9,49;0,13;0,87;0,00;;;;13,00;-0,05;;4.994.077.776,00
AGNCO;22,40;7,25;-452,54;1,72;0,22;;;;7,63;7,58;4,30;0,83;;;-0,22;;-0,38;-0,05;9,49;0,13;0,87;0,00;;;;13,00;-0,05;;4.994.077.776,00
AGNCP;20,95;7,31;-423,24;1,61;0,21;;;;7,14;7,58;4,30;0,83;;;-0,21;;-0,38;-0,05;9,49;0,13;0,87;0,00;;;;13,00;-0,05;;4.994.077.776,00
AHH;10,19;7,56;15,18;1,10;0,28;28,31;21,66;7,90;3,49;5,99;0,46;0,09;1,20;;-0,28;;7,22;1,85;15,03;0,26;0,74;0,23;8,45;28,85;;9,30;0,67;;692.377.892,00
