TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
A;137,08;0,68;32,20;6,44;3,68;50,63;21,50;18,84;23,88;28,85;0,62;0,14;6,07;17,82;-6,01;2,15;19,99;11,44;15,17;0,57;0,43;0,61;6,82;31,45;;21,30;4,26;-3,99;39.994.584.172,00
AA;30,75;0,98;-14,44;2,04;0,56;8,14;-3,90;-5,14;34,09;-24,51;-5,46;0,58;0,74;4,57;-0,84;1,55;-14,11;-3,84;-7,52;0,27;0,73;0,75;-4,67;;;15,09;-2,13;0,23;7.943.958.075,00
AACG;0,65;;-2,00;0,91;0,29;51,68;-31,49;-32,34;;-1,45;0,61;-0,27;0,65;-0,62;-0,33;0,23;-45,26;-14,39;-39,89;0,32;0,68;0,44;176,03;;;0,72;-0,32;-0,05;20.767.500,00
AACQ;9,99;;-93,43;180,94;1,25;;;;;-27,74;0,01;-0,07;;2.094,26;-1,25;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AACQU;11,05;;-103,35;200,14;1,38;;;;;-27,74;0,01;-0,07;;2.316,47;-1,38;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AACQW;2,50;;-23,38;45,28;0,31;;;;;-27,74;0,01;-0,07;;524,09;-0,31;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AAL;9,87;;-53,57;-1,37;0,10;61,79;3,74;-0,23;3,24;14,47;11,23;;0,12;-0,66;-0,13;0,60;-2,55;-0,19;7,11;-0,07;1,07;0,83;3,46;-10,26;;-7,23;-0,18;0,51;6.481.667.493,00
AAME;1,60;2,50;-35,36;0,32;0,09;9,43;1,13;-0,49;18,23;9,19;-6,20;-0,13;0,17;;-0,09;;-0,90;-0,25;1,44;0,28;0,72;0,51;0,13;;;5,04;-0,05;0,48;32.639.680,00
AAN;10,00;5,00;-7,21;0,47;0,17;52,53;-1,67;-2,06;0,62;-14,13;-5,25;0,28;0,15;-2,82;-0,31;0,88;-6,47;-2,40;-4,87;0,37;0,63;1,17;3,58;-43,87;;21,41;-1,39;0,00;307.128.000,00
AAOI;7,68;;-4,75;1,53;0,85;27,90;-26,28;-30,65;-9,47;-7,28;-1,74;0,48;1,46;5,06;-1,38;1,79;-32,15;-17,93;-17,58;0,56;0,44;0,59;-4,04;;;5,03;-1,62;0,85;298.812.672,00
