TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
A;133,61;0,62;31,60;7,79;3,82;53,98;23,15;19,35;26,41;27,54;1,12;0,33;6,11;21,81;-5,86;2,01;24,66;12,08;16,78;0,49;0,51;0,62;8,50;21,24;;17,15;4,23;;39.910.389.241,00
AA;49,52;0,81;9,25;1,57;0,57;27,89;16,72;7,19;3,98;4,31;0,33;0,13;0,67;3,39;-0,90;1,81;17,00;6,13;16,12;0,36;0,64;0,85;5,45;;;31,49;5,35;;8.909.895.904,00
AACG;1,85;;-11,99;2,12;0,75;52,74;-30,12;-14,93;-5,95;-5,30;0,65;-0,23;1,79;-1,81;-0,87;0,25;-17,69;-6,26;-32,20;0,35;0,65;0,42;-13,28;;;0,87;-0,15;;58.457.410,00
AACQ;9,99;;-93,43;180,94;1,25;;;;-27,75;-27,74;0,01;-0,07;;2.094,26;-1,25;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AACQU;11,05;;-103,35;200,14;1,38;;;;-30,69;-27,74;0,01;-0,07;;2.316,47;-1,38;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AACQW;2,50;;-23,38;45,28;0,31;;;;-6,94;-27,74;0,01;-0,07;;524,09;-0,31;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AAL;14,74;;-4,99;-1,14;0,14;57,68;-1,45;-4,72;-16,21;-56,06;-39,85;;0,24;-2,26;-0,19;0,81;-22,81;-2,83;-3,97;-0,12;1,12;0,60;-5,73;;;-12,96;-2,96;;9.578.728.566,00
AAME;2,95;0,68;8,30;0,48;0,16;12,24;5,46;3,59;5,45;4,04;-1,41;-0,12;0,30;;-0,16;;5,74;1,93;7,08;0,34;0,66;0,54;3,74;10,18;;6,20;0,36;;60.190.620,00
AAN;13,32;3,18;7,21;0,57;0,21;58,05;3,66;2,89;5,71;9,64;3,93;0,39;0,21;14,68;-0,41;1,03;7,89;2,94;5,85;0,37;0,63;1,02;;;;23,41;1,85;;409.950.972,00
AAOI;1,86;;-0,94;0,21;0,12;16,82;-22,89;-25,50;-1,05;-3,21;-2,16;0,44;0,24;0,67;-0,20;1,66;-22,79;-12,22;-12,71;0,54;0,46;0,48;-4,09;;;8,67;-1,98;;51.399.426,00
