TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
THRA11;138,50;33,51;14,52;53.642,50;140,47;90,73;3,62;14.050.683,35;2.084,00;Passiva;
XPLG11;96,92;7,58;0,92;4.987.920,04;4,54;-1,41;-1,97;2.869.525.443,04;273.491,00;Ativa;
BLUR11;0,00;0,00;;;100,08;;;8.981.780,30;3,00;Ativa;
XPPR11;67,40;9,17;0,81;1.042.213,88;3,41;;;606.024.273,34;49.784,00;Ativa;
RRCI11;83,20;11,01;0,85;89.127,48;3,15;;;46.898.463,85;2.081,00;Ativa;
RNDP11;628,00;7,73;0,90;24.701,09;19,43;-7,01;-12,89;75.255.135,70;867,00;Ativa;
VLJS11;1.141,14;7,32;0,77;;28,64;;;38.569.495,77;12,00;Passiva;
RBCB11;19,00;0,00;;;;-15,04;-54,82;0,00;462,00;Ativa;
JSAF11;97,70;1,44;1,03;48.664,20;43,61;;;149.033.597,08;1.751,00;Ativa;
VSHO11;79,05;6,31;0,77;15.669,56;2,12;;-15,28;214.966.958,74;2.049,00;Ativa;
PATB11;0,00;0,00;;;4,29;;;558.186.591,38;58,00;Ativa;
PORD11;95,45;11,74;0,96;611.268,64;7,15;;-1,03;369.263.819,76;13.877,00;Ativa;
CEOC11;58,63;9,30;0,68;45.343,20;2,12;-6,56;-9,62;156.336.111,14;6.043,00;Passiva;
SEQR11;75,65;9,68;0,72;96.845,88;2,74;;;168.628.334,33;1.640,00;Ativa;
VILG11;97,93;7,33;0,86;4.793.501,16;1,65;-5,56;;1.703.601.538,03;142.619,00;Ativa;
SHPH11;814,98;3,90;0,92;91.096,48;0,59;-6,57;-5,21;540.921.773,38;2.935,00;Passiva;
JTPR11;2.517,00;0,00;24,53;;7,75;;;22.023.748,77;9,00;Ativa;
RMAI11;48,68;2,83;0,44;9.608,88;1,11;;;269.267.795,14;1.136,00;Ativa;
CPTS11;97,48;12,49;1,03;7.713.219,04;2,96;13,54;-1,50;2.650.260.334,39;132.912,00;Ativa;
VRTA11;105,75;11,82;1,09;2.135.187,48;1,46;5,23;-4,62;1.017.170.179,70;92.818,00;Ativa;
GCRI11;98,83;11,29;0,99;101.386,36;2,14;;;99.914.922,00;1.208,00;Ativa;
GTWR11;83,97;9,68;0,83;931.092,20;0,43;;;1.211.075.492,36;26.547,00;Ativa;
BTRA11;98,98;3,07;0,99;543.189,84;40,62;;;336.025.608,31;8.420,00;Ativa;
CJFI11;0,00;0,00;;;0,40;;;100.301.360,88;1,00;Ativa;
OULG11;53,66;11,32;0,58;78.695,84;2,14;;;230.794.116,97;6.726,00;Ativa;
LUGG11;85,93;7,15;0,69;25.059,92;0,63;;;112.403.356,09;4.212,00;Ativa;
PLCR11;89,79;11,86;0,97;314.536,92;11,54;;;195.407.902,15;9.355,00;Ativa;
BREV11;95,01;6,44;0,90;3.920,47;0,97;;;101.663.227,02;110,00;Ativa;
