TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
ABCP11;66,58;0,350000;9,85;101,73;0,65;51.789,43;1,33;0,62;-3,51;479.038.570,23;16.152,00;Passiva;4.709.082,00
AFHI11;96,53;0,950000;12,31;94,44;1,02;1.472.433,07;10,74;-7,06;2,10;430.222.362,04;39.652,00;Ativa;4.555.630,00
AIEC11;54,90;0,730000;16,23;84,44;0,65;315.598,76;2,60;1,58;-12,17;407.403.169,34;17.667,00;Ativa;4.824.987,00
AJFI11;8,50;0,060000;6,63;12,25;0,69;721.991,71;4,90;;;387.419.174,94;13.666,00;Ativa;31.625.978,00
ALMI11;655,00;6,267812;0,96;2.159,51;0,30;33.626,70;4,02;;-16,96;240.087.787,89;2.139,00;Passiva;111.177,00
ALZC11;96,00;1,070000;4,84;;;37.198,06;;;;;;;1.000.000,00
ALZM11;7,70;0,085000;13,44;8,28;0,93;232.238,00;3,81;-1,58;-57,69;125.627.102,10;10.477,00;Ativa;15.180.540,00
ALZR11;107,31;0,710785;8,82;105,78;1,01;1.954.603,62;33,60;3,05;-2,74;1.293.278.937,98;151.678,00;Ativa;12.226.625,00
ANCR11B;3.221,00;38,900251;1,21;4.328,62;0,74;3.221,00;0,69;;;2.893.149.089,29;71,00;Ativa;668.376,00
APTO11;9,54;0,090000;11,64;10,09;0,95;18.924,57;9,98;;;46.517.793,57;9.510,00;Ativa;4.612.227,00
APXM11;97,00;0,463040;6,60;95,32;1,02;123.706,20;13,31;;;167.755.970,73;365,00;;1.760.000,00
APXR11;100,00;;0,00;80,93;1,24;99,50;2,67;;;8.867.208,20;130,00;;109.567,00
APXU11;0,00;;0,00;88,63;;;95,07;;;8.999.303,01;40,00;Ativa;101.542,00
AQLL11;385,03;;0,00;968,76;0,40;;0,05;;;141.263.122,41;84,00;Ativa;145.817,00
ARFI11B;479,99;;0,00;651,70;0,74;;1,52;;;74.329.618,05;28,00;Ativa;114.054,00
AROA11;1,00;0,006200;6,75;0,97;1,03;7.893,12;1,44;;;165.676.474,53;2.491,00;Ativa;170.033.832,00
ARRI11;9,10;0,105000;13,19;8,70;1,05;411.219,19;4,39;-7,87;-3,16;134.849.242,58;28.234,00;Ativa;15.495.797,00
ARXD11;98,40;1,100000;12,65;97,33;1,01;40.320,88;2,41;;;63.737.896,84;542,00;Ativa;654.895,00
ASMT11;36,00;0,770000;0,00;90,79;0,40;18.684,65;2,68;;-31,70;98.163.581,77;492,00;Ativa;1.081.257,00
ASRF11;10.840,80;256,328699;0,00;9.574,30;1,13;2.119.376,00;16,27;;;28.167.603,87;58,00;Ativa;2.942,00
ATCR11;0,00;0,306448;0,00;73,98;;;1,30;;;68.720.770,06;33,00;Ativa;928.908,00
ATSA11;55,94;0,720000;1,29;76,05;0,74;1.565,32;1,54;12,03;-17,78;133.174.103,23;280,00;Passiva;1.751.141,00
ATWN11;0,00;;0,00;2.045,76;;;0,26;;;328.870.796,72;2,00;Passiva;160.757,00
AURB11;85,50;0,200000;1,75;79,70;1,07;427,00;1,50;;;71.615.096,23;19,00;Ativa;898.514,00
AZPL11;0,00;;0,00;9,95;;;45,83;;;160.340.768,01;5.474,00;Ativa;16.111.009,00
BARI11;81,13;0,745400;10,84;91,69;0,88;789.052,81;6,59;-15,65;-8,34;424.910.240,02;34.648,00;Ativa;4.634.191,00
BBFI11;724,84;100,414494;44,66;1.510,67;0,48;412.105,31;58,23;1,24;-33,75;196.387.107,23;7.374,00;Passiva;130.000,00
BBFO11;72,86;0,640000;10,66;80,23;0,91;361.355,98;0,20;-2,99;-3,92;321.212.965,35;6.650,00;Passiva;4.003.900,00
BBIG11;9,20;0,080000;1,74;9,72;0,95;552.650,69;47,45;;;962.963.571,95;15.464,00;Ativa;99.120.994,00
BBIM11;0,00;0,200000;0,00;12,05;;;22,77;-27,45;;12.467.015,16;20,00;Ativa;1.035.000,00
BBRC11;114,30;1,150000;11,75;102,77;1,11;102.739,14;5,82;6,24;1,49;163.402.303,45;9.561,00;Passiva;1.590.000,00
BCFF11;8,18;0,070000;10,39;9,37;0,87;2.678.872,74;3,70;2,49;-5,78;1.888.064.638,58;355.580,00;Ativa;201.491.024,00
BCIA11;103,20;0,870000;9,93;106,36;0,97;826.079,71;2,25;8,48;4,39;395.554.857,63;27.541,00;Ativa;3.719.038,00
BCRI11;66,94;0,750000;15,28;86,41;0,77;514.585,21;11,69;-14,46;-15,20;540.749.884,53;44.718,00;Ativa;6.257.873,00
BETW11;0,00;0,534259;0,00;100,06;;;0,28;;;250.599.666,80;1,00;;2.504.500,00
BICE11;910,00;7,560000;10,46;1.008,18;0,90;65.600,13;9,10;;;105.709.268,74;115,00;Ativa;104.852,00
BICR11;63,48;0,260000;5,84;44,46;1,43;1.222,07;33,03;5,08;-12,98;22.228.370,76;648,00;Ativa;500.000,00
BIME11;7,19;0,080000;13,35;8,57;0,84;66.635,60;2,95;;;50.091.377,16;8.773,00;Ativa;5.845.602,00
BIPD11;915,10;73,070000;9,12;970,67;0,94;0,00;16,13;;;77.066.998,24;111,00;Ativa;79.396,00
BIPE11;0,00;;0,00;;;;;;;;;;0,00
BLCA11;101,52;0,500000;18,54;120,27;0,84;205.348,98;5,09;;;192.426.650,64;466,00;Ativa;1.600.000,00
BLCP11;91,00;0,563428;0,00;111,74;0,81;;1,06;;-2,44;256.580.339,90;279,00;Ativa;2.296.282,00
BLMC11;85,75;1,070000;6,12;0,00;;150.671,33;;-0,67;-5,47;0,00;0,00;Ativa;0,00
BLMG11;38,06;0,450000;14,98;72,43;0,53;672.513,43;0,07;-14,62;-28,00;309.174.633,40;14.327,00;Ativa;4.268.807,00
BLMO11;82,00;0,450000;637,90;104,35;0,79;5.717,45;2,84;;;103.809.011,13;394,00;Ativa;994.814,00
BLMR11;6,78;0,053000;3,33;0,00;;1.157.702,33;;;-56,47;0,00;0,00;Ativa;0,00
BLOG11;0,00;0,130000;0,00;10,09;;;0,04;;;143.891.617,96;3,00;Ativa;14.257.443,00
BLUR11;88,87;0,660000;11,84;84,93;1,05;2.544,47;4,55;;;7.643.566,83;136,00;Ativa;90.000,00
BMII11;0,00;0,228341;0,00;458,54;;;1,22;;;67.956.342,08;12,00;Passiva;148.200,00
BMLC11;99,99;0,790000;9,00;97,89;1,02;18.200,05;5,31;3,19;3,33;97.733.918,87;1.424,00;Ativa;998.405,00
BNFS11;120,98;1,369211;13,79;84,66;1,43;79.518,50;6,84;3,14;-0,84;59.262.628,73;5.387,00;Ativa;700.000,00
BPFF11;70,28;0,620000;10,59;75,67;0,93;354.872,29;5,79;0,09;-2,08;339.930.494,44;20.944,00;Ativa;4.492.326,00
BPLC11;0,00;14,420464;0,00;10.245,71;;;2,28;;;327.862.761,24;114,00;Ativa;32.000,00
BPML11;87,22;1,070000;7,98;127,55;0,68;1.126.511,19;23,22;;0,89;949.177.418,97;5.867,00;Ativa;7.441.745,00
BPRP11;107,00;0,925000;10,23;124,49;0,86;419,21;0,14;3,00;-1,09;168.039.272,16;170,00;Passiva;1.349.837,00
BRCO11;116,50;0,870000;9,16;119,12;0,98;3.752.123,57;0,99;12,32;3,59;1.894.697.623,90;123.099,00;Ativa;15.905.133,00
BRCR11;50,71;0,500000;10,49;88,66;0,57;1.580.572,62;1,73;-2,73;-13,83;2.361.804.733,57;139.078,00;Ativa;26.638.202,00
BREV11;105,00;0,580000;1,10;0,00;;532.138,00;;8,81;-3,57;0,00;320,00;Ativa;967.201,00
BRHT11B;86,80;;0,00;67,43;1,29;;2,71;;;124.190.623,79;11,00;Ativa;1.841.677,00
BRIM11;989,00;12,990000;24,22;944,98;1,05;10.212,13;3,77;;-0,59;117.307.167,13;292,00;Ativa;124.137,00
