TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
CXRI11;63,20;0,640000;9,57;82,49;0,77;35.576,94;3,75;-27,33;-60,97;129.989.170,59;2.661,00;Ativa;1.575.760,00
FIIP11B;149,99;1,290000;10,32;186,01;0,81;73.482,59;2,21;-13,12;-9,63;172.464.767,86;8.537,00;Passiva;927.162,00
CYLD11;0,00;;0,00;99,28;;;100,22;;;16.688.957,54;19,00;Ativa;168.100,00
RNGO11;46,20;0,450000;9,48;87,60;0,53;131.574,91;2,10;-8,24;-18,07;234.408.796,13;13.176,00;Passiva;2.676.000,00
HABT11;98,59;1,300000;16,79;99,56;0,99;1.893.620,28;9,92;;;809.071.731,08;55.269,00;Ativa;8.126.783,00
FRHY11;0,00;1,370000;0,00;101,10;;;1,82;;;13.193.867,44;7,00;Ativa;130.500,00
RBHY11;97,82;1,540000;16,15;97,77;1,00;102.218,19;6,86;;;185.119.613,03;2.907,00;Ativa;1.893.505,00
FLCR11;99,17;1,690000;17,20;100,00;0,99;142.842,19;3,79;;;63.362.358,50;2.386,00;Ativa;633.604,00
VGHF11;9,77;0,130000;17,50;9,23;1,06;3.323.692,41;0,27;;;672.647.072,17;99.426,00;Ativa;72.889.247,00
NEWL11;93,70;1,700000;11,47;115,93;0,81;278.276,28;3,80;;;235.702.587,29;3.782,00;Ativa;2.033.099,00
SBCL11;0,00;;0,00;906,26;;;143,88;;;27.187.799,59;2,00;Ativa;30.000,00
RMAI11;35,00;0,260000;8,89;108,45;0,32;15.233,22;0,29;;;265.036.448,14;1.135,00;Ativa;2.443.800,00
RBED11;115,39;1,180000;11,39;141,83;0,81;200.824,31;3,25;4,24;-12,12;286.736.367,60;12.437,00;Ativa;2.021.621,00
EVBI11;99,44;0,750000;8,70;99,81;1,00;88.500,42;19,44;;;139.510.715,73;252,00;Ativa;1.397.770,00
THRA11;138,50;0,130000;0,09;9,54;14,52;;140,47;90,73;0,16;14.050.683,35;2.084,00;Passiva;1.472.728,00
TJKB11;0,00;2,290000;0,00;268,58;;;0,08;;;201.438.314,82;51,00;Ativa;750.000,00
FLMA11;113,35;0,850000;7,17;157,03;0,72;74.625,56;1,73;3,61;-15,23;216.805.060,32;18.579,00;Ativa;1.380.670,00
BREV11;90,00;0,570000;7,23;109,92;0,82;301,89;0,94;;;106.313.727,10;125,00;Ativa;967.201,00
NCHB11;94,29;1,473763;15,27;93,59;1,01;496.186,13;13,36;-9,56;;149.913.741,70;10.272,00;Ativa;1.601.848,00
SJAU11;114,99;;0,00;102,59;1,12;344,00;0,03;;;813.760.583,51;128,00;Passiva;7.932.248,00
CEOC11;57,21;0,497922;9,91;90,12;0,63;59.328,72;2,07;-5,37;-11,45;163.633.334,88;5.312,00;Passiva;1.815.696,00
SNCI11;103,95;1,300000;12,10;97,74;1,06;1.619.387,69;0,10;;;361.384.096,23;34.437,00;Ativa;3.697.298,00
BMLC11;102,11;0,940000;8,02;109,24;0,93;59.950,97;2,99;14,24;4,88;109.067.209,47;1.399,00;Ativa;998.405,00
GCFF11;68,50;0,790000;12,84;86,00;0,80;46.956,91;0,97;;;29.119.958,17;1.998,00;Ativa;338.598,00
RBCB11;19,00;0,300000;0,00;0,00;;;;-15,04;-24,98;0,00;462,00;Ativa;53.100,00
SFRO11;0,00;;0,00;5,93;;;102,53;;;5.191.438,53;20,00;Passiva;875.758,00
PRTS11;117,70;0,054870;0,05;0,06;1.961,67;;103,36;;;3.111.607,44;11,00;Ativa;55.727.500,00
WHGR11;9,84;0,110000;1,12;10,01;0,98;490.333,52;14,98;;;251.075.649,83;2.150,00;Ativa;25.089.531,00
ITIT11;72,75;0,530000;8,74;76,88;0,95;71.079,75;1,43;;;69.231.038,11;5.208,00;Passiva;900.494,00
ONEF11;159,04;0,920000;6,27;174,84;0,91;66.073,81;1,09;9,76;2,43;159.275.402,47;3.564,00;Passiva;911.000,00
OUJP11;92,95;1,470000;14,13;101,25;0,92;797.285,16;6,39;18,60;-7,64;329.291.015,54;22.630,00;Ativa;3.252.384,00
BBPO11;78,96;0,890000;13,55;100,11;0,79;1.248.696,56;4,39;-5,45;-18,88;1.593.668.601,42;68.851,00;Passiva;15.919.690,00
XPCI11;92,45;1,050000;13,49;97,43;0,95;3.227.664,00;0,01;;;847.789.506,91;63.344,00;Ativa;8.701.552,00
PCAS11;0,00;;0,00;7.208,78;;;0,89;;;504.614.909,11;50,00;Passiva;70.000,00
REIT11;550,00;2,063629;6,40;481,12;1,14;755,00;42,89;;;12.649.178,11;63,00;Ativa;26.291,00
MATV11;99,66;1,200000;10,94;95,85;1,04;56.500,87;27,92;;;34.842.888,56;243,00;Ativa;363.504,00
MMVE11;130,00;;0,00;99,44;1,31;506.220,00;3,23;;;46.240.459,36;14,00;Ativa;465.000,00
RBLG11;86,95;0,800000;10,55;103,25;0,84;9.456,37;1,25;;;66.101.998,08;161,00;Ativa;640.199,00
XPPR11;47,10;0,350000;12,53;76,67;0,61;1.128.053,94;1,90;;;560.956.044,75;63.367,00;Ativa;7.316.171,00
FMOF11;61,87;0,140000;0,23;122,64;0,50;30.875,90;1,37;18,20;-11,07;62.300.738,20;286,00;Passiva;508.008,00
LKDV11;0,00;;0,00;965,77;;;11,04;;;64.524.114,70;68,00;Ativa;66.811,00
