TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
EGYR11;0,00;0,00;;;0,00;;;93.129.477,25;5,00;Passiva;
FAMB11B;1.160,01;10,22;0,33;74.257,20;8,71;-9,82;-26,95;365.691.116,16;3.757,00;Passiva;
MTOF11;0,00;0,00;;;1,44;;;165.697.729,43;3,00;Ativa;
OUJP11;101,80;7,08;0,99;848.469,68;29,52;-7,71;-0,07;336.009.243,08;24.438,00;Ativa;
OULG11;67,20;10,36;0,72;202.705,35;6,10;;;232.568.487,72;6.745,00;Ativa;
PNDL11;0,00;0,00;;;84,02;;;8.086.148,38;46,00;Ativa;
TFOF11;138,00;1,72;1,14;389.140,62;13,36;29,98;-52,89;103.080.374,68;3.278,00;Ativa;
IFIE11;94,05;3,03;1,05;72.325,08;0,58;;;80.698.530,66;6.528,00;Passiva;
MGCR11;99,24;4,94;1,04;364.308,58;46,84;;;135.321.835,75;1.477,00;Ativa;
MGHT11;98,50;7,26;0,97;61.388,22;0,99;;;106.878.508,03;263,00;Ativa;
MORE11;87,42;9,79;0,88;554.036,93;1,55;;;231.328.974,76;6.086,00;Ativa;
IFID11;93,36;1,52;0,98;131.251,88;2,09;;;71.298.621,17;2.057,00;Passiva;
JRDM11;69,00;2,41;0,79;100.122,95;3,09;-7,11;-2,74;220.206.678,75;5.564,00;Passiva;
TEPP11;77,90;6,88;0,82;415.375,10;3,04;;;399.750.365,30;7.821,00;Ativa;
GSFI11;4,15;0,00;0,30;109.673,83;0,13;;;953.239.815,02;5.391,00;Passiva;
HOSI11;80,64;5,50;0,87;37.709,90;12,60;;;53.020.719,64;2.216,00;Ativa;
HREC11;100,35;5,46;1,02;615.420,90;2,19;;;88.406.810,75;185,00;Ativa;
HTMX11;103,86;0,00;0,79;203.297,13;1,05;8,60;-5,99;164.389.940,42;24.831,00;Ativa;
HUSC11;133,33;5,92;1,03;11.163,50;1,52;;;103.229.708,91;654,00;Passiva;
IBFF11;67,29;7,40;0,78;195.499,98;4,13;;;57.272.721,51;5.490,00;Ativa;
TRNT11;146,00;3,86;0,70;37.484,32;0,29;-6,33;-6,57;816.093.501,75;704,00;Passiva;
ERCR11;85.227,76;2,91;0,91;852.277,00;0,13;;;222.673.897,46;13,00;Passiva;
GALG11;110,10;3,71;1,09;1.236.683,33;0,39;;;568.509.424,27;3.495,00;Ativa;
GCRI11;102,50;3,92;1,00;89.560,79;15,15;;;88.248.618,10;149,00;Ativa;
GESE11B;1.520,00;5,49;1,13;456.000,00;1,60;;;70.092.148,49;55,00;Passiva;
