TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
ABCP11;67,80;0,600000;8,48;91,88;0,74;68.193,38;1,59;14,11;-4,58;432.661.319,21;17.747,00;Passiva;4.709.082,00
AFHI11;98,19;1,050000;12,75;95,83;1,02;1.075.684,17;9,42;;;320.377.772,86;23.891,00;Ativa;3.343.095,00
AIEC11;62,40;0,760000;14,60;94,90;0,66;726.822,62;2,60;9,23;;457.867.865,93;15.900,00;Ativa;4.824.987,00
ALMI11;733,37;0,371133;0,00;2.033,68;0,36;33.297,89;2,39;;-15,88;226.098.370,52;2.338,00;Passiva;111.177,00
ALZC11;0,00;;0,00;;;;;;;;;;1.000.000,00
ALZM11;92,77;0,800000;11,76;91,60;1,01;252.608,62;5,43;;;63.313.566,97;3.856,00;Ativa;691.192,00
ALZR11;115,92;0,825000;8,30;106,25;1,09;2.120.951,03;30,27;13,63;-4,62;1.047.620.740,62;142.847,00;Ativa;9.860.406,00
ANCR11B;3.466,00;42,077240;2,95;3.593,56;0,96;3.466,00;0,41;;;1.708.076.461,36;62,00;Ativa;475.316,00
APTO11;9,86;0,100000;12,41;10,38;0,95;43.714,86;24,16;;;41.636.073,96;9.598,00;Ativa;4.012.857,00
APXM11;100,00;0,460227;0,46;94,94;1,05;254.405,05;17,29;;;167.099.461,36;271,00;;1.760.000,00
AQLL11;385,03;;0,00;979,08;0,39;;0,00;;-7,08;142.768.023,84;58,00;Ativa;145.817,00
ARFI11B;479,99;;0,00;651,70;0,74;;1,52;;-24,36;74.329.618,05;28,00;Ativa;114.054,00
AROA11;0,00;0,005000;0,00;1,07;;;0,79;;;176.461.041,43;51,00;Ativa;165.175.328,00
ARRI11;8,80;0,100000;14,89;8,92;0,99;257.336,69;2,00;1,11;-0,64;116.471.850,11;28.123,00;Ativa;13.056.237,00
ARXD11;102,00;1,100000;6,96;100,91;1,01;2.854,00;0,72;;;49.651.472,44;69,00;Ativa;492.050,00
ASMT11;47,99;0,770000;8,02;84,11;0,57;10.554,17;2,49;;;85.571.433,40;518,00;Ativa;1.017.316,00
ASRF11;10.092,00;256,328699;2,54;9.994,80;1,01;30.276,00;100,78;;;23.987.514,47;55,00;Ativa;2.400,00
ATCR11;0,00;0,091882;0,00;82,23;;;7,79;;;76.385.293,80;33,00;Ativa;928.908,00
ATSA11;56,97;0,050000;0,44;81,76;0,70;1.255,85;1,46;1,98;-19,67;143.177.432,23;281,00;Passiva;1.751.141,00
ATWN11;0,00;;0,00;587,63;;;1,96;;;94.466.345,33;2,00;Passiva;160.757,00
AURB11;0,00;0,300000;0,00;82,86;;;1,37;;;72.960.461,86;5,00;Ativa;880.560,00
BARI11;82,99;0,449200;12,31;95,82;0,87;979.963,62;3,09;-13,06;-7,54;444.055.347,43;37.440,00;Ativa;4.634.191,00
BBFI11B;945,00;7,592062;23,30;2.147,72;0,44;141.201,76;8,03;-10,71;-28,22;279.203.215,33;7.948,00;Passiva;130.000,00
BBFO11;72,49;0,610000;11,12;83,26;0,87;422.966,17;0,53;;;333.349.827,54;5.804,00;Passiva;4.003.900,00
BBIM11;0,00;0,100000;0,00;17,07;;;2,30;-26,58;;17.665.182,23;20,00;Ativa;1.035.000,00
BBRC11;114,92;1,130000;10,91;107,13;1,07;84.993,66;5,12;5,07;-7,80;170.342.991,30;9.591,00;Passiva;1.590.000,00
BCFF11;71,11;0,560000;9,45;78,00;0,91;3.129.978,07;5,79;2,94;-7,42;1.964.631.115,38;301.431,00;Ativa;25.186.378,00
BCIA11;100,39;0,850000;9,44;110,27;0,91;762.088,07;0,96;7,27;-6,39;410.096.652,00;19.527,00;Ativa;3.719.038,00
BCRI11;68,85;0,700000;14,70;96,46;0,71;578.711,34;9,51;-10,30;-13,87;603.610.450,12;47.803,00;Ativa;6.257.873,00
BICE11;990,00;7,960000;14,10;987,09;1,00;29.015,00;15,67;;;89.144.416,35;116,00;Ativa;90.310,00
BICR11;58,48;0,730000;17,20;65,76;0,89;1.797,00;63,89;38,95;-16,38;32.878.908,14;526,00;Ativa;500.000,00
BIME11;7,39;0,080000;12,45;8,67;0,85;64.224,69;5,19;;;50.684.366,15;8.779,00;Ativa;5.845.602,00
BIPD11;0,00;10,380000;0,00;987,21;;;31,18;;;48.095.081,91;111,00;Ativa;48.718,00
BLCA11;127,43;0,570000;5,35;135,91;0,94;9.148,59;3,96;;;217.448.166,98;219,00;Ativa;1.600.000,00
BLCP11;91,00;0,563428;0,00;111,74;0,81;103.127,50;1,06;;-3,73;256.580.339,90;279,00;Ativa;2.296.282,00
BLMC11;82,00;0,660000;11,93;98,48;0,83;153.109,93;12,18;;;39.342.108,07;443,00;Ativa;399.500,00
BLMG11;57,50;0,680000;15,62;87,52;0,66;472.594,31;1,00;;;333.512.364,82;13.828,00;Ativa;3.810.588,00
BLMO11;18.000,00;102,000000;4,67;33.367,64;0,54;288.155,60;2,31;;;126.696.946,60;92,00;Ativa;3.797,00
BLMR11;6,91;0,053000;11,04;7,87;0,88;412.486,34;0,90;;;201.034.512,18;18.986,00;Ativa;25.541.630,00
BLUR11;99,99;1,030000;12,36;93,45;1,07;6.747,00;4,77;;;8.410.338,78;101,00;Ativa;90.000,00
BMII11;0,00;0,228341;0,00;470,04;;;0,69;;;67.545.446,88;12,00;Passiva;143.700,00
