TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AAIC;2,72;;174,24;0,37;0,07;100,00;83,16;2,21;4,63;47,58;42,95;3,41;3,85;;-0,07;;0,21;0,04;1,32;0,20;0,80;0,02;-30,10;;;7,40;0,02;;78.583.520,00
AAT;25,72;4,90;39,63;1,26;0,52;64,98;26,97;9,68;14,23;28,83;14,60;1,30;3,84;;-0,52;;3,19;1,31;3,79;0,41;0,59;0,13;4,96;-2,73;;20,35;0,65;;1.556.782.732,00
ABR;11,50;13,04;6,26;0,70;0,11;99,46;252,00;110,71;2,75;9,93;7,17;1,84;6,93;;-0,11;;11,25;1,78;7,49;0,16;0,84;0,02;28,66;46,46;;16,32;1,84;;1.958.477.600,00
ACC;65,42;1,44;154,52;2,95;1,22;51,87;18,95;6,00;48,96;67,23;18,27;1,10;9,28;;-1,22;;1,91;0,79;2,80;0,41;0,58;0,13;3,69;-18,56;;22,18;0,42;;9.124.977.860,00
ACRE;10,45;9,86;10,67;0,72;0,21;100,00;717,76;361,13;5,37;22,82;17,46;2,35;38,52;;-0,21;;6,79;1,98;3,97;0,29;0,71;0,01;;6,15;;14,44;0,98;;568.881.280,00
ADC;67,58;4,09;39,66;1,36;0,89;87,67;57,01;35,60;24,76;33,53;8,77;0,48;14,12;;-0,89;;3,42;2,25;3,65;0,66;0,34;0,06;29,96;22,07;;49,76;1,70;;5.395.093.866,00
AFCG;15,30;14,18;8,33;0,90;0,66;;;;7,36;8,60;1,24;0,15;;;-0,66;;10,79;7,94;9,44;0,74;0,26;0,00;;;;17,03;1,84;;303.825.870,00
AFIN;8,23;5,16;-97,09;0,58;0,28;74,05;20,65;-3,17;14,92;39,26;24,35;0,94;3,08;;-0,28;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;;1.016.458.495,00
AFINO;25,70;3,59;-303,19;1,80;0,86;74,05;20,65;-3,17;46,58;39,26;24,35;0,94;9,62;;-0,86;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;;1.016.458.495,00
AFINP;26,01;3,60;-306,85;1,82;0,87;74,05;20,65;-3,17;47,15;39,26;24,35;0,94;9,74;;-0,87;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;;1.016.458.495,00
AGNC;8,42;17,10;-4,76;0,55;0,07;;;;-5,76;-14,10;-8,34;0,79;;;-0,07;;-11,50;-1,51;-4,59;0,13;0,87;0,00;;3,75;;15,38;-1,77;;4.401.325.976,00
AGNCM;19,28;8,91;-10,90;1,25;0,16;;;;-13,19;-14,10;-8,34;0,79;;;-0,16;;-11,50;-1,51;-4,59;0,13;0,87;0,00;;3,75;;15,38;-1,77;;4.401.325.976,00
AGNCN;23,30;7,51;-13,17;1,51;0,20;;;;-15,94;-14,10;-8,34;0,79;;;-0,20;;-11,50;-1,51;-4,59;0,13;0,87;0,00;;3,75;;15,38;-1,77;;4.401.325.976,00
AGNCO;20,60;7,89;-11,64;1,34;0,18;;;;-14,09;-14,10;-8,34;0,79;;;-0,18;;-11,50;-1,51;-4,59;0,13;0,87;0,00;;3,75;;15,38;-1,77;;4.401.325.976,00
AGNCP;19,26;7,95;-10,88;1,25;0,16;;;;-13,18;-14,10;-8,34;0,79;;;-0,16;;-11,50;-1,51;-4,59;0,13;0,87;0,00;;3,75;;15,38;-1,77;;4.401.325.976,00
AHH;10,38;6,74;21,78;1,11;0,31;44,76;28,21;10,19;7,87;7,47;-0,40;-0,06;2,22;;-0,31;;5,09;1,42;12,20;0,28;0,72;0,14;1,91;-4,85;;9,36;0,48;;703.034.286,00
AHT;6,81;;-1,46;-3,57;0,06;31,39;2,56;-14,78;8,40;122,14;113,74;;0,22;-0,07;-0,07;0,18;-245,31;-4,00;0,44;-0,02;1,01;0,27;-11,60;;;-1,91;-4,67;;234.941.595,00
AIC;23,49;7,18;1.504,77;3,18;0,63;100,00;83,16;2,21;39,99;47,58;42,95;3,41;33,26;;-0,63;;0,21;0,04;1,32;0,20;0,80;0,02;-30,10;;;7,40;0,02;;78.583.520,00
AIRC;38,62;4,63;6,24;2,79;0,93;64,62;144,75;127,09;5,48;8,48;3,01;1,53;7,93;;-0,93;;44,76;14,84;19,67;0,33;0,66;0,12;;;;13,83;6,19;;5.954.709.664,00
AIV;7,30;0,27;4,61;1,50;0,46;61,54;198,22;126,59;2,94;5,35;2,40;1,22;5,84;;-0,46;;32,51;9,96;19,57;0,31;0,67;0,08;-29,80;;;4,87;1,58;;1.110.685.510,00
AIW;25,00;;1.601,50;3,38;0,67;100,00;83,16;2,21;42,56;47,58;42,95;3,41;35,39;;-0,67;;0,21;0,04;1,32;0,20;0,80;0,02;-30,10;;;7,40;0,02;;78.583.520,00
AJX;7,51;15,05;5,58;0,35;0,10;100,00;408,68;197,30;2,69;11,61;8,92;1,16;11,01;0,27;-0,32;2,19;6,28;1,81;5,60;0,29;0,71;0,01;4,61;8,50;;21,44;1,35;;170.726.332,00
AJXA;23,86;7,60;17,73;1,11;0,32;100,00;408,68;197,30;8,56;11,61;8,92;1,16;34,98;0,86;-1,03;2,19;6,28;1,81;5,60;0,29;0,71;0,01;4,61;8,50;;21,44;1,35;;170.726.332,00
