TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
THRA11;138,50;0,130000;32,66;9,54;14,52;53.642,50;140,47;90,73;1,62;14.050.683,35;2.084,00;Passiva;1.472.728,00
TBOF11;15,56;0,085963;0,00;0,21;74,10;;218,84;72,22;-42,54;2.155.042,06;9.179,00;Passiva;10.050.000,00
TRNT11;107,00;0,380000;4,58;202,46;0,53;15.304,78;0,64;-15,92;-17,42;796.806.635,95;806,00;Passiva;3.935.562,00
SPVJ11;0,00;0,660000;0,00;107,51;;;9,02;;;678.631.040,38;27,00;Ativa;6.312.090,00
SNCI11;104,15;1,300000;8,09;100,85;1,03;2.306.752,92;6,67;;;252.128.060,08;25.847,00;Ativa;2.500.001,00
BTWR11;105,49;0,430000;3,31;108,62;0,97;18.811,83;2,84;;;87.900.343,13;61,00;Passiva;809.269,00
PQAG11;57,27;0,400000;7,98;56,92;1,01;74.055,25;0,29;;;796.471.521,73;451,00;Ativa;13.991.890,00
HGRS11;0,00;;0,00;91,38;;;13,03;;;109.144.193,09;6,00;Ativa;1.194.352,00
BTAL11;97,50;0,830000;9,08;103,68;0,94;1.089.472,25;5,66;;;620.294.632,17;22.233,00;Ativa;5.982.736,00
MTOF11;0,00;;0,00;100,26;;;0,87;;;186.217.747,49;3,00;Ativa;1.857.348,00
KNIP11;100,65;1,700000;15,52;98,75;1,02;8.771.059,00;5,05;22,92;-3,12;7.024.687.466,11;65.395,00;Ativa;71.134.764,00
RRCI11;90,00;1,300000;12,84;97,72;0,92;116.364,17;7,83;;;47.078.878,45;2.219,00;Ativa;481.757,00
DVFF11;70,04;0,750000;9,28;91,43;0,77;144.531,75;10,37;;;100.664.467,06;250,00;Ativa;1.100.950,00
RDPD11;58,68;0,840000;11,44;59,86;0,98;17.753,29;3,69;9,24;-11,27;64.528.895,11;1.060,00;Ativa;1.078.042,00
VILG11;98,60;0,700000;7,94;113,73;0,87;2.070.661,17;1,08;-1,41;-3,93;1.705.713.972,90;147.088,00;Ativa;14.997.396,00
JTPR11;2.517,00;1,630372;0,00;101,37;24,83;;7,16;;;21.762.586,89;8,00;Ativa;214.674,00
FIGS11;50,97;0,370000;7,38;99,45;0,51;161.028,54;4,45;-16,72;-10,15;283.446.158,86;16.203,00;Passiva;2.850.000,00
VPSI11;0,00;0,131454;0,00;18,51;;;0,71;-1,57;;149.370.543,78;56,00;Passiva;8.071.897,00
RBCB11;19,00;0,300000;0,00;0,00;;;;-15,04;-53,58;0,00;462,00;Ativa;53.100,00
MCHF11;10,01;0,110000;9,69;9,78;1,02;1.245.675,13;27,22;;;315.930.781,84;12.769,00;Ativa;32.307.646,00
RNDP11;390,00;4,260000;12,68;675,09;0,58;9.051,30;43,06;-3,34;-25,81;72.559.446,44;966,00;Ativa;107.481,00
RBHY11;99,50;1,300000;15,34;97,59;1,02;168.069,79;7,05;;;154.351.628,31;2.722,00;Ativa;1.581.644,00
DOMC11;439,00;;0,00;108,12;4,06;;0,29;;-3,60;264.223.694,91;1.135,00;Ativa;2.443.800,00
SFRO11;0,00;;0,00;5,93;;;102,53;;;5.191.438,53;20,00;Passiva;875.758,00
MXRF11;9,63;0,110000;10,59;10,19;0,95;7.832.444,92;5,67;0,66;-5,47;2.302.693.543,19;515.542,00;Ativa;226.039.663,00
DEVA11;97,60;1,400000;15,94;96,94;1,01;5.243.979,25;3,47;;;1.348.028.900,42;92.802,00;Ativa;13.905.815,00
MVFI11;0,00;;0,00;1,69;;;0,10;;;132.184.175,84;1,00;Ativa;78.155.673,00
PATB11;0,00;6,074285;0,00;145,83;;;1,62;;;557.401.896,32;58,00;Ativa;3.822.328,00
RNGO11;48,14;0,390000;8,89;87,50;0,55;125.000,92;1,98;-9,48;-17,26;234.144.090,11;14.005,00;Passiva;2.676.000,00
KINP11;12,80;0,370736;17,41;6,98;1,83;16.325,63;5,68;;;49.887.832,99;701,00;Ativa;7.147.934,00
LGCP11;78,42;0,600000;8,71;102,08;0,77;139.845,25;0,76;;;278.968.633,64;9.783,00;Ativa;2.732.860,00
FMOF11;62,50;0,030000;0,05;122,79;0,51;5.086,47;1,33;20,42;-8,74;62.379.939,46;311,00;Passiva;508.008,00
KNHY11;102,00;1,550000;14,99;98,86;1,03;2.553.943,38;22,93;21,62;-3,92;1.827.913.499,74;13.410,00;Ativa;18.490.843,00
NCHB11;100,00;1,468968;13,16;95,28;1,05;939.744,79;2,11;-17,45;;138.440.850,85;9.708,00;Ativa;1.452.983,00
HSAF11;93,54;1,150000;13,28;94,57;0,99;448.656,42;3,42;;;167.739.520,36;5.548,00;Ativa;1.773.624,00
BMII11;0,00;0,228341;0,00;496,22;;;0,27;;;69.470.397,70;12,00;Ativa;140.000,00
CVBI11;101,21;1,120000;12,65;99,77;1,01;3.819.602,33;5,13;;;1.049.143.531,67;55.230,00;Ativa;10.516.005,00
SFND11;83,07;4,250000;5,12;9,69;8,57;;23,03;116,69;;9.508.508,52;54,00;Passiva;981.472,00
FINF11;0,00;0,272017;0,00;52,29;;;1,68;19,35;;42.886.215,12;4,00;Ativa;820.112,00
GSFI11;4,42;;0,00;13,34;0,33;107.039,46;19,97;;-0,60;1.003.017.717,48;7.869,00;Ativa;75.198.136,00
CXCI11;80,22;0,700000;1,25;97,74;0,82;101.470,21;71,67;;;201.125.513,02;6.237,00;Ativa;2.057.726,00
LPLP11;0,00;8,324561;0,00;901,44;;;0,96;;;49.624.125,80;2,00;Ativa;55.050,00
CEOC11;62,13;0,485272;9,00;90,33;0,69;55.980,79;2,08;-5,62;-10,22;164.007.871,01;5.635,00;Passiva;1.815.696,00
TCIN11;111,59;;0,00;108,27;1,03;55.871,33;1,11;;;89.993.358,75;131,00;Ativa;831.197,00
RBLG11;87,40;0,800000;9,97;104,50;0,84;1.932,00;1,26;;;66.897.594,99;141,00;Ativa;640.199,00
MMPD11;0,00;;0,00;97,05;;;101,57;;;51.434.187,78;48,00;Ativa;530.000,00
TRXB11;120,97;0,850000;8,25;97,98;1,23;1.167.977,72;7,75;;;245.083.864,20;178,00;Passiva;2.501.419,00
PVBI11;92,03;0,560000;7,31;99,14;0,93;2.613.268,63;0,49;;;995.275.932,69;63.919,00;Ativa;10.039.493,00
PORD11;92,94;1,410000;13,66;99,17;0,94;1.011.819,38;4,74;-31,49;-4,11;369.748.397,85;15.883,00;Ativa;3.728.375,00
CPTS11;94,05;1,100000;13,26;93,39;1,01;9.089.618,21;0,51;14,62;-2,11;2.612.266.966,14;155.364,00;Ativa;27.972.629,00
BZLI11;16,50;;0,00;10,79;1,53;21.237,67;0,12;;3,93;433.186.561,93;323,00;Ativa;40.162.783,00
LRDI11;0,00;;0,00;99,65;;;6,62;;;23.107.422,21;14,00;Ativa;231.879,00
LOFT11B;29,90;0,201705;0,00;49,72;0,60;;23,92;;;97.578.643,07;1,00;Ativa;1.962.500,00
RBHG11;90,39;1,150000;12,82;96,77;0,93;284.026,21;2,63;;;167.175.157,21;6.109,00;Ativa;1.727.582,00
BRHT11B;86,80;;0,00;80,01;1,08;;6,04;;;147.354.771,08;11,00;--;1.841.677,00
QAMI11;94,35;1,235000;15,02;91,11;1,04;78.964,17;1,71;;;73.014.293,72;1.191,00;Ativa;801.398,00
HFOF11;72,34;0,600000;9,95;84,85;0,85;1.733.493,46;1,23;-10,90;-10,82;1.950.495.273,01;64.592,00;Ativa;22.987.007,00
HBCR11;106,86;0,722079;10,02;85,97;1,24;415.799,20;3,86;;;60.333.469,05;36,00;Ativa;272.000,00
BPML11;70,35;0,300000;5,02;133,97;0,53;39.451,67;3,34;;;576.749.054,70;1.422,00;Passiva;4.305.079,00
RBED11;120,53;1,140000;10,67;141,66;0,85;374.835,46;3,36;2,79;-12,02;286.382.825,62;12.281,00;Ativa;2.021.621,00
GTWR11;74,02;0,740000;11,33;98,59;0,75;682.072,00;0,64;1,16;;1.183.075.215,12;25.091,00;Ativa;12.000.000,00
CPFF11;70,89;0,600000;11,54;77,28;0,92;918.660,96;0,28;;;421.166.070,61;14.334,00;Ativa;5.449.778,00
CARE11;4,36;0,008385;0,77;8,16;0,53;1.535.276,54;0,07;;-14,19;292.055.346,66;9.015,00;Ativa;35.769.919,00
VTXI11;0,00;;0,00;27,70;;;64,88;;;2.866.505,74;2,00;Ativa;103.500,00
GESE11B;1.520,00;14,000544;9,02;1.664,33;0,91;;1,00;;;86.544.906,98;55,00;Passiva;52.000,00
XTED11;6,19;0,323281;0,00;13,89;0,45;8.174,29;0,36;;-0,74;27.305.951,24;4.455,00;Ativa;1.965.425,00
LVBI11;97,12;0,740000;8,24;114,69;0,85;2.604.342,83;4,95;2,42;-5,06;1.350.472.515,23;44.727,00;Ativa;11.775.177,00
MGCR11;87,18;1,000000;12,09;95,06;0,92;235.818,04;15,96;;;135.199.801,61;2.430,00;Ativa;1.422.304,00
FLMA11;119,79;0,830000;6,16;156,87;0,76;59.867,67;2,66;-4,51;-10,90;216.587.068,40;19.416,00;Ativa;1.380.670,00
HCHG11;80,66;0,875000;8,67;102,25;0,79;92.161,75;1,51;;;122.704.091,56;318,00;Ativa;1.200.000,00
FIVN11;2,12;;0,00;6,98;0,30;15.806,96;0,03;;-10,43;65.708.362,04;3.347,00;Passiva;9.412.630,00
LAVF11;0,00;1,300000;0,00;716,81;;;1,66;;;31.969.665,33;8,00;Ativa;44.600,00
HSML11;77,26;0,600000;8,00;93,81;0,82;2.262.927,83;4,17;;;1.480.399.877,43;119.420,00;Ativa;15.780.613,00
BBIM11;0,00;0,250000;0,00;48,44;;;0,97;-2,57;;50.131.088,62;20,00;Ativa;1.035.000,00
RSPD11;1.300,00;13,250897;1,87;1.108,03;1,17;84.500,00;0,01;;;165.080.218,53;106,00;Ativa;148.985,00
JCDA11;0,00;;0,00;10,85;;;7,19;;;136.639.870,84;49,00;Ativa;12.594.791,00
BMLC11;91,91;0,740000;8,39;109,25;0,84;40.907,26;3,03;15,98;4,77;109.078.796,98;1.453,00;Ativa;998.405,00
HPDP11;80,00;0,450000;5,60;94,70;0,84;1.136,13;1,20;;;275.455.033,81;372,00;Passiva;2.908.813,00
RBFF11;50,10;0,480000;11,34;64,77;0,77;367.511,88;1,76;-10,75;;242.820.341,76;22.578,00;Ativa;3.749.215,00
BTRA11;101,67;0,940000;6,64;103,32;0,98;731.438,08;17,83;;;347.612.245,52;12.368,00;Ativa;3.364.559,00
ESTQ11;0,00;;0,00;0,25;;;68,09;;;16.015.431,72;5,00;Ativa;65.361.974,00
BARI11;100,40;1,300000;13,78;101,99;0,98;1.334.670,42;4,25;;;472.622.336,79;33.372,00;Ativa;4.634.191,00
SDIL11;87,75;0,760000;9,61;97,50;0,90;980.543,75;1,75;7,06;-5,87;623.541.568,26;54.615,00;Ativa;6.395.050,00
RBRD11;44,01;0,300000;7,13;71,18;0,62;70.120,13;3,02;-30,54;-21,56;131.808.335,67;10.677,00;Passiva;1.851.786,00
SNFF11;82,91;0,650000;7,72;91,31;0,91;563.727,79;3,79;;;228.274.891,17;31.162,00;Ativa;2.500.000,00
SOLR11;1.011,00;7,156147;10,64;1.008,52;1,00;2.014.249,00;1,05;;;63.418.773,33;52,00;Ativa;62.883,00
WHGR11;0,00;;0,00;10,13;;;27,16;;;150.238.855,66;93,00;Ativa;14.828.868,00
TSER11;99,99;0,900000;10,58;96,26;1,04;519.162,73;2,75;;;115.990.883,42;24,00;Ativa;1.205.000,00
MMVE11;0,00;;0,00;103,13;;;7,16;;;46.406.868,20;13,00;Ativa;450.000,00
MGFF11;62,50;0,650000;10,41;76,12;0,82;1.049.054,33;8,59;-9,05;-14,37;688.916.761,45;50.210,00;Ativa;9.050.620,00
KNRE11;0,92;0,040437;7,64;1,25;0,74;5.086,79;21,91;;-52,75;23.173.778,00;6.050,00;Ativa;18.547.161,00
MORE11;70,00;0,700000;11,57;87,51;0,80;535.954,08;6,48;;;202.952.841,10;14.592,00;Ativa;2.319.115,00
MGHT11;78,92;0,800000;11,14;98,78;0,80;23.214,42;1,17;;;129.777.732,57;694,00;Ativa;1.313.784,00
