TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AESE;1,84;;-2,27;2,49;1,01;263,95;2.660,60;2.869,47;-2,45;-2,17;0,28;-0,29;;3,19;-8,64;1,56;-109,70;-44,47;-88,45;0,41;0,59;-0,02;;;;0,74;-0,81;;72.021.096,00
AEY;2,44;;-3,76;3,17;1,05;28,23;-14,48;-14,85;-3,86;-4,30;-0,45;0,37;0,56;6,26;-3,29;1,33;-84,39;-28,00;-47,11;0,33;0,67;1,89;2,79;;;0,77;-0,65;;30.527.816,00
AEYE;11,66;;-15,31;5,71;4,00;74,06;-37,77;-37,98;-15,39;-12,53;2,87;-1,06;5,81;6,73;-33,80;3,08;-37,30;-26,15;-36,87;0,70;0,30;0,69;127,09;;;2,04;-0,76;;132.184.756,00
AEZS;0,71;;-11,73;1,34;0,99;52,86;-182,47;-233,23;-14,99;-2,22;12,77;-1,14;27,36;1,19;-9,11;15,68;-11,44;-8,44;-9,15;0,74;0,26;0,04;46,29;;;0,53;-0,06;;86.120.870,00
AFBI;14,90;;15,71;0,89;0,13;86,15;0,00;18,33;;;;-0,54;2,88;1,19;-1,50;1,13;5,66;0,82;;0,14;0,86;0,04;;;;16,77;0,95;;102.401.740,00
AFG;131,64;15,19;4,90;1,99;0,39;32,28;22,48;29,48;6,43;6,10;-0,33;-0,10;1,44;;-0,39;;40,65;7,91;17,40;0,19;0,81;0,27;5,18;15,77;;66,09;26,87;;11.156.411.016,00
AFGB;27,86;;1,04;0,42;0,08;32,28;22,48;29,48;1,36;6,10;-0,33;-0,10;0,31;;-0,08;;40,65;7,91;17,40;0,19;0,81;0,27;5,18;15,77;;66,09;26,87;;11.156.411.016,00
AFGC;27,22;;1,01;0,41;0,08;32,28;22,48;29,48;1,33;6,10;-0,33;-0,10;0,30;;-0,08;;40,65;7,91;17,40;0,19;0,81;0,27;5,18;15,77;;66,09;26,87;;11.156.411.016,00
AFGD;28,34;;1,05;0,43;0,08;32,28;22,48;29,48;1,38;6,10;-0,33;-0,10;0,31;;-0,08;;40,65;7,91;17,40;0,19;0,81;0,27;5,18;15,77;;66,09;26,87;;11.156.411.016,00
AFGE;27,50;;1,02;0,42;0,08;32,28;22,48;29,48;1,34;6,10;-0,33;-0,10;0,30;;-0,08;;40,65;7,91;17,40;0,19;0,81;0,27;5,18;15,77;;66,09;26,87;;11.156.411.016,00
AFI;3,03;;-1,81;0,28;0,13;12,40;-4,05;-5,89;-2,63;-4,42;-1,79;0,19;0,11;0,81;-0,23;1,62;-15,65;-7,29;-8,77;0,47;0,53;1,24;-13,23;;;10,73;-1,68;;65.708.277,00
AFIB;11,26;;-2,65;4,15;2,24;-74,26;-778,02;-844,29;-2,88;-2,50;0,38;-0,55;22,40;3,74;-8,16;5,72;-156,35;-84,36;-94,61;0,54;0,46;0,10;;;;2,71;-4,24;;314.624.668,00
AFL;54,66;2,32;6,31;1,09;0,23;45,09;24,32;25,23;6,55;7,59;1,03;0,17;1,59;;-0,23;;17,21;3,60;11,42;0,21;0,79;0,14;1,19;13,53;;50,30;8,66;;36.662.719.458,00
AFMD;6,48;;-21,17;3,79;2,36;100,00;-82,54;-89,26;-22,90;-14,63;8,26;-1,37;18,90;3,49;-25,93;3,93;-17,88;-11,16;-15,62;0,62;0,38;0,13;32,81;;;1,71;-0,31;;770.816.088,00
AFRM;123,70;;-126,52;13,64;6,88;58,37;-27,10;-34,01;-158,82;-153,86;4,95;-0,43;43,03;102,35;-11,38;1,20;-10,78;-5,44;-6,46;0,50;0,50;0,16;;;;9,07;-0,98;;32.792.041.210,00
AFYA;21,96;;37,98;3,77;2,26;64,17;30,41;22,12;27,62;26,48;-1,14;-0,16;8,40;15,79;-3,09;2,12;9,94;5,94;10,81;0,60;0,40;0,27;;;;5,82;0,58;;2.046.709.332,00
AG;12,21;0,09;54,58;3,65;2,54;44,31;14,66;15,17;56,47;55,11;-1,37;-0,09;8,28;13,45;-3,46;3,40;6,68;4,65;4,71;0,70;0,30;0,31;10,64;;;3,35;0,22;;3.131.634.231,00
AGBA;10,82;;-95,94;11,55;1,34;;;;-95,94;-99,37;-3,43;0,41;;-19,59;-1,35;0,15;-12,04;-1,39;-7,95;0,12;0,11;0,00;;;;0,94;-0,11;;57.758.242,00
AGBAR;0,33;;-2,93;0,35;0,04;;;;-2,93;-99,37;-3,43;0,41;;-0,60;-0,04;0,15;-12,04;-1,39;-7,95;0,12;0,11;0,00;;;;0,94;-0,11;;57.758.242,00
