TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
CNES11;43,64;6,72;0,48;31.091,35;5,49;11,03;-21,39;270.853.338,37;2.727,00;Ativa;
DLMT11;0,00;0,00;;;0,48;;;13.678.620,49;9,00;Ativa;
FIGS11;58,54;3,21;0,62;327.941,61;4,83;-41,72;-15,61;268.099.624,64;18.424,00;Passiva;
GCRI11;0,00;0,00;;;9,93;;;44.245.276,34;56,00;Ativa;
JBFO11;0,00;0,00;;;1,32;;;83.911.271,86;234,00;Ativa;
OUJP11;105,71;7,40;1,02;1.007.059,30;5,80;-7,34;0,50;237.251.658,80;19.168,00;Ativa;
PQAG11;68,00;10,32;1,25;37.757,26;6,39;;;760.743.499,81;340,00;Ativa;
RBBV11;97,13;6,26;0,97;69.843,65;0,38;12,55;8,76;125.711.158,87;3.154,00;Passiva;
SEQR11;88,98;0,76;0,84;71.249,57;4,00;;;156.374.642,51;878,00;Ativa;
SJAU11;25.400,00;0,00;1,15;375.314,75;0,63;;;793.464.959,17;65,00;Passiva;
SOLR11;0,00;0,00;;;0,91;;;63.719.456,20;1,00;Ativa;
BLMR11;92,40;0,49;0,95;1.057.985,13;27,86;;;247.903.995,90;3.679,00;Ativa;
ESTQ11;0,00;0,00;;;17,07;;;23.487.120,96;5,00;Ativa;
OULG11;72,40;10,04;0,77;158.639,91;5,83;;;233.874.420,23;6.546,00;Ativa;
PORD11;104,00;8,94;1,03;216.228,87;3,99;;0,42;199.123.743,91;8.486,00;Ativa;
ONEF11;140,69;5,38;0,88;86.416,74;0,99;-2,77;-51,33;146.178.085,59;4.535,00;Passiva;
ORPD11;129,99;0,00;0,90;18.922,30;0,00;;;41.914.532,76;16,00;Ativa;
OUFF11;83,55;8,92;0,92;258.142,96;12,04;;;164.625.376,70;6.590,00;Ativa;
CARE11;0,56;2,20;0,36;34.691,65;0,31;;-37,10;278.730.566,18;10.624,00;Ativa;
DMAC11;78,99;32,99;0,49;31.706,57;17,99;;;24.988.101,37;1.165,00;Passiva;
FIIB11;506,99;5,71;1,15;385.801,48;1,10;-2,59;7,33;303.170.409,65;17.429,00;Passiva;
KNIP11;115,35;8,96;1,11;22.013.861,35;15,97;7,64;2,22;4.884.362.522,99;46.112,00;Ativa;
KNSC11;106,18;4,36;1,13;1.667.841,87;4,50;;;247.954.565,07;11.709,00;Ativa;
MOFF11;0,00;0,00;;;5,51;;;193.059.922,44;3,00;Ativa;
NCHB11;104,00;11,15;1,12;496.221,91;28,52;-35,20;;52.957.163,75;5.183,00;Ativa;
VGIR11;95,10;5,78;0,98;986.680,57;2,15;;;436.618.569,79;23.705,00;Ativa;
FCFL11;109,99;6,00;1,08;348.677,22;0,49;-0,43;-1,26;352.264.110,79;4.568,00;Passiva;
FEXC11;95,14;8,81;0,99;323.406,48;13,19;-3,89;-4,32;327.839.727,71;10.902,00;Ativa;
VILG11;118,02;5,58;1,03;5.599.711,57;42,09;;;1.235.871.215,46;123.972,00;Ativa;
VINO11;61,50;7,56;1,02;1.920.820,17;3,17;;;767.092.998,33;68.914,00;Ativa;
BICR11;92,29;3,16;0,92;9.963,90;8,72;;;49.900.159,74;633,00;Ativa;
DOMC11;439,00;0,00;0,40;17.499,67;0,72;;-7,57;271.169.512,09;1.151,00;Passiva;
ELDO11B;762,38;4,21;0,62;;0,11;-23,44;;972.424.313,56;61,00;Passiva;
CPTS11;102,20;9,65;1,07;7.783.782,09;5,97;1,50;1,22;1.281.820.456,23;67.670,00;Ativa;
CTXT11;29,45;11,41;0,61;18.283,52;0,72;-10,58;92,63;125.470.164,41;4.666,00;Passiva;
CVBI11;106,95;10,50;1,07;3.494.631,74;62,48;;;353.260.153,13;26.041,00;Ativa;
CXCE11B;81,99;12,71;1,01;100.372,57;5,73;5,03;-5,32;138.924.560,26;2.391,00;Passiva;
CXRI11;101,47;9,92;1,06;47.490,22;0,02;4,97;-55,42;151.255.749,01;2.965,00;Ativa;
BLMG11;105,00;0,69;1,05;1.752.940,15;0,86;;;189.626.273,25;82,00;Ativa;
CEOC11;71,16;8,20;0,82;101.095,17;2,08;-3,90;-7,53;157.496.578,24;7.261,00;Passiva;
EVBI11;104,50;1,22;1,07;350.977,79;2,92;;;105.886.495,88;61,00;Ativa;
MALL11;95,79;4,72;0,91;1.883.963,78;4,57;-15,72;-2,89;796.410.355,29;81.005,00;Ativa;
URPR11;127,90;17,17;1,25;1.052.389,70;2,35;;;76.934.986,73;4.101,00;Ativa;
BTAL11;102,71;0,16;1,03;808.753,17;77,83;;;598.847.678,70;8.584,00;Ativa;
BTCR11;93,45;5,84;0,97;1.247.052,22;7,90;;;463.812.857,71;7.791,00;Ativa;
BTWR11;0,00;0,00;;;2,51;;;86.291.298,83;51,00;Passiva;
CJCT11;62,00;0,00;0,92;72.705,82;1,37;;0,96;183.253.662,17;1.692,00;Passiva;
BCFF11;86,30;6,52;1,02;5.347.317,78;5,92;-3,50;-0,84;1.740.044.376,58;267.094,00;Ativa;
BCIA11;103,80;7,89;0,90;570.808,09;3,51;-1,09;-5,75;429.459.197,92;13.795,00;Ativa;
BCRI11;112,89;9,65;1,05;1.181.693,70;4,65;-0,72;2,97;472.576.027,05;37.498,00;Ativa;
DEVA11;118,75;7,09;1,18;3.682.952,13;36,87;;;575.390.181,80;15.186,00;Ativa;
GTWR11;106,20;7,74;1,05;1.758.948,35;0,36;;;1.209.916.197,62;26.457,00;Ativa;
RBRM11;160.000,00;36,86;0,98;;7,97;;;88.217.345,84;54,00;Ativa;
RCRI11B;1.200,00;4,29;1,17;3.600,00;6,13;;;52.401.460,27;144,00;Ativa;
SHDP11B;0,00;0,00;;;0,39;-3,22;;2.121.490.028,68;3,00;Passiva;
TFOF11;138,00;6,43;1,14;389.140,62;13,36;29,98;-54,24;103.080.374,68;3.278,00;Ativa;
BTSG11;0,00;0,00;;;0,46;;;72.734.760,38;49,00;Ativa;
DAMT11B;0,00;0,00;;;0,03;;;103.331.574,15;51,00;Passiva;
RBED11;143,02;8,46;0,95;403.901,52;9,45;-6,24;-6,38;269.085.967,08;13.486,00;Ativa;
RBFF11;67,65;8,41;0,90;577.945,78;15,47;-2,66;;280.730.877,03;17.338,00;Ativa;
RBGS11;38,62;3,01;0,42;39.148,48;0,58;20,78;-11,62;98.027.491,89;3.046,00;Passiva;
RBHY11;100,30;1,57;1,01;125.624,33;47,23;;;59.682.480,26;63,00;Ativa;
RBIR11;79,00;0,00;0,82;75.235,50;66,76;;;147.961.143,01;1.145,00;Ativa;
RBRR11;99,60;6,55;1,00;2.189.891,78;9,19;;;757.868.069,96;68.201,00;Ativa;
RBRS11;80,00;2,53;0,83;23.046,83;34,13;;;101.034.869,38;1.033,00;Ativa;
RBRY11;106,00;7,75;1,01;1.034.615,35;23,66;;;205.131.346,63;3.371,00;Ativa;
RCRB11;162,00;6,48;0,82;894.275,17;3,92;11,04;-3,38;729.567.564,25;28.764,00;Ativa;
