TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;9,76;;-4,03;1,33;0,46;30,29;-1,09;-25,30;-93,52;-166,07;-72,55;1,03;1,02;-3,59;-0,54;0,55;-33,11;-11,37;-1,98;0,34;0,65;0,45;0,13;;1.696.769,83;7,32;-2,42;-0,01;1.154.537.884,16
ABCB4;18,70;6,45;5,38;0,78;0,08;31,62;25,25;19,35;4,12;4,12;;;1,04;3,42;-0,08;1,50;14,50;1,45;;0,10;0,90;0,07;18,70;12,95;11.842.251,71;23,98;3,48;0,37;4.227.885.206,60
ABEV3;12,87;5,92;14,20;2,38;1,52;49,95;21,50;17,26;11,40;10,93;-0,47;-0,10;2,45;1.002,07;-2,05;1,01;16,78;10,71;18,20;0,64;0,35;0,62;10,72;14,46;330.205.603,44;5,40;0,91;2,61;202.751.834.365,08
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;0,84;;-6,04;0,76;0,20;13,03;9,37;-3,59;2,32;5,69;3,38;1,11;0,22;0,85;-0,52;1,63;-12,65;-3,35;9,83;0,27;0,73;0,93;;;5.307.647,24;1,10;-0,14;0,00;643.619.303,04
AESB3;10,10;;41,94;1,38;0,30;34,55;27,40;4,68;7,16;16,98;9,82;1,89;1,96;3,61;-0,39;1,64;3,29;0,73;4,29;0,22;0,73;0,16;;;22.416.056,76;7,32;0,24;-0,60;6.079.465.841,10
AFLT3;7,70;3,41;15,85;1,86;1,55;57,31;45,58;44,72;15,56;15,18;-0,38;-0,05;7,09;15,92;-1,93;1,98;11,71;9,80;10,57;0,84;0,16;0,22;24,96;19,61;15.174,81;4,15;0,49;-0,21;485.752.190,00
AGRO3;24,50;;9,37;1,15;0,72;30,76;21,55;20,98;9,12;10,79;1,67;0,21;1,97;3,51;-1,17;2,14;12,22;7,65;8,56;0,63;0,37;0,36;27,22;16,28;21.550.134,34;21,40;2,62;-0,19;2.515.744.378,00
AGXY3;3,76;1,05;-3,27;0,61;0,07;12,38;3,90;-1,77;1,48;3,63;2,15;0,88;0,06;1,32;-0,35;1,08;-18,62;-2,24;13,29;0,12;0,88;1,27;;;258.961,22;6,18;-1,15;0,00;642.301.958,64
AHEB3;16,00;;1,82;15,94;0,37;35,19;21,45;15,93;1,36;1,03;-0,32;-3,79;0,29;2,79;-0,64;1,46;873,55;20,39;683,71;0,02;0,98;1,28;20,77;;3.642,50;1,00;8,77;0,00;136.782.554,03
AHEB5;16,59;;1,89;16,53;0,39;35,19;21,45;15,93;1,41;1,03;-0,32;-3,79;0,30;2,89;-0,67;1,46;873,55;20,39;683,71;0,02;0,98;1,28;20,77;;2.203,00;1,00;8,77;0,00;136.782.554,03
AHEB6;17,02;;1,94;16,95;0,40;35,19;21,45;15,93;1,44;1,03;-0,32;-3,79;0,31;2,96;-0,69;1,46;873,55;20,39;683,71;0,02;0,98;1,28;20,77;;1.702,00;1,00;8,77;0,00;136.782.554,03
ALLD3;5,70;6,21;8,46;0,35;0,15;13,77;3,60;1,16;2,74;3,93;1,20;0,15;0,10;0,54;-0,48;1,65;4,10;1,75;7,52;0,43;0,57;1,51;14,71;27,14;121.446,63;16,44;0,67;-0,16;531.357.317,40
ALPA3;8,35;;-25,00;1,07;0,73;42,24;-7,11;-5,67;-19,93;-23,09;-3,27;0,18;1,42;3,25;-1,18;2,50;-4,30;-2,94;-6,09;0,68;0,32;0,52;2,36;;24.037,61;7,77;-0,33;0,18;5.669.214.400,40
ALPA4;8,25;;-24,70;1,06;0,73;42,24;-7,11;-5,67;-19,70;-23,09;-3,27;0,18;1,40;3,21;-1,16;2,50;-4,30;-2,94;-6,09;0,68;0,32;0,52;2,36;;39.110.179,88;7,77;-0,33;0,17;5.669.214.400,40
ALPK3;4,25;;-7,11;2,49;0,34;29,43;9,95;-10,37;7,41;17,30;9,89;3,32;0,74;-3,14;-0,41;0,60;-34,95;-4,79;6,20;0,14;0,86;0,46;3,17;;620.011,78;1,71;-0,60;0,25;911.312.722,75
ALSC3;27,75;;38,57;2,20;1,20;75,71;65,32;27,78;16,41;14,85;-1,56;-0,21;10,72;9,41;-1,43;5,39;5,69;3,12;11,21;0,55;0,44;0,11;2,54;19,34;;12,64;0,72;0,58;5.694.242.307,75
ALSO3;23,33;2,22;4,18;0,91;0,47;101,46;315,02;172,55;2,29;2,00;-0,29;-0,12;7,21;10,12;-0,53;1,87;21,84;11,36;26,95;0,52;0,44;0,07;25,65;87,46;113.335.999,64;25,57;5,58;0,00;13.389.948.086,97
ALUP11;27,99;6,00;11,22;1,14;0,30;76,94;72,93;23,99;3,69;7,62;3,93;1,22;2,69;2,76;-0,37;2,44;10,19;2,70;9,59;0,27;0,61;0,11;20,04;18,11;20.447.729,22;24,49;2,50;-0,39;8.530.192.318,32
ALUP3;9,34;6,00;11,23;1,14;0,30;76,94;72,93;23,99;3,69;7,62;3,93;1,22;2,69;2,77;-0,37;2,44;10,19;2,70;9,59;0,27;0,61;0,11;20,04;18,11;112.933,83;8,16;0,83;-0,39;8.530.192.318,32
ALUP4;9,35;5,99;11,24;1,15;0,30;76,94;72,93;23,99;3,70;7,62;3,93;1,22;2,70;2,77;-0,37;2,44;10,19;2,70;9,59;0,27;0,61;0,11;20,04;18,11;174.934,15;8,16;0,83;-0,39;8.530.192.318,32
AMAR3;2,52;;-0,35;0,57;0,06;37,33;-10,87;-19,59;-0,62;-4,42;-3,80;3,46;0,07;-41,99;-0,12;1,00;-163,84;-18,69;-18,84;0,11;0,89;0,95;-0,89;;3.202.166,10;4,44;-7,27;0,00;172.792.826,64
AMBP3;13,65;0,98;-13,44;1,45;0,14;23,53;17,72;-2,54;1,93;7,32;5,40;4,05;0,34;0,48;-0,27;2,75;-10,75;-1,06;7,48;0,10;0,84;0,42;83,52;;20.834.339,85;9,44;-1,02;0,07;1.541.570.776,20
AMER3;0,84;;17,68;0,05;0,02;30,68;4,18;0,15;0,65;8,29;7,64;0,59;0,03;0,09;-0,03;1,84;0,28;0,10;1,24;0,35;0,65;0,65;21,42;;7.842.409,05;16,74;0,05;-0,46;758.124.782,52
ANDG3B;28,82;;59,95;2,23;1,88;47,12;179,06;45,82;15,34;8,60;0,93;0,13;27,47;-25,32;-1,93;0,26;3,71;3,14;12,68;0,85;0,15;0,07;10,22;-38,09;;12,94;0,48;-0,78;1.651.867.985,68
ANDG4B;0,00;;0,00;0,00;0,00;47,12;179,06;45,82;0,00;8,60;0,93;0,13;0,00;0,00;0,00;0,26;3,71;3,14;12,68;0,85;0,15;0,07;10,22;-38,09;;12,94;0,48;0,00;1.651.867.985,68
ANIM3;2,61;;-9,60;0,41;0,10;57,41;10,29;-3,02;2,82;13,96;11,14;1,62;0,29;8,04;-0,13;1,07;-4,26;-1,09;-0,38;0,26;0,70;0,36;27,79;;27.163.156,56;6,39;-0,27;0,15;1.054.097.581,05
APER3;32,74;0,99;14,20;0,79;0,51;100,00;9,07;9,31;14,57;11,46;-3,11;-0,17;1,32;20,48;-0,66;1,12;5,57;3,60;3,59;0,65;0,35;0,39;22,90;;866.622,88;41,37;2,31;0,04;375.859.587,16
APTI3;197,64;;-0,16;0,02;0,01;94,43;-97,83;-52,08;-0,08;-0,46;0,54;-0,11;0,08;0,02;-0,01;6,40;-10,90;-4,82;-22,96;0,44;0,56;0,09;4,07;;;11.599,68;-1.264,69;0,00;44.442.750,00
APTI4;3.500,00;;-2,77;0,30;0,13;94,43;-97,83;-52,08;-1,47;-0,46;0,54;-0,11;1,44;0,36;-0,24;6,40;-10,90;-4,82;-22,96;0,44;0,56;0,09;4,07;;;11.599,68;-1.264,69;0,00;44.442.750,00
ARML3;12,13;1,27;26,32;3,57;1,12;48,40;34,24;14,07;10,82;14,37;3,54;1,17;3,70;5,48;-1,62;2,90;13,57;4,24;11,42;0,31;0,69;0,30;;;7.940.488,80;3,40;0,46;0,42;4.197.174.577,33
ARZZ3;58,71;2,72;17,61;2,34;1,20;53,36;10,78;8,03;13,13;13,83;0,70;0,12;1,41;6,10;-2,45;1,63;13,29;6,81;12,78;0,51;0,48;0,85;25,49;19,09;98.970.238,93;25,08;3,33;-1,24;6.516.176.284,26
ASAI3;10,94;0,80;15,66;3,42;0,36;16,45;5,04;1,53;4,74;7,84;3,10;2,24;0,24;-4,33;-0,53;0,79;21,83;2,28;16,55;0,10;0,90;1,50;;;161.578.356,56;3,20;0,70;-0,38;14.785.011.149,48
ATMP3;3,20;;0,08;-0,24;0,05;-22,72;-46,86;258,67;-0,44;-1,87;-1,43;;0,21;-0,09;-0,07;0,30;-305,71;64,77;-588,68;-0,21;1,21;0,25;-16,95;;201.572,37;-13,18;40,30;0,00;85.473.139,20
ATOM3;1,98;16,18;21,34;2,42;1,65;94,22;5,18;8,23;33,91;20,70;-13,21;-0,94;1,76;1,74;-74,23;34,11;11,36;7,75;4,23;0,68;0,32;0,94;;-11,48;14.289,44;0,82;0,09;-0,28;47.133.698,04
AURA33;33,11;4,29;10,72;1,46;0,63;36,27;23,68;11,46;5,19;6,57;1,39;0,39;1,23;9,93;-0,93;1,24;13,62;5,84;12,85;0,43;0,57;0,51;32,13;63,49;1.461.483,71;22,68;3,09;-0,25;2.342.282.850,60
AURE3;13,45;11,15;4,34;0,91;0,41;21,03;27,60;52,70;8,29;8,57;0,27;0,03;2,29;2,77;-0,56;2,12;20,94;9,38;5,22;0,45;0,55;0,18;;;49.823.435,51;14,79;3,10;0,00;13.450.000.000,00
AVLL3;4,18;;-0,23;-0,23;0,08;26,70;-77,39;-151,33;-0,45;-4,09;-3,64;;0,35;-0,15;-0,11;0,32;-99,81;-36,22;-46,92;-0,36;1,36;0,24;19,61;;3.491,17;-18,05;-18,01;-0,01;119.611.590,34
AZEV3;1,88;;-3,66;1,47;0,28;8,06;-12,68;-8,98;-2,59;-3,24;-0,63;0,35;0,33;-2,61;-0,49;0,79;-40,11;-7,78;-73,14;0,19;0,81;0,87;43,23;;2.475.524,95;1,28;-0,51;0,01;176.336.592,50
AZEV4;1,90;;-3,70;1,48;0,29;8,06;-12,68;-8,98;-2,62;-3,24;-0,63;0,35;0,33;-2,64;-0,49;0,79;-40,11;-7,78;-73,14;0,19;0,81;0,87;43,23;;5.862.977,63;1,28;-0,51;0,01;176.336.592,50
AZUL4;12,84;;-10,01;-0,83;0,95;19,58;10,89;-9,23;8,49;13,64;11,30;;0,92;-1,33;-1,30;0,28;-8,24;-9,47;75,25;-1,15;2,15;1,03;15,41;;160.848.230,59;-15,56;-1,28;0,31;4.469.393.536,65
