TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
RSPD11;0,00;0,00;;;18,29;;;103.007.399,84;98,00;Ativa;
CJFI11;0,00;0,00;;;0,56;;;79.353.490,83;1,00;Ativa;
CNES11;47,05;6,26;0,51;53.334,35;5,62;8,02;-20,58;270.905.397,90;2.807,00;Ativa;
CTXT11;30,20;12,22;0,62;28.093,13;0,46;-7,54;94,73;125.721.310,44;4.800,00;Passiva;
HCRI11;509,94;6,49;1,68;35.581,04;0,50;5,77;13,44;60.593.433,41;3.217,00;Passiva;
HCTR11;149,79;15,72;1,25;9.517.209,57;8,02;;;796.605.495,45;64.452,00;Ativa;
HFOF11;101,72;7,76;1,04;3.454.598,04;1,60;0,60;0,72;2.100.054.513,00;64.658,00;Ativa;
HGBS11;202,70;2,97;0,92;2.253.154,35;1,11;-26,91;-4,81;2.204.296.561,31;80.366,00;Ativa;
HGCR11;103,79;6,45;0,98;2.870.820,78;7,47;-11,56;-1,01;1.308.364.784,05;61.594,00;Ativa;
HGIC11;0,00;0,00;;;2,70;;;8.903.524,70;4,00;Ativa;
HMOC11;226,95;25,59;0,95;69.159,67;0,59;62,68;;91.116.845,87;208,00;Passiva;
HOSI11;84,46;3,93;0,91;49.112,52;12,64;;;53.331.129,11;2.136,00;Ativa;
HREC11;102,90;3,72;1,02;30.924,26;1,22;;;91.416.594,43;147,00;Ativa;
HSLG11;110,30;1,33;1,05;1.437.231,57;5,21;;;1.332.013.637,77;10.541,00;Ativa;
HTMX11;102,01;0,00;0,77;373.057,26;1,77;8,60;-9,51;166.127.946,56;24.648,00;Ativa;
HUSC11;147,70;4,75;1,14;8.001,74;5,46;;;103.251.793,22;605,00;Passiva;
HUSI11;1.025,00;0,00;1,08;4.994,00;42,64;;;95.511.884,01;77,00;Ativa;
IBFF11;76,50;6,54;0,86;232.631,22;1,28;;;59.171.725,67;5.263,00;Ativa;
IFIE11;99,53;2,00;1,06;161.293,22;0,56;;;84.662.466,28;7.350,00;Passiva;
JFLL11;92,98;0,73;0,99;228.662,61;1,28;;;140.895.578,10;1.216,00;Ativa;
JRDM11;67,00;1,59;0,77;81.574,13;2,81;-3,00;-6,32;220.346.011,78;5.797,00;Passiva;
KEVE11;1.012,00;0,00;0,99;80.567,08;50,47;;;151.273.529,98;366,00;Passiva;
KISU11;112,98;1,21;1,14;2.112.065,30;1,69;;;75.739.669,85;11.149,00;Ativa;
KNIP11;115,83;8,65;1,09;14.835.835,48;17,22;6,78;2,68;4.990.006.851,23;38.271,00;Ativa;
KNSC11;104,71;3,55;1,09;3.081.827,22;5,13;;;253.980.911,80;5.364,00;Ativa;
LOFT11B;27,75;39,93;0,43;8.243,52;7,72;;;202.578.362,55;441,00;Ativa;
LVBI11;114,32;5,79;1,04;2.692.192,30;37,66;;;1.299.070.650,56;34.601,00;Ativa;
MALL11;97,02;4,61;0,92;2.395.565,13;4,75;-16,29;-1,98;797.126.181,06;78.796,00;Ativa;
MTOF11;0,00;0,00;;;2,41;;;189.265.301,63;3,00;Ativa;
MVFI11;0,00;0,00;;;0,08;;;145.100.582,88;1,00;Ativa;
NCHB11;98,21;11,81;1,07;856.220,57;29,15;-35,20;;52.460.042,93;3.358,00;Ativa;
ONEF11;146,30;5,17;0,91;59.490,17;1,04;-2,77;-50,04;146.231.801,97;4.624,00;Passiva;
ORPD11;131,98;0,00;0,92;263,50;0,00;;;41.737.700,77;16,00;Ativa;
OUFF11;83,40;9,08;0,92;348.948,65;9,71;;;165.020.231,99;5.864,00;Ativa;
OUJP11;100,99;7,69;0,97;1.401.551,78;11,12;-6,80;-0,82;236.828.621,71;18.099,00;Ativa;
OULG11;74,67;9,87;0,79;265.728,65;5,94;;;233.489.894,95;6.257,00;Ativa;
RBHY11;0,00;0,00;;;49,49;;;55.474.528,04;24,00;Ativa;
RBIR11;79,55;0,00;0,82;94.171,15;70,51;;;147.911.281,54;1.141,00;Ativa;
RBRM11;160.000,00;28,91;0,98;;4,39;;;88.219.766,84;54,00;Ativa;
RBRS11;88,00;1,84;0,91;23.056,90;35,78;;;101.019.657,84;1.027,00;Ativa;
RECR11;115,00;10,80;1,21;6.747.509,09;1,60;-0,24;3,74;940.637.886,97;57.773,00;Ativa;
RECT11;87,19;10,43;0,91;3.238.296,13;0,98;;;670.508.704,52;60.704,00;Ativa;
REIT11;1.200,00;6,12;0,96;4.063,25;11,18;;-0,93;32.918.756,72;49,00;Ativa;
RELG11;97,30;2,45;1,01;114.600,09;12,48;;;89.728.794,92;1.962,00;Ativa;
RMAI11;47,43;0,00;0,04;11.381,27;0,72;;;271.169.512,09;1.151,00;Passiva;
RRCI11;90,67;1,85;0,95;96.921,04;18,51;;;46.042.189,92;2.052,00;Ativa;
RVBI11;92,99;6,14;0,96;562.166,65;2,42;;;139.387.251,36;10.119,00;Ativa;
SEQR11;97,50;0,69;0,91;151.985,67;4,18;;;126.694.355,43;165,00;Ativa;
SOLR11;0,00;0,00;;;6,03;;;67.173.935,08;50,00;Ativa;
TEPP11;84,08;7,06;0,88;509.200,48;6,72;;;401.645.498,07;7.111,00;Ativa;
TFOF11;138,00;7,04;1,14;389.140,62;13,36;29,98;-54,23;103.080.374,68;3.278,00;Ativa;
VINO11;61,65;7,41;1,02;3.257.695,96;7,20;;;769.667.527,38;66.252,00;Ativa;
VISC11;109,44;3,70;0,91;4.270.138,09;0,93;-17,85;-0,41;1.708.114.121,76;185.236,00;Ativa;
VSHO11;72,46;1,05;0,73;38.937,17;2,07;;;208.401.674,50;1.811,00;Ativa;
VTPA11;0,00;0,00;;;2,42;;;73.440.949,92;1,00;Ativa;
EGYR11;0,00;0,00;;;0,03;;;93.242.444,39;1,00;Passiva;
VTPL11;0,00;0,00;;;1,23;;;114.934.485,74;56,00;Passiva;
VTVI11;0,00;0,00;;;11,35;;;68.474.156,56;1,00;Ativa;
VTXI11;0,00;0,00;;;25,77;;;3.577.101,68;1,00;Ativa;
AFCR11;114,50;8,02;1,11;302.304,87;21,83;;;122.859.028,83;1.115,00;Ativa;
AFOF11;0,00;0,00;;;25,36;;;38.830.934,30;56,00;Ativa;
AIEC11;92,25;3,05;0,92;469.101,78;4,20;;;483.000.015,52;2.874,00;Ativa;
ANCR11B;3.090,00;1,21;0,93;4.047,50;1,27;;;1.499.236.897,56;55,00;Ativa;
BICR11;96,04;3,25;0,97;3.385,91;11,12;;;49.507.736,59;654,00;Ativa;
BPFF11;77,98;8,21;0,90;1.327.885,17;3,74;-5,36;-9,15;391.026.541,63;17.362,00;Ativa;
VSLH11;0,00;0,00;;;41,67;;;25.089.633,93;1,00;Ativa;
ALZR11;122,99;5,00;1,20;2.215.926,65;10,88;-7,49;6,47;459.379.143,05;82.253,00;Ativa;
ATWN11;0,00;0,00;;;1,25;;;83.176.673,97;2,00;Passiva;
BCIA11;103,41;8,03;0,89;735.912,13;4,87;-0,25;-4,57;434.479.950,21;13.992,00;Ativa;
BPML11;99,94;1,69;0,73;396.697,43;6,42;;;593.096.051,61;772,00;Ativa;
BRCO11;109,44;6,05;1,01;2.874.662,26;8,55;;;1.602.509.072,14;21.866,00;Ativa;
BRCR11;84,99;6,58;0,79;3.876.578,22;0,94;-27,46;-6,88;2.866.538.116,72;122.198,00;Ativa;
BREV11;109,00;3,96;1,03;10.379,45;2,53;;;98.940.753,75;69,00;Ativa;
BCRI11;111,11;9,41;1,04;2.249.608,83;4,93;-1,24;2,84;469.626.336,95;40.746,00;Ativa;
BRHT11B;86,80;0,00;1,05;;1,02;;;152.780.369,36;11,00;--;
BRIP11;0,00;0,00;;;33,83;;;53.934.929,14;215,00;Ativa;
BRLA11;0,00;0,00;;;2,79;;;80.964.421,89;84,00;Ativa;
CVBI11;109,93;9,75;1,10;3.468.940,52;4,13;;;352.775.873,82;13.211,00;Ativa;
CXCE11B;77,80;13,27;0,96;114.981,43;5,70;4,98;-6,78;138.821.676,23;2.323,00;Passiva;
CXCO11;0,00;0,00;;;0,16;;;392.312.752,27;1,00;Ativa;
CXRI11;99,98;10,32;1,03;93.924,09;0,41;5,84;-54,90;153.168.285,45;2.961,00;Ativa;
BTWR11;0,00;0,00;;;2,53;;;86.234.406,46;51,00;Passiva;
DEVA11;119,98;7,02;1,21;9.627.416,35;14,59;;;305.674.696,86;6.365,00;Ativa;
HBCR11;0,00;0,00;;;2,51;;;26.683.973,52;7,00;Ativa;
BBFO11;93,50;0,95;0,96;89.387,39;2,44;;;391.267.644,10;3.619,00;Passiva;
DLMT11;0,00;0,00;;;21,70;;;14.382.353,83;9,00;Ativa;
DMAC11;106,50;24,47;0,61;77.960,78;1,77;;;27.464.712,04;1.121,00;Passiva;
DOMC11;439,00;0,00;0,40;17.499,67;0,72;;-8,87;271.169.512,09;1.151,00;Passiva;
BBPO11;112,69;11,42;1,12;3.344.198,57;5,13;2,13;-8,32;1.604.545.328,05;68.363,00;Passiva;
BBRC11;118,96;9,75;1,06;243.286,13;3,85;2,28;-7,23;179.099.299,52;8.575,00;Passiva;
BCFF11;90,40;6,23;1,07;5.267.855,65;6,00;-3,50;2,60;1.742.146.468,85;262.645,00;Ativa;
EVBI11;110,90;0,58;1,14;226.924,44;3,99;;;105.753.009,36;38,00;Ativa;
BLMG11;109,99;0,66;1,12;979.247,36;5,12;;;186.062.286,34;64,00;Ativa;
BLMR11;91,01;0,49;0,94;857.881,86;79,48;;;246.392.775,31;3.667,00;Ativa;
FAED11;191,49;8,09;0,90;132.074,22;1,49;-4,92;-4,85;137.320.927,23;5.211,00;Passiva;
FAMB11B;1.199,81;12,56;0,34;121.295,83;8,74;-9,82;-33,05;365.818.560,35;3.957,00;Passiva;
FATN11;102,99;3,51;1,03;11.101,09;0,46;;;53.674.677,13;149,00;Ativa;
FCFL11;110,00;5,97;1,08;248.736,96;0,43;-0,33;-0,16;352.321.372,44;4.535,00;Passiva;
FEXC11;94,80;8,84;0,99;301.603,83;26,69;-3,89;-3,65;327.577.826,42;10.798,00;Ativa;
BTAL11;101,98;0,00;1,02;1.273.418,80;100,01;;;599.002.009,16;7.943,00;Ativa;
BTCR11;91,80;5,94;0,95;667.086,70;6,61;;;463.969.615,71;7.585,00;Ativa;
BTSG11;0,00;0,00;;;0,17;;;67.923.987,09;49,00;Ativa;
CARE11;0,61;2,02;0,44;52.025,91;0,47;;-27,64;249.287.660,42;10.624,00;Ativa;
CEOC11;70,80;8,24;0,82;123.664,43;2,08;-3,90;-7,76;157.624.058,01;7.282,00;Passiva;
CJCT11;60,98;0,00;0,90;41.567,68;1,60;;0,54;183.530.515,63;1.747,00;Passiva;
FIGS11;60,00;3,13;0,63;390.042,57;4,76;-39,00;-14,24;269.343.502,59;18.402,00;Passiva;
FIIB11;519,99;5,43;1,17;422.856,22;1,08;-3,25;8,20;303.231.126,98;17.354,00;Passiva;
FLCR11;104,00;0,87;1,03;7.460,78;39,39;;;50.712.119,24;66,00;Ativa;
FLMA11;2,80;3,41;0,90;210.550,22;2,10;-15,66;1,47;215.144.408,15;69.940,00;Ativa;
FLRP11;1.290,00;4,05;0,84;52.607,71;3,24;4,04;2,72;100.609.911,57;1.020,00;Passiva;
FMOF11;74,75;2,30;0,57;20.999,18;1,39;23,48;-12,35;67.185.404,34;361,00;Passiva;
ELDO11B;762,38;4,77;0,62;;0,24;-23,44;;972.717.322,10;61,00;Passiva;
FOFT11;123,00;0,00;1,12;;5,10;-47,71;9,77;131.819.480,59;3.846,00;Ativa;
GCRI11;0,00;0,00;;;14,71;;;40.524.904,67;37,00;Ativa;
GESE11B;1.520,00;5,49;1,13;456.000,00;3,22;;;70.011.341,92;55,00;Passiva;
ERCR11;0,00;0,00;;;0,13;;;222.673.897,46;13,00;Passiva;
ESTQ11;0,00;0,00;;;9,95;;;23.173.277,96;5,00;Ativa;
GSFI11;3,51;0,00;0,30;29.957,17;0,00;;;813.483.847,99;5.391,00;Passiva;
GTWR11;106,50;7,73;1,06;1.879.339,57;0,40;;;1.210.311.354,17;25.721,00;Ativa;
HBRH11;101,59;7,99;0,93;123.673,74;0,76;;;245.480.436,06;719,00;Ativa;
GGRC11;133,63;6,33;1,07;2.257.211,87;25,94;-5,30;1,18;967.474.370,61;89.547,00;Ativa;
HBTT11;1.055,00;7,35;;37.746,53;;;;0,00;0,00;Ativa;
HCST11;101,00;0,00;1,05;4.474,62;8,60;;;16.934.427,69;50,00;Ativa;
JBFO11;0,00;0,00;;;1,80;;;82.889.525,21;234,00;Ativa;
MGCR11;98,55;2,19;1,03;390.210,77;14,93;;;68.926.768,60;800,00;Ativa;
MGHT11;101,99;5,88;1,02;5.248,35;28,39;;;103.041.153,36;237,00;Ativa;
MORE11;101,85;7,45;1,01;304.564,96;50,70;;;234.181.721,90;6.416,00;Ativa;
MINT11;100,00;0,00;0,98;40.769,50;43,11;;;52.831.248,69;59,00;Ativa;
MOFF11;0,00;0,00;;;0,19;;;179.729.525,17;3,00;Ativa;
PATL11;93,00;3,52;0,96;1.558.117,87;2,61;;;483.453.506,73;7.542,00;Ativa;
PNDL11;0,00;0,00;;;96,70;;;4.012.637,48;46,00;Ativa;
PATB11;0,00;0,00;;;4,92;;;493.403.222,54;59,00;Passiva;
RBRY11;104,90;7,78;0,99;336.021,70;14,91;;;208.046.787,64;2.916,00;Ativa;
RCRB11;159,00;6,60;0,80;639.525,17;9,31;11,04;-2,96;730.601.750,67;28.371,00;Ativa;
RCRI11B;1.000,00;5,15;0,96;25.000,00;19,35;;;62.542.063,48;144,00;Ativa;
RDPD11;80,31;5,52;0,81;141.264,14;27,13;;;106.278.174,87;1.317,00;Ativa;
PORD11;102,11;9,70;1,01;358.611,13;5,87;;-0,13;199.077.195,85;7.126,00;Ativa;
PQAG11;70,30;9,47;1,29;12.410,05;0,91;;;760.922.442,84;352,00;Ativa;
PQDP11;2.795,00;2,66;0,78;202.916,17;1,23;-2,73;-4,31;859.209.279,70;4.229,00;Passiva;
PRTS11;117,70;0,00;1.307,78;;33,36;;;5.251.266,46;13,00;Ativa;
RBBV11;97,40;5,61;0,96;86.959,70;1,49;8,34;8,38;127.113.931,76;2.991,00;Passiva;
RBCB11;19,00;0,00;;;;-15,04;-67,43;0,00;462,00;Ativa;
RBED11;147,38;8,19;0,98;592.128,43;9,45;-6,27;-4,08;269.109.384,13;10.716,00;Ativa;
RBFF11;69,78;7,87;0,90;811.110,13;29,82;-1,53;;212.018.080,17;16.920,00;Ativa;
RBGS11;40,00;2,91;0,44;41.279,61;0,71;20,78;-6,86;97.998.718,07;2.916,00;Passiva;
RBLG11;0,00;0,00;;;25,40;;;47.251.701,78;56,00;Ativa;
RBRR11;98,48;6,60;0,99;2.105.290,91;1,68;;;762.442.558,73;68.242,00;Ativa;
TCIN11;0,00;0,00;;;4,56;;;69.362.942,98;100,00;Ativa;
TBOF11;15,56;49,68;91,53;1.321.017,00;76,07;72,22;-42,85;1.728.943,52;9.158,00;Passiva;
AQLL11;384,48;0,00;0,26;668,00;0,00;;-10,15;147.721.655,80;37,00;Ativa;
RZAK11;98,73;0,01;1,02;1.472.985,43;34,98;;;290.082.881,30;6.690,00;Ativa;
SALI11;0,00;0,00;;;3,06;;;7.887.720,37;2,00;Passiva;
SHDP11B;0,00;0,00;;;0,53;-2,41;;2.120.061.619,50;3,00;Passiva;
SJAU11;28.999,99;0,00;1,32;16.197.494,00;0,65;;;793.595.900,18;65,00;Passiva;
TGAR11;140,55;9,43;1,07;4.506.049,26;30,83;13,50;;783.186.927,19;55.112,00;Ativa;
TORD11;11,39;10,55;1,07;2.523.194,00;16,23;;;83.255.554,55;26.424,00;Ativa;
TRNT11;164,00;3,59;0,79;67.438,42;0,31;0,40;-3,32;816.375.340,46;672,00;Passiva;
VIDS11;0,00;0,00;;;19,81;;;28.517.829,67;121,00;Ativa;
VVPR11;101,83;7,04;1,02;127.398,30;18,83;;;231.341.060,58;922,00;Ativa;
VXXV11;0,00;0,00;;;6,26;;;37.292.516,65;4,00;Ativa;
WPLZ11;64,86;1,00;0,62;29.301,35;0,98;22,10;;106.920.867,36;2.035,00;Passiva;
YUFI11;0,00;0,00;;;30,91;;;28.244.162,76;1,00;Ativa;
ZIFI11;0,00;0,00;;;0,00;;;8.993.163,03;6,00;Ativa;
CPTS11;101,06;9,36;1,07;7.678.454,78;3,46;-0,25;0,84;1.271.746.642,97;60.369,00;Ativa;
FPAB11;273,19;7,50;0,61;52.472,59;1,46;-10,43;-9,21;336.587.594,83;1.009,00;Passiva;
FVPQ11;137,60;2,36;0,70;259.410,96;1,64;-1,81;-17,49;551.354.606,85;5.286,00;Passiva;
GALG11;114,50;2,10;1,31;2.440.164,48;11,11;;;491.769.937,71;2.034,00;Ativa;
HAAA11;105,00;2,07;1,08;52.804,75;1,26;;;263.867.145,82;25,00;Ativa;
HSRE11;87,06;1,24;0,90;;1,80;;;824.909.646,98;11,00;Ativa;
FINF11;0,00;0,00;;;0,00;;;83.524.359,09;4,00;Ativa;
FISD11;0,00;0,00;;;0,00;;;123.888.612,13;25,00;Ativa;
LUGG11;97,46;5,81;0,89;84.923,57;0,88;;;98.504.276,01;4.445,00;Ativa;
URPR11;123,23;15,49;1,21;1.392.855,00;2,98;;;77.068.834,35;3.014,00;Ativa;
VERE11;31,57;55,08;0,10;;6,84;-0,59;;171.834.176,77;54,00;Ativa;
VGIP11;115,24;8,42;1,21;2.489.745,96;21,31;;;331.646.580,34;15.197,00;Ativa;
VGIR11;90,57;6,18;0,93;958.245,35;0,62;;;436.944.948,94;24.081,00;Ativa;
VIFI11;90,45;6,29;0,88;471.315,09;3,80;;;288.792.229,39;3.793,00;Ativa;
VILG11;119,20;5,65;1,05;5.867.112,09;23,81;;;1.221.605.643,53;109.880,00;Ativa;
DAMT11B;0,00;0,00;;;0,02;;;101.888.645,34;54,00;Ativa;
STRX11;33,08;1.201,36;0,00;;0,45;;;310.977.320,78;53,00;Passiva;
HPDP11;88,48;2,52;0,88;41.037,76;1,73;;;293.153.393,80;346,00;Passiva;
HRDF11;1,69;0,00;0,93;13.054,65;61,56;;;13.769.872,98;1.099,00;Ativa;
HSAF11;96,47;3,28;0,98;296.427,61;3,83;;;88.902.127,23;1.983,00;Ativa;
HSML11;90,08;4,40;0,93;3.411.028,39;2,14;;;1.535.511.906,53;106.746,00;Ativa;
IRDM11;137,33;9,20;1,38;10.985.028,35;11,08;;13,43;1.596.555.659,83;129.853,00;Ativa;
RBCO11;75,10;7,89;0,73;250.755,26;4,48;;;389.288.457,23;3.180,00;Ativa;
RBDS11;23,78;0,00;1,03;4.576,48;7,10;35,29;-60,97;2.908.038,17;1.089,00;Ativa;
ARCT11;140,00;16,09;1,34;515.687,74;29,09;;;45.463.203,39;722,00;Ativa;
ATCR11;0,00;0,00;;;0,62;;;71.827.616,84;33,00;Ativa;
BBFI11B;2.170,05;13,64;0,86;478.590,96;8,92;1,73;-9,93;328.589.520,05;7.463,00;Passiva;
BBIM11;0,00;0,00;;;19,89;-14,70;;62.360.547,99;20,00;Ativa;
DOVL11B;0,00;0,00;;;4,37;;;57.673.789,98;52,00;Passiva;
FISC11;165,00;0,19;1,05;33.000,00;0,35;;;247.634.764,67;66,00;Ativa;
HGLG11;176,51;6,25;1,20;7.653.010,04;14,26;5,63;9,16;2.723.229.847,46;270.351,00;Ativa;
HGPO11;220,51;5,11;0,91;256.417,13;0,30;;;401.329.503,65;9.570,00;Passiva;
