TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;14,30;;44,01;1,40;0,65;31,40;12,33;3,31;11,83;16,13;4,30;0,51;1,46;-37,59;-0,83;0,93;3,19;1,48;6,14;0,46;0,52;0,45;5,83;;18.280.203,51;10,19;0,32;-0,32;1.691.587.268,80
ABCB4;15,77;6,35;6,88;0,78;0,07;45,93;38,82;23,64;4,19;4,19;;;1,63;0,95;-0,08;2,68;11,37;1,04;;0,09;0,91;0,04;1,17;5,92;16.613.273,81;20,15;2,29;0,12;3.565.441.160,86
ABEV3;15,55;4,37;15,44;2,82;1,81;51,93;27,80;22,84;12,69;11,81;-0,88;-0,20;3,53;34,53;-2,53;1,23;18,27;11,73;19,13;0,64;0,35;0,51;4,56;4,99;411.950.161,54;5,51;1,01;0,19;244.791.560.683,60
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;6,39;;73,39;4,81;1,65;9,96;7,06;2,52;26,19;29,05;2,86;0,53;1,85;3,58;-4,74;3,40;6,56;2,25;7,41;0,34;0,66;0,89;;;14.441.428,35;1,33;0,09;-1,42;4.896.103.983,84
AESB3;10,86;2,13;11,99;2,40;0,49;16,81;8,41;36,44;51,98;102,56;50,58;2,34;4,37;956,38;-0,55;1,00;20,04;4,08;-5,31;0,20;0,72;0,11;;;13.412.574,92;4,52;0,91;;5.344.276.535,70
AFLT3;8,66;7,28;27,74;3,06;2,78;67,45;53,41;50,68;26,32;25,39;-0,92;-0,11;14,06;12,37;-3,71;9,63;11,02;10,03;10,66;0,91;0,09;0,20;5,56;9,29;7.555,47;2,83;0,31;-2,53;546.313.502,00
AGRO3;27,55;9,51;6,37;1,29;0,82;28,68;23,03;46,98;12,99;12,08;-0,91;-0,09;2,99;2,56;-1,69;2,66;20,30;12,92;6,33;0,64;0,36;0,28;55,29;123,25;20.653.484,19;21,32;4,33;0,02;2.820.486.570,40
AGXY3;10,20;;2.616,24;1,28;0,29;6,94;-2,02;0,02;-22,25;-31,88;-9,63;0,55;0,45;2,69;-1,31;1,16;0,05;0,01;-3,63;0,23;0,77;0,65;;;372.565,32;7,99;0,00;;1.742.414.887,80
AHEB3;27,50;;-3,88;-4,89;0,83;22,55;-19,49;-31,68;-6,31;-6,22;0,18;;1,23;-3,36;-1,07;0,47;-125,95;-21,47;77,48;-0,17;1,17;0,68;1,88;;11.138,67;-5,63;-7,08;-0,01;238.221.493,00
