TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
BLMG11;96,91;6,17;0,94;894.035,79;2,27;;;393.291.906,08;3.786,00;Ativa;
CVBI11;101,32;13,21;1,01;2.879.396,05;10,73;;;992.853.839,31;43.199,00;Ativa;
CXTL11;389,96;4,13;0,61;8.907,39;0,62;16,16;-14,73;34.198.623,82;716,00;Passiva;
DEVA11;102,00;15,93;1,04;5.554.539,03;6,82;;;1.073.591.946,46;44.781,00;Ativa;
DOMC11;439,00;0,00;3,96;17.499,67;0,01;;-3,00;271.098.110,28;1.162,00;Ativa;
DRIT11B;107,99;3,46;0,82;1.152,24;0,70;-20,03;-3,18;60.752.777,78;329,00;Ativa;
DVFF11;91,98;0,76;0,98;101.257,89;1,77;;;102.942.035,27;286,00;Ativa;
ERCR11;73.900,00;8,83;0,95;22.264.186,50;0,17;;;184.910.094,88;9,00;Passiva;
ERPA11;130,00;0,00;1,22;2.080,00;0,01;;;53.057.909,67;13,00;Passiva;
EURO11;203,00;8,19;0,72;65.175,38;1,82;4,80;6,73;109.009.497,61;2.514,00;Passiva;
EVBI11;97,50;4,59;0,96;987.366,50;2,71;;;109.938.982,43;144,00;Ativa;
FAED11;148,03;9,79;0,69;56.840,51;1,56;-7,40;-8,85;137.392.485,01;5.201,00;Passiva;
FAMB11B;1.158,99;2,97;0,33;43.673,62;7,68;-9,82;-14,87;363.493.032,19;3.374,00;Passiva;
FATN11;101,80;7,50;1,02;28.524,49;4,64;;;76.212.634,37;332,00;Ativa;
FCFL11;110,62;6,72;1,09;371.120,64;0,46;1,90;5,99;352.475.454,03;4.425,00;Passiva;
FEXC11;86,52;9,61;0,92;693.030,59;13,36;-2,49;-6,40;571.388.205,97;17.204,00;Ativa;
FLMA11;122,00;4,56;0,78;127.875,33;3,05;-13,45;3,66;214.803.014,56;21.440,00;Ativa;
FLRP11;1.306,00;4,49;0,78;22.460,24;1,65;-11,54;1,44;108.543.163,94;946,00;Passiva;
FOFT11;123,00;0,00;1,12;;5,10;-47,71;14,75;131.819.480,59;3.846,00;Ativa;
GCFF11;78,74;12,80;0,86;51.228,59;0,42;;;30.993.027,23;1.652,00;Ativa;
GGRC11;118,00;7,61;0,90;1.592.434,67;13,13;-0,41;-1,24;1.021.573.707,34;95.416,00;Ativa;
GTWR11;89,43;9,09;0,89;1.427.590,77;0,41;;;1.210.670.411,52;26.991,00;Ativa;
HAAA11;93,63;5,67;0,98;5.830,52;0,62;;;331.562.969,88;127,00;Ativa;
HABT11;117,50;15,63;1,21;3.919.182,85;13,86;;;527.173.400,33;35.768,00;Ativa;
HBRH11;81,00;9,70;0,74;236.354,08;2,47;;;246.268.356,75;1.585,00;Ativa;
HBTT11;1.055,00;1,57;;37.746,53;;;;0,00;0,00;Ativa;
HCHG11;91,89;1,69;0,96;21.251,21;2,84;;;115.451.037,37;270,00;Ativa;
HCRI11;404,99;8,95;1,33;39.431,64;0,59;6,98;8,97;61.109.871,00;3.170,00;Passiva;
HSLG11;89,80;5,51;0,80;759.158,51;4,73;;;1.428.239.044,63;16.235,00;Ativa;
HSML11;80,32;6,04;0,84;1.895.284,08;1,96;;;1.502.626.555,56;119.621,00;Ativa;
HSRE11;97,50;4,17;1,00;2.710.601,62;1,93;;;828.750.470,51;44,00;Ativa;
HTMX11;99,99;0,00;0,77;193.497,95;0,98;8,60;-4,96;163.633.534,71;24.283,00;Passiva;
HUSC11;120,00;7,42;0,92;8.949,76;1,01;;-2,63;103.591.783,07;727,00;Passiva;
HUSI11;1.045,00;0,00;1,10;211.012,50;6,91;;;95.687.177,11;79,00;Ativa;
ATSA11;100,26;0,00;1,02;13.706,70;1,10;;;172.359.874,06;251,00;Passiva;
IFID11;81,68;5,74;0,91;83.467,46;0,57;;;67.131.235,45;2.144,00;Passiva;
IFIE11;77,83;5,00;0,92;77.241,03;1,82;;;75.956.874,05;5.881,00;Passiva;
IRDM11;110,90;13,32;1,13;9.536.295,49;8,39;14,63;7,81;2.738.009.354,15;185.995,00;Ativa;
JSRE11;79,69;8,02;0,70;2.241.558,41;0,67;-2,71;-8,02;2.356.635.438,63;48.620,00;Ativa;
KEVE11;980,00;0,00;0,99;2.646,00;2,91;;;146.765.414,84;380,00;Passiva;
KISU11;8,65;6,39;0,92;1.406.712,41;8,84;;;416.125.689,90;39.201,00;Ativa;
KNCR11;96,75;4,23;0,97;11.061.630,03;8,51;-15,79;-3,13;3.884.535.257,69;71.757,00;Ativa;
KNHY11;106,50;12,65;1,08;2.862.008,28;0,87;20,91;0,64;1.055.755.273,62;7.364,00;Ativa;
KNRI11;145,35;5,61;0,92;7.555.862,74;4,37;-3,36;2,57;3.812.168.603,85;238.372,00;Ativa;
BRIM11;1.012,58;0,00;1,03;26.947,00;5,92;;;121.656.716,59;196,00;Ativa;
LASC11;94,84;5,57;0,92;220.744,90;0,74;;;259.146.028,23;150,00;Ativa;
LATR11B;120,00;18,33;4,54;360,00;106,84;;;3.278.599,69;163,00;Ativa;
LOFT11B;29,90;8,76;0,35;2.138,00;15,23;;;165.681.151,03;1,00;Ativa;
LVBI11;101,91;6,14;0,89;2.057.210,26;8,94;;;1.350.820.116,15;37.461,00;Ativa;
MALL11;93,60;6,55;0,89;1.154.094,31;3,76;-6,38;-1,62;791.316.943,45;87.963,00;Ativa;
MAXR11;88,09;8,95;0,75;142.828,13;1,07;-11,26;-3,30;132.497.013,88;3.450,00;Passiva;
MBRF11;818,99;10,64;0,72;55.301,49;3,92;-4,16;-6,60;116.210.575,13;2.817,00;Ativa;
MCHF11;10,00;2,00;0,90;311.681,33;3,81;;;92.386.919,95;1.968,00;Ativa;
MFAI11;77,75;14,93;0,89;65.800,67;0,10;;;26.448.008,16;3.782,00;Ativa;
MFII11;114,40;10,81;1,01;632.733,26;22,73;-3,28;8,94;472.022.495,35;29.956,00;Ativa;
MGFF11;68,01;10,00;0,86;1.550.129,41;1,74;-8,30;-6,19;719.468.908,08;50.557,00;Ativa;
