TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;17,50;;53,85;1,72;0,79;31,40;12,33;3,31;14,48;18,78;4,30;0,51;1,78;-46,00;-1,02;0,93;3,19;1,48;6,14;0,46;0,52;0,45;5,83;;16.538.856,73;10,19;0,32;-0,39;2.070.124.280,00
ABCB4;16,12;6,22;7,04;0,80;0,07;45,93;38,82;23,64;4,28;4,28;;;1,66;0,97;-0,08;2,68;11,37;1,04;;0,09;0,91;0,04;1,17;5,92;17.228.706,61;20,15;2,29;0,12;3.644.572.702,16
ABEV3;16,19;4,20;16,08;2,94;1,89;51,93;27,80;22,84;13,21;12,33;-0,88;-0,20;3,67;35,95;-2,63;1,23;18,27;11,73;19,13;0,64;0,35;0,51;4,56;4,99;434.493.154,33;5,51;1,01;0,20;254.866.583.116,88
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;94.201,44;-1,21;-0,38;-0,58;25.439.770,20
AERI3;6,89;;79,14;5,19;1,78;9,96;7,06;2,52;28,24;31,10;2,86;0,53;1,99;3,86;-5,11;3,40;6,56;2,25;7,41;0,34;0,66;0,89;;;14.346.871,97;1,33;0,09;-1,53;5.279.210.711,84
AESB3;10,81;2,14;11,94;2,39;0,49;16,81;8,41;36,44;51,74;102,32;50,58;2,34;4,35;951,98;-0,55;1,00;20,04;4,08;-5,31;0,20;0,72;0,11;;;13.614.351,73;4,52;0,91;;5.319.671.210,95
AFLT3;8,40;7,50;26,90;2,97;2,70;67,45;53,41;50,68;25,53;24,60;-0,92;-0,11;13,63;12,00;-3,60;9,63;11,02;10,03;10,66;0,91;0,09;0,20;5,56;9,29;8.202,52;2,83;0,31;-2,45;529.911.480,00
AGRO3;25,87;10,13;5,98;1,21;0,77;28,68;23,03;46,98;12,20;11,29;-0,91;-0,09;2,81;2,41;-1,59;2,66;20,30;12,92;6,33;0,64;0,36;0,28;55,29;123,25;20.802.319,55;21,32;4,33;0,02;2.648.493.196,96
AGXY3;9,95;;2.552,12;1,25;0,28;6,94;-2,02;0,02;-21,71;-31,34;-9,63;0,55;0,44;2,62;-1,28;1,16;0,05;0,01;-3,63;0,23;0,77;0,65;;;364.835,15;7,99;0,00;;1.699.708.640,55
AHEB3;27,50;;-3,88;-4,89;0,83;22,55;-19,49;-31,68;-6,31;-6,22;0,18;;1,23;-3,36;-1,07;0,47;-125,95;-21,47;77,48;-0,17;1,17;0,68;1,88;;12.965,07;-5,63;-7,08;-0,01;238.221.493,00
AHEB5;24,97;;-3,52;-4,44;0,76;22,55;-19,49;-31,68;-5,73;-6,22;0,18;;1,12;-3,05;-0,97;0,47;-125,95;-21,47;77,48;-0,17;1,17;0,68;1,88;;3.539,40;-5,63;-7,08;-0,01;238.221.493,00
AHEB6;51,50;;-7,27;-9,15;1,56;22,55;-19,49;-31,68;-11,82;-6,22;0,18;;2,30;-6,30;-2,01;0,47;-125,95;-21,47;77,48;-0,17;1,17;0,68;1,88;;6.742,00;-5,63;-7,08;-0,02;238.221.493,00
ALLD3;15,10;5,04;4,14;0,92;0,34;15,43;8,39;5,93;2,92;2,80;-0,12;-0,04;0,25;1,47;-1,23;1,47;22,32;8,19;21,00;0,37;0,63;1,38;;;4.869.965,97;16,34;3,65;0,02;1.407.630.788,20
ALPA3;33,22;0,74;43,46;5,86;3,66;53,38;15,21;11,09;31,68;33,06;-1,08;-0,20;4,82;12,23;-8,40;2,13;13,48;8,42;14,72;0,62;0,36;0,76;-3,59;10,54;79.173,36;5,67;0,76;0,36;21.048.639.624,41
ALPA4;38,51;0,71;50,38;6,79;4,24;53,38;15,21;11,09;36,73;33,06;-1,08;-0,20;5,59;14,18;-9,73;2,13;13,48;8,42;14,72;0,62;0,36;0,76;-3,59;10,54;99.043.409,42;5,67;0,76;0,42;21.048.639.624,41
ALPK3;4,45;;-4,91;1,85;0,36;24,17;-1,08;-25,12;-114,71;-287,85;-173,14;2,79;1,23;-1,73;-0,39;0,31;-37,55;-7,29;-0,54;0,19;0,80;0,29;;;117.726,70;2,41;-0,91;-0,28;931.081.180,70
ALSO3;21,86;1,04;35,34;0,87;0,52;66,45;37,03;18,73;17,88;20,54;2,67;0,13;6,62;4,74;-0,62;3,18;2,46;1,48;2,73;0,60;0,30;0,08;19,22;11,10;33.101.079,42;25,19;0,62;-0,93;5.809.792.927,08
ALUP11;24,53;3,42;5,11;1,09;0,29;72,94;72,21;21,59;1,53;3,22;1,69;1,20;1,10;4,14;-0,35;1,85;21,29;5,74;18,76;0,27;0,58;0,27;32,68;46,38;25.578.809,48;22,54;4,80;0,04;7.188.199.809,52
ALUP3;8,07;3,47;5,05;1,07;0,29;72,94;72,21;21,59;1,51;3,22;1,69;1,20;1,09;4,09;-0,34;1,85;21,29;5,74;18,76;0,27;0,58;0,27;32,68;46,38;97.191,76;7,51;1,60;0,04;7.188.199.809,52
ALUP4;8,36;3,35;5,23;1,11;0,30;72,94;72,21;21,59;1,56;3,22;1,69;1,20;1,13;4,23;-0,35;1,85;21,29;5,74;18,76;0,27;0,58;0,27;32,68;46,38;114.024,33;7,51;1,60;0,04;7.188.199.809,52
AMAR3;3,80;;3,54;1,07;0,30;45,25;-0,62;11,55;-65,43;-145,60;-80,16;1,31;0,41;4,02;-0,60;1,17;30,18;8,34;-3,69;0,28;0,72;0,72;-7,53;;39.036.118,18;3,56;1,07;-0,02;994.333.608,20
AMBP3;42,78;0,22;35,69;4,11;1,02;21,34;17,76;9,27;18,63;24,55;5,92;1,30;3,31;6,44;-1,58;1,82;11,51;2,87;5,24;0,25;0,72;0,31;;;52.139.533,76;10,42;1,20;0,06;4.831.384.454,64
AMER3;30,96;;400,87;1,79;0,65;29,84;2,55;0,41;64,64;73,10;8,46;0,23;1,65;2,75;-1,49;1,70;0,45;0,16;0,71;0,36;0,64;0,39;2,35;;243.239.447,27;17,34;0,08;-2,87;27.961.111.148,40
ANIM3;8,69;;99,84;1,36;0,34;55,24;14,45;1,60;11,07;24,92;13,85;1,70;1,60;9,24;-0,40;1,31;1,36;0,34;3,60;0,25;0,75;0,21;11,24;-11,35;31.046.437,33;6,38;0,09;-0,51;3.509.619.915,45
