TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
ABCP11;67,17;0,600000;8,56;91,88;0,73;78.224,62;1,59;14,11;-4,91;432.661.319,21;17.747,00;Passiva;4.709.082,00
AFHI11;96,31;1,050000;12,99;95,83;1,01;1.046.468,81;9,42;;;320.377.772,86;23.891,00;Ativa;3.343.095,00
AIEC11;64,84;0,760000;14,05;94,79;0,68;675.380,71;2,54;9,23;;457.355.067,47;15.564,00;Ativa;4.824.987,00
ALMI11;749,97;0,371133;0,00;2.033,68;0,37;41.837,16;2,39;;-15,52;226.098.370,52;2.338,00;Passiva;111.177,00
ALZC11;0,00;;0,00;;;;;;;;;;1.000.000,00
ALZM11;91,60;0,800000;11,91;91,60;1,00;300.612,86;5,43;;;63.313.566,97;3.856,00;Ativa;691.192,00
ALZR11;116,40;0,825000;8,27;106,25;1,10;2.228.596,33;30,27;13,63;-4,53;1.047.620.740,62;142.847,00;Ativa;9.860.406,00
ANCR11B;3.466,00;42,077240;2,95;3.593,56;0,96;3.466,00;0,41;;;1.708.076.461,36;62,00;Ativa;475.316,00
APTO11;9,78;0,100000;12,49;10,39;0,94;45.094,86;8,79;;;41.681.540,67;9.181,00;Ativa;4.012.857,00
APXM11;105,00;0,460227;0,44;94,94;1,11;324.794,83;17,29;;;167.099.461,36;271,00;;1.760.000,00
AQLL11;385,03;;0,00;980,41;0,39;;0,01;;;142.961.004,61;58,00;Ativa;145.817,00
ARFI11B;479,99;;0,00;651,70;0,74;;1,52;;;74.329.618,05;28,00;Ativa;114.054,00
AROA11;0,00;0,005000;0,00;1,07;;;0,79;;;176.477.063,23;51,00;Ativa;165.190.325,00
ARRI11;8,75;0,100000;15,01;8,95;0,98;286.387,90;2,63;1,11;-1,08;116.877.383,93;27.581,00;Ativa;13.056.237,00
ARXD11;102,00;1,100000;6,96;100,91;1,01;2.040,00;0,72;;;49.651.472,44;69,00;Ativa;492.050,00
ASMT11;46,75;0,770000;7,94;84,11;0,58;12.314,05;2,49;;;85.571.433,40;518,00;Ativa;1.017.316,00
ASRF11;0,00;256,328699;0,00;9.994,80;;;100,78;;;23.987.514,47;55,00;Ativa;2.400,00
ATCR11;0,00;0,091882;0,00;85,01;;;0,52;;;78.966.948,98;33,00;Ativa;928.908,00
ATSA11;57,73;0,050000;0,43;81,76;0,71;1.571,50;1,46;1,98;-20,19;143.177.432,23;281,00;Passiva;1.751.141,00
ATWN11;0,00;;0,00;587,63;;;1,96;;;94.466.345,33;2,00;Passiva;160.757,00
AURB11;0,00;0,300000;0,00;82,86;;;1,37;;;72.960.461,86;5,00;Ativa;880.560,00
BARI11;80,59;0,449200;12,68;96,70;0,83;846.580,76;1,09;-13,06;-8,44;448.115.966,72;38.144,00;Ativa;4.634.191,00
BBFI11B;989,99;7,592062;22,24;2.147,72;0,46;137.669,48;8,03;-10,71;-26,68;279.203.215,33;7.948,00;Passiva;130.000,00
BBFO11;73,07;0,610000;11,03;82,73;0,88;489.273,57;0,40;;;331.238.334,63;5.767,00;Passiva;4.003.900,00
BBIM11;0,00;0,100000;0,00;18,57;;;1,62;-26,58;;19.216.946,54;20,00;Ativa;1.035.000,00
BBPO11;96,75;0,900000;11,22;99,86;0,97;1.815.419,70;3,56;-4,49;-11,16;1.589.767.576,61;74.723,00;Passiva;15.919.690,00
BBRC11;114,50;1,130000;10,95;108,05;1,06;82.969,14;5,05;5,07;-8,54;171.801.353,71;9.625,00;Passiva;1.590.000,00
BCFF11;72,48;0,560000;9,24;78,00;0,93;3.301.526,33;5,79;3,22;-6,86;1.964.631.115,38;301.431,00;Ativa;25.186.378,00
BCIA11;101,64;0,850000;9,33;110,18;0,92;800.877,67;3,50;7,27;-6,33;409.760.254,70;18.931,00;Ativa;3.719.038,00
BCRI11;69,69;0,700000;14,52;97,78;0,71;618.495,14;8,25;-10,30;-13,57;611.878.566,65;48.012,00;Ativa;6.257.873,00
BICE11;990,00;7,960000;14,10;987,76;1,00;29.015,00;7,33;;;89.204.724,32;115,00;Ativa;90.310,00
BICR11;96,00;0,730000;10,48;102,36;0,94;876,31;35,62;38,95;-1,68;51.182.080,30;529,00;Ativa;500.000,00
BIME11;7,41;0,080000;12,42;8,75;0,85;62.464,48;4,45;;;51.169.258,37;8.791,00;Ativa;5.845.602,00
BIPD11;0,00;10,380000;0,00;988,86;;;5,96;;;48.175.100,60;110,00;Ativa;48.718,00
BLCA11;140,00;0,570000;4,86;135,91;1,03;2.497,15;3,96;;;217.448.166,98;219,00;Ativa;1.600.000,00
BLCP11;91,00;0,563428;0,62;111,74;0,81;103.127,50;1,06;;-4,28;256.580.339,90;279,00;Ativa;2.296.282,00
BLMC11;83,67;0,660000;11,69;98,48;0,85;104.872,55;12,18;;;39.342.108,07;443,00;Ativa;399.500,00
BLMG11;58,85;0,700000;15,47;87,52;0,67;498.445,33;1,00;;;333.512.364,82;13.828,00;Ativa;3.810.588,00
BLMO11;18.000,00;102,000000;4,67;33.367,64;0,54;288.155,60;2,31;;;126.696.946,60;92,00;Ativa;3.797,00
BLMR11;7,02;0,060000;11,17;7,87;0,89;412.663,90;0,90;;;201.034.512,18;18.986,00;Ativa;25.541.630,00
BLUR11;100,00;1,030000;12,55;93,45;1,05;8.612,77;4,77;;;8.410.338,78;101,00;Ativa;90.000,00
BMII11;0,00;0,228341;0,00;471,14;;;0,87;;;67.703.080,78;12,00;Passiva;143.700,00
BMLC11;104,48;0,760000;11,59;110,76;0,94;37.334,86;17,27;20,48;2,68;110.584.605,07;1.493,00;Ativa;998.405,00
BNFS11;121,42;1,409748;14,57;91,74;1,32;146.900,67;6,31;12,09;-0,94;64.219.066,28;4.819,00;Ativa;700.000,00
BPFF11;69,99;0,620000;10,58;78,20;0,90;342.779,67;5,59;3,86;-4,98;351.299.101,59;18.670,00;Ativa;4.492.326,00
BPLC11;0,00;14,420464;0,00;9.934,18;;;3,49;;;317.893.761,16;114,00;Ativa;32.000,00
BPML11;81,50;0,270465;1,77;132,20;0,62;444.248,67;2,00;;-6,15;569.112.237,85;1.451,00;Passiva;4.305.079,00
BPRP11;96,00;0,900000;11,17;109,15;0,88;1.443,33;0,09;4,76;-8,41;147.329.458,30;174,00;Passiva;1.349.837,00
BRCO11;124,69;0,870000;7,58;121,13;1,03;3.176.421,76;4,42;9,52;0,07;1.790.199.937,84;116.336,00;Ativa;14.778.781,00
BRCR11;59,40;0,410000;9,24;99,91;0,60;1.870.510,76;0,67;-0,82;-13,29;2.661.291.864,16;155.986,00;Ativa;26.638.202,00
BREV11;105,00;0,580000;7,73;117,73;0,89;271.522,64;3,25;8,81;-0,22;113.864.559,59;332,00;Ativa;967.201,00
BRHT11B;86,80;;0,00;71,27;1,22;;16,52;;;131.259.862,94;11,00;Ativa;1.841.677,00
BRIM11;1.030,22;35,730000;19,25;1.121,86;0,92;;4,02;;;139.264.314,34;222,00;Ativa;124.137,00
BRIP11;951,00;6,030000;12,86;1.170,97;0,81;951,00;1,13;;;252.314.860,96;253,00;Ativa;215.475,00
BRIX11;0,00;;0,00;1.022,03;;;6,92;;;100.154.419,41;54,00;Ativa;97.996,00
BRLA11;146,80;0,816167;8,82;156,45;0,94;247.763,50;0,32;;;499.636.525,75;274,00;Passiva;3.193.571,00
BROF11;67,25;0,540000;4,42;106,25;0,63;947.852,52;0,37;;;1.233.654.056,25;7.540,00;Ativa;11.610.812,00
BROL11;0,00;;0,00;;;;;;;;;;5.500.000,00
BRSE11;0,00;;0,00;2.755,43;;;202,61;;;5.510.860,87;12,00;Ativa;2.000,00
BTAL11;86,48;0,710000;11,02;104,01;0,83;857.103,90;2,67;;;622.236.654,81;45.447,00;Ativa;5.982.736,00
BTCI11;9,87;0,101000;12,54;10,29;0,96;2.334.176,86;10,71;10,27;-53,88;1.024.192.221,83;110.543,00;Ativa;99.521.172,00
BTCR11;88,00;0,900000;2,05;95,27;0,92;652.774,65;8,00;32,78;1,36;458.252.683,73;16.934,00;Ativa;4.810.097,00
BTHI11;35,01;1,900000;38,42;42,43;0,83;97.521,75;6,31;;-27,92;393.966.371,28;517,00;Ativa;9.285.512,00
BTHI12;45,00;0,560000;1,24;42,43;1,06;85.624,43;6,31;;-15,66;393.966.371,28;517,00;Ativa;9.285.512,00
BTLG11;101,54;0,760000;8,80;98,25;1,03;6.234.737,33;29,50;4,70;-0,76;2.799.276.268,56;243.672,00;Ativa;28.492.634,00
BTRA11;67,90;0,560000;13,86;125,65;0,54;692.051,81;8,21;;;422.755.490,17;21.706,00;Ativa;3.364.559,00
BTSG11;139,08;0,920000;7,61;137,73;1,01;1.321,00;0,82;;;106.746.178,22;64,00;Ativa;775.015,00
BTSI11;104,00;0,730000;6,91;120,94;0,86;75.921,67;0,06;;;270.497.329,66;113,00;Ativa;2.236.656,00
BTWR11;107,00;0,550000;5,73;111,93;0,96;428,00;1,06;;;90.585.002,93;65,00;Ativa;809.269,00
BVAR11;0,00;35,740000;0,00;1.046,48;;;0,93;-0,92;;654.616.685,38;69,00;Passiva;625.540,00
BZEL11;0,00;5,092421;0,00;117,41;;;0,03;;;415.386.167,22;3,00;Ativa;3.538.046,00
BZLI11;17,01;;0,00;10,50;1,62;289,00;0,18;;2,93;446.563.350,42;19,00;Ativa;42.510.905,00
CACR11;104,94;1,420000;16,68;102,99;1,02;764.800,95;68,30;10,96;-0,18;186.153.567,53;12.209,00;;1.807.434,00
CARE11;1,78;0,008385;0,00;8,31;0,21;8.932,76;0,00;;-24,73;297.349.292,74;11.846,00;Ativa;35.769.919,00
CBOP11;31,89;0,120000;9,97;73,80;0,43;75.565,75;1,38;-20,34;-26,08;104.421.473,78;3.326,00;Passiva;1.415.000,00
CCLB11;0,00;;0,00;0,00;;;;;;0,00;0,00;Ativa;0,00
CCME11;108,50;0,900000;9,16;101,62;1,07;10.774,80;39,36;;;556.110.232,10;148,00;Ativa;5.472.579,00
CCRF11;92,12;0,466948;10,16;98,92;0,93;763.828,22;1,70;;;155.495.654,73;333,00;Ativa;1.571.900,00
CEOC11;48,15;0,434875;14,62;78,24;0,62;46.704,67;2,32;10,40;-16,49;142.064.317,22;4.939,00;Passiva;1.815.696,00
CFHI11;0,00;36,511390;0,00;646,92;;;3,40;;;61.198.784,97;54,00;Ativa;94.600,00
