TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
ABCP11;72,25;0,620000;9,41;101,73;0,71;53.445,82;2,34;1,67;2,31;479.067.095,27;15.729,00;Passiva;4.709.082,00
AFHI11;97,00;0,930000;12,02;96,20;1,01;948.562,95;5,73;-8,76;2,87;438.272.622,19;41.366,00;Ativa;4.555.618,00
AIEC11;53,50;0,730000;16,54;84,58;0,63;510.651,32;3,51;0,46;-10,82;408.101.518,31;1,00;Ativa;4.824.987,00
AJFI11;7,71;0,068270;9,08;12,26;0,63;1.099.836,09;3,88;;;387.598.451,42;13.583,00;Ativa;31.625.978,00
ALMI11;563,34;6,267812;1,11;2.169,68;0,26;26.043,24;3,78;;-16,01;241.219.064,41;2.121,00;Passiva;111.177,00
ALZC11;92,30;1,176679;7,59;63,81;1,45;93.074,55;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
ALZM11;7,52;0,085000;14,01;8,13;0,93;175.126,27;7,85;-3,47;-55,54;123.361.609,59;11.527,00;Ativa;15.180.540,00
ALZR11;104,65;0,745710;8,90;106,12;0,99;1.869.312,77;22,73;-12,04;-1,70;1.297.433.532,74;154.920,00;Ativa;12.226.625,00
ANCR11B;3.221,00;1,757992;1,32;109,26;29,48;3.221,00;0,66;;;2.921.066.840,67;134,00;Ativa;26.735.046,00
APTO11;9,60;0,090000;11,35;10,05;0,96;22.542,55;6,49;;;46.335.324,81;9.402,00;Ativa;4.612.227,00
APXM11;96,99;0,488500;7,19;96,19;1,01;22.965,50;1,15;;;169.295.720,61;371,00;;1.760.000,00
APXR11;100,00;;0,00;80,31;1,25;0,00;0,84;;;8.799.515,30;130,00;;109.567,00
APXU11;0,00;;0,00;87,80;;;95,13;;;8.915.878,15;40,00;Ativa;101.542,00
AQLL11;385,03;;0,00;942,98;0,41;;0,08;;;137.503.413,55;84,00;Ativa;145.817,00
ARFI11B;479,99;;0,00;63,81;7,52;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
AROA11;0,99;0,006200;7,18;0,99;1,00;6.641,82;1,46;;;165.689.796,72;3.082,00;Ativa;167.926.832,00
ARRI11;8,76;0,100000;13,70;8,61;1,02;323.119,18;11,36;-9,09;-2,39;167.158.045,79;26.794,00;Ativa;19.424.415,00
ARXD11;96,62;1,050000;12,83;97,92;0,99;156.651,32;2,66;;;64.126.052,21;539,00;Ativa;654.895,00
ASMT11;38,52;0,770000;0,00;91,03;0,42;15.802,35;3,43;;-27,81;98.432.069,18;474,00;Ativa;1.081.257,00
ASRF11;10.882,00;256,328699;0,00;9.590,75;1,13;680,13;12,50;;;28.215.974,04;68,00;Ativa;2.942,00
ATCR11;0,00;0,306448;0,00;73,88;;;1,10;;;68.624.901,54;33,00;Ativa;928.908,00
ATSA11;54,95;0,720000;1,31;76,66;0,72;1.056,50;1,32;12,03;-18,28;134.250.785,31;289,00;Passiva;1.751.141,00
ATWN11;0,00;;0,00;2.066,04;;;0,34;;;332.130.830,08;2,00;Passiva;160.757,00
AURB11;86,00;0,200000;0,93;77,20;1,11;68,31;1,61;;;69.367.039,80;20,00;Ativa;898.514,00
AZPE11;0,00;;0,00;10,08;;;1,80;;;37.586.563,62;7,00;;3.730.000,00
AZPL11;8,28;0,070000;1,57;9,95;0,83;584.323,78;23,35;;;181.226.994,55;6.089,00;;18.209.646,00
BARI11;77,27;0,800000;11,61;92,28;0,84;570.750,55;9,98;-15,47;-8,81;427.626.205,56;39.849,00;Ativa;4.634.191,00
BBFI11;431,00;100,414494;71,94;864,77;0,50;378.547,00;34,00;1,24;-43,42;112.420.203,16;7.482,00;Passiva;130.000,00
BBFO11;70,65;0,650000;11,00;80,00;0,88;424.067,36;0,30;-4,67;-0,72;320.316.366,05;6.839,00;Passiva;4.003.900,00
BBIG11;9,41;0,080000;3,40;9,69;0,97;912.668,18;7,54;;;960.394.961,27;20.742,00;Ativa;99.120.994,00
