TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
BTWR11;106,40;0,81;0,98;1.440.549,00;2,50;;;87.553.541,04;59,00;Passiva;
CORM11;104,10;5,50;1,08;1.067.407,33;4,45;;;88.542.042,19;162,00;Ativa;
CEOC11;61,82;8,47;0,72;79.491,88;2,10;-7,60;-7,85;156.731.969,03;6.500,00;Passiva;
BZLI11;16,50;0,00;1,49;198.060,27;0,03;;7,16;432.053.734,70;323,00;Ativa;
MTOF11;0,00;0,00;;;1,29;;;165.381.225,10;3,00;Ativa;
BNFS11;122,71;10,17;1,18;53.403,97;4,96;6,91;2,10;72.806.988,74;3.402,00;Ativa;
CJCT11;61,00;0,00;0,91;394.327,23;0,59;;9,08;181.913.618,49;1.513,00;Passiva;
CPFF11;79,14;11,42;1,01;1.206.824,32;2,15;;;310.995.405,78;12.996,00;Ativa;
BTAL11;92,58;3,15;0,91;643.368,50;19,66;;;608.702.424,85;11.466,00;Ativa;
BTCR11;90,99;8,08;0,93;694.629,12;4,71;-1,81;;469.063.743,51;10.047,00;Ativa;
BTLG11;105,50;7,38;1,05;5.951.884,29;19,27;19,04;16,63;1.554.524.834,24;136.295,00;Ativa;
CARE11;0,69;1,70;0,43;176.365,18;0,96;;-27,62;286.915.148,04;12.395,00;Ativa;
CBOP11;68,72;9,15;0,74;34.156,76;1,00;2,80;0,46;131.427.661,36;3.875,00;Passiva;
CPTS11;98,14;12,06;1,03;9.661.640,44;13,92;9,09;-0,54;2.447.172.370,32;113.961,00;Ativa;
BPFF11;70,49;9,35;0,89;491.251,32;7,26;-5,06;-7,58;357.720.610,73;20.505,00;Ativa;
BPML11;85,97;2,26;0,65;25.179,82;4,77;;;570.824.513,01;1.334,00;Passiva;
BPRP11;100,22;9,30;0,93;21.696,74;0,07;;;145.785.937,37;202,00;Passiva;
BRCO11;101,01;6,52;0,93;2.675.612,97;1,97;;;1.603.149.372,65;45.306,00;Ativa;
BRCR11;74,00;7,63;0,69;1.960.479,88;1,02;-28,07;-9,00;2.864.064.151,90;129.235,00;Ativa;
BREV11;102,57;5,53;0,98;954,22;1,03;;;101.713.515,39;79,00;Ativa;
BRIP11;1.016,45;0,00;1,03;1.016,00;4,79;;;106.881.044,43;234,00;Ativa;
CRFF11;70,10;7,48;0,80;47.486,85;1,16;;;60.769.877,98;1.869,00;Ativa;
AFOF11;88,75;5,42;0,90;128.023,24;7,06;;;67.805.605,75;2.251,00;Ativa;
