TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
BRCO11;112,80;5,88;1,04;2.582.690,13;8,55;;;1.602.509.072,14;21.866,00;Ativa;
BRIP11;0,00;0,00;;;33,83;;;53.934.929,14;215,00;Ativa;
BRLA11;0,00;0,00;;;2,79;;;80.964.421,89;84,00;Ativa;
FAMB11B;1.284,18;11,73;0,37;113.247,41;8,74;-9,82;-32,06;365.818.560,35;3.957,00;Passiva;
FATN11;103,30;2,87;1,03;10.185,06;0,46;;;53.674.677,13;149,00;Ativa;
FCFL11;112,42;5,84;1,11;448.021,16;0,43;-0,33;0,63;352.321.372,44;4.535,00;Passiva;
MGCR11;98,00;2,20;1,02;485.060,81;14,93;;;68.926.768,60;800,00;Ativa;
PATL11;93,03;2,91;0,96;1.040.770,56;2,61;;;483.453.506,73;7.542,00;Ativa;
CNES11;52,35;5,62;0,57;53.340,22;5,62;8,02;-19,30;270.905.397,90;2.807,00;Ativa;
FOFT11;123,00;0,00;1,12;;5,10;-47,71;9,77;131.819.480,59;3.846,00;Ativa;
MGHT11;103,49;5,79;1,04;179.306,31;28,39;;;103.041.153,36;237,00;Ativa;
OULG11;74,43;9,90;0,77;348.342,28;5,77;;;240.205.894,95;6.257,00;Ativa;
SOLR11;0,00;0,00;;;6,03;;;67.173.935,08;50,00;Ativa;
AFOF11;0,00;0,00;;;25,36;;;38.830.934,30;56,00;Ativa;
ATWN11;0,00;0,00;;;1,25;;;83.176.673,97;2,00;Passiva;
IBFF11;77,50;6,45;0,87;248.994,78;1,28;;;59.171.725,67;5.263,00;Ativa;
IFIE11;99,90;1,55;1,06;139.572,06;0,56;;;84.662.466,28;7.350,00;Passiva;
LOFT11B;28,50;38,88;0,44;21.542,38;7,72;;;202.578.362,55;441,00;Ativa;
LVBI11;118,50;5,73;1,07;2.747.447,44;37,66;;;1.299.070.650,56;34.601,00;Ativa;
MALL11;103,47;4,22;0,98;2.489.565,84;4,75;-16,55;-0,17;797.126.181,06;78.796,00;Ativa;
CVBI11;107,70;9,95;1,08;3.997.431,41;4,13;;;352.775.873,82;13.211,00;Ativa;
HBRH11;105,99;7,02;0,97;123.046,06;0,76;;;245.480.436,06;719,00;Ativa;
HBTT11;1.055,00;8,40;;37.746,53;;;;0,00;0,00;Ativa;
HCST11;101,80;0,00;1,06;4.423,67;8,60;;;16.934.427,69;50,00;Ativa;
HCTR11;147,33;14,63;1,23;8.344.127,84;8,02;;;796.605.495,45;64.452,00;Ativa;
HFOF11;103,13;7,80;1,06;3.619.545,66;1,60;3,27;1,03;2.100.054.513,00;64.658,00;Ativa;
HGCR11;104,92;6,36;0,99;2.634.788,13;7,47;-11,68;0,63;1.308.364.784,05;61.594,00;Ativa;
HOSI11;84,25;3,28;0,91;57.147,97;12,64;;;53.331.129,11;2.136,00;Ativa;
HREC11;103,47;2,98;1,02;5.423.154,47;1,22;;;91.416.594,43;147,00;Ativa;
HSLG11;113,75;0,78;1,08;1.935.800,56;5,21;;;1.332.013.637,77;10.541,00;Ativa;
HTMX11;118,89;0,60;0,90;287.258,09;1,77;8,60;-5,53;166.127.946,56;24.648,00;Ativa;
HUSC11;151,11;4,16;1,16;9.573,90;5,46;;;103.251.793,22;605,00;Passiva;
HUSI11;1.025,00;0,00;1,08;4.994,00;42,64;;;95.511.884,01;77,00;Ativa;
BRCR11;87,91;6,45;0,82;8.623.328,41;0,94;-26,87;-5,90;2.866.538.116,72;122.198,00;Ativa;
CTXT11;33,00;12,18;0,68;55.415,75;0,46;-3,44;99,12;125.721.310,44;4.800,00;Passiva;
CXCE11B;89,78;11,40;1,11;70.163,72;5,70;4,94;-2,41;138.821.676,23;2.323,00;Passiva;
CXRI11;102,06;10,35;1,05;82.834,19;0,41;6,68;-54,87;153.168.285,45;2.961,00;Ativa;
DEVA11;118,99;6,00;1,20;6.659.129,00;14,59;;;305.674.696,86;6.365,00;Ativa;
DLMT11;0,00;0,00;;;21,70;;;14.382.353,83;9,00;Ativa;
BPFF11;79,62;8,26;0,91;1.133.658,63;3,74;-4,77;-8,22;391.026.541,63;17.362,00;Ativa;
BPML11;104,00;1,62;0,75;366.476,84;6,42;;;593.096.051,61;772,00;Ativa;
BREV11;115,00;3,41;1,08;7.130,55;2,53;;;98.940.753,75;69,00;Ativa;
BRHT11B;86,80;0,00;1,05;;1,02;;;152.780.369,36;11,00;--;
GESE11B;1.520,00;4,62;1,13;456.000,00;3,22;;;70.011.341,92;55,00;Passiva;
GTWR11;107,20;7,70;1,06;1.933.705,25;0,40;;;1.210.311.354,17;25.721,00;Ativa;
JBFO11;0,00;0,00;;;1,80;;;82.889.525,21;234,00;Ativa;
CXCO11;0,00;0,00;;;0,16;;;392.312.752,27;1,00;Ativa;
GCRI11;0,00;0,00;;;14,71;;;40.524.904,67;37,00;Ativa;
HMOC11;225,18;2,90;0,94;53.713,75;0,59;-15,85;;91.116.845,87;208,00;Passiva;
RBRY11;105,21;7,76;0,99;269.878,22;14,91;;;208.046.787,64;2.916,00;Ativa;
RCRB11;157,30;6,68;0,79;659.834,78;9,31;11,71;-4,36;730.601.750,67;28.371,00;Ativa;
RECT11;95,00;9,70;0,99;2.582.638,06;0,98;;;670.508.704,52;60.704,00;Ativa;
TGAR11;142,99;8,96;1,09;4.079.790,25;30,83;12,57;;783.186.927,19;55.112,00;Ativa;
EGYR11;0,00;0,00;;;0,03;;;93.242.444,39;1,00;Passiva;
FLCR11;106,00;0,00;1,05;16.491,76;39,39;;;50.712.119,24;66,00;Ativa;
HBCR11;0,00;0,00;;;2,51;;;26.683.973,52;7,00;Ativa;
HCRI11;505,89;6,54;1,67;52.897,56;0,50;5,77;14,81;60.593.433,41;3.217,00;Passiva;
HGBS11;218,00;3,03;0,99;1.890.220,16;1,11;-24,22;-2,47;2.204.296.561,31;80.366,00;Ativa;
