TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
VPSI11;0,00;0,131454;0,00;18,57;;;0,88;-1,57;;149.868.838,91;56,00;Passiva;8.071.897,00
CEOC11;62,85;0,485272;8,90;90,26;0,70;53.070,09;2,07;-5,62;-9,40;163.886.925,20;5.542,00;Passiva;1.815.696,00
XPSF11;7,15;0,068000;11,86;87,48;0,08;1.041.613,29;1,60;;;378.789.954,58;22.284,00;Ativa;4.330.214,00
VIDS11;0,00;;0,00;810,81;;;5,85;;;48.045.203,16;199,00;Ativa;59.256,00
NEWL11;93,99;0,800000;10,88;116,45;0,81;490.319,41;3,34;;;236.749.420,22;3.822,00;Ativa;2.033.099,00
IBCR11;92,49;1,220000;15,45;98,26;0,94;571.700,29;21,45;;;78.895.736,60;3.109,00;Ativa;802.921,00
EDGA11;19,61;0,175238;7,99;66,19;0,30;44.027,44;0,96;-12,50;-25,80;252.328.541,49;6.489,00;Passiva;3.812.055,00
BBPO11;81,33;0,890000;13,63;95,89;0,85;1.555.853,68;4,66;-4,16;-16,86;1.526.612.149,61;67.210,00;Passiva;15.919.690,00
HGLG11;162,80;1,100000;9,12;148,59;1,10;4.173.011,09;6,54;17,13;2,00;3.166.941.927,99;305.974,00;Ativa;21.313.413,00
MXRF11;9,66;0,110000;10,56;10,06;0,96;7.616.801,76;3,94;0,66;-5,56;2.273.059.034,58;524.900,00;Ativa;226.039.663,00
WHGR11;0,00;;0,00;10,08;;;3,44;;;149.536.375,56;93,00;Ativa;14.828.868,00
SBCL11;0,00;;0,00;947,32;;;142,13;;;28.419.691,26;2,00;Ativa;30.000,00
ZIFI11;1.164,99;4,813478;0,41;1.205,93;0,97;70.066,06;0,01;;;25.053.111,89;24,00;Ativa;20.775,00
ROOF11;1.050,00;;0,00;897,17;1,17;26.483,67;11,47;;;69.526.303,97;67,00;Ativa;77.495,00
DRIT11B;82,00;0,590000;6,91;125,45;0,65;1.154,70;1,55;-7,48;-22,33;58.117.379,39;326,00;Ativa;463.277,00
SRVD11;7,50;0,200000;5,64;0,98;7,65;808.973,97;1,85;;;94.826.668,35;81,00;Ativa;96.286.020,00
CARE11;4,51;0,008385;0,74;8,16;0,55;2.266.004,00;0,00;;-13,63;291.725.727,97;8.923,00;Ativa;35.769.919,00
LUGG11;80,88;0,580000;7,97;125,02;0,65;34.177,56;0,70;;;112.514.128,13;4.097,00;Ativa;900.000,00
MORC11;100,60;1,500000;13,44;100,41;1,00;724.514,74;17,11;;;112.803.885,34;1.705,00;Ativa;1.123.442,00
WTSP11B;38,11;0,317347;7,89;79,58;0,48;551,48;0,26;-9,42;-21,24;78.984.616,06;203,00;Ativa;992.565,00
BMII11;0,00;0,228341;0,00;496,22;;;0,27;;;69.470.397,70;12,00;Ativa;140.000,00
BCIA11;81,70;0,710000;9,58;104,91;0,78;481.669,65;0,18;-19,84;-10,69;390.172.858,41;14.245,00;Ativa;3.719.038,00
PNPR11;100,00;;0,00;96,29;1,04;783.356,25;1,55;;;56.675.783,90;16,00;Ativa;588.583,00
HFOF11;72,50;0,600000;9,93;84,66;0,86;1.644.034,29;1,24;-10,90;-10,97;1.946.136.297,27;64.682,00;Ativa;22.987.007,00
CPTS11;93,39;1,080000;13,38;92,53;1,01;8.469.162,47;0,15;15,18;-1,94;2.645.082.429,58;163.235,00;Ativa;28.585.043,00
SEQR11;63,52;0,627900;12,29;96,18;0,66;240.422,12;1,43;;;154.715.481,14;2.152,00;Ativa;1.608.552,00
VXXV11;852,64;10,760000;0,00;818,70;1,04;2.668.869,38;0,92;;;144.727.828,81;13,00;Ativa;176.778,00
SNCI11;103,00;1,450000;9,59;99,00;1,04;2.418.383,26;0,26;;;247.510.708,21;29.815,00;Ativa;2.500.001,00
BTAL11;96,50;0,830000;9,54;103,72;0,93;1.086.321,06;5,48;;;620.535.572,06;26.291,00;Ativa;5.982.736,00
HGIC11;110,81;0,990000;10,29;112,20;0,99;58.808,29;13,19;;;31.186.627,42;293,00;Ativa;277.951,00
VTXI11;0,00;;0,00;27,70;;;64,88;;;2.866.505,74;2,00;Ativa;103.500,00
SPVJ11;0,00;0,660000;0,00;107,62;;;5,93;;;679.285.999,21;29,00;Ativa;6.312.090,00
TOUR11;8,80;0,242328;1.407,27;0,00;;340.762,05;;;;0,00;0,00;Ativa;0,00
BBIM11;0,00;0,250000;0,00;48,58;;;5,40;-2,57;;50.280.934,83;20,00;Ativa;1.035.000,00
CXAG11;77,20;0,750000;2,91;102,48;0,75;147.380,00;2,28;;;214.253.899,43;12.212,00;Passiva;2.090.621,00
TEPP11;69,78;0,490000;7,98;90,51;0,77;162.672,29;0,29;;;382.133.371,55;7.440,00;Ativa;4.221.967,00
MGCR11;85,85;1,150000;12,57;93,77;0,92;196.111,62;15,23;;;133.371.017,22;2.567,00;Ativa;1.422.304,00
SFND11;83,07;4,250000;5,12;9,69;8,57;;23,03;116,69;;9.508.508,52;54,00;Passiva;981.472,00
RBGS11;28,45;0,176600;3,81;90,78;0,31;49.400,90;0,52;4,91;-13,53;97.865.283,71;2.808,00;Passiva;1.078.000,00
SOLR11;1.011,00;7,156147;10,64;1.009,42;1,00;2.014.249,00;1,10;;;63.475.344,10;52,00;Ativa;62.883,00
HGRU11;115,39;0,820000;7,90;118,84;0,97;4.132.539,32;5,06;3,52;1,00;2.187.502.617,24;161.242,00;Ativa;18.406.458,00
FPAB11;213,31;1,580000;7,67;410,01;0,52;5.164,63;1,54;-10,14;-15,22;307.504.759,71;923,00;Passiva;750.000,00
FLMA11;117,70;0,830000;6,27;156,92;0,75;54.757,71;2,37;-4,51;-11,34;216.661.402,08;19.132,00;Ativa;1.380.670,00
FIVN11;2,18;;0,00;6,98;0,31;15.126,88;0,05;;-8,97;65.678.487,99;3.377,00;Passiva;9.412.630,00
RBRI11;1.000,00;35,620000;3,56;1.266,43;0,79;1.000,00;1,62;;;141.807.523,73;83,00;--;111.974,00
PQDP11;1.957,02;15,013273;7,37;3.335,65;0,59;82.426,15;1,81;-6,27;-13,98;810.023.485,92;4.034,00;Passiva;242.838,00
TORM13;142,00;10,562960;31,94;0,00;;2.317,56;;;;0,00;0,00;Ativa;0,00
JBFO11;86,26;0,560000;6,46;87,40;0,99;72.131,33;0,35;;;111.791.738,32;356,00;Ativa;1.279.070,00
TRNT11;110,00;0,450000;4,50;202,47;0,54;31.873,47;0,73;-15,55;-15,14;796.836.066,77;806,00;Passiva;3.935.562,00
MBRF11;695,00;10,000000;14,80;1.118,56;0,62;33.886,68;4,40;0,28;-17,04;113.717.576,93;2.916,00;Ativa;101.664,00
ERCR11;76.000,00;1.322,767651;16,52;70.317,64;1,08;76.000,00;0,15;;;167.074.702,22;10,00;Passiva;2.376,00
HAAA11;95,00;0,540000;6,76;93,42;1,02;937,32;1,58;;;322.768.504,37;142,00;Ativa;3.455.000,00
HGRE11;128,18;0,780000;8,68;164,64;0,78;2.295.158,74;1,17;7,46;-5,71;1.945.621.840,84;120.404,00;Ativa;11.817.767,00
