TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
ABCP11;74,09;0,650000;8,71;101,51;0,73;70.559,72;1,63;8,43;-1,32;478.010.469,38;17.205,00;Passiva;4.709.082,00
AFHI11;98,48;1,000000;12,88;96,03;1,03;947.197,41;4,79;;;321.041.569,91;27.831,00;Ativa;3.343.095,00
AIEC11;55,00;1,330000;16,67;83,15;0,66;794.894,06;3,08;8,80;-15,76;401.216.234,32;16.789,00;Ativa;4.824.987,00
ALMI11;652,03;0,371133;0,00;2.154,48;0,30;99.468,83;3,21;;-21,15;239.528.331,03;2.239,00;Passiva;111.177,00
ALZC11;0,00;;0,00;;;;;;;;;;1.000.000,00
ALZM11;8,70;0,108860;11,86;8,52;1,02;254.060,16;7,80;;;129.280.035,30;5.674,00;Ativa;15.180.540,00
ALZR11;117,12;0,797555;8,38;105,39;1,11;1.567.003,25;20,14;8,36;-2,73;1.039.173.322,38;149.502,00;Ativa;9.860.406,00
ANCR11B;3.221,00;42,077240;1,96;4.068,56;0,79;4.762,67;1,35;;1,39;1.933.854.842,07;62,00;Ativa;475.316,00
APTO11;9,80;0,090000;12,29;10,33;0,95;35.531,97;5,97;;;41.467.547,86;9.877,00;Ativa;4.012.857,00
APXM11;99,99;0,576851;2,55;95,86;1,04;780.052,11;15,08;;;168.710.781,90;377,00;;1.760.000,00
AQLL11;385,03;;0,00;975,20;0,39;;0,04;;0,09;142.201.961,38;84,00;Ativa;145.817,00
ARFI11B;479,99;;0,00;651,70;0,74;;1,52;;;74.329.618,05;28,00;Ativa;114.054,00
AROA11;1,29;0,005900;3,42;1,08;1,19;68.183,90;1,16;;;181.093.979,93;205,00;Ativa;167.926.832,00
ARRI11;8,94;0,100000;13,76;8,99;0,99;244.183,19;1,51;-6,17;-0,88;117.352.872,73;27.526,00;Ativa;13.056.237,00
