TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
CNES11;42,51;6,90;0,46;34.513,07;5,49;11,03;-22,45;270.853.338,37;2.727,00;Ativa;
ELDO11B;762,38;4,21;0,62;;0,11;-23,44;;972.424.313,56;61,00;Passiva;
HBRH11;97,50;8,27;0,89;115.391,96;0,73;;;245.496.562,67;772,00;Ativa;
HREC11;105,75;4,38;1,07;76.944,63;0,27;;;89.484.442,35;179,00;Ativa;
JFLL11;94,00;1,38;1,00;129.856,43;2,00;;;140.892.284,13;1.218,00;Ativa;
KNSC11;104,00;4,45;1,10;1.941.984,54;4,50;;;247.954.565,07;11.709,00;Ativa;
LOFT11B;29,90;28,66;0,46;17.429,83;11,56;;;203.237.450,17;467,00;Ativa;
MVFI11;0,00;0,00;;;0,08;;;146.150.760,46;1,00;Ativa;
VISC11;108,14;3,63;0,91;3.014.316,18;0,75;-18,65;-0,46;1.703.597.083,66;188.952,00;Ativa;
HBTT11;1.055,00;5,84;;37.746,53;;;;0,00;0,00;Ativa;
HCRI11;466,90;7,17;1,54;57.025,29;0,47;5,81;8,84;60.609.813,26;3.209,00;Passiva;
HCST11;98,08;0,00;1,03;35.020,79;1,09;;;16.895.684,29;72,00;Ativa;
TBOF11;15,56;47,24;91,53;;74,86;72,22;-44,17;1.675.759,83;9.158,00;Passiva;
TCIN11;106,95;0,00;1,09;541.166,00;4,48;;;69.300.008,90;108,00;Ativa;
TGAR11;138,00;9,96;1,06;4.373.430,07;23,04;13,57;;960.887.193,37;57.838,00;Ativa;
VGIR11;94,95;5,79;0,98;938.220,11;2,15;;;436.618.569,79;23.705,00;Ativa;
FVPQ11;141,99;2,28;0,72;92.523,39;1,57;-1,81;-18,57;549.474.596,20;5.273,00;Passiva;
HSLG11;107,90;1,90;1,02;1.185.558,86;5,14;;;1.335.106.598,82;11.631,00;Ativa;
HSRE11;88,50;1,53;0,91;867.049,91;1,80;;;824.824.878,48;11,00;Ativa;
JRDM11;68,87;2,01;0,79;61.440,54;2,90;-4,95;-5,08;220.607.172,53;5.720,00;Passiva;
KNIP11;115,00;8,99;1,11;20.224.825,07;15,97;7,64;2,08;4.884.362.522,99;46.112,00;Ativa;
CXRI11;98,45;10,22;1,04;48.199,39;0,55;4,97;-55,77;148.670.811,49;3.054,00;Ativa;
FLCR11;102,50;1,80;1,01;8.121,43;31,43;;;50.718.406,27;81,00;Ativa;
FLRP11;1.315,93;4,40;0,76;36.904,24;2,39;3,50;1,73;112.267.171,45;997,00;Passiva;
FMOF11;70,01;2,46;0,53;10.202,57;1,36;23,48;-13,19;67.168.286,31;361,00;Passiva;
GALG11;112,10;2,89;1,29;2.235.017,25;0,73;;;488.220.330,69;2.527,00;Ativa;
HFOF11;100,40;7,72;1,04;5.012.335,29;2,00;-1,86;0,52;2.090.069.815,30;66.378,00;Ativa;
HGBS11;206,84;2,66;0,94;1.883.950,64;1,84;-29,30;-4,30;2.204.183.975,05;80.744,00;Ativa;
IBFF11;72,98;6,13;0,83;200.846,86;2,54;;;58.290.001,14;5.473,00;Ativa;
IFIE11;97,80;2,49;1,06;57.846,14;0,61;;;83.347.472,85;6.866,00;Passiva;
