TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
BTWR11;106,40;0,81;0,98;1.440.549,00;2,49;;;87.559.427,46;57,00;Passiva;
BLCP11;83,18;8,45;0,81;27.464,09;3,60;;;196.737.732,59;187,00;Ativa;
BLMC11;101,20;3,53;1,01;1.606,46;7,66;;;39.963.927,89;36,00;Ativa;
BNFS11;125,44;9,95;1,21;50.871,15;4,96;6,91;2,87;72.838.544,48;3.420,00;Ativa;
CTXT11;22,46;7,39;0,47;7.164,58;0,63;-23,80;76,86;124.456.805,48;4.099,00;Passiva;
MTOF11;0,00;0,00;;;0,99;;;164.700.335,09;3,00;Ativa;
BLMG11;97,83;5,19;0,94;785.559,00;2,69;;;398.380.996,18;3.503,00;Ativa;
DOMC11;439,00;0,00;3,97;17.499,67;0,05;;-2,73;269.950.285,34;1.158,00;Passiva;
ELDO11B;762,38;6,91;0,62;;0,17;13,34;;973.423.178,24;61,00;Passiva;
BRCR11;74,92;7,54;0,70;1.943.018,85;0,97;-27,97;-7,93;2.868.739.600,78;128.784,00;Ativa;
EDFO11B;246,00;6,97;1,15;19.443,52;1,25;-7,49;-2,14;50.451.490,65;583,00;Passiva;
EDGA11;25,56;7,16;0,32;44.314,77;0,38;-14,63;-12,69;300.251.704,22;7.313,00;Passiva;
BLMO11;26.004,50;0,00;1,01;147.358,67;7,89;;;98.081.748,82;95,00;Ativa;
BRHT11B;86,80;0,00;1,06;;0,87;;;151.487.265,06;11,00;--;
BRIM11;1.044,38;0,00;1,04;1.028,25;5,74;;;125.071.430,23;121,00;Ativa;
BTCR11;93,85;7,39;0,96;663.452,65;2,18;-3,97;;470.541.428,98;9.797,00;Ativa;
DRIT11B;109,99;3,11;0,84;1.354,42;0,70;-19,22;-2,59;60.794.471,78;329,00;Ativa;
BPFF11;71,26;9,25;0,87;509.160,50;7,53;-5,06;-7,66;369.979.755,66;20.563,00;Ativa;
BPML11;89,00;1,76;0,67;24.059,12;5,31;;;572.132.074,06;1.327,00;Passiva;
BPRP11;104,20;8,91;0,96;25.696,56;0,06;;;145.788.757,13;199,00;Passiva;
BRCO11;101,60;6,49;0,94;2.918.801,54;2,19;;;1.602.691.035,51;42.322,00;Ativa;
BREV11;103,06;5,50;0,98;1.060,75;1,43;;;98.135.308,27;79,00;Ativa;
BBFI11B;2.408,00;12,77;0,95;323.188,62;8,45;1,33;15,82;329.106.502,93;7.939,00;Passiva;
BLMR11;76,50;5,56;0,83;819.737,58;2,89;;;235.987.183,00;4.095,00;Ativa;
ESTQ11;0,00;0,00;;;21,71;;;21.410.720,24;5,00;Ativa;
BTAL11;94,02;3,10;0,92;594.598,50;29,50;;;612.722.453,50;11.124,00;Ativa;
BTLG11;105,94;6,99;1,04;5.563.255,73;15,77;17,87;15,25;1.549.548.375,18;130.062,00;Ativa;
EURO11;206,44;8,05;0,73;67.849,50;1,85;4,80;6,27;108.976.705,58;2.497,00;Passiva;
