TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
FIGS11;56,60;4,81;0,60;220.971,08;4,61;-33,94;-5,34;269.072.392,62;17.278,00;Passiva;
FIIB11;468,00;7,74;1,06;341.858,42;1,36;4,49;5,55;303.109.965,84;17.287,00;Passiva;
FIIP11B;181,14;7,10;0,91;95.237,73;2,63;-7,75;0,03;185.387.518,36;9.044,00;Passiva;
FIVN11;2,60;0,00;0,38;23.732,19;0,00;;-5,69;64.672.123,59;3.040,00;Passiva;
FLCR11;101,19;5,83;1,00;86.395,88;17,25;;;50.497.524,99;295,00;Ativa;
FLMA11;131,55;4,23;0,85;102.885,35;2,75;-13,45;6,92;214.808.112,99;22.012,00;Ativa;
FLRP11;1.290,03;4,18;0,78;18.715,08;1,50;-15,39;1,35;108.556.657,25;960,00;Passiva;
FMOF11;70,04;1,88;0,53;2.415,11;1,20;20,42;-6,88;67.015.529,40;359,00;Passiva;
GRLV11;104,51;103,06;17,51;753.753,27;2.489,44;135,25;-4,16;6.407.890,29;2.604,00;Passiva;
GSFI11;4,75;0,00;0,36;181.193,19;20,26;;;912.359.936,63;5.856,00;Ativa;
GTWR11;91,09;8,92;0,90;1.583.172,35;0,43;;;1.210.982.087,77;27.153,00;Ativa;
HCRI11;411,00;8,70;1,35;39.846,85;0,59;6,81;9,74;60.988.319,88;3.187,00;Passiva;
AFHI11;93,90;3,09;0,97;1.025.067,81;11,13;;;173.527.715,15;3.806,00;Ativa;
BZEL11;0,00;0,00;;;0,09;;;539.305.785,89;2,00;Ativa;
HCST11;95,20;0,00;0,90;1.038,67;13,75;;;30.288.970,19;92,00;Ativa;
HCTR11;123,28;20,32;1,07;11.258.031,58;2,27;;;1.679.055.798,06;112.165,00;Ativa;
HFOF11;86,20;8,13;0,91;2.570.754,81;2,03;-11,05;-0,46;2.168.498.966,88;67.451,00;Ativa;
HGBS11;187,40;3,53;0,87;1.122.418,12;0,45;-27,49;-2,02;2.151.246.429,71;81.557,00;Ativa;
HGIC11;107,00;3,63;1,03;95.903,83;2,15;;;24.097.833,36;203,00;Ativa;
HGLG11;162,34;8,20;1,11;7.218.486,54;5,55;13,93;8,87;2.698.581.152,15;286.186,00;Ativa;
HGPO11;224,99;5,81;0,93;272.115,92;5,34;;;422.839.824,68;10.169,00;Passiva;
HGRE11;130,10;6,96;0,77;2.108.352,85;1,55;1,09;1,37;1.995.235.668,37;113.185,00;Ativa;
HLOG11;104,08;7,38;0,91;66.678,81;1,42;;;484.986.150,79;3.996,00;Ativa;
HMOC11;226,95;66,00;0,95;69.159,67;0,67;122,18;;91.223.530,50;209,00;Passiva;
HOSI11;77,82;8,27;0,84;25.825,50;12,56;;;52.997.122,61;2.283,00;Ativa;
HPDP11;85,29;3,44;0,89;11.050,09;1,46;;;278.998.525,79;394,00;Passiva;
HRDF11;1,40;0,00;0,93;2.404,27;64,36;;;11.434.863,27;1.483,00;Ativa;
HREC11;98,27;9,16;1,04;4.997,69;5,76;;;110.747.473,03;324,00;Ativa;
HSAF11;87,83;10,40;0,91;477.089,35;5,03;;;171.667.821,48;4.528,00;Ativa;
HSLG11;92,00;5,38;0,82;579.013,19;3,95;;;1.428.810.291,86;15.853,00;Ativa;
HUSC11;119,66;7,44;0,92;10.481,38;1,05;;;103.563.480,55;711,00;Passiva;
HUSI11;1.042,00;0,00;1,09;416.800,00;12,20;;;95.679.198,90;79,00;Ativa;
IBCR11;98,00;2,15;1,00;145.267,00;29,66;;;78.637.546,91;322,00;Ativa;
IBFF11;65,85;7,96;0,81;118.785,23;10,23;;;54.365.112,26;5.342,00;Ativa;
IRDM11;117,70;12,48;1,21;9.819.003,19;5,34;15,37;9,58;2.140.266.949,04;177.311,00;Ativa;
JRDM11;66,00;2,59;0,75;60.915,04;2,70;-14,97;-3,52;222.329.262,22;5.362,00;Passiva;
KINP11;13,00;6,55;1,56;8.247,39;4,97;;;59.740.690,65;492,00;Ativa;
KNCR11;94,68;4,32;0,95;8.034.909,88;10,63;-15,79;-3,79;3.878.751.486,61;71.255,00;Ativa;
KNHY11;106,57;12,64;1,07;1.768.388,12;1,94;20,91;0,18;1.069.432.670,98;6.807,00;Ativa;
KNIP11;104,62;12,29;1,04;8.283.420,69;15,73;14,84;-1,08;5.961.802.392,30;58.523,00;Ativa;
KNRE11;2,13;3,28;1,04;18.004,42;3,38;;-39,57;37.749.160,80;6.677,00;Ativa;
KNRI11;141,35;5,77;0,89;4.747.457,92;4,65;-3,36;0,57;3.827.008.107,34;239.003,00;Ativa;
LGCP11;87,47;7,12;0,88;322.262,62;0,61;;;270.158.478,31;10.166,00;Ativa;
LOFT11B;29,90;8,76;0,35;2.138,00;8,69;;;165.591.838,67;1,00;Ativa;
LUGG11;93,50;6,31;0,75;110.919,62;0,64;;;112.242.392,68;4.391,00;Ativa;
LVBI11;101,15;6,19;0,88;2.222.360,77;15,06;;;1.350.840.352,17;36.500,00;Ativa;
HGRU11;115,89;7,35;0,99;4.155.795,31;0,64;1,04;4,21;2.163.633.459,97;139.721,00;Ativa;
JPPA11;96,99;10,63;0,94;24.417,27;6,14;;;62.640.754,69;600,00;Ativa;
JPPC11;286,00;30,96;0,52;286,00;15,06;;-20,29;30.380.363,46;78,00;Ativa;
MORC11;0,00;0,00;;;43,22;;;46.338.984,70;78,00;Ativa;
MORE11;79,50;11,06;0,82;789.853,58;1,85;;;226.092.708,83;8.188,00;Ativa;
MXRF11;9,99;8,71;0,99;5.721.687,12;15,24;2,84;-0,10;2.274.919.584,29;429.404,00;Ativa;
NAVT11;82,00;2,62;0,86;276.063,35;1,38;;;100.790.568,95;2.142,00;Ativa;
AIEC11;80,69;8,58;0,80;305.365,23;4,85;;;484.081.198,44;2.874,00;Ativa;
NEWL11;101,20;10,36;0,87;68.955,69;10,33;;;235.956.969,95;1.720,00;Ativa;
NEWU11;35,40;0,00;0,56;5.587,68;1,78;58,77;;46.796.647,13;1.761,00;Ativa;
NPAR11;15,20;277,69;0,84;8.695,04;77,89;;;2.153.359,38;473,00;Ativa;
NSLU11;233,51;9,40;1,09;183.995,46;1,97;4,25;3,07;244.467.990,68;7.584,00;Passiva;
ONEF11;143,99;5,51;0,90;194.783,92;1,05;-2,02;4,52;146.345.983,51;4.189,00;Passiva;
ORPD11;132,00;0,00;0,88;441,33;0,00;;3,36;43.441.631,42;29,00;Ativa;
OUFF11;74,69;9,85;0,86;183.879,42;2,00;;;156.781.072,44;8.995,00;Ativa;
OUJP11;86,50;10,00;0,84;952.193,04;17,76;-6,52;-3,51;336.430.058,97;21.157,00;Ativa;
OULG11;65,89;9,89;0,71;141.069,65;5,74;;;230.418.898,83;6.973,00;Ativa;
OURE11;85,61;10,22;0,87;102.362,92;9,24;8,28;-3,49;81.817.611,38;3.951,00;Ativa;
PABY11;12,30;0,00;;285,14;;;-21,00;-6.986.891,31;444,00;Passiva;
PATC11;62,51;5,87;0,73;304.429,73;0,95;;;299.649.957,37;12.589,00;Ativa;
PATL11;73,69;8,97;0,77;1.129.818,19;2,47;;;479.597.276,21;12.033,00;Ativa;
ALMI11;1.020,00;0,00;0,49;41.565,31;2,08;;-7,17;229.116.953,03;3.355,00;Passiva;
ALZR11;116,42;5,55;1,08;1.102.415,00;7,07;-4,62;8,10;575.911.624,88;94.373,00;Ativa;
ANCR11B;3.400,00;1,10;1,01;3.400,00;1,48;;;1.519.590.924,11;61,00;Ativa;
PLRI11;47,82;6,28;0,95;2.875,28;4,04;-15,30;-14,96;48.077.830,94;788,00;Ativa;
PORD11;94,26;11,29;0,95;872.544,42;42,98;;-0,91;369.860.710,13;12.652,00;Ativa;
PQAG11;63,50;12,29;1,12;17.069,64;0,92;;;795.715.629,03;412,00;Ativa;
PQDP11;2.120,00;4,75;0,58;116.160,54;0,84;-16,19;-8,42;866.478.869,16;4.131,00;Passiva;
PRSV11;131,20;1,23;0,55;7.050,92;6,44;28,92;-24,26;46.566.715,49;1.207,00;Passiva;
PRTS11;117,70;0,00;1.471,25;;27,07;;;4.382.785,17;10,00;Ativa;
PVBI11;91,26;6,70;0,91;2.452.280,12;1,67;;;971.929.594,50;40.685,00;Ativa;
QAGR11;51,19;9,95;0,86;461.524,00;0,59;;;301.445.908,38;18.300,00;Ativa;
QAMI11;94,35;4,37;1,01;14.947,69;1,52;;;74.798.125,05;622,00;Ativa;
QIFF11;97,49;7,40;1,03;2.605,42;1,31;;;14.267.185,63;164,00;Passiva;
RBBV11;100,00;35,08;0,99;239.178,74;1,01;75,40;14,84;126.470.249,69;3.475,00;Passiva;
RBCB11;19,00;0,00;;;;-15,04;-55,11;0,00;462,00;Ativa;
RBCO11;53,32;10,49;0,52;197.102,31;4,44;;;384.318.028,69;4.435,00;Ativa;
RBDS11;17,00;13,85;0,70;2.006,20;29,36;18,99;-62,52;3.059.604,84;1.003,00;Ativa;
RBFF11;60,10;9,93;0,84;567.225,58;1,99;5,81;;267.065.390,54;21.146,00;Ativa;
RBRL11;101,73;7,78;0,95;709.763,50;8,22;;;719.129.274,57;6.309,00;Ativa;
RBRP11;75,70;7,60;0,88;1.834.649,69;2,14;1,83;;1.053.178.558,78;89.929,00;Ativa;
RECR11;105,90;13,71;1,11;5.271.431,92;14,07;8,02;0,62;1.853.325.093,50;103.734,00;Ativa;
RECT11;76,42;10,39;0,82;1.170.829,73;6,43;;;762.822.886,80;78.528,00;Ativa;
RELG11;88,40;6,90;0,92;248.439,77;30,88;;;128.170.774,90;3.923,00;Ativa;
RFOF11;80,45;9,35;0,88;272.463,38;0,37;;;98.816.477,64;4.517,00;Ativa;
RMAI11;32,55;0,00;0,29;13.462,79;0,05;;;269.950.285,34;1.158,00;Passiva;
RRCI11;79,00;7,60;0,82;204.339,15;2,51;;;46.685.175,85;2.064,00;Ativa;
SAIC11B;36,05;0,00;0,66;36,00;5,51;;-13,13;77.637.380,10;53,00;Passiva;
SEQR11;82,23;4,95;0,77;147.371,12;4,55;;;157.470.320,07;2.682,00;Ativa;
PBLV11;926,98;8,93;0,70;;3,31;;;3.871.799.380,63;2,00;Ativa;
RBRR11;99,25;7,86;1,00;3.122.716,58;8,71;0,02;0,36;1.029.455.704,14;74.991,00;Ativa;
RNDP11;690,01;6,92;0,90;216.913,68;7,60;-7,73;-10,11;82.378.318,87;868,00;Ativa;
RVBI11;92,45;8,82;1,00;423.893,73;10,32;;;132.487.509,08;11.146,00;Ativa;
VSHO11;79,00;3,94;0,78;17.545,65;2,95;;;212.738.452,64;1.898,00;Ativa;
XPSF11;84,53;10,59;0,89;1.189.942,81;3,17;;;409.323.212,82;19.658,00;Ativa;
RBED11;134,80;9,09;0,90;177.903,58;5,08;-4,49;3,90;303.781.316,88;11.909,00;Ativa;
RECX11;97,50;3,74;1,05;4.453,54;1,87;;;18.315.971,76;399,00;Ativa;
REIT11;860,00;8,91;0,89;2.055,00;14,67;;;25.331.479,86;60,00;Ativa;
RZAK11;93,51;4,54;0,97;1.155.527,23;1,84;;;289.998.355,21;6.773,00;Ativa;
SADI11;82,58;3,52;0,82;202.736,38;0,71;;;320.032.827,61;2.850,00;Ativa;
SCPF11;8,85;2,51;0,70;6.445,08;2,09;-29,53;-8,96;53.257.410,02;4.606,00;Ativa;
SDIL11;88,70;8,04;0,88;677.012,54;11,09;-2,45;-0,64;643.215.323,02;48.640,00;Ativa;
VIUR11;83,60;2,38;0,86;321.456,62;15,79;;;260.495.377,52;3.411,00;Ativa;
VSEC11;80,05;9,23;0,81;1.536,06;28,20;;;6.207.905,04;56,00;Ativa;
XPHT11;89,50;0,00;1,03;85.767,84;0,40;;;330.682.429,81;1.578,00;Ativa;
XPHT12;55,00;0,00;0,63;12.407,48;0,40;;;330.682.429,81;1.578,00;Ativa;
THRA11;138,50;35,56;14,52;53.642,50;140,47;90,73;9,67;14.050.683,35;2.084,00;Passiva;
VINO11;59,25;8,79;0,99;1.681.358,19;6,06;;;755.980.047,90;84.807,00;Ativa;
VISC11;98,40;5,06;0,82;3.412.191,62;0,59;-12,44;-0,03;1.704.715.042,35;196.650,00;Ativa;
VVPR11;96,63;8,04;0,94;173.299,85;1,34;;;238.201.342,56;1.374,00;Ativa;
VXXV11;819,17;1,52;1,62;2.959.479,33;8,96;;;26.321.297,97;5,00;Ativa;
XPIN11;96,10;7,80;0,86;787.846,92;3,82;-3,13;;734.442.817,26;83.235,00;Ativa;
XPLG11;103,60;6,90;0,94;4.710.867,38;13,76;-2,16;5,47;2.995.509.279,97;269.381,00;Ativa;
XPML11;101,40;4,50;0,97;3.635.188,23;3,82;-11,63;5,42;1.904.683.736,49;254.601,00;Ativa;
XPPR11;68,00;9,75;0,79;1.347.185,04;3,55;;;626.411.295,78;43.763,00;Ativa;
XTED11;6,84;0,00;0,50;4.141,15;1,31;;-26,07;26.328.172,93;4.874,00;Passiva;
ARFI11B;479,99;0,00;1,24;;1,09;;;43.989.911,00;28,00;Ativa;
ATSA11;101,98;0,00;1,04;2.185,13;1,15;;;172.130.144,05;257,00;Passiva;
ATWN11;0,00;0,00;;;0,60;;;93.194.385,56;2,00;Passiva;
BARI11;104,44;14,67;1,02;1.611.269,96;11,70;;;473.449.001,90;28.305,00;Ativa;
BZLI11;16,50;0,00;1,45;224.852,15;2,73;;7,16;444.984.851,42;374,00;Ativa;
CARE11;0,74;1,59;0,46;196.703,27;1,20;;-25,92;287.608.893,15;12.552,00;Ativa;
CCRF11;100,00;0,64;1,00;398,33;71,28;;;157.762.927,81;12,00;Ativa;
CEOC11;65,00;8,23;0,75;91.420,54;2,07;-6,83;-6,21;156.864.030,00;6.749,00;Passiva;
CNES11;39,80;4,72;0,46;10.919,35;5,95;6,48;-18,12;257.356.786,45;2.430,00;Passiva;
CORM11;108,89;4,29;1,12;1.453.441,36;4,84;;;89.250.512,37;127,00;Ativa;
AQLL11;385,03;0,00;0,33;641,83;0,00;;;115.686.388,94;37,00;Ativa;
ARCT11;102,19;20,56;0,99;309.244,88;32,99;;;164.460.337,11;6.122,00;Ativa;
ARRI11;97,70;12,38;1,01;211.735,81;23,11;;;101.465.293,42;4.198,00;Ativa;
BBIM11;0,00;0,00;;;17,92;-12,09;;64.937.296,84;20,00;Ativa;
BRIP11;1.016,45;0,00;1,03;1.016,00;16,50;;;107.048.416,30;234,00;Ativa;
CPFF11;80,90;10,31;0,99;1.256.389,77;5,33;;;324.260.289,51;12.850,00;Ativa;
BICR11;97,00;3,49;0,97;2.341,17;11,83;;;50.117.920,84;601,00;Ativa;
CPTS11;98,50;11,77;1,03;9.811.239,81;16,71;8,00;-0,27;2.458.942.926,11;107.805,00;Ativa;
CXCE11B;49,00;22,38;0,60;170.959,15;5,89;5,64;-15,63;139.067.752,40;3.075,00;Passiva;
CXCO11;91,05;3,60;0,91;380.927,35;0,93;;;393.079.137,22;12.867,00;Ativa;
CXRI11;72,85;9,61;0,78;51.810,23;0,65;-6,99;-57,81;146.942.178,56;3.049,00;Ativa;
DEVA11;104,47;14,17;1,06;4.587.317,46;12,63;;;1.081.827.818,75;39.683,00;Ativa;
DMAC11;11,95;339,85;1,34;19.252,81;5,01;;;1.397.456,34;2.228,00;Passiva;
CRFF11;69,50;7,54;0,76;45.232,35;3,34;;;62.730.343,04;1.882,00;Ativa;
BBFO11;77,60;5,27;0,85;72.266,42;1,31;;;367.186.851,52;3.835,00;Passiva;
CBOP11;66,53;9,45;0,72;36.358,81;1,09;2,80;-0,24;131.393.129,28;3.977,00;Passiva;
EQIN11;93,20;11,07;0,99;313.283,12;16,77;-36,74;;135.099.895,60;6.710,00;Ativa;
ERCR11;73.900,00;7,32;0,91;22.264.186,50;0,15;;;192.362.473,21;11,00;Passiva;
BBPO11;105,30;12,09;1,10;2.629.044,31;4,82;1,05;-5,36;1.530.160.087,13;65.692,00;Passiva;
BBRC11;108,40;10,09;0,96;142.058,04;4,17;-0,51;-6,81;179.575.545,75;8.788,00;Passiva;
FAED11;151,00;9,70;0,71;53.317,04;1,53;-7,01;-8,79;137.387.670,17;5.223,00;Passiva;
FAMB11B;1.183,80;2,91;0,34;40.417,77;7,91;-9,82;-9,17;364.429.720,58;3.467,00;Passiva;
FATN11;103,00;7,41;1,03;35.387,75;10,34;;;71.557.612,29;316,00;Ativa;
FCFL11;111,04;6,53;1,09;388.376,58;0,45;1,47;6,01;352.463.780,28;4.436,00;Passiva;
FEXC11;89,99;9,02;0,96;681.379,08;21,06;-4,50;-5,67;572.795.176,05;17.374,00;Ativa;
FOFT11;123,00;0,00;1,12;;5,10;-47,71;13,56;131.819.480,59;3.846,00;Ativa;
CJCT11;61,49;0,00;0,91;160.350,83;0,75;;8,61;182.193.134,65;1.528,00;Passiva;
FVPQ11;121,57;3,27;0,62;52.795,12;1,06;-6,57;-20,83;549.648.571,03;5.008,00;Passiva;
GALG11;103,82;7,17;0,99;1.115.646,58;0,00;;;585.842.387,80;4.671,00;Ativa;
GCFF11;80,36;12,48;0,85;54.924,50;0,48;;;32.103.839,24;1.648,00;Ativa;
GCRI11;99,15;7,03;0,97;174.641,81;12,19;;;87.666.556,33;750,00;Ativa;
GESE11B;1.520,00;7,59;0,92;456.000,00;1,30;;;86.312.327,30;55,00;Passiva;
GGRC11;115,00;7,81;0,87;1.579.344,69;13,20;-0,41;-2,27;1.021.231.664,93;95.226,00;Ativa;
BCRI11;108,02;12,69;1,02;1.651.991,35;25,88;5,88;0,93;463.942.615,40;43.925,00;Ativa;
CXTL11;395,99;4,07;0,62;11.088,08;0,62;16,16;-10,64;34.358.537,40;706,00;Passiva;
HABT11;123,44;14,87;1,25;3.661.104,00;17,14;;;532.966.072,73;33.524,00;Ativa;
HBCR11;105,00;6,49;1,15;2.703,75;4,11;;;24.917.272,64;10,00;Ativa;
HBRH11;85,64;9,18;0,78;117.055,19;2,36;;;245.214.794,99;1.584,00;Ativa;
AFCR11;105,30;12,68;1,03;178.135,92;7,13;;;121.268.018,47;2.634,00;Ativa;
BMLC11;94,32;7,32;0,88;9.966,08;2,60;17,24;8,16;106.627.608,66;1.569,00;Ativa;
HBTT11;1.055,00;1,57;;37.746,53;;;;0,00;0,00;Ativa;
HCHG11;92,00;1,68;0,94;19.306,25;6,93;;;117.384.310,03;257,00;Ativa;
AFOF11;97,97;4,23;0,97;122.032,19;15,60;;;69.651.159,25;1.844,00;Ativa;
FTCE11B;2.950,01;15,35;1,10;;6,99;;;2.354.447.050,22;57,00;Ativa;
FVBI11;94,97;35,94;;;;142,93;-1,76;0,00;0,00;Passiva;
IFID11;81,60;5,75;0,89;91.046,73;1,20;;;68.396.881,27;2.125,00;Passiva;
IFIE11;85,00;4,58;0,97;94.972,85;1,82;;;78.722.612,98;6.007,00;Passiva;
LATR11B;120,00;6,24;4,53;360,00;106,79;;;3.286.607,03;162,00;Ativa;
LFTT11;107,40;6,38;1,77;329.286,57;20,81;;;425.692.859,29;378,00;Ativa;
DVFF11;99,50;0,00;1,06;104.863,92;1,77;;;102.942.035,27;155,00;Ativa;
EVBI11;98,00;4,57;0,97;1.740.011,92;2,46;;;109.620.498,87;138,00;Ativa;
FCAS11;0,00;0,00;;;186,17;;;80.684.223,04;2,00;Passiva;
HSML11;80,14;6,05;0,84;1.953.397,69;2,19;;;1.502.158.604,52;122.744,00;Ativa;
HSRE11;97,09;4,19;1,00;2.419.640,53;1,87;;;829.037.834,71;43,00;Ativa;
HTMX11;100,06;0,00;0,77;181.619,54;1,01;8,60;-4,94;163.700.019,33;24.322,00;Passiva;
MALL11;95,99;6,39;0,91;1.128.649,50;2,82;-6,38;-0,01;796.083.215,37;87.405,00;Ativa;
MAXR11;88,50;8,82;0,75;165.822,73;1,74;-8,71;-3,74;132.505.716,08;3.186,00;Passiva;
MBRF11;830,00;10,50;0,73;67.482,69;3,90;-4,16;-6,24;116.171.652,04;2.818,00;Ativa;
MCCI11;102,60;8,48;1,02;3.534.905,08;12,23;;;895.321.664,70;49.367,00;Ativa;
HAAA11;96,00;5,53;1,00;2.649,56;1,28;;;259.385.936,96;112,00;Ativa;
JBFO11;93,84;1,77;0,99;160.298,00;6,16;;;120.966.736,64;359,00;Ativa;
JFLL11;83,50;5,27;0,86;64.335,27;1,91;;;145.110.071,82;1.687,00;Ativa;
MFAI11;80,66;14,39;0,88;75.246,88;2,98;;;27.763.532,39;3.805,00;Ativa;
MGCR11;92,34;7,79;0,98;82.864,96;8,88;;;134.695.156,01;1.958,00;Ativa;
CJFI11;0,00;0,00;;;0,78;;;98.138.093,29;1,00;Ativa;
MINT11;103,00;0,00;0,86;18.992,20;19,62;;;62.576.793,16;64,00;Ativa;
BRLA11;0,00;0,00;;;0,18;;;240.215.841,37;126,00;Passiva;
MFII11;113,79;10,87;0,98;680.373,73;24,41;-3,28;;479.680.548,19;29.746,00;Ativa;
MGFF11;72,65;9,35;0,87;1.789.567,31;4,08;-7,37;-6,01;755.332.526,76;50.363,00;Ativa;
MGHT11;96,00;7,70;0,97;18.720,88;10,02;;;103.745.129,23;476,00;Ativa;
MGLG11;99,97;0,90;0,99;455.361,00;79,41;;;65.953.611,22;1.004,00;Ativa;
CFHI11;0,00;0,00;;;41,19;;;76.016.506,22;53,00;Ativa;
CVBI11;102,90;12,68;1,03;2.950.851,58;16,00;;;993.016.462,94;42.200,00;Ativa;
NVHO11;12,43;8,22;1,00;2.122,81;1,00;11,64;-27,04;513.831.828,91;2.572,00;Ativa;
NVIF11B;227,50;0,78;1,40;;337,44;;;54.671.298,35;7,00;Ativa;
PEMA11;65,01;8,30;0,66;12.489,60;0,55;;;54.011.821,03;83,00;Ativa;
PLCR11;91,23;9,99;0,95;355.267,58;11,37;;;202.411.813,13;8.171,00;Ativa;
PLOG11;80,00;4,36;0,84;77.051,88;4,21;;;71.562.949,59;1.793,00;Ativa;
ERPA11;140,00;0,00;1,31;140,00;0,01;;;53.091.144,03;13,00;Passiva;
FPAB11;223,02;8,15;0,50;13.887,00;1,10;-14,32;-9,61;335.928.842,27;976,00;Passiva;
FPNG11;0,00;0,00;;;1,10;-12,69;;165.303.204,74;50,00;Ativa;
LASC11;92,98;5,68;0,90;272.028,15;0,74;;;259.727.512,87;142,00;Ativa;
RDPD11;72,50;7,33;1,02;168.816,27;14,45;0,80;-10,16;76.663.312,94;814,00;Ativa;
MCHF11;10,06;0,99;1,05;326.297,31;13,00;;;79.639.876,34;1.806,00;Ativa;
RBGS11;35,28;4,77;0,39;21.128,88;0,42;12,56;-6,02;97.681.005,81;2.900,00;Passiva;
RBIR11;74,82;0,00;0,78;57.051,26;31,23;;;147.014.960,94;1.264,00;Ativa;
RBIV11;83,50;9,20;0,87;197.557,31;1,22;;;166.109.350,70;5.390,00;Ativa;
RBLG11;101,00;3,30;0,94;28.894,18;2,37;;;68.761.329,13;78,00;Ativa;
RBRD11;49,52;7,78;0,69;67.544,81;3,80;-30,72;-15,98;132.955.291,11;11.731,00;Passiva;
RBRF11;80,06;9,88;0,89;2.781.696,65;3,20;-3,22;-6,78;1.225.215.659,73;75.221,00;Ativa;
RBRS11;70,70;5,18;0,73;34.681,91;11,97;;;100.680.113,73;1.193,00;Ativa;
SHPH11;793,00;3,69;0,96;155.999,81;0,46;-11,31;-4,37;501.723.993,79;3.085,00;Passiva;
JSRE11;80,45;7,94;0,71;2.296.195,54;0,95;-2,71;-6,99;2.358.969.696,40;46.488,00;Ativa;
JTPR11;2.517,00;0,00;22,34;;7,05;;;24.184.899,16;9,00;Ativa;
KEVE11;980,00;0,00;0,98;2.646,00;4,74;;;147.751.846,22;382,00;Passiva;
KISU11;8,85;6,25;0,91;1.603.675,23;12,47;;;429.384.321,02;33.089,00;Ativa;
RBRY11;99,70;9,02;0,96;692.254,92;9,77;;;353.237.225,17;10.307,00;Ativa;
RCFF11;102,78;4,97;1,07;13.254,80;7,25;;;31.110.378,81;78,00;Ativa;
RCRB11;142,79;6,86;0,72;458.040,92;2,72;12,84;-0,87;731.470.906,95;29.976,00;Ativa;
RCRI11B;1.200,00;3,83;1,33;1.200,00;16,86;;;46.053.682,48;149,00;Ativa;
SJAU11;119,66;0,00;1,20;4.946.505,00;0,42;;;791.767.145,19;117,00;Passiva;
KFOF11;83,30;7,98;0,82;484.474,00;1,34;6,40;;459.790.847,40;7.524,00;Ativa;
MVFI11;0,00;0,00;;;0,53;;;136.958.320,10;1,00;Ativa;
RZTR11;97,85;7,95;0,98;2.821.464,65;17,47;;;1.098.988.164,07;34.267,00;Ativa;
SARE11;82,90;6,99;0,83;1.075.226,69;12,86;;;926.893.643,68;11.670,00;Ativa;
