TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
ESTQ11;0,00;0,00;;;23,76;;;23.398.890,19;5,00;Ativa;
HCHG11;0,00;0,00;;;17,12;;;35.069.341,57;103,00;Ativa;
JBFO11;0,00;0,00;;;24,55;;;124.971.760,57;234,00;Ativa;
JRDM11;68,10;2,03;0,78;91.265,70;3,36;-4,95;-5,50;220.059.228,87;5.618,00;Passiva;
KEVE11;1.008,10;0,00;1,00;212.688,40;11,41;;;148.286.541,14;373,00;Passiva;
KISU11;139,80;1,56;1,48;1.564.273,70;1,75;;;72.208.644,91;19.071,00;Ativa;
KNSC11;101,92;4,54;1,09;2.745.507,30;1,07;;;246.933.690,22;13.346,00;Ativa;
LOFT11B;29,90;28,66;0,45;17.429,83;23,10;;;220.116.366,55;473,00;Ativa;
MINT11;105,00;0,00;1,02;72.642,90;23,46;;;53.308.543,95;62,00;Ativa;
MOFF11;0,00;0,00;;;3,78;;;192.301.841,72;3,00;Ativa;
SBCL11;0,00;0,00;;;122,91;;;39.398.811,81;1,00;Ativa;
CNES11;42,46;5,82;0,46;36.757,43;5,39;7,55;-20,95;270.777.027,80;2.673,00;Ativa;
CPTS11;102,21;10,00;1,07;7.804.585,22;4,75;3,19;1,21;1.748.061.798,94;75.378,00;Ativa;
FIIB11;498,96;5,80;1,13;429.498,95;1,24;-2,59;6,46;303.120.333,38;17.754,00;Passiva;
GALG11;111,30;2,92;1,09;1.917.259,65;2,39;;;571.559.089,48;3.023,00;Ativa;
HCST11;102,00;0,00;0,95;26.400,05;22,58;;;25.452.407,63;72,00;Ativa;
HGBS11;202,67;2,72;0,92;1.894.055,86;0,19;-29,30;-4,95;2.200.209.177,42;81.787,00;Ativa;
JFLL11;95,40;1,36;0,99;136.384,76;1,90;;;145.084.057,88;1.274,00;Ativa;
DAMT11B;0,00;0,00;;;0,09;;;104.812.062,33;51,00;Passiva;
HCTR11;147,00;15,10;1,27;7.492.601,05;17,10;;;827.691.426,98;78.459,00;Ativa;
HGCR11;109,36;6,19;1,04;3.434.034,86;5,19;-11,11;0,43;1.295.007.398,86;60.062,00;Ativa;
HMOC11;226,95;66,37;0,95;69.159,67;0,67;122,18;;91.223.530,50;209,00;Passiva;
HOSI11;81,00;4,79;0,87;33.627,89;12,59;;;53.286.209,65;2.184,00;Ativa;
HREC11;104,13;4,45;1,07;131.709,85;1,60;;;87.571.342,35;165,00;Ativa;
HSLG11;107,20;1,91;1,02;1.207.267,95;4,70;;;1.333.583.813,25;12.848,00;Ativa;
IFIE11;97,44;2,50;1,08;57.415,51;0,65;;;80.938.474,29;6.676,00;Passiva;
GCRI11;102,50;2,93;1,01;39.143,60;12,25;;;83.636.546,58;75,00;Ativa;
GESE11B;1.520,00;5,49;1,12;456.000,00;4,12;;;70.346.308,44;55,00;Passiva;
GGRC11;120,29;6,97;0,97;2.876.703,03;25,57;-4,66;-3,07;965.944.774,11;91.780,00;Ativa;
GTWR11;106,49;7,72;1,06;1.800.536,03;0,34;;;1.209.548.145,81;26.918,00;Ativa;
HBRH11;96,31;8,38;0,88;118.583,86;0,72;;;245.820.085,40;829,00;Ativa;
HBTT11;1.055,00;5,84;;37.746,53;;;;0,00;0,00;Ativa;
HCRI11;453,00;7,51;1,49;62.000,92;0,48;6,06;7,96;60.625.329,85;3.229,00;Passiva;
HFOF11;100,00;7,75;1,04;4.934.576,73;2,24;-1,86;0,44;2.077.612.502,78;65.930,00;Ativa;
FCFL11;110,00;6,08;1,08;380.239,16;0,51;-0,17;0,53;352.271.509,56;4.568,00;Passiva;
FEXC11;94,11;8,98;0,98;349.576,32;13,23;-3,59;-4,61;327.804.671,18;11.230,00;Ativa;
FMOF11;73,88;2,33;0,56;8.278,70;1,37;23,48;-11,61;67.144.159,73;367,00;Passiva;
FOFT11;123,00;0,00;1,12;;5,10;-47,71;9,77;131.819.480,59;3.846,00;Ativa;
FPAB11;279,98;7,19;0,62;66.814,18;1,38;-10,84;-8,04;336.198.709,36;991,00;Passiva;
FVPQ11;139,70;2,32;0,71;85.391,00;1,10;-1,81;-19,01;550.322.759,82;5.267,00;Passiva;
CTXT11;28,50;11,79;0,59;17.680,16;0,70;-10,58;86,98;125.469.665,32;4.531,00;Passiva;
CXCE11B;95,00;10,97;1,17;98.248,95;5,82;5,03;-1,30;138.995.510,65;2.606,00;Passiva;
CXCO11;105,00;0,00;1,05;887.651,00;0,10;;;392.064.499,71;13.788,00;Ativa;
CXRI11;97,80;10,29;1,04;51.661,05;0,55;4,97;-55,23;148.670.811,49;3.054,00;Ativa;
DEVA11;115,38;8,63;1,17;4.421.502,95;32,35;;;630.487.217,74;18.289,00;Ativa;
DMAC11;20,59;250,63;0,19;64.747,35;2,88;;;16.794.383,11;1.191,00;Passiva;
ELDO11B;762,38;4,36;0,62;;0,01;-25,76;;973.291.405,38;61,00;Passiva;
HBCR11;0,00;0,00;;;3,86;;;26.277.151,92;7,00;Ativa;
EVBI11;100,99;1,27;1,03;237.245,48;2,30;;;105.838.049,81;71,00;Ativa;
HSRE11;92,50;1,46;0,95;668.258,70;1,80;;;826.773.844,92;15,00;Ativa;
KNIP11;114,10;9,06;1,12;17.948.539,57;10,49;7,64;1,85;4.801.881.923,30;52.804,00;Ativa;
LSPA11;0,00;0,00;;;1,66;;;40.336.534,51;220,00;Ativa;
MGCR11;101,90;3,93;1,07;222.455,31;2,06;;;68.736.081,82;831,00;Ativa;
URPR11;129,27;16,84;1,31;1.470.988,65;104,70;;;74.476.869,36;5.490,00;Ativa;
VGIR11;94,48;5,78;0,98;930.199,14;5,16;;;435.738.002,39;23.245,00;Ativa;
BCFF11;85,83;6,75;1,03;5.760.372,27;4,87;-2,77;-1,20;1.711.037.350,87;270.818,00;Ativa;
HAAA11;99,09;2,71;1,02;7.958,86;1,21;;;263.847.879,03;61,00;Ativa;
PEMA11;100,00;0,00;0,99;1.046.200,67;1,80;;;55.958.264,50;37,00;Ativa;
PORD11;103,50;8,99;1,02;241.126,81;11,27;;0,16;200.145.258,15;8.761,00;Ativa;
PQAG11;64,00;10,96;1,18;46.776,78;5,71;;;760.757.277,02;342,00;Ativa;
PQDP11;2.821,00;2,53;0,78;167.602,22;1,10;-3,74;-5,76;858.198.969,76;4.174,00;Passiva;
RBHY11;102,00;1,54;1,00;66.355,75;45,27;;;61.024.474,49;89,00;Ativa;
RBIR11;77,99;0,00;0,81;90.482,20;64,13;;;147.872.039,23;1.150,00;Ativa;
RBRM11;160.000,00;43,07;0,98;;9,72;;;88.214.064,17;54,00;Ativa;
RBRR11;100,81;6,62;1,02;2.394.533,19;12,30;;-0,13;756.871.571,86;68.637,00;Ativa;
RBRS11;71,80;2,81;0,74;28.690,78;32,26;;;101.072.387,59;1.059,00;Ativa;
MTOF11;0,00;0,00;;;1,11;;;191.216.773,48;3,00;Ativa;
RBGS11;39,19;2,97;0,43;30.558,97;0,34;20,78;-12,25;98.103.616,53;3.052,00;Passiva;
RBRY11;103,98;7,95;1,01;1.010.677,59;45,59;;;351.034.322,70;7.288,00;Ativa;
RCRB11;155,01;6,81;0,79;919.663,38;3,45;12,75;-3,78;727.372.877,38;28.904,00;Ativa;
RCRI11B;1.200,00;4,29;1,17;2.400,00;7,48;;;52.395.695,48;147,00;Ativa;
RDPD11;84,00;5,36;0,85;86.505,67;28,83;;-8,60;106.552.478,51;756,00;Ativa;
RECR11;107,69;11,81;1,13;5.678.617,57;21,79;-0,01;1,83;1.356.527.564,54;66.799,00;Ativa;
RECT11;81,84;10,85;0,87;2.544.365,57;16,68;;;768.360.581,24;68.223,00;Ativa;
RECX11;91,90;0,00;0,96;3.816,00;14,52;;;18.953.854,13;318,00;Ativa;
REIT11;1.113,00;6,79;0,92;272.698,24;17,07;;-3,38;31.665.980,18;55,00;Ativa;
RELG11;98,96;3,28;1,03;195.850,62;0,52;;;89.582.612,15;2.317,00;Ativa;
RMAI11;40,00;0,00;0,37;16.566,06;0,33;;;263.546.411,18;1.158,00;Passiva;
RRCI11;90,94;2,57;0,95;97.923,86;8,24;;;46.342.781,71;2.064,00;Ativa;
BLMR11;88,97;1,12;0,93;966.312,16;21,49;;;243.581.512,70;3.745,00;Ativa;
BPFF11;77,36;8,36;0,91;1.179.361,95;8,27;-4,72;-9,65;382.326.190,25;18.265,00;Ativa;
BRCR11;84,45;6,59;0,79;3.205.365,32;0,71;-27,72;-5,79;2.860.888.100,33;125.632,00;Ativa;
NAVT11;0,00;0,00;;;42,59;;;102.952.745,56;2.166,00;Ativa;
RVBI11;92,97;7,42;0,98;481.732,76;1,82;;;136.296.671,71;10.485,00;Ativa;
RZAK11;96,52;0,53;0,99;1.073.849,68;16,88;;;292.086.035,72;6.951,00;Ativa;
BRIP11;1.175,00;0,00;1,19;289.192,10;30,27;;;66.588.294,04;222,00;Ativa;
BZEL11;0,00;0,00;;;0,04;;;735.392.841,75;2,00;Ativa;
MGHT11;97,50;7,31;0,96;35.683,94;0,73;;;106.036.443,32;248,00;Ativa;
MORE11;94,00;8,84;0,95;539.314,54;13,09;;;229.316.670,62;6.230,00;Ativa;
ONEF11;140,40;5,41;0,87;95.943,43;1,01;-2,90;1,57;146.209.311,60;4.427,00;Passiva;
OUFF11;83,50;8,93;0,94;264.001,41;2,14;;;161.754.057,18;7.178,00;Ativa;
OUJP11;102,97;7,59;0,99;984.405,43;20,97;-7,34;-0,59;284.435.065,39;24.171,00;Ativa;
OULG11;70,40;10,11;0,75;159.991,62;6,09;;;232.812.018,34;6.674,00;Ativa;
CEOC11;70,62;8,18;0,81;97.054,05;2,05;-4,02;-8,77;157.364.588,40;7.116,00;Passiva;
CJCT11;62,00;0,00;0,92;103.226,15;1,16;;2,84;182.926.242,57;1.640,00;Passiva;
TBOF11;15,56;44,62;97,25;;74,00;72,22;-43,66;1.609.421,85;9.158,00;Passiva;
TCIN11;104,04;0,00;1,17;590.149,57;4,86;;;62.735.604,00;108,00;Ativa;
VIFI11;88,15;7,14;0,88;481.112,30;7,98;;;280.597.594,24;4.137,00;Ativa;
VINO11;60,80;7,65;1,01;1.900.802,89;3,67;;;764.666.376,16;70.687,00;Ativa;
TEPP11;80,00;7,38;0,84;464.936,89;3,53;;;400.243.437,11;7.617,00;Ativa;
TRNT11;146,00;3,96;0,70;150.139,91;0,27;-4,59;-6,04;816.249.354,88;677,00;Passiva;
TSER11;0,00;0,00;;;97,73;;;120.500.000,00;11,00;Ativa;
VILG11;117,53;5,61;1,03;5.145.990,32;25,37;;;1.715.440.589,03;128.514,00;Ativa;
VISC11;107,74;3,64;0,90;2.915.272,41;0,52;-18,65;-1,28;1.706.699.631,90;190.766,00;Ativa;
BCIA11;101,86;8,04;0,90;575.807,05;4,56;-1,09;-5,32;420.274.460,00;13.533,00;Ativa;
BTAL11;104,30;0,49;1,04;968.680,70;52,62;;;599.475.171,69;9.390,00;Ativa;
BTCR11;93,11;6,13;0,96;1.273.142,46;7,94;;;465.032.643,90;7.904,00;Ativa;
BTSG11;0,00;0,00;;;0,42;;;72.703.347,34;49,00;Ativa;
BTWR11;0,00;0,00;;;2,62;;;86.328.683,06;51,00;Passiva;
CARE11;0,56;2,45;0,35;116.666,27;0,08;;-30,53;289.227.548,05;10.624,00;Ativa;
BCRI11;116,85;9,32;1,09;1.187.767,49;5,48;-0,72;4,31;472.146.976,85;37.258,00;Ativa;
BICR11;94,48;3,09;0,96;6.773,38;6,56;;;49.337.389,46;636,00;Ativa;
BLMG11;104,03;1,39;1,05;1.304.979,53;0,85;;;189.043.776,02;142,00;Ativa;
BREV11;107,77;4,01;1,02;6.113,17;2,71;;;98.947.410,46;76,00;Ativa;
CVBI11;105,75;10,86;1,06;3.742.676,62;14,84;;;596.133.216,06;28.534,00;Ativa;
DLMT11;0,00;0,00;;;0,90;;;13.741.873,36;9,00;Ativa;
FIGS11;58,16;3,23;0,62;308.916,95;4,67;-41,72;-15,66;268.691.469,02;18.343,00;Passiva;
FLCR11;100,50;1,84;0,99;92.962,81;12,70;;;50.598.430,32;92,00;Ativa;
FLMA11;2,75;3,39;0,88;197.788,59;2,28;-17,00;1,63;214.864.295,98;72.805,00;Ativa;
FLRP11;1.319,96;4,82;0,80;45.706,15;2,12;0,66;1,83;108.310.101,43;980,00;Passiva;
DOMC11;439,00;0,00;4,07;17.499,67;0,33;;-6,67;263.546.411,18;1.158,00;Passiva;
HTMX11;105,78;0,00;0,81;263.446,19;1,24;8,60;-8,03;164.514.258,92;24.778,00;Ativa;
BRHT11B;86,80;0,00;1,05;;0,91;;;152.316.509,66;11,00;--;
HUSC11;131,50;5,89;1,01;26.411,69;5,10;;;103.056.744,44;632,00;Passiva;
HUSI11;1.040,00;0,00;1,09;2.600,00;32,77;;;95.540.976,23;77,00;Ativa;
IBFF11;71,84;6,77;0,84;197.972,59;5,12;;;56.959.683,31;5.440,00;Ativa;
IFID11;96,00;0,72;1,01;91.001,70;1,67;;;70.830.123,60;2.075,00;Passiva;
LUGG11;95,51;5,98;0,87;39.532,78;0,85;;;98.595.794,26;4.407,00;Ativa;
LVBI11;107,89;6,06;0,98;3.276.016,35;23,21;;;1.298.801.100,70;34.824,00;Ativa;
MALL11;97,99;4,61;0,93;1.730.021,65;2,82;-15,72;-2,07;794.035.289,87;83.014,00;Ativa;
MGLG11;0,00;0,00;;;100,01;;;19.957.335,59;2,00;Ativa;
FINF11;0,00;0,00;;;0,30;;;83.007.918,07;4,00;Ativa;
MVFI11;0,00;0,00;;;0,08;;;145.839.591,02;1,00;Ativa;
NCHB11;100,00;10,35;1,07;504.891,95;52,75;-35,77;;134.161.781,39;6.067,00;Ativa;
ORPD11;129,99;0,00;0,89;18.922,30;0,00;;;42.360.867,34;16,00;Ativa;
PATB11;0,00;0,00;;;5,61;;;504.927.334,99;59,00;Passiva;
PLOG11;94,95;0,04;0,99;283.146,19;5,46;;;71.718.868,95;1.513,00;Ativa;
PNDL11;0,00;0,00;;;85,61;;;8.327.379,74;46,00;Ativa;
PNPR11;0,00;0,00;;;11,74;;;27.461.973,12;13,00;Ativa;
RBBV11;97,00;6,27;0,96;68.151,70;1,06;12,55;13,70;126.547.951,44;3.121,00;Passiva;
RBCB11;19,00;0,00;;;;-15,04;-65,92;0,00;462,00;Ativa;
