TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
BTSG11;0,00;0,00;;;0,37;;;72.672.700,66;49,00;Ativa;
CJFI11;0,00;0,00;;;0,75;;;79.693.647,11;1,00;Ativa;
CORM11;0,00;0,00;;;48,43;;;91.005.210,32;62,00;Ativa;
PORD11;102,33;9,54;1,01;279.068,09;11,24;;0,60;200.072.227,02;8.849,00;Ativa;
PQAG11;64,40;11,45;1,18;288.765,14;5,03;;;760.892.765,67;375,00;Ativa;
RBRR11;100,69;6,80;1,01;2.639.042,26;4,25;-3,39;1,19;759.871.469,18;69.306,00;Ativa;
RCRI11B;1.200,00;4,29;1,16;1.200,00;9,19;;;52.546.852,75;148,00;Ativa;
RECR11;102,00;12,86;1,07;4.351.929,06;3,74;0,81;0,87;1.355.698.362,90;68.964,00;Ativa;
VTPL11;0,00;0,00;;;0,70;;;114.338.563,69;54,00;Passiva;
VTVI11;0,00;0,00;;;11,25;;;68.385.187,49;1,00;Ativa;
LUGG11;95,00;6,03;0,87;45.025,40;0,82;;;98.506.218,43;4.388,00;Ativa;
LVBI11;107,48;6,04;0,97;2.781.107,69;23,03;;;1.298.857.175,40;35.299,00;Ativa;
MALL11;97,91;4,90;0,94;1.757.601,09;2,47;-13,98;-0,62;791.439.572,44;84.720,00;Ativa;
OULG11;67,42;10,33;0,72;210.332,00;6,10;;;232.568.487,72;6.745,00;Ativa;
RECT11;79,05;10,97;0,85;2.833.651,06;9,88;;;763.274.448,24;71.418,00;Ativa;
VTXI11;0,00;0,00;;;24,09;;;3.486.780,10;1,00;Ativa;
HMOC11;226,95;66,26;0,95;69.159,67;0,67;122,18;;91.223.530,50;209,00;Passiva;
IFID11;94,50;1,50;0,99;137.146,37;2,09;;;71.298.621,17;2.057,00;Passiva;
IFIE11;94,50;3,02;1,05;73.992,71;0,58;;;80.698.530,66;6.528,00;Passiva;
DEVA11;104,68;10,82;1,06;8.817.624,66;2,99;;;631.222.402,69;23.222,00;Ativa;
FVPQ11;137,70;2,35;0,70;82.189,17;0,98;-1,81;-18,03;549.532.448,22;5.310,00;Passiva;
GGRC11;119,84;7,03;0,96;2.844.457,60;25,52;-3,90;-2,42;965.982.178,86;93.554,00;Ativa;
GSFI11;4,13;0,00;0,30;92.106,20;0,13;;;953.239.815,02;5.391,00;Passiva;
HAAA11;101,00;3,18;1,04;218.894,70;1,21;;;263.837.998,54;75,00;Ativa;
HBRH11;94,50;8,54;0,86;107.198,23;0,72;;;245.568.202,78;958,00;Ativa;
HBTT11;1.055,00;5,08;;37.746,53;;;;0,00;0,00;Ativa;
HGIC11;106,15;0,76;1,03;156.903,31;0,23;;;13.241.911,62;110,00;Ativa;
DMAC11;16,50;293,58;1,53;102.982,51;30,42;;;1.686.261,13;1.829,00;Passiva;
DOMC11;439,00;0,00;4,06;17.499,67;0,09;;-4,31;264.351.778,61;1.158,00;Passiva;
ELDO11B;762,38;4,96;0,62;;0,12;-22,19;;972.742.730,50;61,00;Passiva;
BLMR11;85,99;1,92;0,90;748.078,71;9,55;;;243.570.258,22;3.734,00;Ativa;
CNES11;42,52;5,59;0,46;44.386,60;5,40;9,50;-18,28;270.708.823,64;2.597,00;Passiva;
CVBI11;104,97;11,37;1,05;3.667.961,51;9,16;;;596.153.316,82;30.746,00;Ativa;
CXCE11B;85,20;12,35;1,05;99.036,11;5,73;5,04;-0,33;138.866.128,05;2.764,00;Passiva;
CXCO11;101,63;0,57;1,01;558.672,06;0,78;;;393.011.199,80;13.669,00;Ativa;
CXRI11;89,00;11,03;0,94;54.553,37;0,47;4,10;-56,04;149.288.120,75;3.072,00;Ativa;
CEOC11;68,29;8,33;0,79;112.042,86;2,04;-4,64;-7,40;157.247.974,49;7.072,00;Passiva;
CJCT11;62,20;0,00;0,92;311.757,47;1,15;;6,15;182.844.296,35;1.604,00;Passiva;
RECX11;99,99;0,90;1,07;6.451,52;1,08;;;18.588.589,80;337,00;Ativa;
REIT11;1.180,00;6,40;0,95;239.556,58;30,79;;;32.678.402,60;60,00;Ativa;
SEQR11;90,50;2,24;0,87;163.180,06;2,84;;;154.642.234,38;1.086,00;Ativa;
TORD11;10,38;13,11;1,00;2.300.155,80;9,83;;;280.232.076,11;54.571,00;Ativa;
VIFI11;87,63;7,86;0,87;494.856,40;5,76;;;281.745.468,49;4.278,00;Ativa;
VSLH11;10,33;4,00;1,03;834.418,48;1,37;;;120.031.937,53;1.137,00;Ativa;
FOFT11;123,00;0,00;1,12;;5,10;-47,71;9,38;131.819.480,59;3.846,00;Ativa;
GESE11B;1.520,00;5,76;1,13;456.000,00;1,60;;;70.092.148,49;55,00;Passiva;
HBCR11;0,00;0,00;;;3,92;;;25.888.976,27;7,00;Ativa;
MGCR11;98,30;4,99;1,03;407.039,20;46,84;;;135.321.835,75;1.477,00;Ativa;
MGHT11;97,10;7,37;0,95;37.066,88;0,99;;;106.878.508,03;263,00;Ativa;
MINT11;100,75;0,00;1,01;68.573,16;23,97;;;52.059.602,97;64,00;Ativa;
LSPA11;0,00;0,00;;;1,43;;;40.307.930,37;220,00;Ativa;
MTOF11;0,00;0,00;;;1,44;;;165.697.729,43;3,00;Ativa;
MVFI11;0,00;0,00;;;0,15;;;145.740.296,29;1,00;Ativa;
NAVT11;97,29;0,62;1,00;184.492,60;4,65;;;102.164.252,64;2.176,00;Ativa;
NCHB11;94,81;11,07;1,02;485.316,91;44,63;-34,53;;134.566.700,42;6.424,00;Ativa;
TFOF11;138,00;5,34;1,14;389.140,62;13,36;29,98;;103.080.374,68;3.278,00;Ativa;
TGAR11;136,20;10,43;1,06;4.505.700,06;15,13;14,50;;949.390.234,14;61.120,00;Ativa;
ONEF11;140,50;5,42;0,88;111.000,89;1,02;-3,01;2,62;146.231.574,63;4.352,00;Passiva;
BICR11;94,00;3,10;0,95;55.099,70;7,32;;;49.480.079,61;629,00;Ativa;
ERCR11;85.227,76;2,91;0,91;852.277,00;0,13;;;222.673.897,46;13,00;Passiva;
PNPR11;0,00;0,00;;;10,70;;;27.038.202,94;13,00;Ativa;
RDPD11;87,80;5,39;0,89;60.465,80;25,32;-1,62;-3,27;106.680.100,52;751,00;Ativa;
RELG11;97,88;4,03;1,01;262.493,49;18,08;;;108.815.496,26;2.757,00;Ativa;
FAED11;152,00;9,98;0,71;143.534,43;1,49;-7,25;-9,19;137.337.148,14;5.169,00;Passiva;
FAMB11B;1.180,00;12,77;0,34;74.598,89;8,71;-9,82;-26,78;365.691.116,16;3.757,00;Passiva;
FATN11;100,31;4,93;1,00;16.643,39;0,85;;;57.643.273,62;212,00;Ativa;
FCFL11;111,02;6,14;1,09;438.735,80;0,52;0,26;3,38;352.270.132,22;4.548,00;Passiva;
FEXC11;95,34;9,00;1,00;532.185,23;6,80;-3,34;-3,17;327.291.984,63;12.132,00;Ativa;
