TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
A;123,84;0,65;30,75;7,19;3,59;53,98;22,50;18,70;25,55;26,72;1,08;0,31;5,75;19,60;-5,41;2,19;23,38;11,67;16,34;0,50;0,50;0,62;8,50;21,24;;17,17;4,02;;37.166.043.456,00
AA;89,45;0,22;38,46;3,53;1,10;24,68;11,47;3,53;11,84;12,70;0,87;0,26;1,36;9,15;-1,65;1,56;9,18;2,86;9,91;0,31;0,69;0,81;5,45;;;25,33;2,33;;16.496.431.615,00
AACG;1,18;;-2,59;1,23;0,46;46,18;-46,71;-47,28;-2,62;-2,09;0,53;-0,25;1,22;-1,18;-0,54;0,29;-47,54;-17,61;-44,95;0,37;0,63;0,37;-17,45;;;0,96;-0,46;;37.024.742,00
AACQ;9,99;;-93,43;180,94;1,25;;;;-27,75;-27,74;0,01;-0,07;;2.094,26;-1,25;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AACQU;11,05;;-103,35;200,14;1,38;;;;-30,69;-27,74;0,01;-0,07;;2.316,47;-1,38;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AACQW;2,50;;-23,38;45,28;0,31;;;;-6,94;-27,74;0,01;-0,07;;524,09;-0,31;3,56;-193,66;-1,33;-652,08;0,01;0,12;0,00;;;;0,06;-0,11;;904.719.375,00
AAL;18,54;;-6,04;-1,64;0,18;57,11;-2,50;-6,67;-16,08;-49,03;-32,94;;0,40;-7,20;-0,24;0,91;-27,15;-3,00;-4,24;-0,11;1,11;0,45;-5,73;;;-11,31;-3,07;;12.035.428.254,00
AAME;3,17;0,63;15,88;0,46;0,16;10,20;3,35;2,05;9,69;5,96;-3,70;-0,18;0,32;;-0,16;;2,89;1,01;4,01;0,35;0,65;0,50;3,74;10,18;;6,93;0,20;;64.600.162,00
AAN;21,20;1,95;5,97;0,91;0,46;62,83;7,92;5,96;4,49;4,40;-0,09;-0,02;0,36;5,71;-1,07;1,16;15,31;7,63;15,14;0,50;0,50;1,28;;;;23,18;3,55;;656.739.960,00
AAOI;3,04;;-1,55;0,33;0,18;17,83;-22,94;-25,60;-1,73;-3,79;-2,07;0,39;0,40;0,99;-0,32;1,78;-21,28;-11,92;-12,25;0,56;0,44;0,47;-4,09;;;9,25;-1,97;;83.624.928,00
AAON;51,92;0,73;46,38;5,85;4,19;25,79;12,94;10,99;39,39;39,95;0,53;0,08;5,10;20,75;-6,31;2,51;12,60;9,04;11,61;0,72;0,28;0,82;6,84;1,94;;8,87;1,12;;2.727.321.256,00
AAP;218,25;2,06;20,10;4,03;1,13;44,91;7,77;5,67;14,68;14,95;0,25;0,07;1,14;10,07;-2,37;1,27;20,07;5,60;16,13;0,28;0,72;0,99;0,75;0,82;;54,04;10,84;;13.334.551.200,00
AAPL;165,07;0,53;26,70;37,33;7,04;43,02;30,89;26,58;22,97;23,55;0,50;0,82;7,10;481,16;-11,77;1,04;139,79;26,38;51,64;0,19;0,81;0,99;11,15;15,69;;4,41;6,16;;2.693.850.125.870,00
AAWW;68,90;;4,07;0,71;0,31;57,67;18,52;12,24;2,69;4,59;1,89;0,50;0,50;-21,34;-0,39;0,93;17,56;7,66;11,52;0,44;0,56;0,63;16,99;64,05;;96,16;16,89;;2.012.961.730,00
AB;42,49;9,16;10,95;;2,60;;;;;;;;;;-2,60;;;23,76;;0,00;0,00;0,00;;12,24;;0,00;3,89;;4.218.054.533,00
ABB;30,85;1,74;32,56;4,16;1,49;32,27;11,63;6,40;17,91;17,86;-0,07;-0,02;2,08;25,39;-2,86;1,14;12,77;4,59;13,04;0,36;0,64;0,72;3,03;19,08;;7,42;0,95;;59.514.225.055,00
ABBV;159,36;3,41;24,36;18,25;1,92;68,96;27,36;20,54;18,29;22,66;4,35;4,34;5,00;-38,69;-2,37;0,79;74,91;7,88;15,13;0,11;0,89;0,38;16,99;14,16;;8,72;6,53;;281.475.161.664,00
ABC;161,90;1,11;20,97;140,17;0,59;3,42;1,12;0,73;13,63;15,04;1,41;14,54;0,15;-15,15;-1,86;0,95;668,28;2,80;26,13;0,00;1,00;3,84;7,82;1,52;;1,15;7,72;;33.859.345.060,00
ABCB;40,75;1,47;7,52;0,96;0,12;0,00;48,80;35,27;5,43;-2,21;-7,65;-1,35;2,65;;-0,12;;12,71;1,58;10,84;0,12;0,88;0,04;25,38;39,21;;42,57;5,41;;2.839.333.675,00
ABCL;8,41;;15,47;2,31;1,80;100,00;59,80;40,90;10,58;7,39;-3,22;-0,70;6,33;2,93;-6,11;7,70;14,96;11,64;15,47;0,78;0,22;0,28;;;;3,62;0,54;;2.382.192.211,00
ABEO;0,26;;-0,45;0,75;0,48;100,00;-2.708,87;-2.831,20;-0,47;0,08;0,55;-0,88;12,77;0,99;-1,58;3,33;-165,33;-106,72;-158,18;0,65;0,35;0,04;27,54;;;0,35;-0,58;;38.318.280,00
ABEV;3,11;3,46;18,12;2,90;1,89;52,13;27,50;22,16;14,61;13,53;-1,08;-0,21;4,02;36,07;-2,64;1,23;16,01;10,44;18,32;0,65;0,35;0,47;-1,37;-10,14;;1,07;0,17;;48.947.928.618,00
ABG;154,90;;6,71;1,69;0,45;19,34;8,13;5,41;4,47;9,44;4,95;1,87;0,36;10,78;-0,59;1,21;25,17;6,65;10,13;0,26;0,74;1,23;8,55;26,07;;91,23;22,96;;3.591.790.220,00
ABIO;2,32;;-1,74;0,66;0,61;;;;-1,74;1,03;2,76;-1,05;;0,66;-66,75;15,56;-37,85;-35,18;-37,85;0,93;0,07;0,00;;;;3,54;-1,34;;33.431.432,00
ABM;50,09;1,54;26,18;2,02;0,74;100,00;3,06;1,91;16,35;21,06;4,68;0,58;0,50;15,94;-1,10;1,17;7,72;2,83;5,79;0,37;0,63;1,48;3,90;17,17;;24,75;1,91;;3.349.473.219,00
ABMD;301,51;;102,88;9,55;8,59;81,78;18,87;13,26;72,30;68,96;-3,54;-0,47;13,64;18,05;-19,33;6,98;9,28;8,35;9,28;0,90;0,10;0,63;20,79;42,67;;31,48;2,92;;13.723.589.462,00
