TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AAIC;4,13;;-3,90;1,12;0,23;100,00;72,58;-153,66;8,26;7,92;3,79;0,51;6,00;-0,37;-0,24;0,07;-28,71;-5,83;8,09;0,20;0,80;0,04;-17,62;;;7,37;-2,12;;137.959.614,45
AAT;34,34;2,85;75,08;1,63;0,74;64,85;25,84;8,03;23,33;37,64;14,31;1,00;6,03;;-0,74;;2,18;0,98;3,32;0,45;0,55;0,12;4,57;-6,40;;21,03;0,46;;2.076.618.301,24
ABR;17,27;7,30;13,97;1,72;0,30;98,15;126,07;62,55;6,93;15,25;8,32;2,06;8,74;;-0,30;;12,29;2,16;6,29;0,18;0,82;0,03;13,13;30,09;;10,06;1,24;;2.308.921.319,54
ACC;45,72;4,11;86,52;2,02;0,84;50,93;21,71;8,36;33,33;51,96;18,62;1,13;7,24;;-0,84;;2,34;0,97;2,80;0,41;0,58;0,12;2,93;-8,89;;22,60;0,53;;6.299.029.383,12
ACRE;14,36;9,33;26,38;1,22;0,30;100,00;545,44;160,67;7,77;26,06;18,29;2,87;42,38;;-0,30;;4,62;1,13;3,88;0,25;0,75;0,01;-22,93;-8,62;;11,79;0,54;;576.111.123,24
ADC;71,11;3,43;49,33;1,79;1,16;87,23;53,57;36,76;33,86;42,95;9,09;0,48;18,14;;-1,16;;3,62;2,35;3,53;0,65;0,35;0,06;28,86;18,55;;39,82;1,44;;4.508.232.419,99
AFIN;9,77;10,16;-33,25;0,63;0,29;73,75;15,25;-10,44;22,75;58,37;35,62;0,99;3,47;;-0,29;;-1,91;-0,88;1,35;0,46;0,54;0,08;11,83;;;15,39;-0,29;;1.059.423.012,49
AFINO;25,47;2,08;-86,68;1,65;0,77;73,75;15,25;-10,44;59,32;58,37;35,62;0,99;9,05;;-0,77;;-1,91;-0,88;1,35;0,46;0,54;0,08;11,83;;;15,39;-0,29;;1.059.423.012,49
AFINP;25,83;7,26;-87,91;1,68;0,78;73,75;15,25;-10,44;60,16;58,37;35,62;0,99;9,18;;-0,78;;-1,91;-0,88;1,35;0,46;0,54;0,08;11,83;;;15,39;-0,29;;1.059.423.012,49
AGNC;17,47;8,24;-27,21;0,84;0,11;;;;22,74;46,23;23,49;0,86;;;-0,11;;-3,08;-0,42;1,78;0,14;0,86;0,00;;;;20,86;-0,64;;9.278.704.467,13
