TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AAIC;4,53;;28,09;0,60;0,16;100,00;121,48;16,12;6,35;19,92;16,20;2,59;4,53;;-0,16;;2,13;0,57;4,14;0,27;0,73;0,04;-25,44;-20,59;;7,59;0,16;;128.472.612,00
AAT;22,50;5,78;27,82;1,12;0,45;63,63;28,52;11,45;5,51;24,32;13,15;1,32;3,19;;-0,45;;4,04;1,63;4,20;0,40;0,60;0,14;6,06;8,39;;20,04;0,81;;1.366.303.500,00
ABR;16,70;12,04;10,21;1,03;0,19;98,77;441,34;125,83;2,76;13,67;10,76;3,81;12,85;;-0,19;;10,10;1,84;6,57;0,18;0,82;0,01;3,69;34,73;;16,20;1,64;;3.114.583.400,00
ACC;65,42;;154,52;2,95;1,22;51,87;18,95;6,00;19,33;67,23;18,27;1,10;9,28;;-1,22;;1,91;0,79;2,80;0,41;0,58;0,13;3,69;-18,56;;22,18;0,42;;9.124.977.860,00
ACRE;10,60;12,45;81,11;0,81;0,24;;;;7,19;24,65;17,80;2,10;;;-0,24;;0,99;0,29;3,50;0,29;0,71;0,00;;-0,41;;13,14;0,13;;579.525.320,00
ADC;64,67;4,45;40,05;1,26;0,86;87,68;50,63;32,85;14,51;34,71;8,73;0,42;13,16;;-0,86;;3,14;2,15;3,35;0,69;0,31;0,07;30,97;21,27;;51,47;1,61;;6.027.140.528,00
AFCG;13,86;15,58;7,92;0,84;0,63;;;;7,96;6,64;0,16;0,02;;;-0,63;;10,59;7,99;10,01;0,75;0,25;0,00;;;;16,52;1,75;;283.527.090,00
AFIN;8,23;;-97,09;0,58;0,28;74,05;20,65;-3,17;5,02;39,26;24,35;0,94;3,08;;-0,28;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;;1.016.458.495,00
AFINO;25,70;;-303,19;1,80;0,86;74,05;20,65;-3,17;15,66;39,26;24,35;0,94;9,62;;-0,86;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;;1.016.458.495,00
AFINP;26,01;;-306,85;1,82;0,87;74,05;20,65;-3,17;15,85;39,26;24,35;0,94;9,74;;-0,87;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;;1.016.458.495,00
AGNC;9,90;14,55;-8,31;0,77;0,09;;;;10,52;34,79;18,06;0,83;;;-0,09;;-9,23;-1,09;2,09;0,12;0,88;0,00;;;;12,92;-1,19;;5.972.670.000,00
AGNCM;22,95;7,49;-19,26;1,78;0,21;;;;24,38;34,79;18,06;0,83;;;-0,21;;-9,23;-1,09;2,09;0,12;0,88;0,00;;;;12,92;-1,19;;5.972.670.000,00
AGNCN;25,56;8,93;-21,45;1,98;0,23;;;;27,15;34,79;18,06;0,83;;;-0,23;;-9,23;-1,09;2,09;0,12;0,88;0,00;;;;12,92;-1,19;;5.972.670.000,00
AGNCO;23,25;6,99;-19,51;1,80;0,21;;;;24,69;34,79;18,06;0,83;;;-0,21;;-9,23;-1,09;2,09;0,12;0,88;0,00;;;;12,92;-1,19;;5.972.670.000,00
AGNCP;20,91;7,32;-17,55;1,62;0,19;;;;22,21;34,79;18,06;0,83;;;-0,19;;-9,23;-1,09;2,09;0,12;0,88;0,00;;;;12,92;-1,19;;5.972.670.000,00
