TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
ABCP11;67,68;0,600000;8,50;91,88;0,74;74.197,52;1,59;14,11;-4,22;432.661.319,21;17.747,00;Passiva;4.709.082,00
AFHI11;96,90;1,050000;12,92;95,83;1,01;1.101.561,80;9,42;;;320.377.772,86;23.891,00;Ativa;3.343.095,00
AIEC11;62,78;0,760000;14,51;94,79;0,66;721.338,08;2,54;9,23;;457.355.067,47;15.564,00;Ativa;4.824.987,00
ALMI11;736,66;0,371133;0,00;2.033,68;0,36;34.972,75;2,39;;-15,01;226.098.370,52;2.338,00;Passiva;111.177,00
ALZC11;0,00;;0,00;;;;;;;;;;1.000.000,00
ALZM11;93,77;0,800000;11,63;91,60;1,02;264.128,08;5,43;;;63.313.566,97;3.856,00;Ativa;691.192,00
ALZR11;115,70;0,825000;8,32;106,25;1,09;2.193.560,36;30,27;13,63;-4,62;1.047.620.740,62;142.847,00;Ativa;9.860.406,00
ANCR11B;3.466,00;42,077240;2,95;3.593,56;0,96;3.466,00;0,41;;;1.708.076.461,36;62,00;Ativa;475.316,00
APTO11;9,94;0,100000;12,31;10,39;0,96;44.714,60;8,79;;;41.681.540,67;9.181,00;Ativa;4.012.857,00
APXM11;105,00;0,460227;0,44;94,94;1,11;287.473,13;17,29;;;167.099.461,36;271,00;;1.760.000,00
AQLL11;385,03;;0,00;979,08;0,39;;0,00;;;142.768.023,84;58,00;Ativa;145.817,00
ARFI11B;479,99;;0,00;651,70;0,74;;1,52;;;74.329.618,05;28,00;Ativa;114.054,00
AROA11;0,00;0,005000;0,00;1,07;;;0,79;;;176.461.041,43;51,00;Ativa;165.175.328,00
ARRI11;8,74;0,100000;14,99;8,95;0,98;276.188,40;2,63;1,11;-0,38;116.877.383,93;27.581,00;Ativa;13.056.237,00
ARXD11;102,00;1,100000;6,96;100,91;1,01;2.445,33;0,72;;;49.651.472,44;69,00;Ativa;492.050,00
ASMT11;47,01;0,770000;8,19;84,11;0,56;11.059,92;2,49;;;85.571.433,40;518,00;Ativa;1.017.316,00
ASRF11;10.092,00;256,328699;2,54;9.994,80;1,01;30.276,00;100,78;;;23.987.514,47;55,00;Ativa;2.400,00
