TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
OPI;2,08;36,54;-1,46;0,08;0,03;83,21;11,95;-13,01;0,36;41,51;39,92;2,03;0,19;;-0,03;;-5,53;-1,74;1,66;0,31;0,69;0,13;4,58;;;25,76;-1,42;;101.409.360,00
OPINI;25,04;;-17,58;0,97;0,31;83,21;11,95;-13,01;4,31;41,51;39,92;2,03;2,29;;-0,31;;-5,53;-1,74;1,66;0,31;0,69;0,13;4,58;;;25,76;-1,42;;101.409.360,00
OPINL;11,11;10,76;-7,80;0,43;0,14;83,21;11,95;-13,01;1,91;41,51;39,92;2,03;1,02;;-0,14;;-5,53;-1,74;1,66;0,31;0,69;0,13;4,58;;;25,76;-1,42;;101.409.360,00
ORC;8,95;19,22;-11,71;0,98;0,11;;;;2,86;-22,27;-25,09;-8,69;;;-0,11;;-8,35;-0,92;33,71;0,11;0,89;0,00;;;;9,16;-0,76;;459.164.535,00
OUT;15,98;7,51;-6,16;4,37;0,47;46,81;-13,84;-23,64;-32,44;-21,25;-10,74;4,46;1,46;-13,57;-0,51;0,67;-70,91;-7,71;-7,65;0,11;0,87;0,33;2,54;;;3,66;-2,59;;2.650.722.450,00
PCH;46,42;3,88;59,43;1,70;1,08;12,16;8,41;6,06;17,81;52,19;9,33;0,37;3,60;32,26;-1,21;1,44;2,86;1,81;2,68;0,63;0,37;0,30;1,00;-12,76;;27,31;0,78;;3.690.482.840,00
PEAK;17,12;7,01;30,79;1,48;0,60;100,00;23,86;14,09;7,92;31,20;13,02;1,06;4,34;;-0,60;;4,79;1,94;3,82;0,40;0,59;0,14;12,83;-22,02;;11,61;0,56;;9.367.601.760,00
PEB;15,93;0,25;-21,53;0,69;0,33;33,72;2,96;-6,27;6,50;96,16;50,58;0,77;1,35;-0,73;-0,35;0,11;-3,22;-1,53;0,81;0,47;0,53;0,24;11,37;;;22,97;-0,74;;1.916.294.571,00
PEI;2,45;;-0,09;-0,17;0,01;56,71;-5,82;-47,01;0,13;-100,37;-99,61;;0,04;;-0,01;;-178,73;-7,49;-1,03;-0,04;1,04;0,16;-5,81;;;-14,72;-26,31;;13.155.275,00
PGRE;4,63;3,94;-1,92;0,31;0,13;100,00;-29,20;-70,67;18,32;-19,83;-15,19;1,03;1,35;;-0,13;;-16,39;-6,56;-3,12;0,40;0,60;0,09;0,97;;;14,74;-2,41;;1.006.405.043,00
