TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
A;116,40;0,75;25,48;5,95;3,19;16,45;-1,40;-1,08;17,03;-24,55;0,90;-0,03;4,89;15,08;-5,03;4,26;-2,62;-1,66;-4,01;0,63;0,37;1,53;-1,24;;;21,16;-0,55;;198.569.316,00
AA;33,65;1,18;-7,34;1,29;0,42;100,00;-259,47;-337,67;12,69;-4,66;-3,20;0,82;0,51;2,80;-0,64;0,20;-33,13;-12,44;-12,07;0,38;0,62;0,04;;;;30,61;-10,14;;64.263.520,00
AACG;1,40;;-4,33;1,96;0,62;;;;;;;;1,40;-1,34;-0,72;;;;;;;;;;;;;;
AACQ;9,99;;-93,43;180,94;1,25;;;;;;;;;2.094,26;-1,25;;;;;;;;;;;;;;
AACQU;11,05;;-103,35;200,14;1,38;;;;;;;;;2.316,47;-1,38;;;;;;;;;;;;;;
AACQW;2,50;;-23,38;45,28;0,31;;;;;;;;;524,09;-0,31;;;;;;;;;;;;;;
AAL;17,55;;6,45;-1,98;0,17;;;;2,64;;;;0,22;-1,65;-0,23;;;;;;;;;;;;;;
AAME;2,02;;13,97;0,42;0,11;;;;10,91;;;;0,21;;-0,11;;;;;;;;;;;;;;
AAN;14,06;3,38;-30,97;0,62;0,24;100,00;86,63;17,59;0,77;5,90;5,40;;0,18;-6,30;-0,44;1,45;-6,65;4,57;32,92;-0,69;1,63;0,26;-16,75;;;-19,03;1,27;;45.613.890,00
AAOI;5,17;;-2,26;0,87;0,39;0,00;36,81;24,66;-4,16;-7,12;-16,48;-2,37;0,67;-3,41;-0,68;;9,66;1,05;10,10;0,11;0,89;0,04;10,04;-5,40;;6,97;0,67;;224.573.520,00
AAON;95,24;0,50;43,55;8,51;5,98;36,82;-6,62;-6,13;28,27;-13,72;2,37;-0,38;5,34;21,06;-10,72;1,65;-14,82;-8,42;-16,38;0,57;0,43;1,37;-8,66;;;1,78;-0,26;;26.202.638,00
AAP;68,05;6,59;9,36;1,54;0,33;;;;4,32;;;;0,34;3,33;-0,68;;;;;;;;;;;;;;
AAPL;189,25;0,49;31,26;52,44;8,58;0,00;24,35;10,02;23,83;1,29;-1,20;-0,28;7,68;-349,58;-13,65;;9,72;0,48;5,68;0,05;0,95;0,05;6,79;8,24;;13,77;1,34;;32.118.120,00
AAWW;102,48;;8,25;0,96;0,44;28,19;9,61;6,06;3,32;32,28;5,68;0,51;0,65;-63,29;-0,53;1,16;5,64;2,71;5,17;0,48;0,52;0,45;34,50;12,41;;100,56;5,67;;19.588.261.156,00
