TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;10,34;;-4,65;1,20;0,45;30,10;1,60;-22,81;66,11;107,02;40,90;0,75;1,06;-5,47;-0,57;0,74;-25,92;-9,58;-0,51;0,37;0,62;0,42;0,13;;1.362.540,41;8,58;-2,22;-0,05;1.223.147.717,44
ABCB4;22,10;7,14;5,58;0,95;0,10;25,50;17,06;15,50;5,07;5,07;;;0,86;-2,64;-0,10;0,05;16,95;1,73;;0,10;0,91;0,11;18,70;17,80;16.003.204,44;23,39;3,96;-0,30;5.406.916.539,70
ABEV3;11,86;6,16;12,39;2,07;1,36;50,30;22,59;18,29;10,03;9,29;-0,75;-0,15;2,27;50,42;-1,86;1,11;16,71;10,94;18,63;0,65;0,34;0,60;10,72;15,72;337.383.453,74;5,73;0,96;0,82;186.885.816.004,96
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;8,92;;-5,06;0,68;0,15;12,62;9,03;-3,39;1,90;5,41;3,51;1,26;0,17;0,68;-0,45;1,46;-13,42;-2,86;10,53;0,21;0,79;0,84;;;1.629.871,13;13,12;-1,76;-0,02;554.112.148,32
AESB3;11,14;0,67;42,50;1,50;0,34;35,54;28,78;4,90;7,24;17,20;9,96;2,06;2,08;20,53;-0,41;1,11;3,53;0,80;5,04;0,23;0,72;0,16;;;36.840.628,59;7,43;0,26;-0,63;6.705.470.244,54
AFLT3;7,25;;14,93;1,75;1,46;57,31;45,58;44,72;14,65;14,27;-0,38;-0,05;6,68;14,99;-1,82;1,98;11,71;9,80;10,57;0,84;0,16;0,22;24,96;19,61;6.618,93;4,15;0,49;-0,20;457.364.075,00
AGRO3;25,34;12,68;10,14;1,18;0,74;30,65;20,17;20,86;10,49;12,34;1,85;0,21;2,12;3,63;-1,21;2,14;11,68;7,31;7,59;0,63;0,37;0,35;27,22;15,22;6.228.346,49;21,40;2,50;-0,23;2.601.998.470,96
AGXY3;1,36;;-0,92;0,23;0,03;12,31;3,90;-2,43;0,57;3,16;2,59;1,03;0,02;1,02;-0,14;1,04;-24,61;-3,22;11,82;0,13;0,87;1,33;;;823.681,32;6,00;-1,48;0,00;232.321.985,04
AHEB3;24,95;;2,19;12,76;0,57;33,84;21,93;17,66;1,77;1,74;-0,02;-0,17;0,39;3,72;-1,01;1,55;582,53;26,18;533,83;0,04;0,96;1,48;20,77;;4.516,43;1,95;11,39;-0,01;212.389.417,72
