TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;11,30;;-20,37;1,11;0,52;21,41;2,55;-6,71;53,50;76,04;22,54;0,47;1,37;23,07;-0,67;1,11;-5,46;-2,55;0,20;0,47;0,52;0,38;5,83;;17.146.952,95;10,15;-0,55;0,03;1.336.708.820,80
ABCB4;16,99;4,18;10,57;0,87;0,08;13,55;8,97;8,56;10,09;10,09;;;0,91;1,22;-0,09;2,00;8,28;0,75;;0,09;0,91;0,09;1,17;-2,60;11.862.146,46;19,43;1,61;-0,51;3.841.271.104,82
ABEV3;16,95;2,89;20,66;3,25;2,00;52,95;27,05;20,69;15,80;14,96;-0,85;-0,17;4,27;51,51;-2,77;1,16;15,74;9,68;17,16;0,61;0,37;0,47;4,56;-1,85;475.008.673,05;5,21;0,82;0,78;266.784.997.125,30
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;94.201,44;-1,21;-0,38;-0,58;25.439.770,20
AERI3;9,86;;63,15;7,63;2,72;10,82;8,71;4,61;33,42;36,29;2,87;0,66;2,91;6,40;-8,56;2,65;12,09;4,31;8,87;0,36;0,64;0,93;;;39.848.334,49;1,29;0,16;2,42;7.554.864.676,16
AESB3;14,11;1,21;;3,01;0,59;;;;;;;2,42;;10,22;-0,76;1,34;0,00;0,00;;0,19;0,81;0,00;;;14.076.508,36;4,69;0,00;;5.631.392.997,20
AFLT3;10,48;11,09;35,02;3,42;3,13;67,61;54,72;52,63;33,68;31,92;-1,76;-0,18;18,43;12,01;-4,35;13,16;9,76;8,93;9,29;0,92;0,08;0,17;5,56;8,17;19.569,32;3,07;0,30;-1,48;661.127.656,00
AGRO3;29,59;2,40;25,34;1,75;1,06;46,45;39,31;7,58;4,89;5,35;0,46;0,16;1,92;6,59;-1,84;1,61;6,90;4,18;22,82;0,61;0,39;0,55;13,49;-7,94;32.987.157,38;16,91;1,17;-0,78;3.029.335.666,72
AHEB3;26,01;;-4,72;-8,87;0,79;19,18;-17,42;-25,58;-6,94;-6,55;0,50;;1,21;-3,94;-1,01;0,52;-187,86;-16,72;127,90;-0,09;1,09;0,65;1,88;;27.788,31;-2,93;-5,51;-0,06;225.693.756,27
AHEB5;21,51;;-3,91;-7,34;0,65;19,18;-17,42;-25,58;-5,74;-6,55;0,50;;1,00;-3,25;-0,84;0,52;-187,86;-16,72;127,90;-0,09;1,09;0,65;1,88;;6.804,40;-2,93;-5,51;-0,05;225.693.756,27
