TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
CYCR11;102,00;1,150000;12,39;97,76;1,04;42.616,87;30,15;;;72.344.443,12;377,00;Ativa;740.046,00
SADI11;90,65;1,060000;9,67;100,97;0,90;640.457,17;2,62;;;321.097.673,90;3.603,00;Ativa;3.180.207,00
ONEF11;162,47;0,920000;6,02;174,80;0,93;56.336,43;1,07;8,58;3,25;159.240.183,47;3.643,00;Passiva;911.000,00
FEXC11;86,93;1,150000;12,35;93,51;0,93;1.114.633,22;14,38;6,79;-10,69;570.742.091,11;19.694,00;Ativa;6.103.509,00
RBRR11;99,92;1,200000;12,13;96,56;1,04;4.333.509,57;6,05;20,75;-2,52;1.046.711.585,04;98.812,00;Ativa;10.840.555,00
PLCR11;83,01;1,170000;14,58;93,02;0,89;369.116,43;11,60;;;196.198.113,56;11.103,00;Ativa;2.109.169,00
ARCT11;107,20;1,860000;16,18;100,54;1,07;2.802.362,26;12,82;;;324.578.304,29;23.040,00;Ativa;3.228.312,00
RBRX11;0,00;2,100000;0,00;91,95;;;5,92;;;40.801.530,54;1,00;Ativa;443.750,00
TORD11;8,79;0,070000;12,45;14,27;0,61;533.366,00;0,01;;;500.070.556,28;100.127,00;Ativa;35.051.354,00
VTXI11;0,00;;0,00;27,37;;;64,88;;;2.832.440,00;2,00;Ativa;103.500,00
HBRH11;81,25;0,654500;11,14;113,07;0,72;331.677,00;0,98;;;313.449.092,21;1.908,00;Ativa;2.772.204,00
THRA11;138,50;0,130000;32,01;9,54;14,52;53.642,50;140,47;90,73;0,12;14.050.683,35;2.084,00;Passiva;1.472.728,00
HGRE11;131,01;0,780000;8,11;162,86;0,80;1.753.187,30;0,78;7,17;-6,75;1.924.601.744,59;125.469,00;Ativa;11.817.767,00
BMII11;0,00;0,228341;0,00;495,28;;;0,71;;;69.675.891,55;12,00;Passiva;140.680,00
XPPR11;47,49;0,350000;12,42;77,28;0,61;1.092.188,74;2,37;;;565.410.376,25;60.606,00;Ativa;7.316.171,00
