TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
ABCP11;77,92;0,500000;8,69;101,31;0,77;78.301,86;1,57;6,21;-0,29;477.089.865,14;16.988,00;Passiva;4.709.082,00
AFHI11;98,42;0,950000;12,67;96,59;1,02;1.383.226,19;14,36;;;386.055.547,13;31.221,00;Ativa;3.996.951,00
AIEC11;51,47;0,710000;17,72;83,99;0,61;701.852,19;2,89;7,85;-16,93;405.272.651,50;1,00;Ativa;4.824.987,00
AJFI11;9,96;0,080000;2,33;12,46;0,80;1.362.527,50;4,86;;;394.131.222,07;11.173,00;Ativa;31.625.978,00
ALMI11;651,00;0,371133;0,00;2.160,40;0,30;77.393,44;3,54;;-17,13;240.187.303,24;2.209,00;Passiva;111.177,00
ALZC11;0,00;;0,00;;;;;;;;;;1.000.000,00
ALZM11;8,43;0,085000;12,27;8,49;0,99;156.661,19;0,69;;-57,52;128.894.672,43;9.254,00;Ativa;15.180.540,00
ALZR11;117,13;0,797555;8,36;106,28;1,10;1.609.959,00;19,23;6,44;-1,35;1.047.943.303,45;147.616,00;Ativa;9.860.406,00
ANCR11B;3.221,00;42,077240;1,31;4.324,10;0,74;3.221,00;2,70;;;2.890.123.941,81;70,00;Ativa;668.376,00
APTO11;9,74;0,090000;12,16;10,18;0,96;29.606,86;6,41;;;46.958.948,53;10.057,00;Ativa;4.612.227,00
APXM11;102,89;0,918320;3,91;97,00;1,06;11.290,08;15,25;;;170.725.350,75;399,00;;1.760.000,00
APXR11;0,00;;0,00;68,02;;;594,76;;;1.234.102,53;60,00;Ativa;18.142,00
APXU11;0,00;;0,00;;;;;;;;;;2.500.000,00
AQLL11;385,03;;0,00;973,02;0,40;;0,01;;;141.884.440,57;84,00;Ativa;145.817,00
ARFI11B;479,99;;0,00;651,70;0,74;;1,52;;;74.329.618,05;28,00;Ativa;114.054,00
AROA11;1,10;0,005900;5,10;0,98;1,12;15.717,28;1,28;;;164.945.638,95;1.726,00;Ativa;167.926.832,00
ARRI11;9,19;0,100000;13,39;8,87;1,04;333.578,58;1,64;-6,82;-1,55;115.793.464,08;27.307,00;Ativa;13.056.237,00
ARXD11;95,56;1,000000;12,66;98,93;0,97;33.468,26;3,99;;;64.786.404,16;558,00;Ativa;654.895,00
ASMT11;55,00;0,770000;0,00;91,87;0,60;52.244,20;1,01;;;93.458.320,21;512,00;Ativa;1.017.316,00
ASRF11;10.092,00;256,328699;2,54;9.873,00;1,02;30.276,00;1,02;;;23.695.206,68;56,00;Ativa;2.400,00
ATCR11;0,00;5,601011;0,00;77,12;;;0,96;;;71.641.655,95;33,00;Ativa;928.908,00
ATSA11;55,11;0,050000;0,00;75,92;0,73;1.529,42;0,94;1,98;-21,05;132.953.999,66;285,00;Passiva;1.751.141,00
ATWN11;0,00;;0,00;1.330,53;;;0,72;;;213.891.769,24;2,00;Passiva;160.757,00
AURB11;85,01;0,200000;4,35;82,02;1,04;148,40;1,79;;;72.221.744,15;18,00;Ativa;880.560,00
BARI11;84,50;0,900000;11,14;94,94;0,89;745.225,08;7,27;-11,41;-9,49;439.973.838,72;36.059,00;Ativa;4.634.191,00
BBFI11B;1.300,00;0,143653;8,90;2.047,68;0,63;359.111,53;8,21;-29,17;-17,32;266.198.222,55;7.258,00;Passiva;130.000,00
BBFO11;74,85;0,640000;10,58;83,46;0,90;713.613,78;0,38;2,66;-7,64;334.145.654,33;6.453,00;Passiva;4.003.900,00
BBIM11;0,00;0,020000;0,00;12,72;;;5,86;-30,90;;13.164.806,92;20,00;Ativa;1.035.000,00
BBRC11;112,75;1,100000;11,69;102,69;1,10;117.241,44;5,49;7,16;-1,23;163.281.527,54;9.521,00;Passiva;1.590.000,00
BCFF11;9,10;0,072500;9,26;9,75;0,93;3.054.743,47;2,14;3,37;-5,75;1.964.984.405,55;343.949,00;Ativa;201.491.024,00
BCIA11;106,57;0,870000;9,32;111,45;0,96;956.521,28;0,08;8,75;1,05;414.468.755,68;24.045,00;Ativa;3.719.038,00
BCRI11;74,58;0,720000;12,16;95,89;0,78;484.523,11;7,81;-15,25;-13,04;600.047.698,39;46.200,00;Ativa;6.257.873,00
BICE11;900,01;5,990000;11,66;995,32;0,90;3.600,00;9,99;;;89.887.580,77;110,00;Ativa;90.310,00
BICR11;56,00;0,140000;11,16;44,68;1,25;2.561,00;32,38;24,61;-16,11;22.341.252,48;628,00;Ativa;500.000,00
BIME11;7,25;0,080000;13,66;8,72;0,83;126.856,06;4,82;;;50.955.212,69;8.828,00;Ativa;5.845.602,00
BIPD11;988,17;10,380000;1,05;986,40;1,00;94.906,00;10,54;;;73.322.758,30;112,00;Ativa;74.334,00
BLCA11;109,11;0,490000;17,05;129,49;0,84;170.374,64;8,52;;;207.187.639,93;438,00;Ativa;1.600.000,00
BLCP11;91,00;0,563428;0,00;111,74;0,81;;1,06;;-4,32;256.580.339,90;279,00;Ativa;2.296.282,00
BLMC11;85,75;1,070000;10,40;94,69;0,91;150.671,33;33,13;-0,67;;37.827.096,12;94,00;Ativa;399.500,00
BLMG11;39,18;0,440000;18,61;80,73;0,49;427.805,81;0,11;-11,31;-28,29;344.608.658,61;14.339,00;Ativa;4.268.807,00
BLMO11;85,50;0,440000;1.031,94;104,44;0,82;347.126,28;2,86;;;103.902.099,20;281,00;Ativa;994.814,00
BLMR11;6,78;0,053000;6,95;8,06;0,84;1.157.702,33;3,90;;-58,23;205.957.834,72;17.316,00;Ativa;25.541.630,00
BLOG11;0,00;;0,00;;;;;;;;;;14.260.000,00
BLUR11;90,01;0,800000;11,88;89,10;1,01;2.380,32;6,34;;;8.019.195,29;136,00;Ativa;90.000,00
BMII11;0,00;0,228341;0,00;465,38;;;0,39;;;67.480.211,81;12,00;Passiva;145.000,00
BMLC11;107,15;0,690000;11,06;112,94;0,95;90.057,97;17,09;17,10;4,83;112.763.038,18;1.427,00;Ativa;998.405,00
BNFS11;121,85;1,240660;13,98;84,68;1,44;121.086,92;6,71;6,74;-0,05;59.276.424,35;5.302,00;Ativa;700.000,00
BPFF11;72,46;0,620000;10,27;78,20;0,93;398.786,42;5,53;2,54;-1,94;351.316.200,42;19.324,00;Ativa;4.492.326,00
BPLC11;0,00;14,420464;0,00;10.084,54;;;3,06;;;322.705.239,47;114,00;Ativa;32.000,00
BPML11;98,00;1,020000;2,86;133,67;0,73;262.571,72;4,94;;4,01;575.440.614,10;1.343,00;Ativa;4.305.079,00
BPRP11;109,49;0,925000;9,94;125,77;0,87;209.121,87;0,03;3,95;-3,01;169.766.516,08;171,00;Passiva;1.349.837,00
BRCO11;121,97;0,870000;8,77;119,95;1,02;3.260.608,17;1,90;12,82;3,51;1.772.732.042,78;121.434,00;Ativa;14.778.781,00
BRCR11;57,70;0,410000;8,89;99,39;0,58;1.681.973,94;0,79;-3,34;-10,86;2.647.452.932,39;148.660,00;Ativa;26.638.202,00
BREV11;105,00;0,580000;3,42;0,00;;271.522,64;;8,81;-1,39;0,00;320,00;Ativa;967.201,00
BRHT11B;86,80;;0,00;70,29;1,23;;13,98;;;129.450.741,44;11,00;Ativa;1.841.677,00
BRIM11;1.384,42;63,420000;21,28;997,52;1,39;9.798,14;0,78;;;123.830.049,15;271,00;Ativa;124.137,00
BRIP11;996,39;7,000000;9,08;1.080,89;0,92;192.356,95;1,42;;-4,11;232.904.677,60;263,00;Ativa;215.475,00
