TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
RDPD11;55,69;10,57;0,89;166.258,84;11,60;3,76;-14,79;67.738.011,99;864,00;Ativa;
AFOF11;81,00;8,94;0,85;137.767,82;4,64;;;66.802.372,42;2.346,00;Ativa;
LVBI11;99,90;6,96;0,87;2.590.448,74;6,31;-0,80;;1.352.087.107,37;40.546,00;Ativa;
HCTR11;123,55;17,85;1,05;8.493.518,39;3,46;;;2.320.957.178,03;151.809,00;Ativa;
MMPD11;0,00;0,00;;;86,43;;;51.503.496,21;48,00;Ativa;
SHOP11;100,00;0,00;1,75;;1,30;;;84.418.540,55;12,00;Ativa;
XPLG11;98,33;7,44;0,93;5.465.244,37;4,54;-1,62;-0,47;2.869.525.443,04;273.491,00;Ativa;
TFOF11;138,00;0,00;1,14;;13,36;29,98;2,01;103.080.374,68;3.278,00;Ativa;
XPPR11;65,88;9,42;0,79;1.122.209,76;3,41;;;606.024.273,34;49.784,00;Ativa;
SEQR11;72,48;9,29;0,69;84.491,63;2,74;;;168.628.334,33;1.640,00;Ativa;
VTRT11;0,00;0,00;;;20,14;;;1.030.654.046,20;499,00;Ativa;
SFRO11;0,00;0,00;;;23,45;;;12.535.437,57;14,00;Passiva;
DLMT11;0,00;0,00;;;36,34;;;13.836.968,74;9,00;Ativa;
IFIE11;72,17;6,28;0,99;47.940,84;2,10;;;67.074.422,19;5.618,00;Passiva;
CCRF11;102,00;3,80;1,00;339.741,50;7,83;;;160.932.143,66;30,00;Ativa;
FIIP11B;163,99;8,98;0,82;112.132,87;2,83;-1,42;-6,40;185.867.652,81;8.691,00;Passiva;
MVFI11;0,00;0,00;;;0,10;;;132.113.774,94;1,00;Ativa;
HGLG11;167,83;8,63;1,14;5.402.416,47;14,28;16,71;6,14;3.143.778.623,08;300.069,00;Ativa;
HGRU11;116,21;7,50;0,97;4.005.910,39;3,54;1,51;3,85;2.178.829.394,48;149.385,00;Ativa;
EQIN11;90,50;12,53;0,94;548.606,87;12,56;-31,38;;138.263.951,85;7.214,00;Ativa;
ERPA11;130,00;0,00;1,22;130,00;0,10;;;53.030.128,88;12,00;Passiva;
NVHO11;11,56;7,67;0,92;2.754,55;1,22;7,23;-29,82;514.862.669,24;2.496,00;Ativa;
HTMX11;88,42;0,00;0,68;136.498,74;0,94;8,60;-15,60;163.878.952,06;24.316,00;Ativa;
MFAI11;71,89;12,94;0,93;36.962,21;0,18;;;23.348.175,37;3.793,00;Ativa;
KNRE11;1,71;4,11;0,86;12.625,95;6,18;;-43,65;36.692.023,18;6.228,00;Ativa;
BPFF11;69,88;9,74;0,93;406.936,79;3,63;-5,42;-8,45;335.966.388,93;20.592,00;Ativa;
RBRD11;43,41;2,22;0,61;45.385,79;3,08;-51,90;-21,22;133.413.909,27;10.961,00;Passiva;
SJAU11;115,00;0,00;1,15;6.037,50;0,35;;;791.150.318,85;125,00;Passiva;
ARCT11;104,91;18,10;1,02;589.928,11;6,64;;;164.876.366,56;7.292,00;Ativa;
RECX11;88,78;8,16;1,05;13.520,63;4,96;;;18.534.238,67;458,00;Ativa;
PRSV11;121,21;0,00;0,50;5.453,96;7,47;28,92;-30,28;47.090.041,04;1.162,00;Passiva;
BLMR11;7,37;8,49;0,89;653.939,32;4,47;;;208.637.330,82;6.774,00;Ativa;
RNDP11;621,85;7,97;0,89;119.689,82;19,43;-5,67;-13,17;75.255.135,70;867,00;Ativa;
BMII11;0,00;0,00;;;0,34;;;69.796.747,23;12,00;Ativa;
BTSI11;0,00;0,00;;;0,20;;;55.508.181,93;52,00;Ativa;
RBRF11;76,99;9,71;0,93;2.293.510,87;1,61;-5,37;-8,58;1.126.170.984,40;79.464,00;Ativa;
CFHI11;0,00;0,00;;;53,94;;;80.353.671,93;53,00;Ativa;
HOSI11;72,53;8,37;0,81;26.198,53;12,61;;;52.954.421,98;2.177,00;Ativa;
MALL11;94,43;6,86;0,92;1.400.158,26;4,23;-2,02;-4,77;782.933.433,25;89.610,00;Ativa;
KFOF11;74,13;9,27;0,85;589.290,24;6,29;2,50;;396.443.903,02;7.692,00;Ativa;
BICR11;95,00;4,72;0,95;2.336,66;22,48;;;49.460.303,63;568,00;Ativa;
MGLG11;56,21;5,11;0,57;79.312,73;0,25;;;113.393.396,88;1.101,00;Ativa;
ARFI11B;479,99;0,00;1,26;;2,59;;;43.511.201,93;28,00;Ativa;
STRX11;8,52;4.487,22;0,05;;0,67;;;296.599.177,07;53,00;Passiva;
HCST11;90,02;0,00;0,86;638,40;5,79;;;30.127.572,39;84,00;Ativa;
BBRC11;103,01;10,52;0,90;262.583,08;4,92;-1,09;-9,74;181.477.841,92;8.806,00;Passiva;
CVPR11;0,00;0,00;;;32,05;;;9.581.856,97;1,00;Ativa;
LKDV11;0,00;0,00;;;25,55;;;54.923.700,79;69,00;Ativa;
DRIT11B;85,00;4,81;0,65;2.109,20;0,78;-16,94;-17,61;60.773.474,43;328,00;Ativa;
VINO11;56,54;10,43;0,97;2.303.841,42;4,80;;;735.371.783,06;96.874,00;Ativa;
CXAG11;0,00;0,00;;;9,88;;;209.055.111,56;1,00;Passiva;
LGCP11;80,00;7,83;0,81;170.146,61;0,76;;;270.529.065,22;10.068,00;Ativa;
HCHG11;88,00;4,15;0,93;21.613,08;1,35;;;113.144.786,36;315,00;Ativa;
RECR11;98,45;14,36;1,03;5.963.579,45;3,77;16,39;-2,69;2.312.002.560,52;138.423,00;Ativa;
VSLH11;9,53;14,41;0,97;1.656.489,74;1,97;;;290.951.478,80;40.795,00;Ativa;
LOFT11B;29,90;1,97;0,46;2.138,00;14,94;;;127.944.707,39;1,00;Ativa;
CBOP11;63,00;9,98;0,72;63.593,16;4,04;1,93;-5,22;123.083.568,10;3.686,00;Passiva;
BRIM11;1.131,56;2,85;1,00;109.218,25;5,38;;;140.520.453,74;196,00;Ativa;
TORM13;142,00;61,46;;2.317,56;;;;0,00;0,00;Ativa;
WTSP11B;48,90;6,29;0,61;443,94;0,81;-14,31;;79.009.528,93;204,00;Ativa;
MINT11;88,00;0,00;0,73;2.327,75;15,59;;;63.236.212,83;69,00;Ativa;
VSEC11;60,16;12,86;0,60;992,82;39,30;;;6.256.529,23;79,00;Ativa;
RBTS11;1.000,00;3,63;0,99;;6,80;;;56.879.121,71;56,00;Ativa;
CVBI11;101,22;13,47;1,01;3.859.985,13;8,45;;;991.128.530,91;48.954,00;Ativa;
FMOF11;68,65;1,92;0,52;2.485,26;1,08;20,42;-5,37;66.970.633,80;330,00;Passiva;
FLCR11;101,70;11,15;1,02;253.715,21;2,18;;;50.105.816,93;672,00;Ativa;
ONEF11;135,76;6,09;0,77;45.699,32;0,96;-0,08;-2,24;159.055.327,75;3.948,00;Passiva;
RSPD11;1.200,00;0,92;1,06;19.313,00;15,45;;;168.188.675,83;106,00;Ativa;
IFID11;79,99;9,24;0,91;97.949,71;0,74;;;64.706.018,41;2.235,00;Passiva;
TCIN11;112,19;0,00;0,79;22.889,50;1,41;;;117.434.614,94;126,00;Ativa;
XTED11;6,38;0,00;0,47;4.047,29;0,53;;-29,20;26.172.643,85;4.586,00;Ativa;
VTXI11;0,00;0,00;;;19,97;;;3.281.246,83;2,00;Ativa;
RBLG11;88,00;6,45;0,82;4.120,79;2,60;;;68.689.321,59;103,00;Ativa;
HAAA11;96,00;7,22;1,02;1.232,19;1,09;;;325.770.617,79;135,00;Ativa;
JFLL11;74,91;8,37;0,77;101.623,13;2,00;;;145.235.543,90;2.054,00;Ativa;
NEWL11;98,97;10,34;0,85;337.651,89;3,47;;;236.492.766,03;2.248,00;Ativa;
HPDP11;80,50;4,26;0,84;13.097,57;1,68;;;279.695.516,53;374,00;Passiva;
JSRE11;78,02;8,17;0,69;2.729.813,29;0,32;-3,13;-8,48;2.351.705.389,52;52.640,00;Ativa;
XPSF11;79,15;11,17;0,94;829.254,47;1,45;;;365.313.274,13;20.456,00;Ativa;
TRXB11;122,00;7,89;1,20;2.974.426,64;3,46;;;254.357.560,88;163,00;Passiva;
TSER11;99,99;5,96;1,04;4.088.493,83;2,67;;;115.852.165,27;18,00;Ativa;
BLCA11;87,06;0,00;0,87;83.628,40;6,78;;;160.740.969,06;77,00;Ativa;
KNRI11;134,64;6,34;0,85;3.372.845,24;3,89;-1,37;-2,73;3.797.979.053,02;229.966,00;Ativa;
VTVI11;0,00;0,00;;;11,73;;;67.980.546,89;1,00;Ativa;
URPR11;112,21;21,23;1,16;3.432.393,50;10,03;;;351.769.051,16;29.840,00;Ativa;
CNES11;34,43;3,99;0,40;21.523,11;5,72;-13,09;-24,41;255.504.234,99;2.273,00;Passiva;
ATSA11;99,33;0,00;1,01;13.921,83;0,97;;-0,39;171.921.865,51;265,00;Passiva;
BZLI11;17,00;0,00;1,63;673,73;0,05;;8,48;431.447.893,38;323,00;Ativa;
MGHT11;88,99;8,98;0,90;6.842,86;12,67;;;131.567.014,50;577,00;Ativa;
EQIR11;100,00;1,04;0,98;10.970,00;2,50;;;51.192.177,43;64,00;Ativa;
GSFI11;4,39;0,00;0,33;383.077,87;21,13;;;901.702.134,45;5.833,00;Ativa;
HRDF11;1,22;0,00;1,02;824,42;65,85;;;9.430.355,64;1.490,00;Ativa;
CARE11;2,35;2,08;1,48;124.954,89;0,46;;-36,08;284.911.633,61;12.647,00;Ativa;
SALI11;0,00;0,00;;;3,79;;;8.029.109,58;2,00;Passiva;
DOMC11;439,00;0,00;3,98;;1,11;;-8,97;269.267.795,14;1.136,00;Ativa;
VXXV11;863,00;0,00;1,26;3.838.398,47;1,74;;;120.962.305,10;9,00;Ativa;
TCPF11;1,26;1.242,06;0,01;;6,23;;;32.318.081,81;52,00;Ativa;
GALG11;100,11;9,97;0,97;1.739.810,76;0,01;;;576.127.116,17;5.982,00;Ativa;
SDIL11;88,86;8,58;0,91;777.217,76;2,05;0,40;-5,70;622.149.687,44;51.125,00;Ativa;
PQDP11;2.049,00;5,71;0,57;133.437,45;1,01;-12,12;-11,80;864.538.143,07;4.057,00;Passiva;
QIRI11;89,50;8,06;1,06;2.744,45;0,63;;;12.655.421,25;163,00;Passiva;
FIVN11;3,77;0,00;0,56;38.993,82;0,04;;16,74;64.505.673,54;3.138,00;Passiva;
JTPR11;2.517,00;0,00;24,53;;7,75;;;22.023.748,77;9,00;Ativa;
FINF11;0,00;0,00;;;0,42;;;91.274.781,79;4,00;Ativa;
TEPP11;72,83;7,53;0,78;203.411,68;0,31;;;396.715.750,88;7.855,00;Ativa;
BTAL11;96,80;6,30;0,94;707.229,76;13,10;;;616.134.581,99;13.672,00;Ativa;
HGCR11;105,72;9,36;1,03;2.177.540,21;3,67;3,24;-2,75;1.266.260.106,77;59.505,00;Ativa;
XPCI11;95,43;11,46;1,01;2.087.822,79;11,98;;;650.592.300,58;49.676,00;Ativa;
HGRE11;133,77;6,92;0,80;2.163.596,92;1,58;1,08;-3,78;1.968.340.821,76;112.473,00;Ativa;
KNIP11;104,13;13,91;1,05;12.066.525,29;13,90;22,10;-1,90;7.054.546.598,14;62.189,00;Ativa;
ALMI11;1.100,00;0,00;0,49;50.391,08;1,83;;-5,20;250.240.666,39;3.199,00;Passiva;
VIUR11;76,21;5,24;0,81;294.811,89;12,68;;;255.916.293,24;3.655,00;Ativa;
ROOF11;1.001,00;0,00;1,03;13.000,50;21,90;;;75.415.472,95;153,00;Ativa;
VIFI11;73,50;10,07;0,86;394.647,66;2,90;;;240.665.086,50;6.343,00;Ativa;
RBCO11;52,45;9,85;0,52;284.537,03;3,63;;;380.191.685,75;5.930,00;Ativa;
HUSC11;120,00;7,39;0,84;300.132,06;0,89;;3,73;112.953.668,57;737,00;Passiva;
BARI11;103,10;14,98;1,01;1.143.017,16;7,60;;;471.526.990,84;31.148,00;Ativa;
IRDM11;104,00;13,95;1,09;9.014.499,89;2,46;12,86;1,60;2.692.489.672,14;211.723,00;Ativa;
FEXC11;86,15;10,85;0,91;796.389,24;10,97;4,20;-6,66;576.006.211,86;17.499,00;Ativa;
JPPA11;98,04;11,92;0,95;13.967,11;0,43;;;62.379.501,16;746,00;Ativa;
MOFF11;0,00;0,00;;;4,54;;;157.163.849,10;3,00;Ativa;
RBRP11;75,64;6,95;0,92;1.511.348,39;2,82;4,32;;1.007.350.492,52;91.289,00;Ativa;
DMAC11;13,00;308,03;2,61;26.524,35;105,14;;-75,46;778.257,90;2.352,00;Passiva;
VGHF11;10,00;10,50;1,06;1.182.912,00;22,68;;;314.758.692,16;27.861,00;Ativa;
CXRI11;68,38;9,40;0,81;29.627,87;1,51;-15,34;-59,51;129.745.982,69;2.879,00;Ativa;
GAME11;104,00;1,04;1,05;11.637,40;0,20;;;203.196.829,07;76,00;Ativa;
BCIA11;86,00;9,02;0,88;374.379,13;0,24;-12,54;-6,30;365.351.694,07;14.768,00;Ativa;
HFOF11;81,13;8,89;0,98;1.865.800,79;1,35;-11,61;-4,12;1.897.056.709,57;64.937,00;Ativa;
KINP11;12,40;10,53;1,63;12.617,34;8,19;;;54.227.212,11;527,00;Ativa;
QAGR11;48,71;9,88;0,82;491.373,16;0,68;;;300.963.209,86;21.332,00;Ativa;
RBRI11;0,00;0,00;;;0,26;;;139.897.086,37;79,00;Ativa;
RBVO11;12,81;3,11;0,55;11.464,37;4,50;-47,13;-38,35;11.801.271,94;2.285,00;--;
BCFF11;69,77;8,76;0,91;3.104.351,68;1,24;-1,78;-6,27;1.932.209.076,88;284.929,00;Ativa;
HREC11;98,22;10,99;1,01;6.376,39;1,04;;;268.066.448,77;321,00;Ativa;
MORE11;72,49;10,94;0,83;542.441,89;0,79;;;202.657.376,23;11.492,00;Ativa;
EVBI11;96,00;6,67;0,95;546.952,36;18,04;;;109.832.723,37;158,00;Ativa;
MGFF11;65,95;10,31;0,89;1.149.509,11;0,51;-8,92;-11,13;670.102.751,59;50.127,00;Ativa;
BPML11;77,00;3,80;0,58;35.127,00;3,94;;;573.237.489,83;1.356,00;Passiva;
TOUR11;8,80;1.526,34;;340.762,05;;;;0,00;0,00;Ativa;
EURO11;197,00;9,66;0,69;87.874,87;1,68;12,27;4,64;109.006.380,05;2.530,00;Passiva;
FLRP11;1.209,83;5,57;0,73;13.635,80;1,77;-7,54;-0,82;108.777.317,33;917,00;Passiva;
BIME11;9,45;0,23;0,99;149.536,55;26,15;;;55.547.088,26;477,00;Ativa;
NSLU11;232,99;9,59;1,09;198.518,05;1,98;4,27;1,92;244.408.065,59;7.514,00;Passiva;
GZIT11;0,00;0,00;;;1,60;;;2.030.913.869,89;1,00;Ativa;
XPHT11;90,51;0,00;1,04;153.025,41;0,46;;;330.559.770,32;1.477,00;Ativa;
XPHT12;45,00;0,00;0,52;8.349,41;0,46;;;330.559.770,32;1.477,00;Ativa;
MTOF11;0,00;0,00;;;1,76;;;165.515.164,28;3,00;Ativa;
TGAR11;115,89;12,36;0,91;3.471.898,76;8,21;11,39;-2,23;1.440.967.369,95;79.581,00;Ativa;
HCRI11;362,89;10,07;1,21;50.748,42;0,61;6,06;6,38;59.886.299,64;3.081,00;Passiva;
REIT11;550,00;15,20;1,05;6.383,33;45,07;;-21,80;13.804.741,02;59,00;Ativa;
FTCE11B;2.950,01;5,81;1,05;;8,85;;;2.574.689.163,31;57,00;Ativa;
AIEC11;70,80;10,90;0,70;476.771,74;5,39;;;486.481.248,48;4.976,00;Ativa;
