TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
BREV11;95,62;6,34;0,91;142.762,25;0,97;;;101.663.227,02;110,00;Ativa;
BLCP11;80,00;8,25;0,81;721.750,21;1,69;;;225.882.453,79;306,00;Ativa;
RECT11;69,06;10,33;0,75;798.549,61;5,65;;;753.333.282,94;79.976,00;Ativa;
BBIM11;0,00;0,00;;;4,98;-1,55;;49.877.096,89;20,00;Ativa;
RCFF11;95,48;5,35;6,40;159,80;15,19;;;30.224.739,82;78,00;Ativa;
THRA11;138,50;33,93;14,52;53.642,50;140,47;90,73;4,04;14.050.683,35;2.084,00;Passiva;
TJKB11;0,00;0,00;;;0,45;;;76.708.070,64;21,00;Ativa;
HABT11;108,30;17,28;1,11;2.945.425,97;19,77;;;721.617.991,70;42.210,00;Ativa;
SHDP11B;0,00;0,00;;;1,12;-9,80;;2.148.964.287,77;3,00;Passiva;
WPLZ11;67,05;1,27;0,64;18.449,27;1,41;8,47;-2,37;106.084.879,47;1.890,00;Passiva;
OULG11;54,00;11,23;0,58;85.033,47;2,14;;;230.794.116,97;6.726,00;Ativa;
CEOC11;58,78;9,47;0,68;50.750,24;2,12;-5,94;-9,48;156.336.111,14;6.043,00;Passiva;
RBCB11;19,00;0,00;;;;-15,04;-55,60;0,00;462,00;Ativa;
VSHO11;78,07;5,74;0,77;20.766,11;2,12;;;214.966.958,74;2.049,00;Ativa;
XPIN11;91,33;8,35;0,82;656.342,58;6,43;-4,14;-6,96;787.121.257,78;51.837,00;Ativa;
SFND11;83,07;5,12;4,83;;49,78;116,69;;16.886.090,12;54,00;Passiva;
HGRS11;0,00;0,00;;;25,92;;;95.106.297,80;6,00;Ativa;
BTSG11;0,00;0,00;;;0,10;;;75.455.486,28;53,00;Ativa;
BBFI11B;2.272,00;14,24;0,90;448.386,42;8,58;2,80;3,99;330.558.622,04;8.598,00;Passiva;
BLMC11;98,70;7,87;0,98;2.025,10;8,13;;;40.334.937,40;75,00;Ativa;
TRNT11;104,40;4,72;0,50;22.770,22;0,48;-17,58;-15,00;814.380.621,51;823,00;Passiva;
RZTR11;100,74;9,29;1,02;3.329.570,21;16,61;;;1.087.621.455,10;37.525,00;Ativa;
GCRI11;97,75;11,42;0,98;134.877,89;2,14;;;99.914.922,00;1.208,00;Ativa;
LASC11;86,30;6,62;0,84;566.207,45;0,69;;;258.335.882,98;160,00;Ativa;
PLCR11;88,72;11,72;0,96;355.282,89;11,54;;;195.407.902,15;9.355,00;Ativa;
GESE11B;1.520,00;8,30;0,92;;1,08;;;86.162.938,46;55,00;Passiva;
CJFI11;0,00;0,00;;;0,40;;;100.301.360,88;1,00;Ativa;
GTWR11;83,30;9,73;0,82;1.095.608,03;0,43;;;1.211.075.492,36;26.547,00;Ativa;
GCFF11;71,05;12,76;0,85;71.242,34;0,17;;;28.941.459,49;1.720,00;Ativa;
PATB11;0,00;0,00;;;4,29;;;558.186.591,38;58,00;Ativa;
BMLC11;88,40;8,00;0,83;35.523,14;2,99;15,95;7,08;106.563.744,62;1.517,00;Passiva;
ZIFI11;1.200,00;0,00;1,09;58.017,67;1,26;;;22.859.497,59;22,00;Ativa;
DVFF11;81,70;3,60;0,93;136.958,21;6,41;;;97.149.814,85;402,00;Ativa;
EDFO11B;227,99;7,37;1,07;8.465,66;1,47;-7,03;-6,84;50.111.495,65;566,00;Passiva;
NAVT11;70,22;6,48;0,81;148.831,79;4,66;;;91.957.610,20;1.849,00;Ativa;
BRCR11;71,45;7,93;0,67;2.310.864,68;0,62;-28,84;-11,61;2.828.515.163,30;131.206,00;Ativa;
RMAI11;39,50;2,41;0,36;8.935,80;1,11;;;269.267.795,14;1.136,00;Ativa;
JSAF11;99,50;0,62;1,06;91.110,50;43,61;;;149.033.597,08;1.751,00;Ativa;
SBCL11;0,00;0,00;;;134,51;;;33.528.852,90;2,00;Ativa;
VPSI11;0,00;0,00;;;0,76;-6,90;;148.418.417,48;56,00;Passiva;
MFII11;109,51;11,70;1,08;566.059,68;23,60;-1,17;5,37;420.575.995,60;29.838,00;Ativa;
LPLP11;0,00;0,00;;;0,96;;;49.624.125,80;2,00;Ativa;
HSAF11;92,75;12,48;0,99;425.046,18;7,94;;;166.358.991,29;4.887,00;Ativa;
DEVA11;101,34;17,50;1,05;6.458.516,47;3,79;;;1.259.674.284,37;67.692,00;Ativa;
IBCR11;95,19;7,46;0,95;200.926,57;24,77;;;80.175.362,24;496,00;Ativa;
PATL11;72,49;9,34;0,77;1.006.297,95;1,23;;;473.626.965,64;12.848,00;Ativa;
SNCI11;100,50;3,11;0,99;1.071.166,55;1,17;;;155.304.701,95;4.658,00;Ativa;
SNFF11;87,90;4,32;1,02;620.538,58;3,61;;;215.906.222,37;30.375,00;Ativa;
MCHY11;120,00;4,34;1,18;18.286,07;1,22;;;358.520.000,88;51,00;--;
APTO11;10,85;0,00;4,64;731,50;137,37;;;9.494.846,65;12,00;Ativa;
RBHY11;99,30;11,31;1,01;168.664,71;8,44;;;155.817.584,60;1.756,00;Ativa;
PVBI11;90,12;7,10;0,90;2.288.033,05;4,36;;;998.576.404,46;55.256,00;Ativa;
MATV11;97,10;2,37;1,02;48.702,07;9,32;;;33.023.409,50;195,00;Ativa;
VGIP11;99,20;13,92;1,02;2.598.715,08;1,78;;;715.092.271,19;45.649,00;Ativa;
FLMA11;120,94;5,02;0,78;93.480,87;2,28;-11,24;-1,76;215.226.362,30;20.822,00;Ativa;
SOLR11;1.156,93;6,14;1,15;1.156,00;1,06;;;63.330.153,87;73,00;Ativa;
BLMG11;91,97;9,38;0,95;730.318,92;1,41;;;369.462.477,79;4.854,00;Ativa;
EGYR11;1,44;0,00;0,11;4.660,68;0,00;;;93.207.291,61;26,00;Passiva;
CPTS11;95,48;12,75;1,01;7.971.624,68;2,96;13,54;-2,00;2.650.260.334,39;132.912,00;Ativa;
PRZS11;0,00;0,00;;;0,39;;;58.507.775,88;20,00;Ativa;
ESTQ11;0,00;0,00;;;24,07;;;14.585.831,00;5,00;Ativa;
SHPH11;802,04;4,07;0,90;89.386,58;0,59;-7,05;-5,05;540.921.773,38;2.935,00;Passiva;
RBRR11;97,55;9,54;0,96;2.765.477,84;3,03;9,60;-3,35;1.052.526.047,54;82.013,00;Ativa;
CYCR11;104,99;3,43;1,11;50.239,30;9,41;;;50.182.641,04;35,00;Ativa;
FPNG11;0,00;0,00;;;1,21;-7,69;;165.366.487,78;50,00;Ativa;
RNGO11;53,18;8,71;0,61;138.392,42;1,91;-7,88;-13,94;234.015.134,97;15.182,00;Passiva;
TELD11;0,00;0,00;;;5,99;;;9.862.037,11;2,00;Ativa;
KNHY11;107,99;13,79;1,12;2.923.365,08;16,34;24,10;-0,46;1.383.482.515,19;10.284,00;Ativa;
QAMI11;96,58;8,53;1,06;41.713,74;2,12;;;73.099.914,93;793,00;Ativa;
FPAB11;220,00;7,05;0,49;12.035,03;1,20;-11,68;-12,73;336.222.259,22;951,00;Passiva;
LUGG11;86,00;7,00;0,69;19.327,29;0,63;;;112.403.356,09;4.212,00;Ativa;
VILG11;100,95;7,01;0,89;3.755.162,55;1,65;-3,66;;1.703.601.538,03;142.619,00;Ativa;
VVPR11;94,68;8,69;0,92;931.949,68;1,43;;;238.520.413,19;1.399,00;Ativa;
CJCT11;69,00;0,00;1,07;139.640,29;3,81;;7,85;185.921.044,93;1.426,00;Passiva;
BTWR11;106,40;1,56;0,98;1.440.549,00;2,70;;;87.703.705,42;59,00;Passiva;
RBHG11;83,56;10,98;0,88;327.324,29;1,58;;;165.659.847,45;5.289,00;Ativa;
VJFD11;0,00;0,00;;;1,92;;;518.565.114,98;97,00;Ativa;
VRTA11;104,39;11,70;1,08;2.310.300,61;1,46;3,63;-3,64;1.017.170.179,70;92.818,00;Ativa;
BLMO11;26.004,50;0,00;1,00;147.358,67;5,34;;;99.066.295,46;91,00;Ativa;
CXTL11;295,22;5,68;0,48;5.401,16;0,63;13,33;-13,41;33.753.190,43;680,00;Passiva;
MCHF11;9,99;5,20;1,06;316.419,08;1,79;;;78.592.177,52;2.713,00;Ativa;
FIGS11;56,73;5,44;0,60;208.246,50;4,57;-26,39;-6,71;269.042.988,25;16.725,00;Passiva;
CXCE11B;44,38;21,99;0,54;75.351,11;5,36;1,17;-20,47;139.351.762,82;4.494,00;Passiva;
VLOL11;89,32;5,96;0,92;152.137,50;1,27;1,22;0,19;173.463.499,10;4.170,00;Passiva;
TORD11;9,44;12,79;0,74;1.257.363,61;0,35;;;452.519.294,27;94.362,00;Ativa;
PNPR11;0,00;0,00;;;7,85;;;56.585.521,15;13,00;Ativa;
BCRI11;107,48;13,16;1,02;1.137.846,21;10,49;11,67;-0,47;661.660.412,69;45.098,00;Ativa;
DAMT11B;0,83;0,00;0,93;56.435,92;0,03;;;110.545.185,34;468,00;Passiva;
MBRF11;795,00;11,85;0,68;52.941,21;4,21;-3,67;-10,45;113.480.886,74;2.757,00;Ativa;
FVPQ11;106,07;4,92;0,55;69.074,95;1,45;-20,42;-16,69;554.337.596,32;4.604,00;Passiva;
OUFF11;72,03;11,17;0,95;239.095,18;0,69;;;137.349.990,71;8.803,00;Ativa;
RRCI11;82,30;10,54;0,84;103.199,47;3,15;;;46.898.463,85;2.081,00;Ativa;
BBFO11;70,06;8,54;0,85;122.439,00;1,70;;;328.799.376,09;3.952,00;Passiva;
PATC11;62,68;5,92;0,73;348.254,00;1,00;;;296.481.658,24;11.249,00;Ativa;
RBVA11;103,19;10,76;0,98;953.777,50;1,59;0,37;-5,17;1.215.325.229,44;42.991,00;Ativa;
BBPO11;92,54;12,97;0,97;1.504.466,66;4,77;-1,06;-12,80;1.528.388.042,03;64.630,00;Passiva;
BRHT11B;86,80;0,00;1,06;;2,61;;;150.727.608,87;11,00;--;
BTRA11;98,34;3,09;0,98;646.916,08;40,62;;;336.025.608,31;8.420,00;Ativa;
PRTS11;117,70;0,00;1.681,43;;42,20;;;3.796.958,72;11,00;Ativa;
SPVJ11;0,00;0,00;;;16,52;;;680.084.152,76;27,00;Ativa;
MAXR11;83,00;9,76;0,70;93.958,79;1,11;-10,23;-6,12;132.620.586,92;4.087,00;Passiva;
PEMA11;59,99;15,59;0,68;3.698,09;0,94;;;48.505.036,75;113,00;Ativa;
GGRC11;110,64;8,35;0,82;1.339.920,50;1,85;5,16;-6,24;1.039.797.046,13;95.650,00;Ativa;
VLJS11;1.141,14;4,80;0,77;;28,64;;;38.569.495,77;12,00;Passiva;
FCFL11;101,75;7,87;1,00;263.516,26;0,51;3,38;1,27;352.533.065,59;4.376,00;Passiva;
CXCO11;80,06;6,58;0,79;339.093,37;1,04;;;394.270.353,54;12.965,00;Ativa;
HGIC11;106,06;6,52;1,00;114.318,76;1,56;;;24.699.300,59;220,00;Ativa;
MORC11;98,00;6,79;0,97;273.355,71;29,10;;;79.192.890,26;97,00;Ativa;
HGFF11;73,24;9,28;0,85;698.728,26;2,78;;;241.961.375,26;9.213,00;Ativa;
HBCR11;110,00;9,16;1,28;796.932,00;3,91;;;23.758.035,35;13,00;Ativa;
RBED11;128,50;9,65;0,91;154.427,05;2,86;-2,53;-6,83;286.286.590,21;12.094,00;Ativa;
TRXF11;101,00;8,60;0,98;2.841.301,50;5,01;;;575.388.816,58;38.836,00;Ativa;
CACR11;107,71;12,86;1,06;423.697,21;19,99;;;153.780.174,46;2.935,00;Ativa;
AQLL11;385,03;0,00;0,44;641,83;0,00;;-0,43;86.503.259,08;37,00;Ativa;
FATN11;98,28;8,51;0,95;12.955,57;1,20;;;81.279.152,95;346,00;Ativa;
ALZR11;110,75;6,65;1,02;1.083.954,08;15,66;2,11;3,95;643.082.533,83;97.121,00;Ativa;
JBFO11;86,40;3,57;1,05;54.137,20;0,81;;;105.596.578,35;357,00;Ativa;
CPFF11;71,55;12,60;0,94;1.123.991,00;3,77;;;412.802.106,88;13.088,00;Ativa;
PQAG11;59,00;7,41;1,04;20.043,85;1,13;;;795.887.588,27;415,00;Ativa;
CRFF11;63,50;7,73;0,82;85.466,74;1,31;;;56.197.336,69;1.804,00;Ativa;
