TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AAIC;3,54;;-15,19;0,48;0,11;100,00;32,68;-36,29;16,87;123,08;106,21;3,03;5,51;;-0,11;;-3,17;-0,75;0,30;0,24;0,76;0,02;-30,10;;;7,35;-0,23;;105.005.250,00
AAT;32,94;3,64;52,96;1,61;0,66;65,49;27,36;9,57;18,52;33,24;14,72;1,28;5,07;;-0,66;;3,05;1,25;3,72;0,41;0,59;0,13;4,96;-2,73;;20,42;0,62;;1.993.594.680,00
ABR;16,37;8,92;8,41;0,99;0,16;99,65;209,04;99,60;4,01;11,83;7,82;1,94;8,37;;-0,16;;11,82;1,91;7,10;0,16;0,84;0,02;28,66;46,46;;16,47;1,95;;2.622.513.288,00
ACC;65,15;2,16;153,88;2,94;1,21;51,87;18,95;6,00;48,76;67,03;18,27;1,10;9,24;;-1,21;;1,91;0,79;2,80;0,41;0,58;0,13;3,69;-18,56;;22,18;0,42;;9.087.317.450,00
ACRE;14,45;9,83;11,25;0,99;0,27;100,00;601,75;328,73;6,15;22,13;15,98;2,59;36,99;;-0,27;;8,84;2,42;4,46;0,27;0,73;0,01;;6,15;;14,53;1,28;;685.484.880,00
ADC;69,46;3,88;42,02;1,42;0,93;87,78;55,87;34,53;25,97;35,03;9,06;0,50;14,51;;-0,93;;3,38;2,20;3,60;0,65;0,35;0,06;29,96;22,07;;48,87;1,65;;5.221.620.770,00
AFCG;17,80;10,45;11,81;1,04;0,77;;;;10,77;11,78;1,01;0,10;;;-0,77;;8,84;6,55;7,52;0,74;0,26;0,00;;;;17,04;1,51;;351.423.620,00
AFIN;8,23;7,75;-97,09;0,58;0,28;74,05;20,65;-3,17;14,92;39,26;24,35;0,94;3,08;;-0,28;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;;1.016.458.495,00
AFINO;25,70;5,38;-303,19;1,80;0,86;74,05;20,65;-3,17;46,58;39,26;24,35;0,94;9,62;;-0,86;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;;1.016.458.495,00
AFINP;26,01;5,41;-306,85;1,82;0,87;74,05;20,65;-3,17;47,15;39,26;24,35;0,94;9,74;;-0,87;;-0,59;-0,28;1,93;0,48;0,52;0,09;11,83;;;14,30;-0,08;;1.016.458.495,00
AGNC;12,06;11,94;-7,00;0,71;0,10;;;;-7,85;-19,01;-11,16;1,00;;;-0,10;;-10,10;-1,36;-4,02;0,13;0,87;0,00;;3,75;;17,06;-1,72;;6.311.719.188,00
AGNCM;23,70;7,25;-13,75;1,39;0,19;;;;-15,43;-19,01;-11,16;1,00;;;-0,19;;-10,10;-1,36;-4,02;0,13;0,87;0,00;;3,75;;17,06;-1,72;;6.311.719.188,00
AGNCN;24,67;7,09;-14,31;1,45;0,19;;;;-16,06;-19,01;-11,16;1,00;;;-0,19;;-10,10;-1,36;-4,02;0,13;0,87;0,00;;3,75;;17,06;-1,72;;6.311.719.188,00
