TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
BRIP11;1.180,00;0,00;1,19;267.375,83;30,27;;;66.588.294,04;222,00;Ativa;
CVBI11;105,15;11,35;1,05;3.738.998,10;14,84;;;596.133.216,06;28.534,00;Ativa;
HCTR11;135,45;17,17;1,17;11.230.581,13;17,10;;;827.691.426,98;78.459,00;Ativa;
KEVE11;1.010,00;0,00;1,01;289.875,77;11,41;;;148.286.541,14;373,00;Passiva;
KISU11;108,56;2,75;1,15;2.490.591,90;1,75;;;72.208.644,91;19.071,00;Ativa;
LVBI11;109,04;5,96;0,99;2.872.910,23;23,21;;;1.298.801.100,70;34.824,00;Ativa;
MALL11;100,04;4,80;0,95;1.840.157,03;2,82;-13,98;-0,41;794.035.289,87;83.014,00;Ativa;
MGHT11;98,69;7,25;0,97;20.869,19;0,99;;;106.878.508,03;263,00;Ativa;
PATB11;0,00;0,00;;;5,61;;;504.927.334,99;59,00;Passiva;
RBBV11;98,00;7,08;0,97;67.842,13;1,06;11,20;14,55;126.547.951,44;3.121,00;Passiva;
HGCR11;107,50;6,41;1,03;3.088.313,33;6,32;-10,50;0,24;1.295.499.170,54;59.513,00;Ativa;
HTMX11;104,01;0,00;0,80;210.314,40;1,05;8,60;-8,87;164.389.940,42;24.831,00;Ativa;
FEXC11;94,03;9,13;0,98;488.593,57;6,80;-3,34;-4,51;327.291.984,63;12.132,00;Ativa;
FIGS11;58,22;3,32;0,62;296.954,40;4,67;-41,72;-10,04;268.691.469,02;18.343,00;Passiva;
FIIB11;501,10;6,04;1,13;455.222,00;1,24;-1,29;7,73;303.120.333,38;17.754,00;Passiva;
FLCR11;101,30;2,83;1,00;144.987,69;12,70;;;50.598.430,32;92,00;Ativa;
FLMA11;2,94;3,13;0,95;225.371,77;2,28;-17,36;5,84;214.864.295,98;72.805,00;Ativa;
FPAB11;264,00;7,45;0,59;68.698,96;1,38;-11,51;-9,73;336.198.709,36;991,00;Passiva;
FVPQ11;137,78;2,35;0,70;81.240,67;1,10;-1,81;-18,01;550.322.759,82;5.267,00;Passiva;
GALG11;111,00;3,68;1,09;1.336.614,97;2,39;;;571.559.089,48;3.023,00;Ativa;
GTWR11;107,01;7,66;1,06;1.736.528,73;0,34;;;1.209.548.145,81;26.918,00;Ativa;
HAAA11;101,50;3,16;1,04;251.663,55;1,21;;;263.847.879,03;61,00;Ativa;
BRCR11;83,51;6,70;0,78;2.713.934,87;0,71;-27,99;-4,90;2.860.888.100,33;125.632,00;Ativa;
BRHT11B;86,80;0,00;1,05;;1,26;;;152.095.896,16;11,00;--;
CTXT11;25,11;12,07;0,52;23.528,47;0,69;-13,53;81,64;125.456.495,93;4.417,00;Passiva;
