TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
ATWN11;0,00;0,00;;;0,60;;;93.194.385,56;2,00;Passiva;
BBIM11;0,00;0,00;;;17,92;-13,85;;64.937.296,84;20,00;Ativa;
BMII11;0,00;0,00;;;0,36;;;68.951.847,64;12,00;Ativa;
BRCO11;105,71;6,22;0,97;2.734.865,77;2,40;;;1.602.620.953,09;38.383,00;Ativa;
BRCR11;77,61;7,28;0,72;2.209.311,30;1,03;-27,97;-4,92;2.872.016.394,48;127.422,00;Ativa;
BRIP11;1.016,00;0,00;1,03;1.071,33;16,50;;;107.048.416,30;234,00;Ativa;
EURO11;205,13;7,74;0,72;59.925,47;1,85;23,18;6,86;108.976.705,58;2.497,00;Passiva;
BLCP11;95,80;7,34;0,94;380.262,42;3,59;;;196.742.723,49;184,00;Ativa;
BREV11;91,56;5,97;0,87;1.113,75;1,43;;;98.135.308,27;79,00;Ativa;
BRIM11;1.050,00;0,00;1,04;1.050,00;5,74;;;125.071.430,23;121,00;Ativa;
BRLA11;0,00;0,00;;;0,74;;;137.631.181,91;84,00;Passiva;
HCST11;99,46;0,00;0,94;592,36;15,84;;;30.376.698,79;94,00;Ativa;
MGHT11;93,99;7,87;0,95;18.776,30;7,38;;;103.608.255,03;375,00;Ativa;
PBLV11;926,98;8,93;0,70;;3,31;;;3.871.799.380,63;2,00;Ativa;
RBRS11;72,50;4,47;0,75;34.656,59;11,97;;;100.680.113,73;1.193,00;Ativa;
CJFI11;0,00;0,00;;;0,42;;;98.041.206,03;1,00;Ativa;
NSLU11;242,00;8,96;1,13;198.400,47;2,04;4,17;3,58;244.478.758,64;7.617,00;Passiva;
RECT11;74,40;10,67;0,80;1.297.559,90;0,80;;;761.018.357,05;76.666,00;Ativa;
RNGO11;61,60;7,95;0,61;204.599,53;1,54;-6,00;-7,17;270.865.817,47;15.946,00;Passiva;
BBPO11;113,00;11,49;1,18;1.305.652,73;4,82;1,84;-3,92;1.530.160.087,13;65.692,00;Passiva;
BLMC11;101,50;3,52;1,01;4.247,63;7,34;;;40.287.207,57;28,00;Ativa;
BTWR11;106,40;0,67;0,98;1.440.549,00;2,49;;;87.559.427,46;57,00;Passiva;
ORPD11;132,50;0,00;0,88;3.019,50;0,00;;3,81;43.441.631,42;29,00;Ativa;
SCPF11;8,90;2,33;0,70;7.367,23;2,09;-27,97;-8,06;53.257.410,02;4.606,00;Ativa;
SFND11;83,07;102,81;4,64;;13,58;114,52;;17.592.785,03;55,00;Passiva;
SHPH11;795,19;3,57;0,97;194.521,47;0,46;-11,96;-5,76;501.723.993,79;3.085,00;Passiva;
AIEC11;80,93;7,80;0,81;916.175,63;4,85;;;484.081.198,44;2.874,00;Ativa;
BARI11;103,85;14,46;1,02;1.508.083,07;10,41;;;471.004.814,65;27.350,00;Ativa;
BZEL11;0,00;0,00;;;0,09;;;539.305.785,89;2,00;Ativa;
CXCE11B;87,22;12,44;1,07;58.170,43;5,83;5,47;0,91;138.989.389,34;2.984,00;Passiva;
QIFF11;97,51;7,39;1,03;2.499,65;1,31;;;14.267.185,63;164,00;Passiva;
BLMG11;99,29;5,11;0,95;844.603,40;2,69;;;398.380.996,18;3.503,00;Ativa;
BZLI11;16,06;0,00;1,41;571.717,53;2,73;;5,57;444.984.851,42;374,00;Ativa;
CEOC11;68,28;7,84;0,79;55.466,80;2,05;-6,83;-5,18;156.996.079,15;6.798,00;Passiva;
CNES11;39,81;5,20;0,46;15.852,13;5,65;7,74;-19,37;257.410.582,39;2.472,00;Passiva;
DRIT11B;107,98;3,45;0,82;1.830,88;0,77;-19,22;-3,05;60.889.345,05;318,00;Ativa;
PLOG11;87,71;3,16;0,92;73.508,13;4,21;;;71.562.949,59;1.793,00;Ativa;
PVBI11;94,77;5,86;0,95;2.604.334,27;6,52;;;972.853.193,39;34.781,00;Ativa;
QAGR11;51,48;9,16;0,86;468.879,37;0,40;;;301.152.498,61;18.174,00;Ativa;
QAMI11;93,44;3,26;1,00;34.587,50;1,52;;;74.798.125,05;622,00;Ativa;
PRSV11;132,00;2,68;0,55;12.227,39;6,23;28,92;-24,44;46.455.023,76;1.221,00;Passiva;
